"","Table 3#12# Government Transfer Payments to Persons","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2003 11:56:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Government transfer payments to persons","1","A063RC",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.4,53,58.8,71.6,85.2,94.6,108.1,128.4,163,176.9,188.7,202.5,226.4,270.2,307,342.3,369.4,378.3,403.1,428.4,447.8,476.1,519.2,573.1,649.1,729.2,776.5,810.1,860.1,902.4,934.4,955,987.2,1037.3,1137
"9","Federal","2","B087RC",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,19.9,23.1,23.5,24.6,25.2,27.3,29.9,36.2,41.6,45.6,55.5,65.9,72.6,84,103.1,132.2,142.7,151.7,161.7,182.1,219,249.9,281.1,302.5,307.1,325.8,344,357,377.5,409.8,445.3,492.4,549.1,581.1,603.2,642.3,678.1,706.8,719.7,734.4,765.9,832.6
"10","  Benefits from social insurance funds","3","A1588C",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,15.9,19,19.3,20.3,20.6,22.3,24.7,30,34.9,37.8,45.5,53.8,59,68.9,81.4,104.4,114.5,123.7,131.6,148,177.5,205.8,238.4,257.1,260.9,279,295.9,308.1,325.1,351.4,382.6,422.1,467.1,492.9,510.6,543.3,573.7,600,612,622.7,652.2,711
"11","    Old-age, survivors, and disability insurance","4","TRP025",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1,1.9,2.2,3,3.6,4.9,5.7,7.3,8.5,10.2,11.1,12.6,14.3,15.2,16,18.1,19.8,21.1,24.6,26.4,31.4,36.6,40.9,50.7,57.6,65.9,74.5,83.2,91.4,102.6,118.6,138.6,153.7,164.4,173,183.3,193.6,201,213.9,227.4,244.1,264.2,281.8,297.9,312.1,327.7,342,356.6,369.3,379.9,401.4,425.2
"12","    Hospital and supplementary medical insurance","5","TRP050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.3,5.6,6.5,7.1,7.8,8.6,9.7,12.5,15.5,18.4,21.7,24.9,29.2,35.6,43.3,50.8,57.2,62.6,70.1,75.6,81.9,86.5,97.8,107.9,118.2,132.2,146.5,160.9,180.3,195.6,209.2,208.8,208.1,215.8,239.1
"13","    Unemployment insurance","6","A1589C",NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.5,0.4,0.4,0.1,0.1,0.6,2.6,1.6,1.3,2.2,1.5,0.9,1.1,1.1,2.3,1.6,1.6,1.9,4.2,2.9,3.1,4.4,3.2,3.1,2.8,2.4,1.9,2.2,2.2,2.3,4.2,6.2,6,4.6,7,18.1,16.4,13.1,9.4,9.7,16.1,15.9,25.2,26.4,16,15.9,16.5,14.6,13.3,14.4,18.2,26.8,39.6,34.8,24,21.8,22.4,20.1,19.7,20.5,20.7,32.1
"14","      State","7","L31107",NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.5,0.3,0.3,0.1,0.1,0.4,1.1,0.8,0.8,1.7,1.4,0.8,1,1,2,1.3,1.4,1.7,3.8,2.4,2.7,4,2.9,2.8,2.5,2.1,1.8,2.1,2,2.1,3.8,5.6,5.5,4.2,6.6,16.5,14.3,11.5,8.6,9.1,15.3,15.1,23.4,20.1,13.2,14.6,16,14.2,12.9,14,17.7,25.4,24.8,21.6,21.5,21.1,21.7,19.5,19.2,20,20.2,31.6
"15","      Railroad employees","8","TRP200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"16","      Federal employees","9","TRP150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,1.5,0.8,0.4,0.4,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.5,0.3,0.4,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.2,1.3,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.5
"17","      Special unemployment benefits","10","B1590C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.7,0.2,0,0,0,1.1,5.5,2.3,0.8,0,0,0,0,0,0.8,13.5,11.9,1.7,NA,NA,NA,NA,NA,NA,NA
"18","    Railroad retirement","11","TRP250",NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.2,1.3,1.5,1.5,1.7,2,2.2,2.6,2.8,3.3,3.6,3.8,4,4.3,4.8,5.3,5.8,6,6.1,6.2,6.4,6.5,6.7,7,7.2,7.5,7.7,7.8,8,8,8.1,8.2,8.2,8.2,8.3,8.4
"19","    Pension benefit guaranty","12","B1044C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.5,0.6,0.9,0.9,1.1,1,1.2
