"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2005) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2009 11:17:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERX0",6079008,6291158,6523395,6865472,7240943,7608112,7813888,8021905,8247559,8532731,8818999,9073500,9313943,9290883
"9","2","Goods","DGDSRX0",1898594,1983610,2078193,2218594,2395306,2521663,2600869,2706576,2829850,2955285,3073917,3173862,3273685,3205973
"10","3","  Durable goods","DDURRX0",511639,549831,594720,667191,753781,819906,864413,930049,986132,1051025,1105493,1150416,1199936,1146310
"11","4","    Motor vehicles and parts","DMOTRX0",255612,268008,286134,316053,345146,356128,374328,394036,405282,411319,409647,396633,402375,347464
"12","5","      New motor vehicles (55)","DNMVRX0",144650,147195,155059,172343,192341,202823,222621,239623,251164,253675,248894,234558,237285,190528
"13","6","        New autos","DNEARX0",79620,78057,78518,83493,92480,97140,96186,94602,91652,92785,97448,99083,95480,85308
"14","7","          New domestic autos","DNDCRX0",54695,54298,51164,54788,60083,63638,64081,63283,60703,59800,63204,62293,59789,52679
"15","8","          New foreign autos","DNFCRX0",24925,23760,27354,28705,32398,33502,32106,31319,30948,32985,34244,36790,35691,32630
"16","9","        New light trucks","DNWTRX0",65027,69201,76653,88987,100009,105835,126493,145034,159487,160866,151447,135379,141862,104842
"17","10","      Net purchases of used motor vehicles (56)","DNPVRX0",74115,81686,90188,101888,108805,108522,108159,111054,109516,111351,112707,113416,116273,110088
"18","11","        Used autos","DNPURX0",51767,53724,56252,60139,60506,59440,57491,56985,55216,54941,55674,54246,51752,48885
"19","12","          Net transactions in used autos","DNETRX0",26959,28540,31051,34787,35074,33553,30681,33225,31532,31135,31428,30199,27994,25578
"20","13","          Used auto margin","DMARRX0",27441,27575,27206,26912,26921,27550,29062,25342,25378,25568,25981,25725,25379,24867
"21","14","          Employee reimbursement","DREERX0",-1973,-1947,-1881,-1814,-1768,-1717,-1788,-1694,-1713,-1761,-1735,-1676,-1628,-1572
"22","15","        Used light trucks","DUTRRX0",22544,28128,34095,41904,48416,49182,50726,54092,54309,56410,57033,59168,64514,61195
"23","16","          Net transactions in used trucks","DUTNRX0",12591,16535,20905,27156,32218,32457,33274,36897,35809,37235,38015,40049,44655,43062
"24","17","          Used truck margin","DUTMRX0",10818,12268,13700,14939,16179,16782,17572,17037,18500,19173,19018,19117,19873,18157
"25","18","      Motor vehicle parts and accessories (58)","DMVPRX0",37649,40144,41954,42680,44618,45240,43597,43281,44523,46244,48046,48593,48781,46309
"26","19","        Tires","DTATRX0",16014,16506,16668,16661,16854,16822,16604,16633,17614,18809,20209,21085,21797,21629
"27","20","        Accessories and parts","DPAARX0",21555,23589,25267,26013,27776,28435,27000,26652,26907,27434,27836,27510,26991,24702
"28","21","    Furnishings and durable household equipment","DFDHRX0",133034,138798,145300,157282,175517,192444,202229,216969,230627,249310,263892,277948,283620,275499
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",75931,79931,85013,91722,101573,111739,116480,124309,131310,142697,152838,161101,165270,159905
"30","23","        Furniture","DFNRRX0",46596,49373,53363,57869,63648,70383,73469,78509,81370,87428,93300,96216,97819,93849
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11595,12495,13270,13964,15597,17464,18308,19754,22158,24669,27035,31529,35300,36679
"32","25","        Carpets and other floor coverings","DFLRRX0",13430,13042,12833,13812,15586,16722,16833,17449,18554,20424,21269,21724,20921,19048
"33","26","        Window coverings","DWCTRX0",4985,5414,5780,6399,7108,7480,8091,8759,9267,10200,11234,11800,11857,11464
"34","27","      Household appliances (part of 33)","DAPPRX0",23843,24085,23960,26195,29575,32203,34011,36168,38338,42128,43383,44169,43453,42300
"35","28","        Major household appliances","DMHARX0",21013,21139,21064,23231,26354,28803,30431,32354,34209,37625,38554,39045,38088,36715
"36","29","        Small electric household appliances","DSEARX0",2783,2883,2840,2937,3213,3407,3589,3823,4131,4508,4829,5128,5389,5644
"37","30","      Glassware, tableware, and household utensils (34)","DUTERX0",20597,21743,22689,24486,28171,31517,34098,38105,41117,43130,45361,49570,51889,50343
"38","31","        Dishes and flatware","DCHNRX0",9838,10094,10366,11302,13275,15356,17167,19750,21185,22216,23546,26465,28681,28190
"39","32","        Nonelectric cookware and tableware","DNECRX0",10816,11735,12427,13286,14982,16209,16949,18353,19935,20916,21816,23129,23333,22328
"40","33","      Tools and equipment for house and garden (35)","DTOORX0",12840,13208,13825,15092,16369,17073,17696,18388,19887,21382,22310,23162,23206,23110
"41","34","        Tools, hardware, and supplies","DHDWRX0",10806,11008,11456,12599,13782,14375,14980,15686,16988,18237,18964,19652,19556,19208
"42","35","        Outdoor equipment and supplies","DLWNRX0",2022,2182,2348,2476,2577,2689,2710,2703,2902,3146,3346,3510,3653,3911
"43","36","    Recreational goods and vehicles","DREQRX0",75603,87303,100883,121186,147043,172657,189811,212872,236960,269433,303352,343228,382437,403001
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",24382,30118,37112,48358,62492,76698,88700,105061,119953,141721,167743,199761,232056,258653
"45","38","        Video and audio equipment","DVAARX0",31043,33326,34906,41218,49881,59127,66281,74945,81235,93536,107766,125825,143681,159105
"46","39","          Televisions","DTVSRX0",4778,4970,4998,5664,6845,8397,9912,11851,14709,18789,23543,32148,43287,53989
"47","40","          Other video equipment","DOVARX0",2796,3034,3172,4042,5521,7616,9825,12022,14335,17120,19599,22725,26016,31387
"48","41","          Audio equipment","DAUDRX0",8494,9021,9394,10512,12083,13422,14087,15335,16543,19231,24324,27850,30077,30178
"49","42","          Recording media","DRECRX0",17361,19014,20445,24544,28916,32521,34456,37269,36172,38531,40301,43394,46046,48088
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",14978,16461,17806,19221,20063,20542,19856,19755,18914,19617,19934,20716,21440,22343
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",3815,4142,4386,6698,9749,12549,14880,17592,17308,18932,20367,22695,24664,25811
"52","45","        Photographic equipment","DCAMRX0",1674,1770,1869,2000,2197,2370,2453,2627,2953,3439,4034,4813,6199,7199
"53","46","        Information processing equipment","DIPERX0",1994,3361,5654,8889,13101,17345,21531,28318,36006,44824,55943,69181,82366,92624
"54","47","          Personal computers and peripheral equipment","DCPPRX0",960,1648,2812,4616,7211,9937,13130,18145,24195,30699,39597,50236,60999,70501
"55","48","          Computer software and accessories","DCPSRX0",1306,2223,3780,5226,6451,7598,8026,9384,10676,12723,14694,17128,19496,20599
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",377,359,354,475,662,863,962,1116,1250,1460,1652,1879,2086,2115
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",22108,23456,24474,27117,31400,36100,38936,41728,44388,48283,52228,57556,62215,62545
"58","51","      Sports and recreational vehicles (79)","DWHLRX0",24027,25505,27771,30506,33113,35664,35627,36982,41448,45738,47741,48519,50328,47730
"59","52","        Motorcycles","DMCYRX0",4386,4693,4968,5918,6707,8068,9373,9705,11642,13513,14228,15054,16403,17052
"60","53","        Bicycles and accessories","DBCYRX0",3095,3186,3272,3236,3165,3117,3037,2988,3132,3282,3414,3587,3806,3872
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",16520,17601,19500,21321,23211,24462,23222,24295,26680,28944,30099,29890,30172,26952
"62","55","          Pleasure boats","DBOARX0",6605,7469,8673,9195,10107,11009,10712,11021,11885,12911,13627,14274,14468,13680
"63","56","          Pleasure aircraft","DAIRRX0",949,948,984,1067,1061,1125,1012,968,1017,1141,1219,1247,1353,1345
"64","57","          Other recreational vehicles","DREVRX0",8966,9184,9843,11059,12043,12328,11498,12307,13778,14892,15253,14368,14351,11925
"65","58","      Recreational books (part of 90)","DRBKRX0",17900,19062,20480,21137,23379,25195,25239,25649,27101,28487,29845,31636,33142,33243
"66","59","      Musical instruments (part of 80)","DMSCRX0",2828,2956,3105,3380,3864,4680,4816,5063,5110,5593,5795,6314,6758,6367
"67","60","    Other durable goods","DODGRX0",70221,74886,78635,86360,96666,105255,102994,109803,115516,121705,128601,133375,134506,128047
"68","61","      Jewelry and watches (part of 119)","DJRYRX0",29861,32648,33983,37621,42143,45739,44296,46990,50395,53331,56194,58212,57268,52107
"69","62","        Jewelry","DJLYRX0",26471,29084,30347,33421,37224,40433,39040,41154,44182,46830,49571,51295,50256,45518
"70","63","        Watches","DWTCRX0",3381,3547,3617,4186,4912,5298,5251,5842,6216,6503,6623,6917,7022,6621
"71","64","      Therapeutic appliances and equipment (42)","DTAERX0",24013,25881,28023,30350,32104,34051,33051,35269,36148,37021,38236,39299,41534,42454
"72","65","        Therapeutic medical equipment","DTMERX0",7456,7838,8373,9743,11052,12431,13206,14021,14575,15448,16208,17247,18397,19832
"73","66","        Corrective eyeglasses and contact lenses","DEYERX0",16740,18262,19899,20809,21192,21708,19863,21270,21590,21575,22028,22057,23145,22662
"74","67","      Educational books (96)","DEBKRX0",11478,11187,11167,11422,11966,11814,11404,11175,11061,10800,10235,9612,9060,8374
"75","68","      Luggage and similar personal items (part of 119)","DLUGRX0",6543,6622,6933,7881,9928,11649,11255,12371,12935,14145,16393,17312,16689,14908
"76","69","      Telephone and facsimile equipment (67)","DTCERX0",1562,1664,1750,2015,2616,3323,3920,4599,5346,6523,7543,9025,10326,11171
"77","70","  Nondurable goods","DNDGRX0",1437815,1479365,1522887,1580347,1660862,1714717,1745609,1780246,1845648,1904570,1968425,2023630,2074811,2057256
"78","71","    Food and beverages purchased for off-premises consumption","DFXARX0",548515,554024,558850,565548,587384,600605,607609,609025,622407,639228,665015,686245,700678,700731
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",481860,484624,487133,491352,509949,519142,524478,525629,536991,549348,569535,583928,594534,593501
"80","73","        Food purchased for off-premises consumption","DFOFRX0",426006,426626,428540,432007,448828,457948,462212,463026,472215,482237,499708,511947,521593,521091
"81","74","          Cereals and bakery products","DCBPRX0",75479,76638,78099,80560,85460,89535,92683,94401,94881,96703,100335,102652,103343,100057
"82","75","            Cereals","DGRARX0",26589,27543,28332,28002,28304,28580,28561,27801,27777,28464,29714,30606,30646,29254
"83","76","            Bakery products","DBAKRX0",48605,48722,49356,52255,56963,60840,64063,66598,67108,68241,70622,72049,72695,70789
"84","77","          Meats and poultry","DMAPRX0",109073,107313,105752,108423,112393,111045,109123,108426,109887,110101,113897,116747,118945,122350
"85","78","            Beef and veal","DBEERX0",35869,35495,33764,34388,35227,34224,32636,32904,31347,30334,31875,32260,32497,32446
"86","79","            Pork","DPORRX0",22622,21011,20061,21155,22195,20961,20450,20283,21145,21339,21664,22024,22617,23308
"87","80","            Other meats","DMEARX0",17860,18002,18070,18598,19308,19489,19629,19183,19926,20514,21033,21461,22055,22618
"88","81","            Poultry","DPOURX0",33393,33501,34334,34717,36041,36644,36564,36262,37503,37913,39324,41011,41789,44010
"89","82","          Fish and seafood","DFISRX0",8607,8701,8510,8542,8875,8995,9332,9643,9926,10316,10733,10795,10826,10621
"90","83","          Milk, dairy products, and eggs","DMDERX0",50703,48047,47608,47510,48106,49523,49580,49997,51781,52416,54335,56127,56001,55525
"91","84","            Fresh milk","DMILRX0",18320,16728,15890,15809,15674,16213,16083,16608,16974,16420,16679,17147,17083,16963
"92","85","            Processed dairy products","DDAIRX0",27794,27010,26768,26504,26678,27602,27840,27841,29132,30209,31470,32697,33049,32793
"93","86","            Eggs","DGGSRX0",4874,4561,5056,5267,5784,5745,5686,5605,5723,5801,6187,6286,5931,5841
"94","87","          Fats and oils","DFATRX0",11531,11341,11142,10747,10901,11045,10534,10366,11004,11241,11825,12635,12975,12798
"95","88","          Fresh fruits and vegetables","DFAVRX0",42391,44435,45816,45656,49598,52676,54568,54869,55355,56962,59199,59713,61769,61862
"96","89","            Fruit (fresh)","DFRURX0",17053,16735,17151,17633,17847,19609,20351,20748,20786,20749,21972,22212,22870,23130
"97","90","            Vegetables (fresh)","DVEGRX0",25173,27676,28656,27960,31826,33070,34217,34113,34563,36213,37226,37501,38900,38729
"98","91","          Processed fruits and vegetables","DPFVRX0",20108,19788,19613,18869,18825,18677,18120,17054,17619,18153,18643,18464,18739,18277
"99","92","          Sugar and sweets","DSWERX0",32095,31922,31837,31609,32414,32848,33270,32616,33152,34142,34933,35174,35551,35245
"100","93","          Food products, not elsewhere classified","DOFDRX0",76381,78658,80337,80379,82714,83939,85179,85772,88671,92203,95808,99681,103514,104679
