"","Table 4AU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","2","  Durable goods","STMDM0",40003,39394,40326,41102,41502,42773,43607,42630,43296,42809,42827,44470,44427,43178,44127,44147,44354,45949,44997,44166,43501,42828,44783,45641,46240,47918,50760,54116,55077,57454,60142,63199,63773,61638,59956,58522,59661,60339,60995,62063,62458,64309,64407,63643,63141,64648,67035,67250,68833,69362,70163,71709,72431,72186,70563,70552,71425,71115,71870,70906,69352,68227,66721,65127,62552,63153,63862,65427,66956,68619,71139,70813,69924,69600,68885,68833,67265,67592,67276,67553,67470,68266,67480,68188,68972,69755,70936,70901,72581,72352,72953,72668,72711,72926,72891,74170,74297,72417,72886,72914,72264,72870,73161,72159,72666,73190,74240,75097,74838,76123,77450,78978,79603,81420,83242,85090,87298,86814,88619,88512,90256,92356,95127,96632
"12","3","    Lumber and wood products","ST24M0",2902,2902,2559,2776,2737,2602,2697,2731,2800,3110,3435,3430,3544,3592,3549,3559,3670,3941,4158,4037,4150,4194,4059,4028,3763,3871,3913,4058,3762,4065,4553,4241,4086,3895,3925,4045,4203,4348,4359,4445,4619,4725,4354,4484,4605,4620,4641,4574,4528,4553,4601,4896,4822,4990,5034,4896,4981,4921,4979,4735,4478,4533,4310,4325,4316,4316,4600,4679,4724,4753,5025,4838,4784,4641,4677,4841,4887,4883,4974,4960,4965,5150,4743,4805,4970,5033,4837,4868,4864,4824,4958,4727,4568,4602,4628,4709,4778,4395,4478,4467,4534,4738,4592,4425,4313,4589,4897,4957,5053,5200,5081,4911,4666,4614,4873,5017,5186,4957,4886,4926,4790,4831,5008,5132
"13","4","    Furniture and fixtures","ST25M0",1617,1567,1559,1653,1694,1762,1815,1724,1746,1855,1906,1929,1941,1902,1910,2014,1998,2117,2076,2084,2128,2135,2217,2341,2448,2630,2668,2738,2743,2747,2661,2666,2526,2353,2258,2354,2480,2489,2446,2500,2483,2586,2563,2614,2633,2672,2766,2753,2865,2873,2962,2871,2947,2881,2765,2760,2798,2829,2894,2846,2807,2829,2717,2667,2551,2643,2782,2895,2955,3001,3098,3179,3263,3228,3168,3246,3144,3116,3073,3248,3237,3321,3381,3455,3659,3619,3610,3509,3525,3584,3636,3575,3550,3601,3519,3540,3500,3307,3293,3344,3318,3361,3368,3352,3321,3403,3435,3407,3475,3488,3591,3580,3655,3581,3498,3517,3463,3435,3492,3506,3495,3625,3618,3666
"14","5","    Stone, clay, and glass products","ST32M0",1905,1911,1861,1867,1839,1801,1883,1986,2099,2172,2105,2063,2103,2054,2181,2239,2093,2200,2140,2071,2117,2135,2184,2175,2166,2269,2453,2712,2973,3240,3425,3535,3616,3616,3507,3529,3590,3466,3472,3530,3668,3766,3870,3857,3854,3903,4088,4091,4011,4024,3852,4017,4001,3948,3782,3941,3932,4006,3975,3827,3812,3635,3519,3454,3483,3407,3449,3460,3465,3585,3756,3712,3631,3723,3695,3641,3593,3652,3603,3614,3677,3578,3520,3576,3588,3613,3619,3591,3677,3603,3613,3649,3595,3660,3676,3714,3696,3683,3662,3673,3588,3590,3610,3650,3538,3550,3503,3483,3579,3500,3604,3622,3698,3815,3878,3750,3825,3796,3832,3854,3901,3961,3972,4043
"15","6","    Primary metals","ST33M0",9710,10001,9765,9778,9523,9673,9944,9729,9612,9363,9353,9307,9603,9691,10024,10165,10093,10084,10382,10338,10552,10341,10367,10276,9858,9837,10151,10644,10642,11475,12374,13543,14971,15385,15380,15089,15712,15688,15840,16321,16822,16847,16508,15768,14626,14780,14955,14939,14554,14607,14850,15263,15449,15759,15069,14587,15239,14568,15080,15402,15463,14754,13856,13110,12369,12016,11595,12078,11992,12200,12790,11932,11055,10972,10731,10196,9833,9742,9361,9537,9199,8872,8836,9147,9633,9634,9749,9877,9970,10162,10297,10088,10054,10001,9957,9929,10036,9794,9904,9763,9513,9531,9517,9641,9698,9831,9609,9763,9489,9645,9721,9884,9911,9815,9639,9500,9560,9613,9938,9973,10006,10076,10329,10540
"16","7","    Fabricated metals","ST34M0",8613,8342,8476,8839,9445,10713,10744,10630,10109,9526,9271,9490,9652,8593,8920,8669,9164,10659,9965,9172,8082,7628,9183,9070,9768,10116,10907,11456,11983,12810,12962,14057,14509,13523,12619,12252,12233,12186,12783,13075,13037,13767,13625,13174,13234,13449,13763,13839,14134,14262,14319,14177,14141,13723,13036,13118,13196,12870,13158,12839,12261,11959,11815,11297,11003,11106,11447,11421,11693,12011,12102,12131,11848,11563,11626,11745,11799,12151,11636,11579,11499,11559,11627,11867,11858,12057,12124,12167,12643,12191,12408,12007,12063,11861,11974,11719,11991,11344,11383,11202,11087,11360,11355,11310,11281,10942,11295,11678,11161,11475,11940,12249,12238,12575,12237,12076,12612,12350,12459,12639,12848,12820,12959,13267
"17","8","    Industrial machinery","ST35M0",3483,3382,3462,3624,3475,3722,3798,3829,4078,4200,4424,4717,4546,4578,4626,4770,4963,5036,4862,4708,4545,4486,4601,4912,5187,5611,6078,6506,6842,7371,7875,8414,8840,8574,8357,7722,7842,7804,7811,7805,7694,7658,7781,7986,8127,8492,8821,8945,9109,9271,9475,9994,10209,10305,10352,10276,10156,10344,10546,10605,10549,10444,10206,10015,9820,9839,9649,9653,9869,9981,10516,10266,10249,10281,9953,9790,9357,9429,9477,9465,9476,9733,9659,9959,10167,10331,10861,10745,11164,11087,11222,11097,11128,11206,11140,11330,11423,11099,10987,10855,10703,10754,11242,11355,11636,12108,12138,12491,12619,13227,13686,14063,14503,14798,15804,16843,17288,17327,17790,17302,17755,18263,18723,19108
"18","9","    Electronic machinery","ST36M0",2449,2354,2420,2489,2539,2634,2632,2550,2675,2772,2810,2973,2993,2968,2919,2766,2723,2710,2645,2666,2627,2614,2742,2871,3074,3368,3732,4042,4291,4489,4553,4551,4404,4064,3757,3725,3692,3838,3999,4128,4266,4362,4471,4503,4576,4862,5091,5172,5484,5755,5602,5845,6003,6027,6091,6064,6101,6278,6354,6220,5969,5831,5743,5705,5572,5655,5758,6017,6126,6416,6709,6902,6967,6785,6668,6583,6478,6576,6497,6320,6375,6583,6472,6483,6401,6427,6485,6579,6681,6683,6929,7076,7144,7035,6979,6887,6855,6934,7103,7226,7244,7327,7298,7463,7559,7679,7941,7956,8304,8539,8700,9168,9690,10149,10770,10737,10841,11081,11230,11496,11953,12553,13098,13346
"19","10","    Transportation","ST37M0",11787,11409,12616,12567,12976,12927,13348,12319,12468,11632,11159,12412,11819,11146,11640,11602,11370,11555,10947,11077,10953,10599,11285,11527,11328,11558,12192,13325,12557,11895,12552,13458,12573,11959,11971,11756,12125,12663,12455,12655,12311,13560,13871,13434,13354,13534,14755,14502,15591,15123,15892,15944,15773,15354,14351,15032,15515,15156,14859,14146,13357,13487,13407,13344,12169,12887,13318,14037,15147,15124,15491,15947,15415,15770,16090,16754,16309,16296,16841,17093,17231,17020,16657,16388,16424,16862,17014,16430,16657,16563,16101,16545,16116,16603,16717,18281,18036,17369,17388,17274,17037,16739,16507,15143,15498,15041,15210,15116,14551,14533,14579,14429,14039,14396,14244,14990,15619,14932,15166,14964,15111,15363,16107,15998
"20","11","      Motor vehicles","ST371M0",6172,5561,6145,5881,6334,6338,6866,6429,6586,6333,6282,6546,6320,5823,5963,6294,6170,7007,6456,6249,6607,6052,6806,7075,6669,6986,7331,8203,7247,7123,7275,7813,6691,6215,6282,6326,6772,7408,7316,7726,7920,8149,8676,8499,8242,8553,9225,8761,9957,9392,9842,9110,8537,7736,6665,7251,7410,6994,6779,6187,5594,5460,5229,5182,4947,5225,5457,5910,6399,6503,6683,6906,6782,6874,6958,7085,6701,6511,6528,6399,6487,6363,6262,6370,6145,6278,6413,6056,6290,6224,6044,6062,6073,6286,6030,6622,6694,6469,6395,6749,6827,6959,7195,6953,6891,7044,7442,7327,7407,7715,7884,7949,7776,7883,7877,8239,8783,8223,8007,8165,8323,8415,8364,8410
"21","12","      Other","ST37XM0",5591,5759,6370,6549,6540,6492,6424,5848,5848,5288,4888,5831,5475,5288,5632,5292,5183,4581,4511,4829,4372,4553,4504,4482,4678,4599,4888,5157,5335,4801,5308,5679,5921,5784,5730,5469,5387,5279,5162,4943,4390,5434,5203,4938,5125,4984,5538,5766,5629,5741,6060,6893,7327,7745,7843,7927,8260,8331,8251,8142,7954,8233,8398,8381,7404,7857,8058,8322,8955,8815,9005,9241,8815,9090,9336,9899,9853,10049,10607,11018,11067,10982,10709,10302,10591,10907,10919,10695,10678,10652,10361,10810,10346,10626,11024,12026,11692,11234,11332,10841,10513,10066,9580,8422,8853,8222,7986,8007,7342,7007,6879,6657,6435,6691,6541,6935,7024,6891,7352,6985,7066,7201,8054,7785
"22","13","    Instruments","ST38M0",1848,1846,1839,1859,1862,1848,1866,1909,1965,1989,1999,1945,2015,2010,2017,2034,2017,2036,2032,2002,2077,2104,2138,2164,2173,2179,2264,2348,2475,2586,2638,2670,2563,2552,2546,2576,2544,2585,2587,2616,2616,2644,2700,2687,2732,2751,2794,2866,2972,3041,3049,3049,3128,3108,3174,3170,3176,3220,3183,3189,3209,3144,3151,3070,2849,2875,3046,3143,3169,3438,3460,3453,3527,3530,3476,3476,3435,3400,3371,3396,3345,3434,3501,3489,3479,3466,3568,3792,3979,4105,4057,4038,4228,4224,4244,4259,4261,4309,4390,4575,4548,4659,4723,4657,4602,4573,4592,4604,4598,4607,4635,4856,4813,5014,5215,5400,5684,5849,6135,6150,6385,6588,6864,7024
"23","14","    Other manufacturing","ST39M0",1654,1699,1695,1702,1639,1678,1686,1809,2014,2052,2045,2015,2122,2067,2137,2170,2170,2232,2333,2286,2297,2375,2265,2315,2291,2229,2306,2588,2858,2971,3167,3203,2986,2814,2612,2478,2627,2681,2726,2679,2757,2712,2723,2775,2612,2725,2764,2782,2737,2716,2637,2608,2697,2650,2634,2566,2615,2628,2620,2547,2577,2623,2685,2558,2565,2568,2495,2511,2433,2557,2718,2864,2989,2880,2888,2858,2801,2717,2678,2848,2912,3146,2990,2959,2965,3000,3072,3044,2994,2928,3028,2978,3056,3045,3044,3053,3016,2972,3055,3058,3106,3208,3137,3082,3062,3140,3209,3290,3248,2996,3015,3063,2923,3005,2903,2926,2885,2882,3045,3015,3049,3058,3097,3174
"24","15","  Nondurable goods","STMNM0",41656,42182,42785,42588,42453,43239,44147,44427,44241,44812,45534,44938,45095,44702,44321,45381,44813,45079,45398,46426,46677,47589,47928,47766,49566,50455,51010,52024,53084,55151,55884,56218,55644,53773,53705,56195,56326,57250,58663,59477,59797,61279,62060,61035,60811,61247,61287,61819,62024,61215,61800,61536,63195,63611,62387,62257,62348,62089,62378,62544,62900,63176,62805,62561,61597,62198,62799,63396,64090,64987,65961,64621,64219,64464,62963,63762,63539,63815,63696,64778,64686,65669,66654,66790,67970,68480,68761,68545,68010,68379,68875,69157,69905,69719,70216,70467,71484,71374,71740,72911,72940,73327,73852,74056,74079,75133,74735,74879,74759,75056,75958,76361,77578,78146,77776,76980,76340,75378,75389,75788,77236,77915,78296,78709
"25","16","    Food and kindred products","ST20M0",9169,9186,9332,9470,9289,9311,9788,9622,9258,9617,9682,9336,9203,8963,9005,9588,9123,9078,9440,9753,9978,10326,9986,9676,10177,10252,10401,10331,10219,10486,10151,10047,10052,9756,9991,11134,10934,11221,11841,12374,12841,13462,13791,12247,12042,12089,11951,11870,11927,11693,11712,12272,12398,12530,12169,12192,11968,11856,12297,12009,11818,12024,11825,11954,12082,11511,12155,11837,11824,11581,11475,11668,11635,11965,11889,12006,11740,11953,12029,12082,12260,12539,12930,12674,12810,13106,12840,12766,12637,12380,12532,12830,12788,12804,13213,13216,13392,13675,13912,13853,14209,14168,14119,14120,14090,14496,14025,13920,13815,14086,14395,14231,14302,14274,14337,14165,13963,13345,13450,13659,13772,13799,14120,14016
"26","17","    Tobacco products","ST21M0",6772,6813,6874,6873,6758,6677,6404,6435,6327,6390,6413,6133,6059,5968,5813,5573,5538,5453,5346,5510,5572,5586,5794,6009,5798,5955,6007,6017,6216,6317,6450,6988,7059,7172,7059,7398,7640,7541,7641,7392,7309,7314,7372,7247,7020,6912,6719,6927,6842,6846,6610,6237,6250,6278,6430,6176,6307,5920,6227,6606,7030,7761,7684,7768,7323,7767,7767,7403,7005,6870,7116,6963,6714,6535,6439,6375,6286,6001,5690,6189,6199,6494,6279,5992,5964,5836,5815,5783,5591,5743,5949,6145,6193,6086,6049,6103,6231,6293,6289,6438,6392,6542,6713,6563,6510,6527,6596,6367,6307,6204,5922,5789,5812,5884,6058,6052,6123,6030,6091,6219,6302,6387,6340,6176
"27","18","    Textile mill products","ST22M0",1944,1925,1970,2043,2146,2232,2255,2266,2140,2163,2159,2100,2077,2065,2052,2102,2210,2290,2411,2375,2486,2464,2423,2462,2823,2898,2719,2686,2848,2862,2948,2768,2450,2307,2426,2590,2571,2513,2523,2526,2652,2831,2760,2705,2657,2637,2696,2606,2581,2514,2539,2568,2688,2626,2391,2580,2633,2583,2472,2372,2225,2076,2069,2026,2048,2174,2359,2378,2438,2489,2386,2262,2245,2149,2181,2221,2324,2463,2226,2347,2369,2423,2539,2538,2592,2539,2527,2519,2400,2508,2528,2498,2492,2511,2551,2532,2548,2499,2532,2655,2710,2752,2767,2700,2666,2694,2718,2773,2897,2900,2946,2998,2923,2969,2913,2865,2765,2776,2806,2943,3092,3039,3060,3054
"28","19","    Apparel products","ST23M0",2049,2121,2264,2017,1978,2214,2286,2310,2407,2241,2287,2470,2513,2586,2584,2597,2604,2684,2656,2760,2486,2742,2943,2954,3127,3081,2951,3013,2804,2776,2830,2717,2535,2475,2483,2749,3104,3274,3295,3028,2979,2954,2995,3109,3062,3048,3085,3221,3249,2891,3118,3065,3149,3279,3222,3067,3083,3130,3040,3149,3042,3055,2995,2948,2851,2893,2983,3135,3343,3418,3420,3364,3279,3388,3294,3432,3390,3313,3376,3399,3363,3555,3569,3586,3642,3656,3620,3538,3507,3530,3556,3368,3470,3295,3201,3222,3088,3115,3373,3657,3734,3693,3685,3687,3876,4072,4224,4530,4426,4570,4674,4604,4808,4747,4620,4581,4289,4005,3743,3472,3544,3566,3537,3475
"29","20","    Paper and allied products","ST26M0",3711,3679,3549,3470,3549,3567,3494,3481,3398,3410,3503,3573,3883,4043,4121,4185,4013,4103,4087,4135,4111,4161,4196,4076,4082,4131,4248,4500,4711,5316,5702,6078,6161,5748,5677,5648,5746,5781,5733,5747,5753,5949,5943,5881,5896,5955,5968,6076,6111,6234,6335,6379,6608,6890,6718,6534,6733,6678,6805,6710,6750,6564,6506,6665,6493,6595,6733,6957,7135,7514,7585,7547,7488,7391,7265,7505,7794,7749,7804,7816,8061,8103,8187,8234,8187,8272,8396,8381,8203,8327,8521,8523,8551,8702,8566,8614,8706,8661,8690,9010,9084,9053,9041,9010,9087,8972,8965,8920,8921,8949,9119,9074,9243,9491,9389,9209,9148,9129,9134,9149,9440,9096,9154,9400
"30","21","    Printing and publishing","ST27M0",2646,2736,2702,2710,2650,2750,2869,3028,3254,3258,3415,3219,3246,3112,3037,3064,3037,3044,2888,2994,2925,2928,2960,2979,3192,3244,3421,3657,3741,3845,3950,4097,4148,3934,3860,3706,3485,3672,3782,3952,3822,3862,3884,4200,4279,4341,4223,4325,4335,4370,4569,4564,4762,4836,4753,4595,4640,4742,4791,4722,4863,4789,4601,4578,4352,4318,4362,4631,4658,4902,5249,5090,5414,5401,5384,4906,4786,4712,4723,4812,4821,4757,4760,4996,5019,5189,5371,5382,5300,5319,5180,5116,5121,5113,5184,5218,5533,5185,4968,4865,4610,4570,4691,4769,4817,5009,4859,4627,4490,4470,4501,4780,4996,5171,5256,5045,5010,4899,4745,4832,4942,5008,4875,5149
"31","22","    Chemical and allied products","ST28M0",7463,7627,7653,7724,7775,7877,8173,8347,8561,8906,9117,9152,9057,9037,9013,9350,9439,9579,9589,9617,9715,9778,9998,9925,10093,10392,10407,11006,11562,12096,12444,12758,12566,12230,11926,11893,11607,11367,11736,12095,11895,12169,12551,12793,12851,13362,13615,13723,13916,13948,13733,13722,14712,14350,13900,14276,14022,14097,13984,13936,13708,13607,13618,13044,12916,12767,13093,13636,13848,14301,14286,14171,14279,14473,14175,14223,13779,14593,14898,14951,14665,14437,14763,15003,15474,15435,15422,15562,15820,15943,16167,16207,16293,16397,16717,16823,16975,17076,16956,16978,17089,17326,17294,17517,17492,17478,17532,17542,17640,17521,17658,17977,17825,18104,18062,18325,18413,18656,18806,18913,19220,19653,20097,19916
"32","23","    Petroleum products","ST29M0",2788,2825,3198,3078,3150,3223,3567,3543,3695,3591,3545,3695,3921,4013,3797,3943,3692,3628,3699,3811,3822,3831,3831,3961,3803,3474,3950,3695,3776,4600,5095,4725,5128,5112,5008,5208,5177,5306,5325,5886,6115,6166,6128,6346,6545,6534,6600,6557,6452,6147,6409,6081,5908,6061,6543,6377,6411,6577,6124,6467,7289,7235,7483,7468,7675,7976,6913,6765,6909,7077,7400,6746,6548,6410,5628,6312,6550,6376,6444,6584,6044,6043,6430,6609,7444,7405,7524,7197,7042,7234,6847,7144,7840,7616,6932,7166,7565,7738,7987,8132,7699,7652,7979,8157,8080,8192,7949,8393,8292,8509,8659,8657,9339,8717,8338,8117,8038,7931,8090,7876,8298,8195,8035,8352
"33","24","    Rubber and plastic products","ST30M0",2118,2269,2331,2251,2220,2296,2278,2385,2407,2438,2649,2649,2662,2636,2555,2606,2675,2667,2633,2812,2960,2944,3037,3129,3158,3512,3864,4159,4545,4669,4590,4514,4358,4037,3997,4127,4210,4608,4743,4720,4677,4668,4774,4885,4945,4924,5122,5171,5275,5362,5417,5179,5310,5215,4844,5065,5188,5130,5236,5103,4699,4529,4567,4665,4549,4829,4880,5157,5467,5460,5693,5429,5271,5456,5262,5498,5660,5521,5546,5545,5574,5816,5856,5904,5991,6220,6343,6373,6480,6430,6511,6448,6524,6487,6838,6814,6818,6731,6720,6892,6809,6962,7070,7111,6991,7132,7212,7371,7572,7503,7767,7930,8209,8254,8090,7981,8040,8194,8274,8366,8380,8409,8506,8711
"34","25","    Leather and leather products","ST31M0",948,976,971,972,986,981,1038,1010,1042,1028,952,988,1037,952,893,920,894,859,863,846,829,884,854,784,901,933,919,925,972,937,906,843,808,658,719,811,813,847,826,810,794,828,797,820,879,862,800,795,777,753,829,805,770,840,757,806,768,771,872,906,867,881,853,841,774,800,816,846,875,843,835,819,760,727,741,762,795,719,703,715,706,757,751,748,741,668,788,799,831,810,758,736,766,782,843,694,636,575,544,595,600,609,579,623,570,591,565,581,571,572,606,599,619,628,614,576,568,541,533,549,525,559,568,580
