"","Table 6#21C# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:30:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Undistributed corporate profits","B057RC0",80346,118374,86411,97201,106112,137686,145059,170167,212054,211546,225137,123068,184333,129506
"9","2","Domestic industries","A3402C0",49039,93284,50882,46087,53970,92630,88711,130367,151879,149966,164791,62576,104514,13299
"10","3","  Agriculture, forestry, and fishing","A3403C0",1081,250,211,-55,-375,62,143,-601,-375,675,150,-665,507,356
"11","4","    Farms","B3404C0",312,-239,81,-188,-458,-307,19,-842,-761,79,-332,-1336,-914,-862
"12","5","    Agricultural services, forestry, and fishing","B3405C0",769,489,129,132,83,369,123,241,385,595,483,670,1422,1218
"13","6","  Mining","A3406C0",-4750,-3407,-3823,-2944,-3892,-1166,-2116,-150,-211,3373,4749,-4292,-3434,4019
"14","7","    Metal mining","B3407C0",-1411,-227,-776,-619,-895,-491,-689,-66,-595,-1465,-1012,-1047,-1077,-1183
"15","8","    Coal mining","B3408C0",2,-13,-144,-79,-132,-98,-329,-14,-290,-22,-766,-682,-602,-463
"16","9","    Oil and gas extraction","B3409C0",-3428,-3333,-2968,-2230,-2954,-679,-721,-531,478,4838,6151,-1876,632,7032
"17","10","    Nonmetallic minerals, except fuels","B3410C0",87,166,65,-16,88,101,-377,461,197,23,376,-686,-2388,-1368
"18","11","  Construction","B3411C0",7455,8476,6378,5717,2648,2618,3881,6553,8209,11478,11778,16325,18836,17254
"19","12","  Manufacturing","A3412C0",20778,49512,24890,18571,-584,751,6170,33074,51179,41965,47851,8010,28627,12589
"20","13","    Durable goods","A3413C0",14603,30391,20508,12727,2563,7057,13906,28648,28049,27625,33226,15022,16424,2407
"21","14","      Lumber and wood products","B3414C0",2950,2234,2169,733,-207,1456,2377,2188,2643,996,901,1221,1252,-877
"22","15","      Furniture and fixtures","B3415C0",807,517,94,244,490,731,990,953,894,1526,1366,1870,1869,1374
"23","16","      Stone, clay, and glass products","B3416C0",1154,611,33,572,-260,183,719,2035,2815,2035,3920,3930,4691,3403
"24","17","      Primary metal industries","B3417C0",2170,4898,2670,371,-1390,-2900,-1692,711,3867,1987,2976,2824,-309,-148
"25","18","      Fabricated metal products","B3418C0",3363,3848,2981,2760,1678,2829,3747,6082,5790,6233,8126,6334,6179,6436
"26","19","      Industrial machinery and equipment","B3419C0",982,9711,10297,9121,2333,2213,511,1439,6057,7232,8256,9884,2524,9550
"27","20","      Electronic and other electric equipment","B3420C0",236,2813,1814,449,2083,1023,4492,9426,8883,3877,4961,-5040,-5855,-12718
"28","21","      Motor vehicles and equipment","B3421C0",-1055,2637,-1390,-6180,-7978,-4577,765,2750,-6065,-2278,-3460,-9487,-1272,-10521
"29","22","      Other transportation equipment","B3422C0",3839,1611,628,2169,3745,3838,1423,1692,1493,2533,3389,2598,5474,4153
"30","23","      Instruments and related products","B3423C0",-241,897,698,1788,1416,1096,-870,-246,88,2433,1709,303,381,525
"31","24","      Miscellaneous manufacturing industries","B3424C0",397,615,515,699,654,1165,1444,1618,1584,1050,1084,586,1489,1230
"32","25","    Nondurable goods","A3425C0",6175,19120,4382,5844,-3148,-6306,-7736,4426,23131,14340,14624,-7012,12202,10182
"33","26","      Food and kindred products","B3426C0",1828,3464,242,3478,3744,4151,2083,3819,10738,-51,-1364,-3915,6803,6169
"34","27","      Tobacco products","B3427C0",727,2759,-1052,884,220,305,1333,1078,1453,1930,2489,1696,4065,1087
"35","28","      Textile mill products","B3428C0",1072,513,123,363,385,1641,963,939,419,538,923,780,885,106
"36","29","      Apparel and other textile products","B3429C0",857,1036,854,630,851,849,1096,1336,658,651,986,605,325,1001
"37","30","      Paper and allied products","B3430C0",3038,5102,3034,1513,403,-684,115,1396,7468,2675,517,293,2070,3437
"38","31","      Printing and publishing","B3431C0",2459,2209,216,-110,2358,2918,3022,4463,2637,2104,2605,3270,7292,1829
"39","32","      Chemicals and allied products","B3432C0",1833,2118,-562,-4557,-5310,-5324,-6867,-263,1176,-2157,1563,-7383,-5254,-15092
"40","33","      Petroleum and coal products","B3433C0",-7060,595,-72,3128,-6834,-11543,-10992,-9629,-3339,5828,3925,-5369,-5914,12083
"41","34","      Rubber and miscellaneous plastics products","B3434C0",1138,998,1289,198,744,1100,1420,1444,1701,2711,2809,2860,1814,-491
"42","35","      Leather and leather products","B3435C0",284,325,310,316,291,281,90,-157,218,112,171,152,115,52
