"","Table 6#8D# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:29:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Persons engaged in production \1\","A4601C0",128099,130449,133246,133318,131976,131724,132975,135232,137633,138850,137820,130843
"9","2","Domestic industries","A4602C0",128500,130890,133642,133859,132525,132316,133603,135897,138319,139575,138568,131634
"10","3","  Private industries","A4603C0",109799,112046,114516,114442,112682,112444,113747,116025,118369,119366,118100,111160
"11","4","    Agriculture, forestry, fishing, and hunting","N4604C0",2180,2183,2166,2093,2098,2072,2030,1992,2022,1953,1944,1894
"12","5","      Farms \2\","N4605C0",1622,1643,1631,1629,1654,1611,1553,1524,1450,1403,1394,1383
"13","6","      Forestry, fishing, and related activities","N4606C0",558,540,535,464,444,461,476,468,572,550,550,512
"14","7","    Mining","N4607C0",568,529,520,547,514,501,525,560,616,667,718,649
"15","8","      Oil and gas extraction","N4608C0",140,129,125,127,123,120,123,127,133,145,159,161
"16","9","      Mining, except oil and gas","N4609C0",241,231,218,219,209,198,205,210,218,221,225,208
"17","10","      Support activities for mining","N4610C0",187,170,176,201,181,183,198,223,264,301,334,280
"18","11","    Utilities","N4611C0",598,594,592,592,580,559,553,542,543,545,554,555
"19","12","    Construction","N4612C0",7773,8094,8397,8512,8366,8480,8888,9183,9561,9521,9005,7652
"20","13","    Manufacturing","N4613C0",17574,17372,17272,16476,15291,14541,14340,14275,14228,13952,13456,11850
"21","14","      Durable goods","N4614C0",10992,10895,10921,10400,9528,9013,8975,9027,9047,8871,8526,7300
"22","15","        Wood products","N4615C0",623,640,629,594,573,546,562,574,565,534,475,372
"23","16","        Nonmetallic mineral products","N4616C0",548,554,565,551,526,502,504,510,522,510,469,391
"24","17","        Primary metals","N4617C0",638,619,613,562,502,485,479,464,462,448,435,356
"25","18","        Fabricated metal products","N4618C0",1750,1743,1761,1673,1547,1465,1477,1529,1560,1559,1524,1308
"26","19","        Machinery","N4619C0",1494,1452,1443,1358,1218,1143,1134,1155,1173,1184,1180,1005
"27","20","        Computer and electronic products","N4620C0",1812,1737,1784,1735,1483,1341,1309,1296,1294,1264,1240,1126
"28","21","        Electrical equipment, appliances, and components","N4621C0",601,591,597,558,495,456,439,431,428,424,418,366
"29","22","        Motor vehicles, bodies and trailers, and parts","N4622C0",1269,1311,1312,1214,1157,1116,1112,1099,1069,993,884,674
"30","23","        Other transportation equipment","N4623C0",804,779,743,726,679,647,652,675,693,713,727,674
"31","24","        Furniture and related products","N4624C0",670,691,700,672,627,603,600,592,581,553,501,408
"32","25","        Miscellaneous manufacturing","N4625C0",782,776,774,757,722,708,707,702,701,690,674,619
"33","26","      Nondurable goods","N4626C0",6582,6477,6351,6076,5763,5528,5364,5248,5181,5081,4930,4550
"34","27","        Food and beverage and tobacco products","N4627C0",1747,1762,1753,1743,1716,1689,1673,1648,1651,1648,1649,1615
"35","28","        Textile mills and textile product mills","N4628C0",657,624,603,531,492,453,418,386,362,350,321,265
"36","29","        Apparel and leather and allied products","N4629C0",724,639,565,499,426,371,334,311,294,270,242,217
"37","30","        Paper products","N4630C0",624,610,599,566,533,504,486,471,461,447,430,395
"38","31","        Printing and related support activities","N4631C0",809,802,793,789,728,697,678,658,648,646,606,535
"39","32","        Petroleum and coal products","N4632C0",122,124,121,118,117,113,109,110,111,114,116,113
"40","33","        Chemical products","N4633C0",980,977,973,948,912,891,874,871,865,853,844,789
"41","34","        Plastics and rubber products","N4634C0",918,939,943,882,839,810,793,791,789,752,722,620
"42","35","    Wholesale trade","N4635C0",5564,5679,5782,5757,5630,5641,5674,5826,5940,6022,5988,5583
"43","36","      Durable goods","N4636C0",3291,3367,3441,3410,3277,3266,3292,3392,3474,3520,3495,3200
"44","37","      Nondurable goods","N4637C0",2274,2311,2341,2347,2353,2375,2383,2434,2466,2501,2493,2383
"45","38","    Retail trade","N4638C0",13295,13627,13999,14401,14213,14167,14203,14505,14532,14657,14368,13503
"46","39","      Motor vehicle and parts dealers","N4639C0",1567,1612,1665,1732,1737,1752,1771,1793,1781,1774,1701,1501
"47","40","      Food and beverage stores","N4640C0",2606,2645,2668,2729,2677,2615,2568,2584,2583,2614,2636,2554
"48","41","      General merchandise stores","N4641C0",2240,2291,2377,2482,2463,2463,2498,2589,2607,2661,2675,2602
"49","42","      Other retail \3\","N4642C0",6882,7079,7288,7458,7336,7336,7367,7539,7561,7608,7357,6846
"50","43","    Transportation and warehousing","N4643C0",4402,4477,4563,4569,4430,4378,4497,4636,4705,4748,4725,4410
"51","44","      Air transportation","N4644C0",532,554,577,588,537,505,491,481,462,469,475,439
"52","45","      Rail transportation","N4645C0",212,207,198,192,186,182,182,190,193,192,190,176
"53","46","      Water transportation","N4646C0",50,50,50,52,52,53,54,59,59,62,63,63
"54","47","      Truck transportation","N4647C0",1560,1584,1611,1583,1560,1532,1605,1651,1684,1686,1612,1473
"55","48","      Transit and ground passenger transportation","N4648C0",413,422,419,424,427,427,432,455,464,468,479,482
"56","49","      Pipeline transportation","N4649C0",48,45,44,43,41,39,36,36,38,40,39,39
"57","50","      Other transportation and support activities \4\","N4650C0",1126,1142,1173,1191,1125,1124,1149,1181,1193,1198,1226,1133
