"","Table 5#8#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:27:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Gross government fixed investment \1\","A782RC1",252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,495.5,503.4
"9","2","        Federal","A787RC1",73.4,76.4,81.6,80.1,81.5,90.1,96.2,103.3,110.5,120.7,127.4,145.3,152.4
"10","3","          National defense","A788RC1",45.3,45.8,48.2,49.2,50.9,57,62.8,69.6,74.2,81,86.9,101.7,107.5
"11","4","          Nondefense","A798RC1",28.1,30.7,33.4,30.9,30.6,33.1,33.5,33.7,36.3,39.7,40.5,43.6,45
"12","5","        State and local","A799RC1",178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,329,350.3,351
"13","6","Structures \2\","A760RC1",155.6,160.2,175.8,189.6,205.8,221.6,229.4,236.4,246.5,267.5,289.5,309.4,316.6
"14","7","  Federal","A801RC1",16,16.6,16.1,13.7,13.5,15.8,17.6,16.2,15.7,17.6,21.2,22.7,28
"15","8","    National defense","A808RC1",6.1,5.8,5.4,5.4,5.3,5.8,7.3,7.1,7.5,8.1,10.1,11.3,15.9
"16","9","      New","A814RC1",6.1,5.8,5.4,5.4,5.3,5.9,7.3,7.1,7.5,8.1,10.1,11.3,16
"17","10","        Residential","B816RC1",1.4,1.3,1.2,1.1,1.2,1.2,1.4,1.3,1.6,1.5,1.7,1.8,1.2
"18","11","        Industrial","B817RC1",0.5,0.2,0.2,0.3,0.4,0.3,0.8,0.6,0.6,0.6,0.4,0.6,0.7
"19","12","        Military facilities \3\","B818RC1",4.2,4.3,4,4,3.7,4.3,5.1,5.2,5.2,6,8,9,14.1
"20","13","      Net purchases of used structures","B819RC1",0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","    Nondefense","A830RC1",9.9,10.8,10.7,8.3,8.1,9.9,10.3,9.1,8.3,9.5,11.1,11.3,12.1
"22","15","      New","A831RC1",10.2,9.9,9.8,9.5,9.2,9.9,10.4,11.1,10.6,10.3,11.1,10.3,11.7
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RC1",1.9,1.9,1.8,1.6,1.5,1.4,1.8,2.5,2,1.8,2,1.4,1.3
"25","18","        Commercial","W183RC1",0.7,0.8,0.9,0.8,0.7,0.5,0.6,1.4,1.2,1.2,1.2,0.9,0.8
"26","19","        Health care","W184RC1",1.3,1,0.9,0.8,0.7,0.9,0.7,0.7,0.8,0.7,1,0.9,1.7
"27","20","        Educational","W185RC1",0.4,0.3,0.3,0.4,0.5,0.8,0.8,0.8,0.3,0.3,0.4,0.4,0.5
"28","21","        Public safety","W186RC1",2,2,1.9,1.7,1.2,1.3,0.8,0.5,0.3,0.2,0.5,0.5,0.5
"29","22","        Amusement and recreation","W187RC1",0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.3,0.2,0.1,0.2,0.2,0.3
"30","23","        Transportation","W188RC1",0.4,0.4,0.4,0.4,0.4,0.6,0.3,0.4,0.2,0.2,0.3,0.3,0.4
"31","24","        Power","W189RC1",0.1,0.1,0.1,0.1,0.2,0.3,1.2,0.9,0.8,0.8,0.4,0.8,0.9
"32","25","        Highways and streets","W190RC1",0.5,0.5,0.4,0.6,0.5,0.6,0.5,0.7,0.6,0.5,0.7,0.6,0.6
"33","26","        Conservation and development","W191RC1",1.7,1.8,2,2,2.3,2.5,2.3,2.4,2.7,3.1,3.1,3.1,3.7
"34","27","        Other \4\","W192RC1",0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,1.6,1.3,1.3,1.2,1.1
"35","28","      Net purchases of used structures","B841RC1",-0.3,0.9,0.9,-1.2,-1.1,0,-0.1,-2,-2.3,-0.8,0,1,0.4
"36","29","  State and local","A842RC1",139.5,143.6,159.7,176,192.3,205.8,211.8,220.2,230.8,249.9,268.4,286.7,288.5
"37","30","    New","A843RC1",136.6,140,155.7,172,191,200.6,205.8,214.3,225.8,244.5,261.5,279.6,281.7
"38","31","      Residential","W147RC1",4.3,4.3,4.6,4.2,5,5.3,5.5,6,6.1,4.5,4.8,4.7,5.5
"39","32","      Office","W193RC1",11,12.1,13.6,15.4,17.6,19.3,19.2,20.3,20.7,18,19.4,22,23.6
"40","33","      Commercial","W194RC1",0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6
"41","34","      Health care","W195RC1",3.2,3.2,3,3,3.3,4.1,4.2,4.4,5,4.6,5.7,6,5.9
"42","35","      Educational","W148RC1",33.8,35,41.1,45.7,51.3,54.6,56.8,59.8,63.5,71.8,76.7,83.3,82.3
