"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:29:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","     Nonfarm proprietors' income","B046RC0",65533,66615,72603,79925,86550,93786,99454,116616,131334,149148,160163,162689,157839,154985,168927,186282,190463,199805,229615
"9","2","Agricultural services, forestry, and fishing","J1800C0",1350,1368,1582,1778,1980,2259,2368,2753,2098,2391,2817,3131,3011,3024,3772,3773,4115,4246,5666
"10","3","Mining","J1801C0",451,543,384,691,1129,2934,3805,3162,5109,4479,5325,7418,7822,7152,3122,3673,3843,-2073,-1577
"11","4","Construction","J1802C0",7579,7588,8843,10516,11731,12607,13038,17606,17787,21307,21839,23888,22394,23385,26386,32495,33453,38183,42718
