"","Table 5#5#6U# Real Private Fixed Investment in Equipment and Sof","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","3","  Information processing equipment and software","A679RX0",101020,100608,99369,101959,100945,103886,107426,111139,113622,119930,126425,128646,132069,134782,141782,144363,148978,152663,157101,164036,171644,180197,184115,194828,205149,214090,224302,231990,246626,260697,280632,291494,309876,322661,332182,350718,369451,395750,412780,415843,442900,465691,473767,488118,485663,461431,447328,441726,434108,435502,446528,442208,460001,475689,507118,526636,547029,565383,575642,599524,630054
"12","4","    Computers, software, and communication","W175RX0",64070,63636,62636,64845,64399,66239,68629,71208,73630,78546,84202,85672,88226,90082,94697,96537,101598,104892,109290,115423,122224,130426,134490,143636,152481,160523,169339,176766,191242,204991,222629,231807,247448,260144,268808,287719,308011,333461,349572,352371,379219,401315,406689,419450,417128,395000,381239,374961,367317,366827,376463,370326,383786,397487,424712,441060,456327,477045,486548,509837,542031
"13","5","      Computers and peripheral equipment \1\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","6","      Software \2\","B985RX0",38519,39803,39444,41665,43015,44408,45525,47625,49710,51985,54009,56443,57532,58575,59991,61115,62956,64437,65980,67147,68122,70168,72703,75572,78622,81910,85402,90283,99771,105095,111773,118714,122066,126241,131499,137846,144875,154486,162235,167228,171406,175763,176235,181232,181407,174052,172261,167443,163794,162889,165882,161721,164909,166830,174616,178532,185592,189510,192672,201861,208984
"15","7","      Communication equipment","C275RX0",36103,35600,35861,35363,34197,34790,34941,33600,34910,35170,38729,37872,37549,38183,39801,40719,43532,44828,47301,49612,52822,54069,52854,53739,57466,60001,62209,62802,64066,67342,72214,72648,76457,79307,79462,84913,88328,94704,99624,98967,116210,123340,125202,131520,125099,116463,111702,105475,96808,96217,95192,91251,93475,95447,101313,104651,109521,117584,117124,114794,122443
"16","8","    Medical equipment and instruments","W176RX0",16483,17225,17926,17647,17396,18049,18870,19243,19259,19918,20085,20840,21410,21331,21980,22588,21027,21092,20941,20813,21234,20999,20803,21423,21908,22672,23474,23745,24728,25319,26205,27233,28739,29077,30084,30856,30809,31451,31913,31931,32604,33426,35380,36330,37173,36814,36792,37979,38158,39079,39523,40658,42995,43757,46470,48347,51400,50552,51138,52421,53462
"17","9","    Nonmedical instruments","W177RX0",15287,15337,15200,15061,14634,15074,15606,16073,15907,16079,15891,15667,15284,15410,16066,16660,16237,16503,16585,16956,17639,17784,17863,18682,18738,18725,18765,18203,17162,16507,16967,17123,17058,17478,17258,17015,17057,17109,16998,17212,16797,17076,18335,18932,18785,18030,17378,17693,16883,16706,16852,16485,17817,18277,19432,20467,22534,21047,22231,22278,21665
"18","10","    Photocopy and related equipment","C285RX0",8300,8181,7928,8236,8213,8458,8451,8514,8129,8415,8626,8923,9302,9905,10761,10707,10941,11031,10792,10898,10296,9918,9769,9834,10218,10126,10319,10404,10060,9983,10383,10990,12212,11533,11684,10854,9794,9801,10237,10366,10555,10135,9048,8813,7566,6880,6910,6173,6822,7596,8197,8367,8186,8254,8531,8400,8291,8490,7531,7449,7038
"19","11","    Office and accounting equipment","B936RX0",5543,5148,4847,4818,4593,4619,4697,5086,5255,5241,5167,5127,5308,5450,5956,5722,5899,5558,5401,5416,5548,5825,5595,5511,5716,5680,5800,5819,5724,5617,5857,5625,5486,5282,5098,4777,4026,4029,4078,3966,3707,3723,4323,4614,5033,4671,4885,4643,4585,4848,5112,5720,6262,7006,7106,7386,7010,7842,7755,7677,7279
"20","12","  Industrial equipment","A680RX0",113625,108586,108940,105499,103826,102205,102211,100431,100105,102243,104773,109019,109963,110591,112065,118846,119663,120586,123928,127558,133196,135261,136220,135032,138226,140835,139515,141157,140472,143158,143935,144249,151052,149350,145938,146186,145578,147403,149192,149291,156311,159658,161879,159013,159264,147333,140643,135449,141537,136029,136599,135411,137855,137282,138379,136802,139003,139714,148530,151277,152757
"21","13","    Fabricated metal products","C263RX0",10047,10157,10233,10114,9884,9958,10367,10460,10169,10265,10302,10361,10200,10165,9812,10170,10591,10702,10867,11054,11155,11132,11062,11294,11838,12356,12273,11856,10676,10344,10479,10390,10599,11185,10949,11160,11287,11508,11945,12299,12323,12514,12422,12313,12479,12240,12372,12071,12291,12588,12076,11673,11355,11496,11532,11820,11885,11468,11610,11267,11102
"22","14","    Engines and turbines","A668RX0",3597,3633,3911,3691,4054,4910,4754,3791,4376,4278,3902,3914,3757,3591,4165,4290,3879,4434,3881,4743,3869,3698,3524,2844,3739,3744,4358,4712,4853,3050,4455,2989,5159,5007,4035,3921,4671,5197,6017,6211,8828,6786,6257,6560,11490,10083,11535,9988,16732,10666,7218,5279,6446,5039,5096,5204,5513,4819,5269,5511,5665
"23","15","      Steam engines","BA13RX0",2394,2626,2933,2551,2990,3732,3567,2636,3246,3139,2734,2766,2598,2413,3005,3013,2677,3091,2514,3445,2384,2333,2060,1322,2249,2273,2858,3194,3202,1262,2744,1200,3531,3434,2385,2151,2608,2962,3642,3955,6765,4674,4338,4485,9276,7808,9200,7580,14565,8204,4534,3005,3718,2142,2292,2191,2155,1370,1657,1963,2062
"24","16","      Internal combustion engines","BA14RX0",1301,1120,1077,1225,1188,1312,1316,1250,1232,1264,1287,1262,1251,1260,1256,1367,1300,1414,1436,1414,1492,1445,1518,1555,1565,1548,1540,1543,1702,1763,1748,1780,1658,1605,1651,1762,2064,2239,2381,2256,2066,2111,1917,2077,2223,2279,2340,2408,2212,2462,2661,2249,2698,2850,2761,2963,3298,3371,3535,3481,3536
"25","17","    Metalworking machinery","C271RX0",19416,19705,20376,18329,17880,18784,18800,17847,18546,18838,19490,20109,21260,20499,20209,21576,22949,22864,25160,25966,27324,27834,27883,27864,27719,27675,28185,29299,29906,31282,30479,29668,30896,30583,30338,30075,29207,28918,29576,30276,30133,30167,30568,29317,28275,26293,24558,22861,22925,23442,23630,23256,22008,20469,20098,19459,23035,22653,24760,25127,27896
"26","18","    Special industry machinery, n.e.c.","C272RX0",29769,27233,26804,26478,27134,24601,23732,24145,23930,23892,24679,26481,25672,25611,27431,29831,29043,28456,28303,29355,31854,32505,33687,33072,35084,35535,32262,31843,30777,33375,34278,35246,36130,34038,32553,32247,33273,33680,32431,32351,31747,36546,39153,38142,34776,31231,27978,28022,27658,25651,28546,29662,31290,33307,33305,29019,28769,29196,32796,33566,30350
"27","19","    General industrial, including materials handling, equipment","C273RX0",34878,32042,32057,31828,30563,29435,29985,29374,28176,30359,31619,33412,34686,35651,35028,37106,36839,37700,38930,39599,41151,42297,42176,42048,41972,43075,43617,44554,45080,45478,44665,46013,48076,48424,47479,47981,46190,46237,46372,45308,48757,49587,48783,47190,47830,44107,42729,41091,40437,41126,42239,42599,43475,43897,44760,46897,45241,47286,48968,50608,52304
"28","20","    Electrical transmission, distribution, and industrial apparatus","C276RX0",15918,15714,15477,14949,14249,14396,14416,14631,14731,14475,14671,14673,14349,14993,15355,15830,16303,16370,16725,16798,17798,17759,17853,17856,17837,18393,18757,18841,19164,19620,19579,19948,20206,20111,20577,20793,20942,21859,22857,22848,24528,24052,24693,25495,24431,23381,21458,21390,21464,22517,22886,22951,23298,23079,23585,24341,24565,24262,25162,25256,25507
"29","21","  Transportation equipment","A681RX0",80566,76955,84752,81741,81297,77942,80207,75874,71679,83627,78383,87209,86097,98468,91540,104327,109257,105242,107998,123161,130548,117702,115403,118639,117105,120766,131977,131817,132165,135238,142280,133788,134672,140303,146800,159783,161358,165686,174602,169075,166124,167025,159508,150723,145288,144498,137553,144030,134056,124344,121879,121927,113881,120542,124264,127820,122722,130038,140969,153510,146787
"30","22","    Trucks, buses, and truck trailers","C279RX0",30727,28650,28291,26184,24275,25240,25489,26066,25751,28190,29748,31873,34011,38643,40574,44868,49592,48926,52782,57727,60565,57721,59080,61114,60561,61969,66662,71031,73634,71547,73054,75022,75314,80484,78810,88159,86222,86171,92596,90746,90696,84729,80443,71423,70710,68894,62199,65473,61148,60802,64564,63187,62070,66271,71112,73503,73175,75708,88177,94938,96186
"31","23","      Light trucks (including utility vehicles)","W178RX0",12378,11700,11270,10591,10195,11565,10960,10756,10061,10751,10246,11529,12040,15271,16001,18612,23484,23026,25452,28901,29479,28279,29778,31189,33562,35060,39779,45348,49373,47569,47921,47843,46683,50929,46373,53139,51423,51574,56752,54297,55695,51482,50420,45680,45714,45529,40478,44315,41621,38770,39851,39356,41580,44184,46955,46597,44487,47590,55911,58532,57617
"32","24","      Other trucks, buses, and truck trailers","W179RX0",18853,17415,17496,16024,14453,13974,14895,15729,16167,17993,20215,21053,22760,24070,25309,26977,26558,26364,27750,29173,31530,29858,29687,30300,27237,27124,27005,25608,24025,23773,24968,27111,28634,29518,32470,35030,34840,34635,35846,36471,35001,33250,30021,25744,25003,23422,21754,21244,19626,22027,24624,23765,20534,22113,24156,26932,28816,28194,32350,36486,38629
"33","25","    Autos","C280RX0",29003,29564,31940,30479,30496,30560,31954,30066,29481,29562,28503,31485,29869,34954,31807,35840,39086,38799,39934,43324,38168,37255,38193,38097,36839,38184,38676,36925,36645,36267,36620,36522,32109,33198,30548,35481,34492,36765,37939,38350,39416,36491,34732,35469,37623,36213,33294,32571,32749,33629,34305,31257,28509,29032,31234,31085,30594,29398,32234,34966,33078
"34","26","    Aircraft","C281RX0",14478,12537,19215,19334,21034,16486,17360,13754,11255,22469,14889,18665,16603,19621,13680,14216,13280,8499,6479,14086,23241,13323,11269,11312,10994,11512,17741,15391,12699,17294,23093,12775,17295,16793,28229,25750,30721,32374,33948,29771,24959,34913,35239,35208,28950,32080,34440,38479,31962,22443,16220,20173,16712,18189,15827,16745,12228,17591,13956,16935,11366
"35","27","    Ships and boats","C282RX0",2215,1883,1864,1792,1926,2105,1845,1893,1605,1036,1419,1549,1910,1626,2216,4193,2094,2620,2032,1532,2379,2008,1773,1792,2184,2271,3044,2477,2646,2992,2611,3196,2793,2736,2806,3488,2908,2782,2979,3021,3532,3423,3420,3114,3217,2712,2673,2951,3284,3358,3287,3635,3532,3663,3688,3619,3533,3964,3724,3954,4698
"36","28","    Railroad equipment","C283RX0",4108,3831,3613,4201,4003,3395,3331,3633,2793,3062,3809,3850,3825,3696,2911,4893,4424,5145,5123,5336,5917,6437,3995,5164,5405,5694,5084,5107,5510,6379,6433,5195,6629,6513,6491,6648,6987,7560,7116,7061,7371,7523,5736,5546,5036,4609,4629,4017,4686,4455,4401,4196,3750,4067,3510,3995,4562,4538,4761,4548,3951
"37","29","  Other equipment","A682RX0",101423,98873,98508,96371,86631,85089,83159,82631,82073,81703,85167,86690,91132,92845,93924,96910,98287,99843,100913,102833,106246,105701,105179,106413,107354,108540,111472,112467,114927,116754,123524,124498,128814,131593,130405,128086,131573,128849,129518,131296,134639,137135,133803,132745,133573,128911,130354,125757,123191,127869,128382,129204,127612,128545,136549,141824,144727,150190,158158,162751,158336
"38","30","    Furniture and fixtures","A667RX0",25639,25136,24619,23189,21464,21663,21613,22033,22863,23354,24906,24042,23736,23320,24285,24499,24597,24608,24157,24551,25459,26012,25978,25663,24802,25615,26630,28288,30687,29687,30024,30541,32610,32348,33017,34271,35212,34625,34820,34519,34458,37228,36649,36664,35351,33193,31398,30124,29848,30438,30421,29574,29251,30362,31602,31954,31012,32739,33475,33935,34668
"39","31","      Household furniture","BA15RX0",1428,1388,1396,1317,1220,1216,1208,1205,1185,1190,1177,1175,1256,1302,1277,1380,1416,1430,1456,1478,1516,1455,1527,1530,1560,1606,1641,1627,1579,1615,1641,1713,1781,1767,1823,1870,1945,1966,2013,2048,2043,2088,2107,2084,2065,1989,2044,2045,2120,2198,2186,2161,2281,2261,2266,2366,2432,2493,2420,2508,2542
"40","32","      Other furniture","BA16RX0",24203,23837,23402,22084,20449,20678,20641,21093,22001,22485,24074,23166,22726,22238,23234,23321,23403,23398,22911,23266,24133,24746,24624,24282,23352,24105,25059,26732,29242,28179,28476,28910,30918,30641,31253,32442,33294,32678,32810,32468,32414,35140,34543,34582,33285,31203,29354,28080,27729,28242,28237,27414,26973,28103,29337,29590,28582,30248,31057,31429,32128
"41","33","    Agricultural machinery","C268RX0",15976,16110,17062,17875,14228,14159,12992,12717,12937,11176,10872,11384,12509,13676,13072,13497,14287,14564,14611,14711,15469,14964,14496,14159,14884,14405,14815,14256,13746,16204,18697,18018,18804,18892,16585,14470,14017,12584,11287,12174,14020,14523,13598,12670,13347,13973,15204,15255,15172,15213,16792,17526,16448,16165,16781,18037,18796,20380,21835,22623,20473
"42","34","      Farm tractors","BA17RX0",4145,4200,4552,4860,3995,3993,3608,3548,3571,3156,3265,3318,3499,3978,3857,4048,4428,4451,4466,4511,4711,4553,4194,4021,4118,3834,4031,4079,4394,5288,6894,6539,6312,6176,5608,4902,4326,3757,3601,4105,4819,5113,5045,4595,4763,4374,4641,4620,4664,4708,5581,6008,5145,5404,5869,6759,6778,7348,7691,7902,7336
"43","35","      Other agricultural machinery","W213RX0",11792,11866,12494,13042,10258,10213,9435,9226,9409,8025,7565,8090,9103,9795,9279,9497,9862,10118,10132,10149,10731,10377,10298,10136,10755,10578,10783,10156,9331,10917,11837,11497,12514,12735,10987,9574,9696,8824,7686,8071,9200,9410,8554,8076,8585,9595,10557,10628,10499,10496,11211,11525,11293,10764,10923,11303,12037,13053,14161,14736,13158
"44","36","    Construction machinery","C269RX0",19081,17809,16740,16022,13316,11318,10678,10099,9736,10654,11754,12195,13444,13832,14010,14837,14898,15025,16170,16660,17162,16925,17281,17664,18519,18892,19604,20126,19502,19778,20908,21800,21875,22109,24410,23871,23546,22588,22805,23417,24433,24708,22050,21724,21831,20009,20049,19124,19779,21023,20743,21370,19587,20656,23232,24909,27174,27743,31652,35422,33618
"45","37","      Construction tractors","BA18RX0",2961,2668,2635,2396,1873,1715,1658,1536,1287,1141,1069,935,1473,1447,1470,1457,1511,1276,1570,1634,1691,1615,1657,1759,1852,1869,1940,1946,2389,2535,2759,3002,2902,2876,3246,3071,2896,2863,3028,3253,3338,3259,3059,3026,3003,2702,2696,2531,2623,2645,2671,2768,2472,2581,2836,2984,3206,3256,3708,4100,3911
"46","38","      Other construction machinery","W214RX0",16346,15356,14309,13806,11611,9723,9097,8624,8469,9517,10677,11250,11943,12362,12528,13378,13399,13777,14627,15055,15484,15319,15634,15911,16672,17025,17663,18179,17111,17241,18148,18798,18976,19238,21169,20811,20659,19730,19779,20164,21096,21449,18991,18698,18828,17307,17353,16593,17157,18378,18073,18602,17115,18075,20398,21928,23973,24493,27951,31331,29715
"47","39","    Mining and oilfield machinery","C270RX0",2107,2108,2202,2349,2286,1842,1122,1702,601,764,1841,2934,3602,3277,2603,2218,2980,2941,2492,2882,2662,2724,2735,3087,3085,3098,2922,2500,3916,3645,3705,3654,3040,3815,4169,3627,4671,5376,6072,5665,5720,5306,5020,5229,5894,5818,6232,6029,4496,5082,4853,3732,5750,5671,6629,6452,6491,7890,8374,7424,7370
"48","40","    Service industry machinery","C570RX0",14665,14254,13914,13029,12733,12900,13326,13204,12731,12951,12341,12229,12717,12699,13200,14383,13884,14374,14651,14585,14991,14885,14867,15508,15161,15432,15722,15446,15066,14784,15600,15210,16589,16486,16524,17410,17305,17270,18133,17835,17559,16860,18481,17257,16817,17991,17657,17231,17032,16497,15561,16429,16332,15670,15872,17082,16743,17175,17318,17370,16665
"49","41","    Electrical equipment, n.e.c.","A670RX0",3559,3577,3652,3198,3058,2926,2887,2745,2816,2958,2941,3117,3014,2840,2896,3041,2881,3070,3213,3254,3398,3349,3324,3269,3230,3266,3212,3153,3376,3465,3648,4032,4416,4525,4541,4045,3643,4151,4540,4956,5322,4807,3825,4466,4804,5153,5197,4914,4569,4763,4824,4976,4889,4803,4899,5099,5325,5519,5458,5413,5602
"50","42","      Household appliances","BA19RX0",520,490,463,440,413,405,406,415,410,425,432,443,466,487,510,523,547,579,583,585,614,606,639,629,643,676,685,687,659,667,700,756,759,763,786,770,786,786,777,789,831,831,815,792,816,811,846,843,829,856,878,922,893,910,928,983,928,922,962,984,966
"51","43","      Miscellaneous electrical","BA20RX0",3156,3210,3324,2879,2753,2618,2576,2415,2493,2630,2605,2775,2643,2431,2457,2577,2386,2538,2671,2706,2817,2771,2713,2671,2623,2632,2569,2501,2749,2824,2983,3311,3674,3775,3758,3271,2857,3366,3765,4171,4493,3977,3010,3672,3988,4341,4351,4071,3740,3906,3946,4053,3995,3893,3970,4116,4397,4598,4495,4428,4636
"52","44","    Other","C286RX0",20598,20042,20454,20895,19562,20207,20398,20005,20176,19663,20412,20732,22101,23172,23793,24357,24719,25200,25562,26153,27048,26785,26458,27050,27682,27841,28575,28693,28616,29176,30939,31243,31454,33395,31170,30396,33181,32256,31865,32730,33125,33705,34180,34734,35523,32771,34605,33064,32313,34864,35200,35649,35352,35209,37496,38263,39148,38611,39837,40366,39793
"53","45","  Less: Sale of equipment scrap, excluding autos","C287RX0",3030,2712,2563,2483,2369,2333,2234,2131,2039,1986,2224,2696,3496,4164,4450,4666,4062,3985,3801,3519,3921,4070,4031,4199,4227,4126,4282,4324,4242,4264,4116,3763,3866,3858,3952,4390,4144,3737,3446,3066,3308,3555,3445,3167,2633,2565,2671,2921,2736,2726,2597,2465,2351,2393,2467,2523,2613,2677,2888,2987,2977
"54","46","Residential equipment","B013RX0",6212,6074,5963,5846,5787,5920,5760,5686,5908,5931,5948,6082,6053,6086,6158,6049,5997,6110,6111,6286,6245,6148,6223,6206,6106,6254,6137,6206,6064,6103,6146,6181,6264,6424,6498,6609,6748,6983,7154,7159,7348,7347,7352,7389,7393,7355,7341,7464,7528,7607,7525,7603,7742,8109,8466,8723,8971,9052,9251,9438,9421
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. The quantity index for computers can be used to accurately measure the real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","growth rate of this component. However, because computers exhibit rapid changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","should not be used to measure the component's relative importance or its contribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","index and the 2000 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
