"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 1:14:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      Motor vehicle output","A953RX1","350,040.0","345,347.0","329,252.0","366,777.0","371,416.0","386,709.0","401,549.0","396,375.0","397,449.0","326,258.0","246,824.0","321,485.0","353,504.0","398,770.0","418,315.0","448,578.0"
"20","2","        Auto output","A133RX1","145,814.0","147,647.0","139,716.0","146,262.0","131,237.0","132,473.0","148,210.0","152,158.0","150,073.0","140,413.0","92,113.0","108,540.0","114,475.0","140,374.0","139,380.0","138,121.0"
"21","3","        Truck output","A716RX1","204,962.0","198,620.0","190,357.0","221,028.0","239,913.0","253,750.0","253,252.0","244,255.0","247,405.0","185,847.0","154,711.0","212,960.0","239,022.0","258,622.0","278,871.0","309,769.0"
"22","4","Final sales of domestic product","AB60RX1","338,804.0","335,356.0","342,060.0","353,893.0","364,710.0","385,176.0","403,183.0","395,398.0","401,968.0","332,635.0","270,052.0","308,062.0","348,248.0","379,312.0","405,473.0","439,586.0"
"23","5","  Personal consumption expenditures","AB61RX1","283,476.0","293,171.0","311,525.0","330,218.0","339,180.0","347,084.0","339,525.0","324,376.0","330,943.0","283,874.0","265,283.0","269,029.0","277,366.0","301,793.0","316,920.0","336,084.0"
"24","6","    New motor vehicles","AB67RX1","188,192.0","198,449.0","217,821.0","234,467.0","245,747.0","248,207.0","243,507.0","229,474.0","232,036.0","187,157.0","165,623.0","178,589.0","198,494.0","222,548.0","232,060.0","244,876.0"
"25","7","      Autos","A136RX1","92,821.0","97,410.0","96,329.0","94,835.0","91,924.0","92,926.0","97,693.0","99,448.0","95,805.0","86,003.0","71,177.0","68,758.0","77,037.0","90,017.0","90,445.0","88,926.0"
"26","8","      Light trucks (including utility vehicles)","B704RX1","96,221.0","101,904.0","121,752.0","139,375.0","153,103.0","154,558.0","145,490.0","130,041.0","136,124.0","101,151.0","94,446.0","109,759.0","121,388.0","132,520.0","141,514.0","155,591.0"
"27","9","    Net purchases of used autos and used light trucks","W240RX1","95,114.0","94,866.0","94,549.0","97,085.0","95,320.0","100,568.0","97,730.0","96,229.0","100,059.0","96,913.0","99,660.0","91,035.0","81,094.0","82,352.0","87,981.0","94,432.0"
"28","10","      Used autos","A137RX1","54,456.0","53,497.0","51,743.0","51,294.0","50,451.0","53,483.0","51,218.0","48,440.0","46,793.0","45,690.0","42,660.0","39,391.0","36,865.0","36,482.0","39,270.0","42,849.0"
"29","11","      Used light trucks (including utility vehicles)","W241RX1","40,926.0","41,574.0","42,880.0","45,723.0","44,809.0","47,033.0","46,447.0","47,722.0","53,268.0","51,217.0","57,000.0","51,641.0","44,211.0","45,852.0","48,693.0","51,570.0"
"30","12","  Private fixed investment","AB62RX1","152,547.0","147,015.0","129,108.0","123,465.0","120,678.0","138,803.0","161,153.0","177,597.0","159,649.0","110,872.0","40,510.0","104,907.0","142,869.0","173,449.0","192,738.0","214,466.0"
"31","13","    New motor vehicles","AB68RX1","201,782.0","197,711.0","179,275.0","176,982.0","171,106.0","192,489.0","212,055.0","228,302.0","219,327.0","175,677.0","118,253.0","163,915.0","187,727.0","212,507.0","234,482.0","258,905.0"
"32","14","      Autos","B139RX1","79,991.0","81,288.0","77,809.0","78,116.0","72,104.0","73,559.0","78,077.0","81,530.0","83,103.0","71,465.0","51,712.0","68,350.0","70,737.0","84,706.0","91,863.0","95,240.0"
"33","15","      Trucks","B705RX1","121,965.0","116,583.0","101,596.0","98,988.0","99,119.0","118,993.0","134,012.0","146,791.0","136,252.0","104,226.0","66,540.0","95,537.0","116,841.0","127,717.0","142,483.0","163,279.0"
"34","16","        Light trucks (including utility vehicles)","B196RX1","82,028.0","81,532.0","75,393.0","72,891.0","73,711.0","85,670.0","95,102.0","105,036.0","104,657.0","79,014.0","48,104.0","72,085.0","85,068.0","91,119.0","105,402.0","119,754.0"
"35","17","        Other","B197RX1","42,580.0","36,475.0","25,964.0","26,044.0","25,149.0","33,717.0","39,640.0","42,418.0","31,490.0","25,179.0","18,436.0","23,443.0","31,778.0","36,607.0","37,088.0","43,535.0"
