"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 12:59:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","Gross domestic product","A191RX1","4,712,483.0","4,722,012.0","4,877,625.0","5,134,347.0","5,424,084.0","5,396,034.0","5,385,367.0","5,675,427.0","5,936,985.0","6,267,181.0","6,466,208.0","6,450,392.0","6,617,745.0","6,491,287.0","6,791,993.0","7,285,030.0","7,593,823.0","7,860,489.0","8,132,599.0","8,474,492.0","8,786,397.0","8,955,041.0","8,948,406.0","9,266,558.0","9,521,004.0","9,905,428.0","10,174,755.0","10,560,976.0","11,034,850.0","11,525,891.0","12,065,902.0","12,559,660.0","12,682,240.0","12,908,761.0","13,271,081.0","13,773,490.0","14,234,243.0","14,613,817.0","14,873,734.0","14,830,359.0","14,418,738.0","14,783,809.0","15,020,565.0","15,354,627.0","15,583,338.0","15,961,670.0"
"20","2","Less: Exports of goods and services","A020RX1","169,036.0","187,046.0","190,310.0","205,116.0","243,780.0","263,045.0","261,380.0","272,794.0","279,359.0","308,813.0","339,417.0","375,975.0","380,619.0","351,532.0","342,465.0","370,404.0","382,787.0","412,220.0","457,114.0","531,211.0","592,689.0","644,972.0","687,632.0","735,284.0","759,377.0","826,512.0","911,457.0","986,033.0","1,103,500.0","1,129,281.0","1,159,146.0","1,258,433.0","1,184,902.0","1,164,468.0","1,185,013.0","1,300,580.0","1,381,905.0","1,506,770.0","1,646,394.0","1,740,825.0","1,587,741.0","1,776,595.0","1,898,312.0","1,963,183.0","2,018,105.0","2,086,351.0"
"21","3","Plus: Imports of goods and services","A021RX1","243,205.0","253,580.0","267,114.0","297,173.0","310,963.0","303,920.0","270,139.0","322,963.0","358,270.0","389,311.0","395,777.0","369,495.0","379,257.0","374,483.0","421,732.0","524,393.0","558,427.0","606,136.0","642,007.0","667,227.0","696,609.0","721,528.0","720,449.0","770,951.0","837,611.0","937,525.0","1,012,535.0","1,100,592.0","1,248,825.0","1,394,798.0","1,536,232.0","1,736,215.0","1,686,966.0","1,748,795.0","1,826,881.0","2,035,340.0","2,164,216.0","2,301,041.0","2,359,012.0","2,298,645.0","1,983,177.0","2,235,350.0","2,357,670.0","2,410,241.0","2,435,585.0","2,528,858.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,821,778.0","4,815,746.0","4,983,714.0","5,255,383.0","5,509,168.0","5,440,629.0","5,383,104.0","5,732,844.0","6,036,441.0","6,365,739.0","6,524,813.0","6,403,869.0","6,578,771.0","6,491,975.0","6,876,605.0","7,473,767.0","7,811,237.0","8,100,330.0","8,359,283.0","8,634,912.0","8,903,196.0","9,036,045.0","8,974,109.0","9,295,324.0","9,600,756.0","10,023,213.0","10,280,205.0","10,681,642.0","11,188,569.0","11,807,073.0","12,462,127.0","13,057,851.0","13,208,495.0","13,518,391.0","13,938,467.0","14,531,663.0","15,040,258.0","15,431,643.0","15,606,796.0","15,399,898.0","14,814,175.0","15,244,934.0","15,483,876.0","15,804,310.0","16,001,394.0","16,405,777.0"
"23","5","Less: Change in private inventories","A014RX1","33,346.0","6,156.0","27,501.0","28,250.0","42,933.0","32,024.0","-14,075.0","37,707.0","47,461.0","50,150.0","30,822.0","-10,324.0","42,885.0","-21,729.0","-8,612.0","85,716.0","27,591.0","9,026.0","36,287.0","23,810.0","33,251.0","17,937.0","-1,963.0","19,452.0","24,077.0","75,388.0","34,560.0","33,834.0","84,806.0","78,988.0","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","37,593.0","54,672.0","61,428.0","67,987.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","4,807,532.0","4,835,492.0","4,977,460.0","5,247,859.0","5,477,716.0","5,423,143.0","5,432,790.0","5,709,473.0","6,000,581.0","6,324,278.0","6,509,061.0","6,444,875.0","6,548,124.0","6,546,961.0","6,915,234.0","7,385,567.0","7,799,878.0","8,113,338.0","8,340,618.0","8,627,947.0","8,882,792.0","9,034,060.0","8,994,549.0","9,291,525.0","9,591,164.0","9,956,043.0","10,257,260.0","10,657,727.0","11,110,255.0","11,734,214.0","12,391,947.0","12,994,008.0","13,257,335.0","13,499,583.0","13,917,421.0","14,461,256.0","14,975,753.0","15,361,009.0","15,570,193.0","15,435,784.0","14,961,745.0","15,183,617.0","15,442,532.0","15,742,350.0","15,929,842.0","16,326,265.0"
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
