"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product (GDP)","A191RC1","243,080.0","246,267.0","250,115.0","260,309.0","266,173.0","272,897.0","279,497.0","280,656.0","275,370.0","271,692.0","273,262.0","270,984.0","281,209.0","290,735.0","308,510.0","320,320.0","336,372.0","344,455.0","351,774.0","356,579.0","360,195.0","361,414.0","368,084.0","381,241.0","388,472.0","392,259.0","391,696.0","386,521.0","385,924.0","386,716.0","391,596.0","400,348.0","413,753.0","422,226.0","430,925.0","437,787.0","440,491.0","446,771.0","451,983.0","461,278.0","470,578.0","472,835.0","480,315.0","475,681.0","468,353.0","472,786.0","486,653.0","500,380.0","511,063.0","524,241.0","525,196.0","529,322.0","543,347.0","542,697.0","546,012.0","541,063.0","545,949.0","557,430.0","568,228.0","581,624.0","595,176.0","602,580.0","609,575.0","613,132.0","622,679.0","631,835.0","644,960.0","654,840.0","671,149.0","680,757.0","692,807.0","698,424.0","719,248.0","732,369.0","750,184.0","773,104.0","797,328.0","807,153.0","820,798.0","834,864.0","846,046.0","851,058.0","866,614.0","883,201.0","911,135.0","936,297.0","952,347.0","970,129.0","995,419.0","1,011,361.0","1,032,016.0","1,040,741.0"
"21","2","Plus: Income receipts from the rest of the world","B645RC1","1,444.0","1,560.0","1,592.0","1,792.0","1,924.0","2,024.0","2,132.0","2,044.0","2,052.0","1,976.0","1,940.0","1,808.0","1,936.0","2,048.0","2,368.0","2,392.0","2,400.0","2,760.0","2,860.0","3,004.0","2,814.0","2,892.0","2,865.0","2,857.0","2,825.0","2,967.0","2,756.0","2,824.0","2,955.0","2,946.0","2,972.0","3,282.0","3,398.0","3,463.0","3,541.0","3,626.0","3,969.0","3,935.0","4,093.0","3,735.0","4,280.0","4,561.0","4,461.0","3,770.0","3,886.0","3,866.0","3,839.0","3,885.0","3,962.0","4,057.0","4,379.0","4,678.0","4,769.0","4,792.0","4,934.0","5,057.0","5,300.0","5,141.0","5,316.0","5,470.0","5,404.0","5,831.0","5,909.0","6,617.0","6,419.0","6,347.0","6,541.0","6,813.0","7,288.0","7,168.0","7,353.0","7,146.0","7,924.0","8,191.0","7,888.0","7,521.0","7,799.0","7,936.0","8,070.0","8,480.0","8,453.0","8,319.0","8,931.0","9,026.0","9,516.0","9,987.0","10,389.0","10,516.0","11,084.0","11,534.0","12,060.0","12,438.0"
"22","3","Less: Income payments to the rest of the world","A655RC1","466.0","465.0","461.0","556.0","533.0","545.0","649.0","573.0","666.0","647.0","667.0","675.0","708.0","732.0","761.0","783.0","863.0","877.0","864.0","852.0","813.0","873.0","883.0","918.0","917.0","915.0","947.0","996.0","955.0","948.0","934.0","939.0","975.0","1,065.0","1,094.0","1,099.0","1,118.0","1,097.0","1,159.0","1,175.0","1,195.0","1,194.0","1,228.0","1,236.0","1,256.0","1,172.0","1,234.0","1,300.0","1,379.0","1,457.0","1,549.0","1,648.0","1,842.0","1,788.0","1,770.0","1,701.0","1,724.0","1,741.0","1,814.0","1,873.0","1,803.0","1,839.0","1,858.0","1,887.0","1,912.0","2,010.0","2,103.0","2,188.0","2,230.0","2,293.0","2,305.0","2,448.0","2,489.0","2,550.0","2,635.0","2,734.0","2,801.0","2,884.0","3,103.0","3,217.0","3,232.0","3,239.0","3,242.0","3,442.0","3,699.0","3,987.0","4,137.0","4,245.0","4,750.0","5,373.0","6,112.0","6,421.0"
"23","4","Equals: Gross national product","A001RC1","244,058.0","247,362.0","251,246.0","261,545.0","267,564.0","274,376.0","280,980.0","282,127.0","276,756.0","273,021.0","274,535.0","272,117.0","282,437.0","292,051.0","310,117.0","321,929.0","337,909.0","346,338.0","353,770.0","358,731.0","362,196.0","363,433.0","370,066.0","383,180.0","390,380.0","394,311.0","393,505.0","388,349.0","387,924.0","388,714.0","393,634.0","402,691.0","416,176.0","424,624.0","433,372.0","440,314.0","443,342.0","449,609.0","454,917.0","463,838.0","473,663.0","476,202.0","483,548.0","478,215.0","470,983.0","475,480.0","489,258.0","502,965.0","513,646.0","526,841.0","528,026.0","532,352.0","546,274.0","545,701.0","549,176.0","544,419.0","549,525.0","560,830.0","571,730.0","585,221.0","598,777.0","606,572.0","613,626.0","617,862.0","627,186.0","636,172.0","649,398.0","659,465.0","676,207.0","685,632.0","697,855.0","703,122.0","724,683.0","738,010.0","755,437.0","777,891.0","802,326.0","812,205.0","825,765.0","840,127.0","851,267.0","856,138.0","872,303.0","888,785.0","916,952.0","942,297.0","958,599.0","976,400.0","1,001,753.0","1,017,522.0","1,037,964.0","1,046,758.0"
"24","5","Less: Consumption of fixed capital","A262RC1","27,748.0","28,756.0","29,802.0","30,497.0","30,786.0","31,159.0","31,672.0","31,953.0","32,289.0","32,304.0","32,320.0","32,432.0","32,464.0","32,798.0","33,594.0","34,867.0","36,277.0","37,362.0","38,308.0","39,081.0","39,554.0","40,210.0","41,002.0","41,705.0","42,491.0","43,248.0","43,806.0","44,377.0","44,973.0","45,707.0","46,283.0","46,960.0","47,450.0","48,190.0","49,324.0","50,574.0","52,140.0","53,501.0","54,824.0","56,034.0","57,308.0","58,415.0","59,488.0","60,438.0","61,062.0","61,962.0","62,917.0","63,761.0","64,470.0","65,126.0","65,772.0","66,387.0","66,973.0","67,560.0","68,199.0","68,842.0","69,505.0","70,194.0","70,949.0","71,779.0","72,714.0","73,519.0","74,559.0","75,610.0","76,511.0","77,508.0","78,464.0","79,525.0","80,602.0","81,750.0","82,951.0","84,211.0","85,587.0","87,115.0","88,756.0","90,463.0","92,298.0","94,312.0","96,268.0","98,294.0","100,244.0","102,321.0","104,584.0","106,930.0","109,438.0","111,914.0","114,524.0","117,420.0","120,457.0","123,462.0","126,288.0","129,245.0"
"25","6","  Private","A024RC1","16,291.0","17,304.0","18,242.0","19,104.0","19,887.0","20,574.0","21,165.0","21,661.0","22,060.0","22,432.0","22,777.0","23,093.0","23,384.0","23,880.0","24,579.0","25,484.0","26,594.0","27,500.0","28,198.0","28,689.0","28,977.0","29,318.0","29,712.0","30,163.0","30,667.0","31,141.0","31,582.0","31,995.0","32,374.0","32,759.0","33,150.0","33,548.0","33,949.0","34,528.0","35,281.0","36,209.0","37,312.0","38,352.0","39,329.0","40,243.0","41,095.0","41,901.0","42,659.0","43,370.0","44,035.0","44,651.0","45,220.0","45,739.0","46,211.0","46,643.0","47,034.0","47,385.0","47,695.0","48,025.0","48,373.0","48,740.0","49,124.0","49,540.0","49,991.0","50,473.0","50,986.0","51,515.0","52,055.0","52,612.0","53,182.0","53,801.0","54,466.0","55,182.0","55,947.0","56,784.0","57,694.0","58,676.0","59,733.0","60,887.0","62,143.0","63,500.0","64,957.0","66,424.0","67,905.0","69,396.0","70,899.0","72,472.0","74,113.0","75,822.0","77,596.0","79,510.0","81,558.0","83,744.0","86,068.0","88,342.0","90,571.0","92,752.0"
"26","7","    Domestic business","W276RC1","13,578.0","14,400.0","15,175.0","15,902.0","16,582.0","17,180.0","17,696.0","18,130.0","18,483.0","18,804.0","19,094.0","19,352.0","19,580.0","19,982.0","20,559.0","21,311.0","22,239.0","22,985.0","23,551.0","23,937.0","24,142.0","24,401.0","24,715.0","25,083.0","25,506.0","25,900.0","26,267.0","26,607.0","26,918.0","27,222.0","27,520.0","27,811.0","28,096.0","28,544.0","29,155.0","29,930.0","30,868.0","31,760.0","32,606.0","33,406.0","34,160.0","34,875.0","35,550.0","36,187.0","36,784.0","37,322.0","37,801.0","38,220.0","38,581.0","38,904.0","39,191.0","39,441.0","39,654.0","39,891.0","40,153.0","40,438.0","40,748.0","41,087.0","41,456.0","41,854.0","42,283.0","42,719.0","43,164.0","43,618.0","44,080.0","44,581.0","45,120.0","45,699.0","46,317.0","46,995.0","47,732.0","48,528.0","49,384.0","50,334.0","51,379.0","52,519.0","53,753.0","55,000.0","56,261.0","57,534.0","58,820.0","60,159.0","61,550.0","62,994.0","64,490.0","66,078.0","67,756.0","69,524.0","71,384.0","73,254.0","75,133.0","77,022.0"
"27","8","      Capital consumption allowances","Y0000C1","10,459.0","10,848.0","11,307.0","11,814.0","12,348.0","12,886.0","13,414.0","13,919.0","14,395.0","14,833.0","15,229.0","15,584.0","15,861.0","16,264.0","16,754.0","17,333.0","18,029.0","18,624.0","19,146.0","19,593.0","19,953.0","20,400.0","20,919.0","21,512.0","22,184.0","22,799.0","23,361.0","23,872.0","24,346.0","24,907.0","25,577.0","26,358.0","27,197.0","27,997.0","28,702.0","29,309.0","29,880.0","30,463.0","31,119.0","31,842.0","32,612.0","33,284.0","33,843.0","34,292.0","34,605.0","35,004.0","35,461.0","35,978.0","36,583.0","37,174.0","37,780.0","38,403.0","39,035.0","39,568.0","40,001.0","40,336.0","40,553.0","41,120.0","42,014.0","43,237.0","44,815.0","46,146.0","47,254.0","48,137.0","48,776.0","49,477.0","50,221.0","51,006.0","51,863.0","52,712.0","53,586.0","54,488.0","55,380.0","56,393.0","57,495.0","58,684.0","59,978.0","61,246.0","62,500.0","63,736.0","64,980.0","66,227.0","67,507.0","68,827.0","70,127.0","71,635.0","73,288.0","75,082.0","77,100.0","78,902.0","80,599.0","82,191.0"
"28","9","      Less: Capital consumption adjustment","Y0004C1","-3,119.0","-3,552.0","-3,868.0","-4,089.0","-4,234.0","-4,294.0","-4,282.0","-4,211.0","-4,087.0","-3,971.0","-3,865.0","-3,768.0","-3,719.0","-3,718.0","-3,805.0","-3,978.0","-4,209.0","-4,362.0","-4,405.0","-4,343.0","-4,189.0","-4,001.0","-3,795.0","-3,571.0","-3,322.0","-3,101.0","-2,906.0","-2,735.0","-2,572.0","-2,315.0","-1,943.0","-1,453.0","-899.0","-547.0","-453.0","-621.0","-988.0","-1,297.0","-1,487.0","-1,564.0","-1,548.0","-1,590.0","-1,707.0","-1,894.0","-2,179.0","-2,318.0","-2,340.0","-2,243.0","-1,998.0","-1,730.0","-1,410.0","-1,038.0","-619.0","-323.0","-152.0","-102.0","-194.0","33.0","558.0","1,383.0","2,533.0","3,426.0","4,089.0","4,519.0","4,696.0","4,896.0","5,101.0","5,307.0","5,545.0","5,717.0","5,854.0","5,960.0","5,996.0","6,059.0","6,116.0","6,165.0","6,225.0","6,246.0","6,239.0","6,202.0","6,160.0","6,068.0","5,956.0","5,832.0","5,636.0","5,557.0","5,532.0","5,558.0","5,716.0","5,649.0","5,466.0","5,169.0"
"29","10","    Households and institutions","W279RC1","2,713.0","2,904.0","3,067.0","3,200.0","3,304.0","3,394.0","3,470.0","3,531.0","3,578.0","3,629.0","3,683.0","3,742.0","3,805.0","3,898.0","4,020.0","4,174.0","4,356.0","4,515.0","4,647.0","4,753.0","4,835.0","4,916.0","4,997.0","5,079.0","5,162.0","5,240.0","5,315.0","5,387.0","5,456.0","5,537.0","5,631.0","5,736.0","5,855.0","5,985.0","6,126.0","6,279.0","6,443.0","6,592.0","6,723.0","6,838.0","6,936.0","7,027.0","7,109.0","7,184.0","7,250.0","7,329.0","7,418.0","7,518.0","7,630.0","7,739.0","7,843.0","7,944.0","8,042.0","8,133.0","8,220.0","8,301.0","8,377.0","8,455.0","8,535.0","8,618.0","8,703.0","8,795.0","8,892.0","8,994.0","9,102.0","9,220.0","9,347.0","9,484.0","9,629.0","9,789.0","9,961.0","10,148.0","10,348.0","10,553.0","10,765.0","10,981.0","11,203.0","11,424.0","11,644.0","11,862.0","12,079.0","12,313.0","12,562.0","12,826.0","13,106.0","13,431.0","13,803.0","14,220.0","14,683.0","15,089.0","15,438.0","15,730.0"
"30","11","  Government","A264RC1","11,457.0","11,452.0","11,560.0","11,393.0","10,899.0","10,585.0","10,507.0","10,292.0","10,229.0","9,872.0","9,543.0","9,339.0","9,080.0","8,918.0","9,015.0","9,383.0","9,683.0","9,862.0","10,110.0","10,392.0","10,577.0","10,892.0","11,290.0","11,542.0","11,824.0","12,107.0","12,224.0","12,382.0","12,599.0","12,948.0","13,133.0","13,412.0","13,501.0","13,662.0","14,043.0","14,365.0","14,828.0","15,149.0","15,495.0","15,791.0","16,213.0","16,514.0","16,829.0","17,068.0","17,027.0","17,311.0","17,697.0","18,022.0","18,259.0","18,483.0","18,738.0","19,002.0","19,278.0","19,535.0","19,826.0","20,102.0","20,381.0","20,654.0","20,958.0","21,306.0","21,728.0","22,004.0","22,504.0","22,998.0","23,329.0","23,707.0","23,998.0","24,343.0","24,655.0","24,966.0","25,257.0","25,535.0","25,854.0","26,228.0","26,613.0","26,963.0","27,341.0","27,888.0","28,363.0","28,898.0","29,345.0","29,849.0","30,471.0","31,108.0","31,842.0","32,404.0","32,966.0","33,676.0","34,389.0","35,120.0","35,717.0","36,493.0"
"31","12","    General government","A265RC1","11,066.0","11,075.0","11,152.0","10,972.0","10,466.0","10,134.0","10,027.0","9,805.0","9,743.0","9,386.0","9,057.0","8,854.0","8,595.0","8,425.0","8,491.0","8,839.0","9,117.0","9,280.0","9,511.0","9,786.0","9,962.0","10,262.0","10,636.0","10,870.0","11,154.0","11,431.0","11,528.0","11,682.0","11,895.0","12,237.0","12,409.0","12,680.0","12,768.0","12,912.0","13,264.0","13,571.0","14,006.0","14,302.0","14,623.0","14,905.0","15,308.0","15,579.0","15,881.0","16,114.0","16,071.0","16,337.0","16,701.0","17,010.0","17,246.0","17,468.0","17,713.0","17,957.0","18,219.0","18,450.0","18,731.0","18,985.0","19,255.0","19,508.0","19,793.0","20,125.0","20,527.0","20,780.0","21,260.0","21,728.0","22,045.0","22,407.0","22,681.0","22,993.0","23,291.0","23,582.0","23,848.0","24,102.0","24,391.0","24,737.0","25,097.0","25,419.0","25,764.0","26,267.0","26,709.0","27,211.0","27,617.0","28,096.0","28,680.0","29,275.0","29,955.0","30,469.0","30,991.0","31,631.0","32,277.0","32,953.0","33,494.0","34,196.0"
"32","13","    Government enterprises","A266RC1","391.0","377.0","408.0","421.0","433.0","451.0","480.0","487.0","486.0","486.0","486.0","485.0","485.0","493.0","524.0","544.0","566.0","582.0","599.0","606.0","615.0","630.0","654.0","672.0","670.0","676.0","696.0","700.0","704.0","711.0","724.0","732.0","733.0","750.0","779.0","794.0","822.0","847.0","872.0","886.0","905.0","935.0","948.0","954.0","956.0","974.0","996.0","1,012.0","1,013.0","1,015.0","1,025.0","1,045.0","1,059.0","1,085.0","1,095.0","1,117.0","1,126.0","1,146.0","1,165.0","1,181.0","1,201.0","1,224.0","1,244.0","1,270.0","1,284.0","1,300.0","1,317.0","1,350.0","1,364.0","1,384.0","1,409.0","1,433.0","1,463.0","1,491.0","1,516.0","1,544.0","1,577.0","1,621.0","1,654.0","1,687.0","1,728.0","1,753.0","1,791.0","1,833.0","1,887.0","1,935.0","1,975.0","2,045.0","2,112.0","2,167.0","2,223.0","2,297.0"
