"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"21","2","Personal consumption expenditures","DPCERX1","2,810,218.0","2,828,202.0","2,841,911.0","2,864,641.0","2,882,328.0","2,895,610.0","2,921,057.0","2,913,131.0","2,968,902.0","2,996,124.0","3,020,036.0","3,070,230.0","3,110,801.0","3,170,159.0","3,219,095.0","3,294,606.0","3,354,764.0","3,353,357.0","3,365,331.0","3,355,493.0","3,326,205.0","3,337,864.0","3,351,624.0","3,302,477.0","3,330,127.0","3,385,744.0","3,434,088.0","3,470,491.0","3,539,873.0","3,572,443.0","3,610,329.0","3,657,456.0","3,699,293.0","3,719,733.0","3,755,186.0","3,811,769.0","3,833,825.0","3,915,624.0","3,932,010.0","3,963,521.0","3,983,600.0","3,981,260.0","4,020,445.0","4,031,201.0","4,025,022.0","3,934,457.0","3,976,886.0","4,029,603.0","4,050,795.0","4,050,084.0","4,066,357.0","4,035,868.0","4,062,612.0","4,077,615.0","4,109,139.0","4,184,099.0","4,224,779.0","4,308,404.0","4,383,986.0","4,453,143.0","4,490,873.0","4,554,915.0","4,589,925.0","4,650,604.0","4,729,657.0","4,774,074.0","4,865,752.0","4,878,252.0","4,919,629.0","4,974,634.0","5,064,698.0","5,097,123.0","5,097,889.0","5,168,611.0","5,228,524.0","5,239,482.0","5,332,664.0","5,371,790.0","5,417,666.0","5,479,699.0","5,504,973.0","5,530,918.0","5,585,851.0","5,610,530.0","5,658,687.0","5,676,423.0","5,699,300.0","5,656,174.0","5,636,708.0","5,684,016.0","5,711,641.0","5,710,052.0","5,817,316.0","5,857,169.0","5,920,598.0","5,991,057.0","6,013,833.0","6,067,801.0","6,134,756.0","6,189,096.0","6,260,054.0","6,308,615.0","6,357,469.0","6,425,929.0","6,442,942.0","6,500,691.0","6,560,332.0","6,606,361.0","6,667,696.0","6,740,080.0","6,780,698.0","6,833,958.0","6,906,064.0","6,937,418.0","7,056,142.0","7,139,909.0","7,213,553.0","7,340,989.0","7,437,539.0","7,546,837.0","7,618,691.0","7,731,528.0","7,819,273.0","7,934,144.0","8,054,859.0","8,132,194.0","8,211,276.0","8,284,400.0","8,319,403.0","8,340,761.0","8,371,247.0","8,499,132.0","8,524,579.0","8,568,126.0","8,628,043.0","8,674,353.0","8,712,527.0","8,809,507.0","8,939,387.0","9,008,815.0","9,096,415.0","9,155,468.0","9,243,002.0","9,337,837.0","9,409,222.0","9,511,451.0","9,585,233.0","9,621,339.0","9,729,225.0","9,781,025.0","9,838,106.0","9,938,409.0","9,990,657.0","10,024,604.0","10,069,158.0","10,081,798.0","10,060,966.0","10,077,940.0","10,005,097.0","9,884,724.0","9,850,832.0","9,806,377.0","9,865,864.0","9,864,805.0","9,917,689.0","9,998,389.0","10,063,083.0","10,166,127.0","10,217,123.0","10,237,676.0","10,282,234.0","10,316,777.0","10,379,022.0","10,396,630.0","10,424,119.0","10,453,204.0","10,518,176.0","10,554,284.0","10,598,856.0","10,690,356.0","10,724,716.0","10,826,334.0","10,918,612.0","11,033,272.0","11,081,237.0","11,178,934.0","11,262,755.0"
"22","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,393,599.0","2,449,834.0","2,478,775.0","2,521,287.0","2,559,102.0","2,572,582.0","2,599,387.0","2,621,931.0","2,628,045.0","2,635,071.0","2,653,920.0","2,749,540.0","2,742,596.0","2,753,580.0","2,788,314.0","2,796,217.0","2,811,721.0","2,872,229.0","2,953,462.0","2,980,393.0","3,012,806.0","3,029,450.0","3,066,039.0","3,099,389.0","3,136,535.0","3,177,837.0","3,195,493.0","3,198,775.0","3,262,214.0","3,267,844.0","3,294,479.0","3,345,579.0","3,363,481.0","3,376,314.0","3,392,331.0","3,394,925.0","3,348,724.0","3,360,387.0","3,296,562.0","3,185,498.0","3,188,798.0","3,166,888.0","3,222,890.0","3,215,201.0","3,246,978.0","3,288,034.0","3,319,130.0","3,380,462.0","3,404,859.0","3,398,248.0","3,405,495.0","3,438,505.0","3,480,121.0","3,489,812.0","3,513,519.0","3,533,602.0","3,586,030.0","3,596,786.0","3,620,230.0","3,648,052.0","3,658,342.0","3,717,994.0","3,755,156.0","3,793,188.0","3,803,713.0","3,854,968.0","3,900,631.0"
"23","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","664,025.0","695,778.0","712,454.0","720,989.0","761,222.0","747,154.0","759,844.0","765,106.0","777,690.0","777,013.0","785,934.0","851,425.0","840,968.0","849,219.0","874,118.0","862,044.0","864,685.0","904,370.0","944,695.0","956,807.0","972,679.0","982,167.0","1,001,345.0","1,015,506.0","1,026,252.0","1,055,365.0","1,067,330.0","1,038,837.0","1,081,348.0","1,080,152.0","1,095,075.0","1,109,606.0","1,122,037.0","1,138,252.0","1,150,899.0","1,155,460.0","1,122,489.0","1,118,994.0","1,084,703.0","1,006,754.0","1,008,610.0","1,002,566.0","1,050,555.0","1,031,542.0","1,045,163.0","1,076,300.0","1,093,761.0","1,127,409.0","1,141,775.0","1,134,221.0","1,148,617.0","1,181,511.0","1,213,833.0","1,222,104.0","1,242,239.0","1,266,651.0","1,293,630.0","1,300,798.0","1,311,227.0","1,324,593.0","1,333,224.0","1,377,238.0","1,402,462.0","1,423,477.0","1,430,442.0","1,458,256.0","1,481,438.0"
"24","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,780,218.0","1,796,766.0","1,805,080.0","1,841,834.0","1,825,701.0","1,862,049.0","1,874,305.0","1,892,339.0","1,881,040.0","1,889,822.0","1,898,574.0","1,914,659.0","1,921,736.0","1,922,707.0","1,927,430.0","1,952,556.0","1,965,967.0","1,980,296.0","2,016,969.0","2,030,935.0","2,046,289.0","2,052,617.0","2,068,522.0","2,087,172.0","2,114,017.0","2,123,202.0","2,127,909.0","2,164,197.0","2,182,086.0","2,189,304.0","2,200,274.0","2,237,006.0","2,241,568.0","2,237,132.0","2,240,189.0","2,238,413.0","2,226,156.0","2,241,750.0","2,212,166.0","2,178,566.0","2,180,158.0","2,164,376.0","2,172,498.0","2,183,471.0","2,201,628.0","2,212,076.0","2,225,986.0","2,254,452.0","2,265,077.0","2,265,580.0","2,259,731.0","2,262,357.0","2,273,860.0","2,275,881.0","2,281,098.0","2,279,352.0","2,306,270.0","2,310,411.0","2,323,804.0","2,338,853.0","2,341,286.0","2,361,019.0","2,375,204.0","2,393,674.0","2,397,815.0","2,422,993.0","2,446,803.0"
"25","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,245,389.0","5,297,451.0","5,356,195.0","5,427,430.0","5,510,763.0","5,577,287.0","5,629,228.0","5,679,888.0","5,709,575.0","5,723,745.0","5,733,702.0","5,756,818.0","5,791,933.0","5,825,165.0","5,848,159.0","5,887,428.0","5,909,399.0","5,942,311.0","5,986,872.0","6,028,993.0","6,083,984.0","6,126,762.0","6,177,086.0","6,238,426.0","6,271,489.0","6,331,814.0","6,388,449.0","6,421,912.0","6,464,403.0","6,511,278.0","6,541,209.0","6,589,501.0","6,623,820.0","6,644,894.0","6,673,418.0","6,683,577.0","6,710,521.0","6,715,490.0","6,708,062.0","6,700,304.0","6,662,509.0","6,639,488.0","6,642,706.0","6,649,398.0","6,670,610.0","6,710,336.0","6,743,979.0","6,785,643.0","6,811,987.0","6,839,240.0","6,876,640.0","6,877,739.0","6,898,047.0","6,905,967.0","6,909,712.0","6,918,754.0","6,931,443.0","6,956,829.0","6,978,141.0","7,041,709.0","7,065,672.0","7,108,528.0","7,163,844.0","7,240,386.0","7,277,393.0","7,325,326.0","7,364,938.0"
"26","7","Gross private domestic investment","A006RX1","627,207.0","623,511.0","636,170.0","605,453.0","587,395.0","588,671.0","598,252.0","566,489.0","632,533.0","650,482.0","658,374.0","640,645.0","682,859.0","721,647.0","731,894.0","736,484.0","779,645.0","812,878.0","783,403.0","811,308.0","764,976.0","761,923.0","722,434.0","726,819.0","609,744.0","591,591.0","637,454.0","655,247.0","718,469.0","746,906.0","749,510.0","755,119.0","790,107.0","846,752.0","889,601.0","867,284.0","884,186.0","941,615.0","969,053.0","991,471.0","993,130.0","992,232.0","975,505.0","958,170.0","951,572.0","870,674.0","813,266.0","889,175.0","971,650.0","931,326.0","983,540.0","948,409.0","854,889.0","853,798.0","845,737.0","780,325.0","807,499.0","879,120.0","934,228.0","1,025,130.0","1,124,157.0","1,160,680.0","1,185,779.0","1,170,394.0","1,138,315.0","1,157,711.0","1,149,823.0","1,192,204.0","1,191,852.0","1,171,042.0","1,139,541.0","1,142,952.0","1,173,798.0","1,174,410.0","1,174,583.0","1,254,617.0","1,194,399.0","1,222,857.0","1,229,659.0","1,248,440.0","1,290,679.0","1,278,291.0","1,266,941.0","1,257,676.0","1,269,982.0","1,270,441.0","1,245,648.0","1,176,268.0","1,137,137.0","1,137,211.0","1,159,826.0","1,200,972.0","1,178,889.0","1,245,738.0","1,255,778.0","1,294,229.0","1,324,609.0","1,332,119.0","1,323,144.0","1,392,540.0","1,446,244.0","1,517,130.0","1,492,158.0","1,553,518.0","1,570,273.0","1,537,736.0","1,528,614.0","1,566,652.0","1,590,623.0","1,667,682.0","1,744,489.0","1,743,944.0","1,781,576.0","1,879,966.0","1,913,623.0","1,940,730.0","2,027,137.0","2,013,441.0","2,067,218.0","2,125,530.0","2,186,065.0","2,188,002.0","2,242,786.0","2,308,637.0","2,287,827.0","2,424,549.0","2,394,141.0","2,395,566.0","2,285,261.0","2,277,059.0","2,236,591.0","2,126,879.0","2,202,776.0","2,224,915.0","2,224,612.0","2,220,654.0","2,239,474.0","2,251,283.0","2,330,890.0","2,413,141.0","2,414,528.0","2,500,867.0","2,539,376.0","2,590,616.0","2,664,359.0","2,630,506.0","2,657,863.0","2,737,639.0","2,773,826.0","2,755,714.0","2,727,600.0","2,663,030.0","2,638,528.0","2,674,700.0","2,658,118.0","2,605,210.0","2,517,473.0","2,472,623.0","2,403,773.0","2,190,041.0","1,937,678.0","1,820,549.0","1,804,679.0","1,949,553.0","2,012,899.0","2,116,907.0","2,185,703.0","2,166,144.0","2,125,917.0","2,207,971.0","2,214,023.0","2,373,743.0","2,429,596.0","2,489,145.0","2,482,018.0","2,462,188.0","2,505,066.0","2,537,163.0","2,619,745.0","2,647,063.0","2,630,497.0","2,709,529.0","2,758,091.0","2,772,531.0","2,830,243.0","2,864,783.0","2,862,432.0"
"27","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,101,595.0","2,151,180.0","2,200,356.0","2,210,480.0","2,272,047.0","2,322,913.0","2,332,421.0","2,337,497.0","2,325,442.0","2,294,672.0","2,276,114.0","2,223,834.0","2,210,734.0","2,205,168.0","2,197,807.0","2,190,886.0","2,206,758.0","2,254,398.0","2,325,897.0","2,370,882.0","2,362,496.0","2,422,796.0","2,471,981.0","2,518,165.0","2,558,759.0","2,599,207.0","2,640,370.0","2,645,467.0","2,700,691.0","2,676,837.0","2,649,578.0","2,622,813.0","2,618,196.0","2,624,924.0","2,608,988.0","2,586,278.0","2,539,068.0","2,503,371.0","2,424,133.0","2,263,786.0","2,089,264.0","2,010,953.0","2,008,428.0","1,994,093.0","1,997,920.0","2,062,785.0","2,060,796.0","2,103,121.0","2,098,415.0","2,140,172.0","2,227,456.0","2,280,592.0","2,360,357.0","2,399,811.0","2,400,427.0","2,441,044.0","2,470,627.0","2,486,258.0","2,509,525.0","2,541,034.0","2,578,329.0","2,613,438.0","2,663,508.0","2,679,735.0","2,701,352.0","2,735,489.0","2,758,371.0"
"28","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,458,952.0","1,497,288.0","1,539,287.0","1,544,871.0","1,599,914.0","1,650,511.0","1,667,915.0","1,672,321.0","1,658,830.0","1,621,165.0","1,599,967.0","1,553,614.0","1,522,057.0","1,501,855.0","1,492,990.0","1,475,082.0","1,478,588.0","1,514,321.0","1,544,672.0","1,566,776.0","1,549,373.0","1,583,822.0","1,626,857.0","1,661,406.0","1,681,939.0","1,706,109.0","1,737,382.0","1,744,349.0","1,808,675.0","1,831,263.0","1,853,116.0","1,865,160.0","1,897,167.0","1,934,428.0","1,964,431.0","1,997,566.0","1,998,101.0","1,986,585.0","1,932,967.0","1,820,128.0","1,688,277.0","1,633,987.0","1,613,076.0","1,598,428.0","1,615,049.0","1,659,272.0","1,692,776.0","1,728,089.0","1,724,133.0","1,760,969.0","1,840,809.0","1,883,125.0","1,938,142.0","1,973,665.0","1,963,385.0","1,981,394.0","2,000,685.0","2,005,664.0","2,023,115.0","2,065,516.0","2,106,877.0","2,129,833.0","2,176,320.0","2,179,997.0","2,188,584.0","2,210,635.0","2,223,715.0"
"29","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","497,579.0","492,420.0","492,169.0","497,302.0","507,792.0","529,035.0","547,578.0","549,515.0","534,043.0","536,900.0","541,175.0","489,449.0","463,448.0","438,027.0","417,282.0","411,434.0","408,499.0","419,304.0","417,519.0","418,040.0","409,263.0","411,580.0","417,897.0","417,742.0","423,057.0","420,898.0","418,629.0","422,337.0","437,796.0","450,909.0","458,887.0","458,361.0","474,837.0","500,564.0","523,996.0","536,785.0","539,006.0","547,732.0","543,687.0","530,319.0","490,467.0","453,258.0","422,590.0","386,529.0","359,687.0","369,844.0","364,356.0","371,219.0","343,008.0","366,698.0","388,181.0","400,947.0","419,515.0","429,887.0","425,501.0","417,470.0","411,035.0","422,590.0","440,351.0","444,730.0","464,626.0","464,439.0","462,275.0","467,142.0","458,226.0","465,192.0","456,654.0"
"30","11","      Equipment","Y033RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","635,448.0","658,042.0","680,323.0","675,917.0","706,447.0","732,546.0","735,070.0","733,678.0","728,067.0","697,840.0","679,725.0","676,998.0","665,500.0","657,936.0","659,441.0","649,218.0","649,522.0","671,273.0","690,958.0","704,330.0","692,838.0","719,857.0","744,629.0","767,404.0","774,156.0","790,997.0","817,865.0","823,400.0","866,526.0","869,558.0","871,863.0","875,225.0","886,118.0","896,238.0","900,939.0","910,048.0","899,371.0","876,633.0","831,612.0","736,752.0","653,898.0","631,603.0","639,852.0","651,880.0","697,659.0","735,152.0","766,159.0","787,840.0","810,612.0","819,307.0","870,986.0","890,767.0","924,387.0","943,980.0","935,981.0","952,642.0","967,363.0","965,335.0","956,006.0","989,327.0","997,866.0","1,013,745.0","1,053,078.0","1,040,036.0","1,045,995.0","1,046,907.0","1,070,924.0"
"31","12","      Intellectual property products","Y001RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","371,292.0","385,301.0","400,348.0","407,589.0","419,384.0","425,316.0","427,524.0","431,987.0","435,120.0","430,154.0","426,601.0","420,073.0","419,774.0","425,847.0","430,087.0","427,943.0","433,038.0","436,594.0","446,172.0","452,894.0","454,685.0","457,838.0","468,593.0","478,436.0","487,036.0","494,990.0","499,944.0","498,018.0","503,753.0","511,021.0","522,943.0","532,129.0","537,047.0","538,894.0","541,093.0","552,388.0","561,231.0","563,316.0","558,166.0","552,500.0","543,590.0","549,405.0","550,888.0","559,808.0","557,604.0","554,736.0","562,983.0","569,956.0","571,874.0","576,331.0","583,542.0","593,284.0","596,143.0","601,686.0","603,722.0","613,750.0","625,336.0","620,329.0","628,283.0","633,663.0","645,741.0","653,391.0","663,849.0","675,017.0","687,101.0","700,966.0","699,479.0"
"32","13","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","622,958.0","632,660.0","637,415.0","642,067.0","645,257.0","641,947.0","631,964.0","632,615.0","635,333.0","645,175.0","649,193.0","645,028.0","666,173.0","682,712.0","684,731.0","697,060.0","709,797.0","720,996.0","762,348.0","785,001.0","794,183.0","819,482.0","825,261.0","836,661.0","856,407.0","872,294.0","881,881.0","879,861.0","871,657.0","827,827.0","781,646.0","745,152.0","711,154.0","682,691.0","639,186.0","586,106.0","540,012.0","516,336.0","490,895.0","443,568.0","400,967.0","376,951.0","395,385.0","395,667.0","382,964.0","403,504.0","368,102.0","375,121.0","374,392.0","379,329.0","386,771.0","397,594.0","422,467.0","426,327.0","437,269.0","459,818.0","469,917.0","480,315.0","486,045.0","475,915.0","472,602.0","484,421.0","488,490.0","500,229.0","512,436.0","524,001.0","533,284.0"
"33","14","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","25,066.0","57,519.0","-13,027.0","80,816.0","56,015.0","76,649.0","70,560.0","15,466.0","25,221.0","39,620.0","93,644.0","87,228.0","36,854.0","77,067.0","79,854.0","78,174.0","112,784.0","113,525.0","90,212.0"
"34","15","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-340,446.0","-371,113.0","-393,900.0","-402,884.0","-448,988.0","-464,862.0","-493,522.0","-503,759.0","-493,971.0","-483,768.0","-508,723.0","-521,794.0","-546,047.0","-567,703.0","-585,128.0","-638,430.0","-620,325.0","-649,705.0","-642,079.0","-655,364.0","-676,132.0","-739,963.0","-753,022.0","-769,925.0","-774,147.0","-773,540.0","-777,679.0","-803,875.0","-798,980.0","-799,103.0","-819,709.0","-759,291.0","-771,013.0","-753,725.0","-703,152.0","-622,583.0","-623,695.0","-550,382.0","-526,919.0","-530,282.0","-451,324.0","-366,333.0","-383,643.0","-380,448.0","-408,776.0","-469,707.0","-498,445.0","-458,094.0","-466,181.0","-455,249.0","-454,323.0","-461,679.0","-462,696.0","-452,688.0","-446,802.0","-426,044.0","-425,925.0","-434,161.0","-428,306.0","-381,526.0","-434,023.0","-443,277.0","-429,121.0","-463,608.0","-541,151.0","-534,567.0","-544,118.0"
