"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"38","18","    Durable goods industries","N355RX1","29,998.0","56,489.0","34,677.0","49,936.0","76,664.0","24,952.0","35,416.0","36,692.0","57,993.0","13,118.0","29,497.0","67,268.0","19,293.0","64,646.0","36,079.0","38,853.0","-49,499.0","-27,827.0","-37,972.0","-84,228.0","8,858.0","19,006.0","17,090.0","34,926.0","31,974.0","3,327.0","-8,546.0","38,753.0","38,435.0","53,977.0","41,396.0","34,856.0","70,675.0","22,124.0","21,115.0","64,787.0","27,234.0","45,990.0","53,403.0","15,599.0","17,143.0","4,212.0","14,523.0","28,343.0","-18,737.0","-45,136.0","-7,923.0","-25,265.0","-140,568.0","-145,493.0","-134,180.0","-47,754.0","22,255.0","34,820.0","64,624.0","29,227.0","44,816.0","44,324.0","33,197.0","39,790.0","56,317.0","71,491.0","58,797.0","24,683.0","25,606.0","25,509.0","56,481.0","60,613.0","47,675.0","54,466.0","64,630.0","43,463.0","57,910.0","55,400.0","39,978.0"
"39","19","    Nondurable goods industries","N357RX1","19,595.0","54,676.0","46,323.0","42,107.0","46,591.0","23,946.0","30,554.0","33,041.0","36,018.0","33,591.0","20,519.0","36,203.0","2,737.0","41,179.0","31,661.0","23,406.0","16,184.0","18,092.0","4,304.0","-6,599.0","-14,303.0","6,390.0","14,970.0","-2,112.0","2,738.0","-3,859.0","17,096.0","6,616.0","17,140.0","26,869.0","29,008.0","41,252.0","39,326.0","10,551.0","-3,345.0","29,687.0","51,682.0","38,202.0","27,908.0","26,045.0","2,096.0","45,261.0","35,501.0","-4,978.0","-1,583.0","16,433.0","-12,259.0","-41,213.0","-4,093.0","-44,558.0","-71,758.0","-1,872.0","-11,824.0","14,460.0","52,215.0","29,353.0","-16,849.0","15,191.0","-42,083.0","41,500.0","3,810.0","10,001.0","15,363.0","-6,811.0","1,574.0","15,242.0","39,292.0","29,480.0","-6,954.0","25,260.0","18,936.0","35,551.0","55,922.0","58,881.0","50,553.0"
"40","20","  Nonfarm industries","A015RX1","59,289.0","104,158.0","71,100.0","87,257.0","121,130.0","51,367.0","63,873.0","69,118.0","97,465.0","43,629.0","60,569.0","109,052.0","41,014.0","101,429.0","69,728.0","56,344.0","-43,460.0","-9,660.0","-38,035.0","-92,194.0","-6,054.0","35,797.0","35,459.0","36,752.0","33,034.0","674.0","7,365.0","48,632.0","50,748.0","65,941.0","62,794.0","70,302.0","115,839.0","32,128.0","14,929.0","92,554.0","76,925.0","90,756.0","87,661.0","46,175.0","16,396.0","53,233.0","52,302.0","24,124.0","-15,004.0","-28,808.0","-25,693.0","-70,361.0","-144,154.0","-189,265.0","-201,616.0","-48,832.0","12,907.0","54,642.0","126,789.0","69,103.0","25,201.0","58,895.0","-15,885.0","78,343.0","65,811.0","92,026.0","97,704.0","35,256.0","23,508.0","32,944.0","84,015.0","76,603.0","36,197.0","74,510.0","74,479.0","74,902.0","106,764.0","110,992.0","85,140.0"
"41","21","  Wholesale trade","N658RX1","23,851.0","40,004.0","19,840.0","36,263.0","37,339.0","16,398.0","33,891.0","18,381.0","27,199.0","9,789.0","26,236.0","31,123.0","20,020.0","29,820.0","16,789.0","25,888.0","-7,143.0","-7,674.0","-28,248.0","-17,905.0","-8,521.0","6,905.0","5,487.0","-2,416.0","-6,681.0","-5,123.0","275.0","19,096.0","15,904.0","20,183.0","34,503.0","26,363.0","47,811.0","25,991.0","13,674.0","36,112.0","23,480.0","31,062.0","31,387.0","9,385.0","12,951.0","15,868.0","22,563.0","12,110.0","15,044.0","31,368.0","16,092.0","10,520.0","-70,768.0","-88,476.0","-80,914.0","-7,410.0","5,751.0","15,509.0","54,927.0","22,969.0","4,768.0","36,608.0","-7,104.0","32,238.0","12,642.0","25,965.0","48,363.0","16,035.0","17,412.0","4,128.0","32,256.0","44,089.0","26,972.0","22,139.0","31,985.0","37,421.0","48,658.0","40,127.0","26,993.0"
"42","22","    Merchant wholesale trade","N151RX1","22,576.0","36,548.0","18,385.0","30,031.0","32,795.0","15,985.0","31,678.0","15,417.0","24,645.0","5,461.0","22,296.0","28,615.0","15,866.0","23,390.0","10,933.0","22,298.0","-3,738.0","-3,071.0","-18,624.0","-14,028.0","-3,586.0","4,127.0","4,637.0","-706.0","-3,701.0","-4,120.0","755.0","16,460.0","14,747.0","16,688.0","29,705.0","26,927.0","31,935.0","19,838.0","11,670.0","23,836.0","15,551.0","27,846.0","24,871.0","3,228.0","7,058.0","9,576.0","14,011.0","9,126.0","-8,734.0","14,788.0","16,863.0","610.0","-51,160.0","-70,646.0","-64,282.0","1,692.0","65.0","12,426.0","48,944.0","21,151.0","275.0","29,980.0","-8,924.0","28,645.0","11,576.0","24,866.0","38,987.0","10,993.0","17,818.0","4,161.0","31,922.0","38,956.0","34,050.0","24,286.0","37,009.0","40,018.0","41,289.0","37,799.0","25,766.0"
"43","23","      Durable goods industries","N626RX1","15,482.0","25,926.0","8,320.0","15,475.0","24,159.0","9,616.0","21,861.0","11,344.0","16,155.0","9,640.0","10,523.0","20,084.0","9,834.0","21,250.0","5,530.0","10,727.0","-4,255.0","-21,468.0","-18,381.0","-17,509.0","-8,347.0","-172.0","6,488.0","-7,767.0","6,646.0","-477.0","-4,539.0","10,345.0","17,227.0","20,513.0","26,310.0","17,208.0","22,659.0","18,729.0","6,651.0","21,231.0","10,100.0","24,140.0","19,120.0","6,803.0","7,976.0","-4,395.0","-872.0","8,006.0","7,460.0","2,599.0","21,085.0","-5,113.0","-56,766.0","-54,232.0","-45,073.0","-21,925.0","7,902.0","3,182.0","22,049.0","18,366.0","10,396.0","26,477.0","16,046.0","15,740.0","17,953.0","24,771.0","19,388.0","18,034.0","15,724.0","1,442.0","17,964.0","21,815.0","18,769.0","24,956.0","26,829.0","13,950.0","26,671.0","15,670.0","3,143.0"
"44","24","      Nondurable goods industries","N627RX1","6,342.0","9,149.0","10,797.0","15,153.0","7,121.0","6,285.0","8,799.0","3,388.0","7,993.0","-5,931.0","12,424.0","7,691.0","5,909.0","512.0","5,594.0","12,016.0","941.0","21,876.0","1,147.0","5,216.0","5,896.0","4,744.0","-2,422.0","8,032.0","-11,440.0","-3,863.0","5,907.0","6,073.0","-3,311.0","-4,889.0","2,399.0","9,508.0","8,844.0","417.0","5,020.0","2,113.0","5,451.0","3,172.0","5,475.0","-3,845.0","-1,232.0","14,250.0","15,000.0","1,044.0","-15,591.0","11,605.0","-3,663.0","5,390.0","5,883.0","-16,424.0","-19,253.0","23,394.0","-7,696.0","9,154.0","26,686.0","3,236.0","-9,089.0","4,657.0","-22,229.0","12,698.0","-4,801.0","1,590.0","19,175.0","-5,081.0","2,975.0","2,549.0","13,915.0","17,104.0","15,152.0","833.0","10,871.0","25,075.0","15,011.0","21,633.0","21,489.0"
"45","25","    Nonmerchant wholesale trade","N152RX1","1,284.0","3,474.0","1,449.0","6,302.0","4,574.0","351.0","2,135.0","3,015.0","2,509.0","4,480.0","3,976.0","2,493.0","4,206.0","6,497.0","5,906.0","3,631.0","-3,466.0","-4,708.0","-9,843.0","-3,984.0","-5,140.0","2,879.0","869.0","-1,764.0","-3,047.0","-1,022.0","-505.0","2,653.0","1,131.0","3,527.0","4,827.0","-549.0","15,843.0","6,143.0","2,011.0","11,973.0","7,755.0","3,309.0","6,469.0","6,040.0","5,762.0","6,153.0","8,385.0","2,909.0","22,836.0","16,055.0","-220.0","10,203.0","-19,772.0","-17,887.0","-16,621.0","-8,892.0","5,494.0","3,069.0","6,087.0","1,902.0","4,269.0","6,578.0","1,608.0","3,709.0","1,135.0","1,304.0","9,275.0","4,885.0","-214.0","13.0","650.0","5,289.0","-6,433.0","-1,919.0","-4,498.0","-2,402.0","7,418.0","2,326.0","1,218.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Chained (2009) dollar series for real change in private inventories are calculated as the period-to-period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","change in chained-dollar end-of-period inventories. Quarterly changes in end-of-period inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","stated at annual rates. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
