"","Table 5#8#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RX1","783,918.0","792,301.0","801,987.0","807,234.0","808,189.0","812,634.0","817,103.0","813,389.0","823,914.0","832,870.0","841,382.0","840,891.0","843,965.0","854,036.0","864,812.0","869,140.0","876,238.0","890,111.0","896,725.0","912,073.0","919,558.0","929,374.0","932,514.0","944,097.0","939,430.0","931,245.0","929,936.0","930,022.0","938,670.0","951,680.0","963,435.0","967,729.0","975,043.0","985,957.0","1,005,113.0","1,015,189.0","1,027,232.0","1,039,026.0","1,051,046.0","1,065,339.0","1,076,162.0","1,088,406.0","1,092,917.0","1,096,161.0","1,099,747.0","1,102,808.0","1,089,587.0","1,085,837.0","1,101,114.0","1,104,943.0","1,120,707.0","1,128,722.0","1,121,190.0","1,119,711.0","1,121,356.0","1,106,992.0","1,093,609.0","1,091,504.0","1,090,776.0","1,098,380.0","1,122,596.0","1,145,362.0","1,169,130.0","1,184,097.0","1,188,722.0","1,195,503.0","1,201,203.0","1,211,688.0","1,220,989.0","1,225,514.0","1,222,915.0","1,220,714.0","1,230,741.0","1,236,363.0","1,235,879.0","1,257,001.0","1,261,645.0","1,268,087.0","1,273,447.0","1,280,811.0","1,295,365.0","1,306,512.0","1,309,592.0","1,314,062.0","1,318,163.0","1,328,434.0","1,335,159.0","1,331,998.0","1,327,005.0","1,321,082.0","1,321,331.0","1,330,035.0","1,330,694.0","1,337,023.0","1,342,828.0","1,349,487.0","1,360,982.0","1,368,737.0","1,369,251.0","1,373,564.0","1,387,230.0","1,411,901.0","1,427,305.0","1,448,952.0","1,467,055.0","1,477,385.0","1,479,734.0","1,483,512.0","1,484,021.0","1,491,433.0","1,507,804.0","1,517,346.0","1,530,198.0","1,558,419.0","1,578,641.0","1,602,152.0"
"21","2","Farm \2\","B372RX1","162,127.0","163,191.0","162,573.0","161,184.0","162,011.0","162,408.0","161,185.0","158,497.0","160,311.0","163,234.0","164,745.0","163,124.0","163,227.0","164,841.0","165,424.0","163,593.0","161,105.0","164,017.0","165,140.0","165,612.0","164,243.0","164,220.0","164,429.0","160,674.0","164,894.0","166,389.0","166,355.0","167,159.0","167,096.0","166,581.0","167,813.0","165,387.0","164,053.0","167,120.0","171,303.0","173,546.0","172,674.0","172,811.0","175,729.0","175,874.0","177,640.0","179,055.0","180,910.0","180,659.0","179,843.0","178,125.0","174,340.0","172,575.0","175,536.0","178,541.0","182,457.0","183,911.0","185,739.0","187,568.0","190,771.0","192,375.0","189,275.0","185,467.0","175,639.0","172,720.0","174,759.0","176,589.0","178,795.0","179,846.0","182,208.0","183,513.0","186,086.0","187,777.0","188,061.0","186,368.0","185,314.0","185,222.0","182,481.0","178,565.0","176,968.0","174,954.0","172,602.0","168,466.0","165,115.0","160,165.0","162,060.0","163,004.0","161,561.0","160,150.0","160,651.0","160,108.0","161,282.0","168,550.0","168,621.0","168,416.0","164,989.0","166,462.0","169,226.0","172,248.0","173,679.0","174,522.0","173,303.0","172,250.0","167,035.0","166,045.0","171,465.0","177,431.0","180,610.0","181,594.0","180,218.0","176,438.0","169,179.0","166,829.0","165,705.0","167,935.0","175,269.0","176,284.0","174,044.0","176,222.0","178,723.0","180,381.0"
"22","3","Nonfarm","A373RX1","608,929.0","616,223.0","626,838.0","633,830.0","633,825.0","637,904.0","643,918.0","643,301.0","651,903.0","657,563.0","664,471.0","665,950.0","669,004.0","677,417.0","687,993.0","695,249.0","707,010.0","717,534.0","722,999.0","739,733.0","750,649.0","761,533.0","764,736.0","782,573.0","772,037.0","761,443.0","760,078.0","759,079.0","768,206.0","782,441.0","793,119.0","800,370.0","809,425.0","817,048.0","831,838.0","839,546.0","852,962.0","865,101.0","873,969.0","888,822.0","897,886.0","908,962.0","911,224.0","914,928.0","919,718.0","925,015.0","916,046.0","914,431.0","926,688.0","927,143.0","938,859.0","945,384.0","935,977.0","932,609.0","931,067.0","915,268.0","904,996.0","906,783.0","916,124.0","926,867.0","949,223.0","970,301.0","991,889.0","1,005,771.0","1,008,081.0","1,013,557.0","1,016,840.0","1,025,610.0","1,034,513.0","1,040,411.0","1,038,784.0","1,036,736.0","1,048,890.0","1,057,889.0","1,058,866.0","1,081,557.0","1,088,335.0","1,098,761.0","1,107,498.0","1,120,078.0","1,132,755.0","1,142,992.0","1,147,549.0","1,153,481.0","1,157,061.0","1,167,917.0","1,173,439.0","1,168,532.0","1,163,456.0","1,157,721.0","1,161,251.0","1,168,548.0","1,166,590.0","1,170,003.0","1,174,463.0","1,180,361.0","1,193,029.0","1,201,804.0","1,207,296.0","1,212,656.0","1,221,039.0","1,240,032.0","1,252,523.0","1,273,149.0","1,292,424.0","1,306,049.0","1,314,891.0","1,320,923.0","1,322,539.0","1,327,892.0","1,337,247.0","1,345,866.0","1,360,688.0","1,386,728.0","1,404,503.0","1,426,317.0"
"23","4","    Durable goods \3\","A374RX1","299,877.0","303,035.0","308,708.0","313,941.0","312,843.0","312,728.0","316,872.0","312,594.0","317,615.0","319,513.0","323,645.0","321,040.0","322,909.0","326,639.0","331,930.0","338,913.0","346,790.0","356,293.0","365,540.0","374,387.0","379,298.0","382,301.0","387,484.0","399,269.0","394,813.0","391,023.0","387,533.0","382,879.0","385,377.0","391,996.0","398,686.0","404,799.0","408,559.0","411,939.0","418,231.0","423,178.0","432,621.0","440,452.0","445,348.0","455,682.0","465,071.0","473,397.0","474,796.0","476,864.0","477,723.0","476,823.0","470,529.0","472,830.0","476,550.0","479,822.0","483,296.0","482,568.0","475,566.0","475,421.0","474,387.0","461,299.0","450,826.0","451,572.0","455,084.0","462,627.0","475,197.0","486,983.0","499,085.0","510,080.0","510,223.0","512,146.0","511,013.0","513,267.0","517,049.0","517,872.0","512,943.0","509,742.0","517,910.0","524,148.0","522,198.0","535,642.0","537,684.0","541,921.0","549,964.0","559,983.0","570,312.0","575,036.0","575,218.0","580,268.0","580,373.0","586,174.0","590,641.0","587,645.0","578,619.0","571,155.0","571,965.0","571,333.0","567,093.0","568,803.0","568,265.0","567,472.0","573,914.0","577,396.0","580,122.0","584,953.0","591,246.0","601,794.0","609,663.0","620,653.0","632,579.0","640,766.0","646,418.0","653,707.0","656,156.0","660,921.0","670,417.0","672,526.0","680,140.0","695,255.0","704,930.0","671,250.0"
"24","5","    Nondurable goods \3\","A375RX1","308,226.0","312,514.0","317,272.0","318,347.0","319,856.0","324,843.0","326,265.0","331,450.0","334,711.0","338,801.0","341,274.0","346,688.0","347,716.0","352,548.0","357,782.0","356,757.0","359,918.0","359,576.0","353,964.0","361,691.0","367,782.0","376,191.0","373,352.0","378,686.0","372,438.0","365,269.0","368,096.0","372,802.0","379,960.0","387,671.0","391,263.0","391,689.0","397,171.0","401,512.0","410,284.0","412,707.0","415,842.0","419,595.0","423,401.0","426,986.0","425,195.0","427,133.0","427,953.0","429,555.0","433,822.0","440,768.0","438,504.0","433,955.0","442,900.0","439,530.0","448,181.0","456,264.0","454,425.0","450,838.0","450,387.0","449,030.0","450,684.0","451,764.0","457,874.0","460,441.0","469,742.0","478,587.0","487,596.0","489,164.0","491,636.0","495,422.0","500,743.0","507,928.0","513,168.0","518,974.0","523,927.0","525,924.0","529,010.0","531,063.0","534,905.0","543,249.0","548,471.0","554,981.0","554,237.0","555,321.0","556,139.0","561,758.0","566,871.0","567,003.0","571,030.0","575,906.0","576,388.0","574,660.0","580,616.0","583,848.0","586,821.0","596,065.0","599,429.0","601,120.0","606,971.0","614,811.0","620,951.0","626,499.0","629,250.0","629,047.0","630,402.0","638,410.0","642,438.0","651,761.0","658,281.0","663,230.0","666,011.0","663,511.0","662,235.0","662,268.0","660,862.0","667,886.0","675,066.0","685,268.0","693,321.0","628,237.0"
"25","6","  Manufacturing","A376RX1","306,388.0","308,661.0","312,482.0","316,087.0","315,041.0","315,607.0","317,400.0","316,047.0","316,374.0","315,276.0","313,834.0","312,244.0","312,867.0","314,933.0","319,496.0","320,789.0","326,064.0","331,628.0","336,463.0","344,518.0","349,323.0","356,420.0","361,795.0","370,491.0","370,156.0","365,317.0","361,231.0","361,184.0","362,698.0","367,696.0","372,893.0","378,405.0","379,381.0","382,272.0","387,313.0","388,991.0","390,613.0","396,337.0","401,068.0","406,840.0","410,845.0","415,348.0","418,375.0","422,463.0","428,720.0","430,524.0","423,711.0","422,924.0","427,316.0","427,231.0","430,452.0","428,571.0","424,311.0","419,227.0","416,682.0","409,404.0","398,450.0","400,290.0","403,880.0","408,857.0","417,142.0","430,734.0","442,802.0","444,431.0","441,626.0","441,288.0","438,629.0","436,640.0","434,445.0","434,833.0","431,389.0","432,020.0","432,001.0","433,327.0","436,519.0","442,365.0","446,566.0","450,931.0","454,302.0","463,107.0","469,001.0","475,960.0","480,064.0","480,497.0","485,485.0","487,842.0","491,463.0","491,371.0","489,835.0","484,616.0","483,183.0","483,095.0","480,043.0","477,980.0","480,194.0","477,289.0","478,106.0","481,137.0","482,770.0","481,727.0","484,950.0","488,786.0","491,971.0","496,537.0","503,037.0","507,703.0","511,548.0","513,747.0","519,023.0","517,983.0","522,288.0","526,147.0","531,053.0","538,405.0","544,720.0","553,109.0"
"26","7","    Durable goods","B377RX1","172,802.0","174,222.0","175,940.0","179,227.0","178,072.0","177,239.0","179,200.0","177,673.0","177,454.0","175,728.0","174,377.0","172,076.0","172,502.0","173,237.0","176,387.0","178,332.0","182,102.0","186,431.0","192,581.0","198,254.0","200,856.0","203,619.0","207,575.0","212,735.0","212,962.0","210,872.0","206,705.0","203,333.0","203,129.0","205,323.0","207,968.0","212,303.0","212,983.0","213,393.0","215,678.0","217,040.0","219,278.0","223,599.0","227,129.0","231,193.0","235,587.0","239,847.0","241,964.0","245,921.0","248,212.0","248,920.0","245,483.0","245,920.0","248,284.0","247,432.0","250,058.0","247,977.0","243,766.0","242,495.0","239,889.0","233,891.0","226,158.0","227,090.0","227,526.0","231,436.0","236,244.0","244,386.0","252,696.0","256,140.0","254,818.0","254,671.0","253,188.0","249,688.0","248,295.0","247,474.0","245,434.0","243,907.0","243,361.0","244,550.0","246,331.0","249,720.0","252,000.0","254,573.0","257,148.0","263,232.0","268,131.0","271,717.0","273,701.0","274,582.0","277,118.0","278,453.0","280,247.0","279,970.0","277,342.0","273,222.0","271,726.0","269,594.0","266,524.0","264,427.0","263,872.0","260,805.0","261,058.0","262,778.0","264,665.0","264,943.0","267,177.0","270,181.0","271,950.0","274,989.0","278,462.0","281,037.0","284,236.0","287,011.0","291,399.0","292,016.0","295,609.0","297,698.0","300,257.0","304,857.0","309,008.0","314,162.0"
"27","8","    Nondurable goods","B378RX1","133,453.0","134,231.0","136,557.0","136,220.0","136,629.0","138,644.0","137,965.0","138,557.0","139,325.0","140,555.0","140,766.0","142,268.0","142,422.0","143,991.0","145,081.0","143,774.0","144,856.0","145,492.0","142,608.0","144,498.0","146,735.0","151,532.0","152,594.0","156,028.0","155,313.0","152,325.0","153,072.0","157,613.0","159,743.0","162,792.0","165,456.0","166,139.0","166,385.0","169,351.0","172,335.0","172,480.0","171,313.0","172,251.0","173,074.0","174,420.0","173,089.0","172,581.0","173,328.0","172,800.0","177,233.0","178,427.0","174,904.0","173,358.0","175,415.0","176,453.0","176,761.0","177,344.0","177,999.0","173,544.0","174,080.0","173,595.0","171,064.0","172,015.0","175,863.0","176,435.0","179,843.0","185,063.0","188,115.0","185,102.0","183,489.0","183,272.0","182,085.0","184,776.0","184,025.0","185,786.0","184,404.0","187,597.0","188,408.0","188,317.0","189,729.0","192,130.0","194,087.0","195,814.0","196,278.0","198,447.0","198,696.0","202,220.0","204,491.0","203,756.0","206,322.0","207,337.0","209,262.0","209,530.0","211,303.0","210,683.0","211,013.0","213,891.0","214,477.0","214,895.0","218,366.0","219,086.0","219,728.0","221,029.0","220,404.0","218,751.0","219,583.0","220,098.0","221,527.0","222,898.0","225,962.0","228,048.0","228,395.0","227,401.0","227,945.0","226,003.0","226,446.0","228,239.0","230,635.0","233,259.0","235,259.0","238,385.0"
