"","Table 7#10# Dividends Paid and Received by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19",NA,"      Monetary dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Monetary dividends paid","A2218C1","34,825.0","35,287.0","37,476.0","40,936.0","49,025.0","59,673.0","51,922.0","64,468.0","74,677.0","81,303.0","97,007.0","107,460.0","115,753.0","124,928.0","128,347.0","137,591.0","143,383.0","156,775.0","162,196.0","205,745.0","236,312.0","247,458.0","253,480.0","268,028.0","284,509.0","328,261.0","366,007.0","431,302.0","489,347.0","518,702.0","527,229.0","573,501.0","538,967.0","564,839.0","636,050.0","805,727.0","1,121,563.0","1,069,820.0","1,220,982.0","1,261,592.0","990,321.0","1,018,298.0","1,145,256.0","1,349,054.0","1,473,343.0","1,455,495.0"
"21","2","  Domestic corporate business \1\","A2219C1","29,976.0","30,241.0","31,411.0","34,405.0","40,469.0","48,055.0","43,300.0","52,792.0","60,528.0","66,582.0","77,099.0","85,968.0","95,021.0","101,075.0","108,821.0","117,941.0","122,394.0","128,902.0","134,284.0","160,617.0","188,434.0","203,800.0","212,034.0","223,345.0","245,042.0","268,609.0","307,448.0","362,228.0","409,357.0","435,455.0","434,741.0","487,344.0","451,761.0","472,188.0","535,037.0","670,084.0","758,224.0","883,805.0","972,000.0","945,227.0","753,167.0","770,304.0","846,660.0","1,017,465.0","1,157,981.0","1,146,909.0"
"22","3","    Financial","B1440C1","4,979.0","5,629.0","5,923.0","6,291.0","7,230.0","7,119.0","7,237.0","7,784.0","9,110.0","10,609.0","12,495.0","13,349.0","15,995.0","15,404.0","16,647.0","20,475.0","22,997.0","25,217.0","28,183.0","32,680.0","40,557.0","45,253.0","49,280.0","48,416.0","59,743.0","69,824.0","84,056.0","111,983.0","131,077.0","136,206.0","150,365.0","173,986.0","152,439.0","167,090.0","185,843.0","239,322.0","287,163.0","333,053.0","395,111.0","363,026.0","262,747.0","260,398.0","310,817.0","392,638.0","527,258.0","469,975.0"
"23","4","    Nonfinancial","B1441C1","24,997.0","24,612.0","25,488.0","28,114.0","33,239.0","40,936.0","36,063.0","45,008.0","51,418.0","55,973.0","64,604.0","72,619.0","79,026.0","85,671.0","92,174.0","97,466.0","99,397.0","103,685.0","106,101.0","127,937.0","147,877.0","158,547.0","162,754.0","174,929.0","185,299.0","198,785.0","223,392.0","250,245.0","278,280.0","299,249.0","284,377.0","313,357.0","299,323.0","305,098.0","349,194.0","430,762.0","471,061.0","550,752.0","576,889.0","582,201.0","490,419.0","509,906.0","535,843.0","624,828.0","630,724.0","676,934.0"
"24","5","  Rest of the world \2\","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,989.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,488.0","86,157.0","87,206.0","92,651.0","101,013.0","135,643.0","363,340.0","186,016.0","248,982.0","316,366.0","237,154.0","247,994.0","298,596.0","331,588.0","315,361.0","308,586.0"
"25","6","Monetary dividends received","Y375RC1","34,825.0","35,287.0","37,476.0","40,936.0","49,025.0","59,673.0","51,922.0","64,468.0","74,677.0","81,303.0","97,007.0","107,460.0","115,753.0","124,928.0","128,347.0","137,591.0","143,383.0","156,775.0","162,196.0","205,745.0","236,312.0","247,458.0","253,480.0","268,028.0","284,509.0","328,261.0","366,007.0","431,302.0","489,347.0","518,702.0","527,229.0","573,501.0","538,967.0","564,839.0","636,050.0","805,727.0","1,121,563.0","1,069,820.0","1,220,982.0","1,261,592.0","990,321.0","1,018,298.0","1,145,256.0","1,349,054.0","1,473,343.0","1,455,495.0"
"26","7","  Domestic corporate business \2\","Y376RC1","11,610.0","12,221.0","13,735.0","15,424.0","20,826.0","28,821.0","21,569.0","27,995.0","33,468.0","35,254.0","45,563.0","49,579.0","49,720.0","55,105.0","54,812.0","59,104.0","58,959.0","63,837.0","63,669.0","88,541.0","91,502.0","92,428.0","92,070.0","101,456.0","102,858.0","117,177.0","131,837.0","154,771.0","176,409.0","180,329.0","188,845.0","191,933.0","181,870.0","180,901.0","198,036.0","245,714.0","529,267.0","341,259.0","415,457.0","446,851.0","414,717.0","443,343.0","414,305.0","466,656.0","525,287.0","584,364.0"
"27","8","    Financial \3\","Y377RC1","5,639.0","5,904.0","6,392.0","6,982.0","8,337.0","9,417.0","10,077.0","10,762.0","12,961.0","15,207.0","18,598.0","21,611.0","23,196.0","23,491.0","25,887.0","28,842.0","31,568.0","33,007.0","33,819.0","42,770.0","48,986.0","52,180.0","54,809.0","60,793.0","66,741.0","76,368.0","86,470.0","102,075.0","114,076.0","122,114.0","129,135.0","129,902.0","127,966.0","130,593.0","142,209.0","179,433.0","229,009.0","261,581.0","323,149.0","338,820.0","275,691.0","308,910.0","319,508.0","359,754.0","419,804.0","481,266.0"
"28","9","    Nonfinancial","B1444C1","5,971.0","6,317.0","7,343.0","8,442.0","12,489.0","19,404.0","11,492.0","17,233.0","20,507.0","20,047.0","26,965.0","27,968.0","26,524.0","31,614.0","28,925.0","30,262.0","27,391.0","30,830.0","29,850.0","45,771.0","42,516.0","40,248.0","37,262.0","40,663.0","36,117.0","40,808.0","45,368.0","52,696.0","62,333.0","58,216.0","59,710.0","62,031.0","53,904.0","50,308.0","55,828.0","66,281.0","300,258.0","79,678.0","92,307.0","108,032.0","139,026.0","134,433.0","94,796.0","106,902.0","105,483.0","103,098.0"
"29","10","  Rest of the world \1\","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,919.0","73,325.0","102,479.0","108,114.0","108,552.0","135,854.0","119,017.0","126,577.0","143,683.0","152,287.0","169,037.0","172,943.0"
"30","11","  Government","W065RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,720.0","2,016.0","2,216.0","2,334.0","2,394.0","3,175.0","20,889.0","19,333.0","21,429.0","24,443.0","134,984.0","44,550.0"
"31","12","  Persons \4\","B1447C1","22,202.0","21,956.0","22,366.0","23,875.0","26,416.0","28,967.0","28,249.0","33,713.0","38,093.0","42,447.0","47,494.0","53,040.0","60,620.0","62,201.0","65,978.0","70,965.0","75,116.0","82,798.0","87,158.0","103,794.0","128,355.0","136,108.0","143,948.0","149,458.0","162,180.0","188,842.0","207,420.0","246,495.0","278,633.0","295,766.0","285,925.0","323,296.0","309,136.0","337,637.0","367,375.0","484,672.0","487,602.0","618,114.0","694,580.0","675,714.0","435,698.0","429,044.0","565,839.0","705,668.0","644,035.0","653,637.0"
"32",NA,"      Imputed dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","13","Imputed dividends paid by domestic corporate business, financial","Y378RC1","2,037.0","2,351.0","2,661.0","2,961.0","3,464.0","4,220.0","4,673.0","5,258.0","6,630.0","8,281.0","9,943.0","10,933.0","13,010.0","15,361.0","17,310.0","19,678.0","22,274.0","23,232.0","24,992.0","25,949.0","29,442.0","32,716.0","36,222.0","39,593.0","42,554.0","46,375.0","50,567.0","55,680.0","59,294.0","59,676.0","60,474.0","60,033.0","60,019.0","60,992.0","64,878.0","77,401.0","90,709.0","105,558.0","121,935.0","129,725.0","118,042.0","115,573.0","116,406.0","129,269.0","145,013.0","161,861.0"
"34","14","Imputed dividends received by persons \5\","Y379RC1","2,037.0","2,351.0","2,661.0","2,961.0","3,464.0","4,220.0","4,673.0","5,258.0","6,630.0","8,281.0","9,943.0","10,933.0","13,010.0","15,361.0","17,310.0","19,678.0","22,274.0","23,232.0","24,992.0","25,949.0","29,442.0","32,716.0","36,222.0","39,593.0","42,554.0","46,375.0","50,567.0","55,680.0","59,294.0","59,676.0","60,474.0","60,033.0","60,019.0","60,992.0","64,878.0","77,401.0","90,709.0","105,558.0","121,935.0","129,725.0","118,042.0","115,573.0","116,406.0","129,269.0","145,013.0","161,861.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","  Net corporate dividend payments (16+17)","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,716.0","83,464.0","90,807.0","97,546.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,513.0","189,516.0","205,320.0","235,973.0","258,950.0","303,528.0","339,452.0","357,072.0","347,896.0","384,684.0","370,577.0","400,180.0","433,972.0","564,089.0","580,527.0","726,006.0","818,909.0","808,614.0","574,630.0","563,951.0","703,674.0","859,379.0","924,032.0","860,048.0"
"37","16","    Domestic corporate business (2-7+13)","A449RC1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,331.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,186.0","161,482.0","184,738.0","197,807.0","226,178.0","263,137.0","292,242.0","314,802.0","306,370.0","355,444.0","329,910.0","352,279.0","401,878.0","501,771.0","319,666.0","648,104.0","678,479.0","628,101.0","456,493.0","442,534.0","548,762.0","680,078.0","777,707.0","724,406.0"
"38","17","    Rest of the world (5-10)","A2224C1","3,836.0","3,936.0","4,690.0","4,894.0","6,800.0","9,765.0","6,556.0","8,959.0","11,079.0","11,184.0","16,041.0","16,748.0","15,445.0","16,385.0","12,145.0","12,292.0","11,837.0","17,883.0","16,705.0","31,894.0","31,600.0","24,974.0","24,327.0","28,034.0","20,582.0","38,166.0","32,772.0","40,391.0","47,210.0","42,270.0","41,526.0","29,240.0","40,667.0","47,901.0","32,094.0","62,318.0","260,861.0","77,902.0","140,430.0","180,513.0","118,137.0","121,417.0","154,913.0","179,301.0","146,324.0","135,642.0"
"39","18","  Personal dividend income (15-11 or 12+14)","B703RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,562.0","83,288.0","90,643.0","97,390.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,170.0","189,051.0","204,734.0","235,217.0","257,987.0","302,175.0","337,927.0","355,442.0","346,399.0","383,329.0","369,155.0","398,629.0","432,253.0","562,072.0","578,311.0","723,672.0","816,515.0","805,439.0","553,741.0","544,617.0","682,245.0","834,937.0","789,048.0","815,498.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Remitted earnings to foreign residents from their unincorporated U.S. affiliates are treated as dividends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","paid by domestic corporate business (line 2) and as dividends received by the rest of the world (line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","10).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Earnings of U.S. residents remitted by their unincorporated foreign affiliates are treated as dividends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","paid by the rest of the world (line 5) and as dividends received by domestic corporate business (line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","7).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Includes monetary dividends received by employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Dividends received by insured private pension plans are included in dividends received by financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","corporate business (line 8), and in imputed interest received by persons, table 7.11 (line 66).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of dividends imputed to persons from employee defined benefit and defined contribution pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
