"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2012 3:53:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","    National income without capital consumption adjustment","A422RC1",4065.1,4438.6,4723.6,5008.1,5178.4,5476.7,5738.5,6125.6,6457.2,6853.5,7307.3,7767.1,8231,8817.9
"9","2","Domestic industries","A423RC1",4047.4,4415.3,4697.7,4973.7,5148.5,5447.6,5707.3,6101.5,6427.5,6821.8,7283.8,7749.8,8203.2,8780.2
"10","3","  Private industries","A736RC1",3495.6,3824,4067.1,4298.3,4428.6,4691.7,4927.5,5294.4,5597.7,5965.1,6396.6,6829.8,7236.6,7762.4
"11","4","    Agriculture, forestry, and fishing","B424RC1",66.2,68.2,78.2,83,78,86.3,79.7,90.4,81.6,100,97.9,92.8,91.1,94.2
"12","5","    Mining","B734RC1",43.1,49.7,52.8,57.8,54.8,54.5,55,58.4,59,70.4,79.9,68.2,63.1,87.3
"13","6","    Construction","B735RC1",201.5,218.9,227.6,231.8,218,220.6,235.2,262.4,282.2,309.1,335.3,373.9,421.5,464.1
"14","7","    Manufacturing","A426RC1",770.4,852.3,880,902.7,898.5,924.2,962,1037.8,1087.9,1110.8,1172.3,1194.6,1245.3,1310.3
"15","8","      Durable goods","B428RC1",450.9,491.9,506.5,505.1,498.3,516.4,545.3,594.2,613.1,628.9,669.2,693.9,716.5,750.4
"16","9","      Nondurable goods","B427RC1",319.5,360.5,373.5,397.6,400.2,407.7,416.6,443.7,474.8,481.9,503.2,500.8,528.9,559.9
"17","10","    Transportation and public utilities","A737RC1",321.7,341.9,352.7,373.4,396.1,415.9,440.9,476.7,492.9,511.7,522.3,549,571.8,600.8
"18","11","      Transportation","B429RC1",127.8,138.9,139.7,146.5,155.3,162.8,174.5,189.3,197.1,205.9,224.2,244,256.3,271
"19","12","      Communications","B430RC1",94,99.3,101.3,109.2,115.4,122,131.7,143.8,145.9,152.8,145.7,155.4,156.2,168.5
"20","13","      Electric, gas, and sanitary services","B431RC1",100,103.7,111.7,117.7,125.4,131.1,134.7,143.7,149.9,153,152.4,149.6,159.4,161.3
"21","14","    Wholesale trade","B433RC1",286.3,317.9,339.5,351,365.7,383.3,395.1,435.7,452,483.6,521.2,560.7,580.6,618.7
"22","15","    Retail trade","B434RC1",400.7,429,457.7,473.4,487.4,507.9,538.6,581.9,612.2,652.4,701.8,756.8,801.7,843.1
"23","16","    Finance, insurance, and real estate","B435RC1",671.6,726.1,779.6,829,881.3,961.4,1019.1,1070.4,1147.3,1235.5,1350,1474.9,1566.8,1695.9
"24","17","    Services","B437RC1",734,819.9,899,996.1,1048.6,1137.6,1201.9,1280.7,1382.6,1491.5,1615.9,1759,1894.7,2048
"25","18","  Government","B436RC1",551.8,591.2,630.6,675.5,719.9,755.9,779.8,807.1,829.8,856.7,887.2,920,966.7,1017.8
"26","19","Rest of the world","A192RC1",17.7,23.4,25.9,34.4,29.9,29.1,31.2,24.1,29.7,31.7,23.5,17.3,27.8,37.7
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
