"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2012 3:55:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Noncorporate capital consumption allowances","A1700C0",14697,15746,16807,18787,20762,23172,25711,27963,31088,35244,41233,47061,57042,63384,74147,86573,98768,107553,107829
"9","2","Agriculture, forestry, and fishing","A1701C0",3906,4091,4297,4595,5000,5482,5982,6746,7519,8365,9336,10288,10719,11454,11461,11614,11984,11702,11747
"10","3","  Farms","B1702C0",3700,3857,4047,4305,4698,5171,5697,6335,7055,7798,8715,9464,9960,10367,10389,10389,10441,10195,10035
"11","4","  Agricultural services, forestry, and fishing","B1703C0",206,234,250,290,302,311,285,411,464,567,621,824,759,1087,1072,1225,1543,1507,1712
"12","5","Mining","B1704C0",420,445,460,525,509,580,754,991,1272,1531,1981,2755,4152,5768,7103,7514,8467,9439,9781
