"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"11","3","  Goods","DGDSRA3",29.148,29.169,29.221,29.326,29.374,29.457,29.638,29.318,30.259,30.508,30.704,31.244,31.536,32.37,32.933,33.899,34.709,34.374,34.385,34.044,33.489,33.384,33.492,32.132,32.365,33.056,33.872,34.103,35.101,35.524,35.837,36.272,36.666,36.936,37.233,38.027,37.814,38.899,38.931,39.37,39.34,39.008,39.657,39.489,39.289,37.67,38.057,38.49,39.043,38.731,39.122,38.423,38.808,38.799,39.005,39.792,40,41.179,42.093,43.084,43.667,44.641,44.669,45.367,46.067,46.488,47.727,47.442,48.163,49.019,50.538,50.506,49.473,50.421,51.179,50.721,51.918,52.188,52.178,53.005,53.079,53.378,54.147,53.967,54.691,54.105,53.978,53.127,52.671,52.966,53.285,52.695,53.888,54.163,54.755,55.48,55.695,56.587,57.172,57.9,58.881,59.404,59.956,61.103,60.799,61.209,61.95,62.535,63.036,64.265,64.722,65.507,66.391,66.34,68.075,69.005,69.541,71.369,72.458,74.671,75.597,77.386,78.318,79.68,80.896,81.34,82.208,82.942,83.159,83.398,84.025,87.088,86.914,87.328,88.451,88.701,89.3,90.947,93.368,93.945,94.926,95.138,96.303,97.584,98.656,100.017,100.786,100.541,102.277,102.633,103.502,104.875,105.555,106.055,106.845,107.121,105.599,105.719,103.615,100.171,100.211,99.684,101.506,101.389,102.691,103.531,104.499,106.495,107.915,107.655,108.021,109.462,110.722,110.812,111.796
"12","4","    Durable goods","DDURRA3",14.75,14.71,14.668,14.612,14.388,14.554,14.607,13.637,15.1,15.443,15.855,16.532,16.91,17.335,17.781,18.723,19.915,19.68,19.505,19.049,18.603,18.703,18.811,17.021,17.384,17.722,18.829,19.377,20.345,20.437,20.669,20.995,21.765,22.278,22.606,23.081,22.469,24.144,23.819,24.007,23.723,23.187,23.833,23.219,22.854,20.389,21.293,21.943,22.565,21.687,22.347,20.742,21.407,21.485,21.658,22.647,22.876,24.544,25.487,26.744,27.753,28.397,28.406,29.328,30.347,30.708,32.674,31.548,32.193,33.33,36.173,35.599,33.488,34.861,36.302,35.321,36.993,37.006,36.523,37.469,37.303,37.801,38.656,37.481,39.064,37.772,37.389,36.36,35.358,35.536,36.082,35.493,36.887,37.143,37.936,38.689,39.065,40.333,40.783,41.764,42.759,43.218,43.673,45.208,44.272,44.722,45.984,46.783,47.291,48.796,49.141,50.101,51.458,51.292,53.579,54.946,55.407,58.232,59.913,63.469,63.626,66.686,68.31,69.159,73.05,71.735,72.976,73.512,74.758,74.721,75.626,81.979,81.039,81.892,84.29,83.18,83.426,86.876,90.523,91.382,92.662,93.244,95.088,96.782,97.805,100.644,102.073,99.478,103.341,103.421,104.952,106.397,107.72,109.231,110.628,111.266,108.488,107.693,104.222,96.851,97.155,96.655,101.355,99.765,101.119,103.665,105.479,109.286,111.22,110.587,112.038,115.736,118.937,118.866,121.423
"13","5","    Nondurable goods","DNDGRA3",41.565,41.656,41.812,42.092,42.453,42.427,42.731,43.23,43.407,43.506,43.417,43.713,43.857,45.043,45.663,46.526,46.806,46.41,46.628,46.444,45.821,45.517,45.615,44.801,44.887,45.881,46.33,46.217,47.154,47.878,48.245,48.753,48.721,48.717,48.959,50.01,50.224,50.611,51.003,51.661,51.889,51.789,52.395,52.672,52.646,51.933,51.806,52.009,52.468,52.701,52.818,53.02,53.118,53.027,53.253,53.8,53.974,54.609,55.44,56.115,56.258,57.488,57.532,57.974,58.329,58.783,59.267,59.795,60.553,61.092,61.219,61.717,61.798,62.27,62.321,62.397,63.069,63.571,64.01,64.677,64.969,65.068,65.721,66.465,66.379,66.452,66.56,65.892,65.923,66.31,66.421,65.851,66.831,67.112,67.512,68.189,68.257,68.8,69.481,69.964,70.9,71.462,72.077,72.843,73.104,73.463,73.724,74.104,74.584,75.542,76.08,76.696,77.162,77.205,78.448,78.999,79.583,80.566,81.16,82.27,83.79,84.576,84.979,86.719,85.971,87.688,88.285,89.147,88.627,89.051,89.482,90.256,90.623,90.74,90.997,92.149,92.966,93.436,95.063,95.464,96.265,96.258,97.017,98.057,99.163,99.658,100.051,101.128,101.677,102.185,102.69,104.018,104.343,104.307,104.789,104.896,104.028,104.614,103.177,101.634,101.553,101.018,101.435,102.023,103.293,103.322,103.89,105.048,106.241,106.15,106.045,106.51,106.938,107.096,107.413
"14","6","  Services","DSERRA3",29.814,30.18,30.42,30.797,31.124,31.319,31.673,31.833,32.051,32.373,32.68,33.193,33.761,34.174,34.638,35.257,35.712,36.011,36.252,36.389,36.334,36.689,36.869,37.241,37.588,38.054,38.238,38.776,39.229,39.488,39.969,40.522,41.005,41.164,41.61,42.01,42.681,43.324,43.634,43.862,44.308,44.584,44.762,45.148,45.199,44.894,45.391,46.07,45.985,46.289,46.25,46.287,46.457,46.762,47.202,47.992,48.622,49.243,49.949,50.458,50.707,51.134,51.801,52.391,53.338,53.822,54.546,54.985,55.175,55.487,55.935,56.538,57.205,57.748,58.24,58.835,59.545,60.06,60.858,61.412,61.728,61.958,62.437,63.081,63.356,64.146,64.639,64.461,64.505,65.076,65.237,65.624,66.542,66.969,67.714,68.499,68.783,69.188,69.96,70.427,70.976,71.441,71.961,72.286,72.63,73.287,73.809,74.226,74.953,75.451,75.854,76.301,76.921,77.443,78.364,79.162,80.042,81.018,82.003,82.574,83.271,84.213,85.224,86.269,87.574,88.591,89.413,90.197,90.621,91.006,91.251,91.657,92.251,92.738,93.063,93.428,93.811,94.312,94.921,95.399,96.164,96.707,97.372,98.293,98.917,99.689,100.439,100.955,101.612,102.362,102.841,103.582,104.107,104.457,104.75,105.081,105.465,105.344,104.884,104.576,103.924,103.494,103.385,103.429,103.729,104.31,104.795,105.38,105.903,106.412,106.886,106.97,107.318,107.882,108.031
"15","7","Gross private domestic investment","B006RA3",23.515,23.328,23.867,22.582,21.875,21.943,22.318,21.026,23.756,24.492,24.814,24.038,25.738,27.313,27.702,27.846,29.614,30.998,29.786,30.926,28.952,28.809,27.184,27.442,22.622,21.836,23.686,24.337,26.857,28.002,28.054,28.249,29.639,31.93,33.67,32.719,33.368,35.659,36.76,37.596,37.59,37.503,36.773,36.089,35.827,32.595,30.11,33.172,36.468,34.732,36.888,35.457,31.763,31.735,31.365,28.572,29.589,32.445,34.626,38.272,42.278,43.704,44.72,43.986,42.536,43.27,42.792,44.465,44.373,43.389,42.028,42.094,43.38,43.44,43.484,46.875,44.234,45.31,45.601,46.205,47.975,47.415,46.858,46.377,46.833,46.846,45.744,42.851,41.106,40.9,41.918,43.523,42.555,45.358,45.827,47.277,48.388,48.768,48.734,51.306,53.519,56.639,55.621,58.214,58.805,57.224,56.673,58.269,59.036,62.094,65.225,65.048,66.567,70.817,72.076,73.227,76.723,75.805,77.977,80.485,83.019,82.729,84.805,87.814,86.586,92.581,91.135,91.181,86.364,86.084,84.259,79.386,82.028,83.018,83.23,83.242,83.343,83.865,86.932,90.222,90.693,94.634,95.849,97.82,99.893,98.113,99.207,102.787,104.33,104.183,102.714,99.741,98.75,100.953,100.184,97.759,94.633,93.176,89.061,80.314,69.786,64.48,64.208,70.022,73.259,75.792,78.722,77.535,76.492,78.778,79.906,85.959,87.241,87.394,88.793
"16","8","  Fixed investment","B007RA3",23.122,23.223,23.61,23.013,22.931,22.421,22.82,22.842,23.353,24.319,24.779,25.456,26.601,27.07,27.368,28.641,29.851,30.11,30.022,29.72,29.018,28.601,28.097,26.504,24.881,24.531,25.144,25.613,26.674,27.13,27.414,28.825,29.867,31.534,31.942,32.518,32.791,35.171,36.182,36.953,37.234,36.945,37.616,37.265,36.739,33.543,33.874,35.22,35.478,35.712,35.716,35.586,34.507,33.301,32.373,32.321,33.027,34.302,36.352,38.482,39.689,41.321,42.202,42.96,43.292,43.836,43.483,44.304,44.368,44.262,44.013,44.306,43.428,44.205,45.146,45.14,45.081,45.963,46.14,46.603,47.067,47.131,47.951,47.162,47.748,46.644,46.14,44.826,43.291,43.226,43.37,43.452,43.902,45.628,46.321,47.764,48.042,49.117,49.988,52.208,52.902,54.174,54.712,56.21,57.493,57.275,58.031,59.241,60.738,62.713,64.164,65.236,66.51,67.943,70.56,71.166,73.308,75.863,77.307,79.67,81.148,83.047,84.979,85.457,87.955,90.167,90.487,90.764,90.227,88.816,87.875,85.649,84.863,84.535,84.429,83.82,83.937,86.121,88.919,90.584,90.405,93.193,95.158,96.765,97.949,99.692,100.977,101.381,103.749,103.277,101.952,100.52,100.223,101.096,100.749,99.491,97.363,96.078,92.989,86.48,79.032,75.092,74.501,73.352,73.18,75.696,75.515,76.913,76.66,78.942,81.835,83.807,85.785,86.724,86.923
"17","9","    Nonresidential","B008RA3",19.672,19.885,20.422,20.3,20.182,20.072,20.174,19.423,19.6,19.89,19.97,20.397,21.083,21.432,21.767,22.905,23.975,24.954,25.373,25.572,25.544,25.487,25.19,24.486,22.984,22.383,22.589,22.799,23.211,23.494,24.008,24.487,25.438,26.172,26.72,27.615,27.888,30.24,31.32,32.353,33.057,32.958,33.985,34.07,34.444,32.696,32.942,33.635,34.177,34.866,35.715,36.574,35.709,34.432,33.269,32.6,31.99,32.381,33.845,36.037,37.212,39.062,40.349,41.322,41.802,42.397,41.749,42.465,41.882,40.834,40.236,40.65,39.532,40.479,41.783,41.686,42.007,43.039,43.265,43.721,44.46,45.092,46.384,45.7,46.307,45.507,45.797,44.922,43.763,43.343,42.933,42.707,42.515,44.201,45.094,46.451,46.746,47.99,48.525,50.562,51.065,52.097,53.073,55.424,57.689,58.089,58.479,59.655,61.136,62.893,64.986,66.744,68.447,70.146,73.722,74.315,76.885,79.699,80.9,83.57,85.509,87.906,90.432,90.714,94.085,97.556,98.638,99.027,98.096,95.517,93.924,90.921,88.755,87.33,86.944,85.419,85.193,87.543,89.572,90.851,90.128,92.565,95.089,97.178,98.055,99.498,100.921,101.526,105.886,107.797,108.938,109.488,111.223,114.118,116.631,118.185,117.944,117.269,114.238,107.05,98.291,93.667,91.786,90.285,90.749,93.411,95.162,97.269,96.954,100.297,104.746,107.156,109.108,110.065,109.557
"18","10","      Structures","B009RA3",72.087,72.659,76.085,75.553,74.959,74.192,74.462,73.588,73.404,73.214,72.951,72.76,74.662,75.081,75.247,76.445,78.942,81.408,83.248,82.482,82.018,81.68,78.135,77.186,73.213,70.455,70.853,70.901,72.812,72.592,73.329,73.558,73.307,76.049,77.201,77.757,77.607,85.196,90.815,94.614,94.087,95.449,99.899,102.958,104.548,102.253,102.762,105.785,105.721,109.705,112.472,120.746,116.906,113.096,106.861,104.435,100.175,95.42,97.652,100.37,106.076,111.401,114.917,116.107,121.028,120.962,118.457,119.932,116.932,105.913,102.136,102.76,100.357,101.537,105.766,107.774,103.705,105.858,104.428,104.166,105.845,104.65,108.318,107.653,110.021,109.482,109.081,104.163,101.92,99.143,92.709,90.827,89.684,89.69,90.466,91.574,89.242,89.101,89.531,91.2,87.474,92.472,92.365,93.307,95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.86,134.869,133.594,130.057,118.743,108.062,99.98,91.848,86.033,88.731,88.245,90.222,83.055,89.561,93.866,96.449,99.421,99.56,99.558
"19","11","      Equipment and software","B010RA3",11.332,11.474,11.655,11.593,11.539,11.508,11.575,10.972,11.148,11.43,11.527,11.941,12.395,12.68,12.979,13.934,14.697,15.378,15.587,15.861,15.882,15.862,15.968,15.383,14.356,14.074,14.231,14.429,14.622,14.919,15.338,15.778,16.73,17.144,17.553,18.369,18.655,20.112,20.535,21.119,21.884,21.621,22.115,21.825,22.009,20.527,20.716,21.049,21.613,21.813,22.329,22.13,21.735,20.906,20.524,20.15,20.082,21.114,22.342,24.262,24.734,25.957,26.832,27.691,27.531,28.166,27.824,28.376,28.169,28.574,28.461,28.813,27.965,28.804,29.599,29.213,30.124,30.919,31.364,31.89,32.442,33.297,34.153,33.513,33.819,33.032,33.405,33.19,32.266,32.224,32.744,32.781,32.744,34.575,35.43,36.743,37.427,38.816,39.338,41.324,42.484,42.818,43.922,46.393,48.538,48.66,48.977,50.456,51.83,53.442,55.606,56.653,58.432,60.58,63.946,64.486,67.764,69.84,71.257,74.486,76.91,80.111,83.187,83.219,86.812,89.896,90.113,90.46,90.18,86.853,84.67,84.048,82.967,82.74,83.495,81.954,81.943,84.144,86.818,88.603,87.837,90.666,93.663,96.385,96.951,99.015,101.699,102.334,106.721,107.314,107.855,108.471,109.728,110.781,111.475,112.69,112.22,109.945,106.148,97.33,89.688,87.704,88.474,89.777,92.913,95.582,98.309,100.486,103.161,105.12,109.637,111.972,113.46,114.79,114.049
"20","12","    Residential","B011RA3",35.118,34.741,34.457,31.937,32.001,29.868,31.46,34.776,36.632,40.329,42.316,43.956,46.888,47.807,47.918,49.63,51.3,48.69,46.624,44.396,41.14,39.346,38.05,33.043,31.002,31.668,33.873,35.356,38.97,40.091,39.437,44.464,45.805,51.045,50.884,50.211,50.464,52.888,53.623,53.434,52.185,51.211,50.602,48.691,44.965,36.646,37.273,40.915,40.183,38.821,35.826,32.157,30.303,29.347,29.254,31.396,36.747,41.1,45.171,47.08,48.388,49.283,48.81,48.861,48.709,49.098,49.722,50.904,53.08,56.026,56.889,56.787,56.637,56.886,56.714,56.992,55.759,56.201,56.236,56.73,56.358,54.689,54.093,52.957,53.496,51.438,48.516,45.828,43.102,44.12,45.949,46.957,49.352,51.24,51.358,53.102,53.344,53.972,55.835,58.647,59.891,61.875,61.199,60.397,59.055,57.157,58.924,60.261,61.845,64.457,64.28,63.615,63.831,64.638,64.935,65.601,66.771,68.778,70.842,72.538,72.969,73.755,74.367,75.278,75.867,75.349,74.027,74.091,74.43,75.477,75.885,75.24,77.249,79.143,79.604,80.82,81.601,83.454,87.708,90.085,90.898,94.318,95.274,96.03,97.776,100.05,101.075,101.099,100.024,95.488,89.974,85.182,81.458,78.89,73.635,67.531,62.104,59.721,56.484,51.072,45.843,43.058,44.799,44.257,42.934,45.223,41.57,41.72,41.577,41.994,42.139,43.361,45.433,46.364,47.855
