"","Table 5#5#3# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:42:50 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Private fixed investment in equipment and software","B327RA3",11.653,11.554,11.689,13.211,15.62,16.018,14.5,15.404,17.71,20.389,22.172,21.386,22.282,21.128,22.284,26.672,28.372,28.937,29.346,31.539,33.817,33.812,32.936,35.318,39.678,44.354,49.608,54.822,62.283,71.281,81.345,89.836,86.98,83.372,85.523,92.175,100,107.398,111.299,108.582,92.031
"9","2","Nonresidential equipment and software","B010RA3",11.598,11.482,11.596,13.092,15.494,15.89,14.377,15.276,17.577,20.253,22.022,21.23,22.133,20.982,22.111,26.497,28.18,28.714,29.107,31.302,33.596,33.607,32.743,35.129,39.515,44.227,49.519,54.782,62.315,71.358,81.451,89.976,87.073,83.397,85.516,92.141,100,107.434,111.389,108.681,92.035
"10","3","  Information processing equipment and software","B679RA3",1.186,1.337,1.426,1.637,1.927,2.212,2.204,2.505,3.037,3.922,4.745,5.541,6.412,6.88,8.011,10.163,11.313,12.237,12.996,14.456,16.464,17.344,18.224,21.031,23.802,26.805,31.454,37.684,46.462,57.034,69.859,82.449,82.091,79.817,85.213,93.228,100,108.31,117.93,125.136,125.368
"11","4","    Computers, software, and communication","W175RA3",0.538,0.627,0.669,0.752,0.866,0.974,0.981,1.136,1.461,1.957,2.537,3.147,3.761,4.146,4.923,6.486,7.538,8.31,9.303,10.659,12.292,13.12,13.905,16.557,18.999,22.168,27.288,33.885,43.733,55.126,70.471,84.682,83.832,80.195,85.247,93.862,100,109.382,120.105,128.016,129.056
"12","5","      Computers and peripheral equipment","B935RA3",0.008,0.009,0.013,0.02,0.021,0.028,0.028,0.041,0.061,0.121,0.196,0.309,0.482,0.593,0.9,1.472,1.848,2.125,2.67,3.051,3.71,3.667,3.982,5.447,6.981,8.675,13.082,18.89,27.392,39.82,56.577,68.606,70.317,73.717,80.31,89.491,100,123.128,140.394,159.06,156.682
"13","6","      Software \1\","B985RA3",0.636,0.812,0.863,1.013,1.152,1.347,1.579,1.716,1.788,2.119,2.638,3.113,3.619,4.178,4.925,6.227,7.396,8.274,9.432,11.244,14.489,17.077,19.342,22.724,25.408,27.905,30.695,36.013,46.632,56.345,69.493,79.1,79.669,79.56,85.125,93.861,100,104.185,110.481,116.907,118.929
"14","7","      Communication equipment \2\","B275RA3",8.464,9.293,9.026,8.586,10.269,10.503,9.873,10.719,14.272,16.765,19.834,22.175,23.025,23.129,23.018,25.731,27.455,28.878,28.806,32.102,32.011,33.184,31.931,34.056,36.278,43.016,49.566,56.298,64.144,74.058,89.883,116.449,108.977,88.558,90.594,98.277,100,110.817,128.235,131.59,132.032
"15","8","    Medical equipment and instruments","W176RA3",5.641,6.317,7.335,8.03,9.385,10.637,10.758,11.933,12.404,13.956,13.935,13.702,15.233,18.845,20.195,21.807,22.377,22.908,24.499,26.183,27.45,30.262,32.13,34.989,38.136,36.635,36.892,40.097,45.202,52.249,55.951,61.553,66.944,75.699,81.236,87.157,100,103.564,115.975,124.537,124.013
"16","9","    Nonmedical instruments","W177RA3",12.091,13.043,12.224,15.458,17.252,21.775,19.922,21.36,33.771,37.268,38.178,39.558,41.378,42.483,41.581,50.777,52.72,52.919,52.491,52.683,65.015,68.914,69.482,71.925,71.784,75.02,81.458,84.247,76.694,78.164,78.056,82.984,86.29,87.229,85.764,93.873,100,107.218,108.563,108.009,103.029
"17","10","    Photocopy and related equipment","B285RA3",37.193,43.332,51.197,63.649,77.569,87.66,95.555,101.876,98.646,114.98,115.732,118.614,130.015,131.164,126.941,156.569,148.262,148.181,148.63,159.305,167.958,160.893,165.784,168.034,200.475,215.198,196.245,202.406,204.124,230.965,201.065,192.176,135.752,99.191,114.106,106.471,100,92.305,139.97,132.244,120.247
"18","11","    Office and accounting equipment","B936RA3",22.498,19.559,17.621,20.879,29.542,38.223,32.094,38.026,38.138,58.179,73.476,79.889,84.418,63.775,100.97,114.384,112.442,123.022,75.945,66.483,71.459,58.574,54.661,59.823,64.558,64.096,64.686,66.226,65.673,58.706,42.591,44.332,55.787,60.499,95.157,97.45,100,104.939,51.953,50.441,46.012
"19","12","  Industrial equipment","B680RA3",54.973,55.753,51.206,55.212,65.276,70.29,59.598,59.892,63.475,70.624,75.671,72.418,71.267,65.103,59.935,68.594,71.761,71.426,69.649,73.145,78.246,73.721,68.998,70.259,76.223,83.022,91.121,94.502,96.542,100.744,101.365,110.12,102,95.149,94.986,92.321,100,108.304,112.664,107.896,82.784
"20","13","    Fabricated metal products","B263RA3",71.458,83.085,84.67,87.574,105.209,114.99,112.232,121.715,113.637,115.512,128.775,118.69,117.891,106.054,99.496,94.79,93.312,87.054,78.252,81.81,87.674,87.404,87.657,88.58,86.965,93.142,96.224,104.156,90.288,93.838,99.851,104.059,102.377,90.774,96.334,94.982,100,110.457,114.5,114.523,108.534
"21","14","    Engines and turbines","B668RA3",102.279,108.077,114.836,128.857,125.162,127.705,103.074,89.844,79.972,76.782,74.164,62.41,69.226,58.118,50.9,55.494,62.4,52.512,68.84,72.536,80.337,69.43,81.959,77.097,73.977,79.28,65.222,77.481,71.835,84.592,103.228,133.08,201.96,214.842,185.146,86.854,100,122.424,176.976,186.315,142.468
