"","Table 5#5#4# Price Indexes for Private Fixed Investment in Equip","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 12:00:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Private fixed investment in equipment and software","B327RG3",24.747,23.765,22.501,21.172,20.373,21.509,21.303,21.282,22.493,23.027,22.777,23.367,24.855,27.345,27.488,28.02,28.51,31.222,35.358,37.897,39.306,40.27,43.679,44.544,44.647,45.685,46.085,49.411,52.157,53.144,54.142,54.571,54.259,53.974,53.667,53.635,53.666,53.795,54.973,56.446,58.011
"9","2","Nonresidential equipment and software","B010RG3",24.423,23.444,22.221,20.959,20.136,21.272,21.084,21.051,22.256,22.792,22.551,23.155,24.628,27.086,27.228,27.751,28.219,30.891,34.996,37.519,38.967,39.944,43.338,44.215,44.321,45.385,45.815,49.219,52.009,53.025,53.998,54.445,54.146,53.878,53.581,53.558,53.607,53.749,54.94,56.416,57.985
"10","3","  Information processing equipment and software","B679RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.505,254.565,260.124,261.978,267.625,283.623,278.589,277.626,280.352,283.597,291.649,305.778,309.317,312.09,310.384,306.116,298.87,288.242,283.871,276.444,262.656,259.012,257.158,259.297
"11","4","    Computers, software, and communication","W175RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688.065,674.897,654.507,628.035,591.381,577.324,550.696,504.146,485.638,479.988,483.773
"12","5","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496986.194,390212.067,288275.275,204487.975,134306.512,112349.361,92834.959,65070.732,52869.906,45116.45,40849.551
"13","6","      Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.855,149.653,146.999,141.353,135.995,137.107,133.618,129.357,127.722,127.897,129.05
"14","7","      Communication equipment \2\","B275RG3",39.323,35.09,31.524,29.898,28.307,32.508,33.007,32.84,33.144,32.831,32.342,32.666,33.639,35.106,34.787,34.617,35.097,54.195,66.377,65.681,65.69,67.06,69.837,67.599,64.992,65.333,65.172,66.209,68.817,69.682,70.05,69.558,69.134,68.537,69.007,70.001,69.695,70.428,72.731,76.327,80.497
"15","8","    Medical equipment and instruments","W176RG3",19.81,19.256,18.709,19.417,16.561,17.127,16.398,16.473,15.918,16.575,16.56,17.373,18.676,19.696,19.23,18.6,18.129,16.83,18.416,19.518,19.614,20.507,22.351,21.799,22.336,22.878,23.844,25.115,26.938,27.794,28.486,28.827,28.905,28.994,28.932,28.77,28.903,29.719,30.38,31.164,32.083
"16","9","    Nonmedical instruments","W177RG3",15.191,14.766,14.347,14.889,12.7,13.133,12.575,12.632,12.206,12.71,12.699,13.322,14.321,15.103,14.746,14.263,13.902,12.905,14.121,15.051,15.187,15.836,17.332,17.046,17.618,17.897,18.541,19.541,21.042,21.824,22.448,23.123,23.475,23.794,24.033,23.864,23.91,24.953,26.239,27.142,28.036
"17","10","    Photocopy and related equipment","B285RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.917,71.393,77.888,76.653,74.108,77.505,76.467,76.569,77.051,77.448,77.573,83.091,85,85.907,86.531,88.461,90.21,89.916,89.586,90.721,90.551,92.791,89.797,88.093
"18","11","    Office and accounting equipment","B936RG3",51.227,51.593,51.421,49.784,46.841,47.038,45.855,46.613,47.643,47.452,47.683,47.92,48.987,51.445,50.288,48.743,48.181,49.672,53.339,54.679,55.767,56.743,60.214,60.403,62.004,62.741,63.71,65.863,68.502,68.206,68.573,68.577,68.749,68.34,68.895,69.241,69.513,69.926,71.458,71.533,72.344
"19","12","  Industrial equipment","B680RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.231,10.002,10.838,11.359,11.825,13.336,13.42,13.801,14.056,14.57,16.092,17.296,17.705,18.107,18.469,18.316,18.315,18.373,18.537,18.814,19.312,20.152,20.998,21.708
"20","13","    Fabricated metal products","B263RG3",8.547,8.406,7.384,7.046,6.767,7.928,8.003,7.654,8.543,8.549,8.275,8.067,8.409,8.818,8.886,8.885,9.025,9.708,11.962,13.399,13.533,13.741,15.656,15.859,16.27,16.27,16.816,18.662,19.619,19.55,19.853,20.444,19.966,19.956,20.07,19.999,20.019,20.24,20.749,21.275,21.88
"21","14","    Engines and turbines","B668RG3",6.129,5.789,5.173,5.172,5.167,5.932,6.202,6.13,6.47,6.47,6.474,6.742,7.154,7.695,7.425,7.702,7.7,8.58,9.607,9.983,9.925,9.808,11.173,11.041,11.859,11.997,12.669,14.842,16.74,17.551,18.068,18.108,17.63,16.703,16.615,16.791,16.952,17.093,17.805,18.795,19.711
"22","15","    Metalworking machinery","B271RG3",6.916,6.378,5.977,5.367,5.307,6.244,6.175,6.243,6.915,7.115,7.183,7.721,8.19,8.392,8.392,8.459,8.459,9.198,7.72,8.526,9.064,9.869,11.144,11.681,11.883,12.017,12.688,14.098,15.104,15.374,15.71,16.408,16.515,16.871,16.917,17.154,17.588,18.167,18.836,19.701,20.358
"23","16","    Special industry machinery, n.e.c.","B272RG3",5.452,5.123,4.795,4.401,4.467,5.124,5.123,5.123,5.649,5.715,5.779,6.109,6.503,6.635,6.568,6.634,6.699,7.291,7.816,8.473,8.867,9.261,10.378,10.378,10.575,10.838,11.429,12.283,13.267,13.596,13.914,14.274,14.32,14.452,14.792,15.13,15.399,15.857,16.709,17.46,18.255
"24","17","    General industrial, including materials handling, equipment","B273RG3",6.29,5.884,5.546,5.208,5.207,5.681,5.817,5.885,6.493,6.561,6.493,6.696,6.967,7.237,7.238,7.306,7.373,7.913,9.199,10.011,10.89,11.296,12.784,12.715,13.121,13.527,14.069,15.422,16.572,17.18,17.688,18.056,18.097,18.136,18.271,18.453,18.857,19.527,20.308,21.112,21.958
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.54,19.056,19.793,20.122,20.939,23.474,23.228,24.048,24.536,24.374,27.236,29.198,29.772,30.246,30.12,29.159,28.695,28.032,27.822,27.751,28.083,29.625,30.857,31.147
"26","19","  Transportation equipment","B681RG3",10.542,10.067,9.612,9.114,8.35,8.623,8.529,8.558,8.857,9.334,9.259,9.483,10.319,12.479,12.745,13.583,14.21,14.974,17.362,18.602,19.463,19.809,21.066,22.325,21.487,22.435,21.995,24.146,25.231,25.596,26.132,26.091,26.034,25.754,25.634,25.409,25.341,25.315,25.726,26.438,27.241
"27","20","    Trucks, buses, and truck trailers","B279RG3",9.66,8.97,8.489,8.145,7.384,7.384,7.039,7.039,7.453,8.349,8.211,8.488,9.04,10.562,9.659,10.282,11.525,12.422,13.94,15.112,15.803,15.733,16.976,17.873,17.805,17.735,18.424,19.875,20.978,22.082,22.561,22.018,22.022,21.943,21.707,21.63,21.944,22.025,22.495,23.124,23.753
"28","21","      Light trucks (including utility vehicles) \3\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","22","      Other trucks, buses, and truck trailers \3\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23","    Autos \3\","B280RG3",19.199,18.28,17.588,16.553,15.061,15.862,15.635,15.748,15.979,16.553,16.325,16.669,18.624,26.319,27.696,33.331,32.632,28.507,35.407,37.504,39.566,39.991,42.116,46.125,41.258,44.769,41.906,46.996,48.199,47.042,48.033,48.167,47.661,46.299,45.838,45.101,43.937,43.295,43.317,44.449,45.548
"31","24","    Aircraft","B281RG3",5.142,4.716,4.448,4.975,4.358,4.193,4.234,4.146,4.559,4.784,4.781,4.827,5.309,5.668,5.836,6.005,6.42,6.951,7.956,8.55,8.858,9.344,10.661,10.608,10.873,10.93,11.355,12.465,13.049,13.263,13.726,13.786,13.92,14.375,15.032,14.704,15.032,15.226,15.816,16.271,16.861
"32","25","    Ships and boats","B282RG3",5.355,5.169,4.8,4.363,4.314,4.924,4.999,5.045,5.474,5.476,5.411,5.414,5.968,6.152,6.214,6.461,6.214,7.999,9.044,9.781,10.031,10.273,11.074,11.568,12.184,12.493,12.738,13.72,14.645,15.013,14.914,15.426,15.437,15.492,15.725,15.966,16.166,16.555,17.042,17.708,18.577
"33","26","    Railroad equipment","B283RG3",5.774,5.729,5.5,5.362,5.281,5.274,5.864,5.819,6.092,6.274,6.503,6.684,6.912,7.593,8.003,7.956,7.958,9.047,9.73,10.367,10.731,11.549,12.14,12.322,12.64,12.73,13.094,14.049,15.05,15.777,16.204,16.639,16.918,16.918,16.918,16.918,16.918,16.992,17.206,17.641,18.429
