"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 28, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 11:57:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government consumption expenditures \1\","A955RL1",6.5,3.8,0.3,2.5,10.5,1.7,8.6,-1.2,6.3,8.6,5.5,41.7,117.6,59.4,20.7,-4.5,-58.7,-18,2.5,6.5,-0.6,29.9,19.2,6.4,-7.2,-2,0,5.4,1.4,1.3,1.3,3.3,6.7,3.5,2.3,3.5,8.9,8.5,4.7,1.5
"9","2","        Gross output of general government","W101RL1",7.3,4.1,-0.2,9.3,16.9,2.2,18.7,-6.2,10.8,4.5,1.1,32,100,55.4,20.9,-2,-55.7,-23.7,1.9,6.4,0.2,28.9,17.9,6.2,-6.7,-0.7,-0.5,5.8,1.7,1.4,1.2,3.4,6.9,3.9,2.6,3.9,9.1,8,4.9,1.6
"10","3","          Value added","W102RL1",4.7,1.7,-1.3,5.5,12.9,6.6,17.1,-4.6,7.9,1.9,4.7,22.9,52.9,64.2,21.2,0.3,-45.8,-21.2,-4.2,-0.4,1.4,19.5,8.4,1.9,0.1,0.4,1.9,2.1,1,1.4,3.5,3.5,3.9,3,3.4,3.4,6.3,5.3,3.9,2.5
"11","4","            Compensation of general government employees","A194RL1",4.7,1.2,-2.2,6,14.4,6.8,18.8,-6,8.2,1.3,4.5,22.7,49,60.6,14.7,-4.4,-55.7,-24.2,1.8,4.8,5.3,26.6,8.3,-0.2,-1.7,-0.3,1.9,2.2,0.8,0.9,3.5,3.7,3.9,2.8,3.5,3.6,7.1,5.6,4.1,2.7
"12","5","            Consumption of general government fixed capital \2\","A265RL1",4.8,5,4.2,2.9,3.7,5.4,6.3,4.9,5.6,5.7,6.2,23.6,73.7,81.1,50.9,20,-4.3,-15.2,-14.5,-11,-8.3,-0.4,8.8,9.3,6.4,2.7,1.7,1.7,1.6,3,3.4,2.9,3.9,3.7,3.1,2.4,3,3.9,3.3,1.9
"13","6","          Intermediate goods and services purchased \3\","W104RL1",14.4,10.4,2.8,19.1,26.4,-6.6,22.2,-9.7,17.7,10.3,-6.1,51,176.7,46.3,20.6,-5.3,-73.5,-33.8,30.4,29.6,-2.7,54.3,37.8,13.7,-17.2,-2.7,-5.2,13.8,3.1,1.7,-3.6,3,14,5.9,0.6,5.2,15.5,13.9,6.8,-0.3
"14","7","            Durable goods","W105RL1",1,9.4,-8.7,50.4,59.8,10.4,39.5,-11.3,24.4,-1,-7.7,333.5,379.7,82.9,8.8,9.5,-95.5,-32.7,76.4,17.2,57.2,122.4,72.9,11.6,-26,-14.8,-4.6,5.4,3.2,-26.4,-13.1,-14.4,22.8,2.7,-10.8,6.6,36.8,-1.3,13.8,-12.6
"15","8","            Nondurable goods","W106RL1",19.5,13.2,6.2,16,24.3,-9.6,27,-10.9,20.4,15.3,-7.9,8.9,168.2,25.4,21.2,-27.8,-72.3,-11.1,32.1,56.6,-25.2,18.4,23,65.8,-18.7,-17.2,-26.2,9.1,8.8,51.1,-20.6,-0.5,26.9,-3.3,4.8,7.3,7.7,34.3,14.5,3.9
"16","9","            Services","W107RL1",11.2,7.8,0.6,19.4,24.4,-6.2,14.3,-8,13.6,7.8,-3.8,38.2,52.6,11.8,68,9,-21.7,-45.2,20.9,11.7,5.4,53.5,25.4,-12,-6.3,20.5,7.4,20.5,0.9,-3.7,11.5,10.3,6.6,11.1,2,3.9,13.9,9.9,1.5,0.8
"17","10","        Less: Own-account investment \4\","W108RL1",11.8,-5.7,-26.6,514.9,98,6.2,94.7,-25.5,32.1,-10.4,-18.8,-14.5,-31.5,-64.1,-59.9,35.7,-62.8,35.3,38.1,31.6,9.7,34.5,30.1,-0.7,-4.5,-8.2,6.8,5.1,8,24.2,-5.1,4.6,4.1,4.7,-1.8,3,7.1,-7.7,1,-1
"18","11","              Sales to other sectors","W109RL1",17.1,10.5,0.8,-1,6.3,0.9,-17.2,5.1,7.9,7.1,6.5,11.4,29.6,60.2,45.9,61.8,-4.3,-67.2,-12.4,-0.3,16.8,9.5,-15.3,2.9,10.6,38.2,-13.2,17.1,7,-0.8,1.5,4,11.1,10.4,8.4,11,12.8,4.4,8.4,4.7
"19","12","Federal consumption expenditures \1\","A957RL1",6.6,-2.6,-3.8,17.2,34.3,-8.4,76.9,-11.6,13.7,11.2,5.1,88,197.5,75.5,24.3,-5.4,-66.3,-26.7,3.3,5.2,-4.6,50.8,27.8,7.6,-11.6,-5.8,-1.7,5.4,-1.9,-0.4,-1.5,1.9,9.5,2.6,-0.6,1.3,11,11.4,3.4,-2.2
"20","13","      Gross output of general government","W110RL1",5.6,-3.3,-4.2,38.9,29.3,3.4,52.4,-12.2,10.8,10.9,4.9,81.7,190,74.7,24.9,-2.6,-63.2,-34.3,2.1,4.4,-3.8,51.2,26.3,7.5,-11.3,-4.4,-2.8,6.1,-1.9,-0.7,-1.6,1.7,9.4,2.6,-0.6,1.4,11.3,10.5,3.3,-2.1
"21","14","        Value added","W111RL1",7.2,-4.3,-4.4,23.4,33.1,10.9,65.2,-13.3,12.9,1.9,9.5,52.2,102,93.9,26.5,0.1,-53.1,-29.4,-7.6,-4.5,0,31.7,11.5,0.5,-2.4,-2.3,-1,-0.3,-2.8,-0.8,1.9,2.1,4.1,0.9,1,0.7,6.6,6.5,1.7,0.3
"22","15","          Compensation of general government employees","B568RL1",9.2,-5.3,-5.4,27.5,36.8,10.2,72,-15.2,13.4,1.3,9.3,50.5,91.9,87.4,18.5,-5.7,-65,-36.8,1.2,2.8,7.1,49.5,11.8,-3.1,-6.1,-4.1,-1.8,-0.7,-4.2,-2.1,1.6,2.2,4.5,0,0.5,0.5,8.6,7.9,1.5,0.3
"23","16","          Consumption of general government fixed capital \2\","B995RL1",-1.1,0.7,0.7,2.4,9.5,16.4,15.8,8.4,9.1,7.6,10.8,64.6,166.7,127.5,64.4,23.3,-4.7,-17.3,-17.4,-14.1,-11.4,-1.8,10.4,10.9,6.8,1.9,0.6,0.5,0.2,1.9,2.7,2,3.3,3,2,1,1.6,2.8,2.1,0.3
"24","17","        Intermediate goods and services purchased \3\","W113RL1",1.8,-0.6,-3.7,84.9,21.4,-12.4,18.1,-7.9,3,44.9,-7,162,323.7,58.3,23.2,-6,-80.6,-56.8,74.2,38.3,-13.8,108.1,53.8,17.3,-21.9,-7.4,-5.6,17,-0.6,-0.4,-7.5,1,19.3,5.5,-3.3,2.7,19.6,16.7,5.6,-5.6
"25","18","          Durable goods","W114RL1",47.7,0.5,-9.1,201.1,85.9,36.4,-13,-5.1,6.8,8.9,21.1,746.6,426.8,84.9,8.9,9.5,-95.9,-40.5,88,18.9,65.9,133.8,75.8,11.8,-26.9,-15.2,-5.3,4.6,3.3,-28.5,-14.7,-16.6,24.9,2.3,-13,5.7,41.5,-2.1,13.5,-16.4
"26","19","          Nondurable goods","W115RL1",13.3,-5.1,-15.1,113.9,23.4,-11.8,30.1,-3.2,-0.4,88.8,-12.9,37.5,442.9,35.2,25,-31,-83.6,-36.5,125.3,88.2,-50.6,74.5,44.6,110.2,-25.2,-29.7,-38,15.6,-2.8,82.2,-39.4,-9.5,62.4,-11.7,2,7.4,11.6,68.5,19.2,0.4
