"","Table 5#4#3# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 12:00:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment in structures","B349RA3",17.03,12.771,9.037,5.215,4.093,4.981,6.14,7.94,9.401,8.374,10.374,11.728,13.057,7.242,4.816,5.346,6.859,18.597,20.436,23.285,21.898,27.466,25.165,24.852,26.261,27.925,31.445,31.099,30.014,29.406,33.891,33.499,33.749,36.264,38.903,41.879,43.859,43.051,41.803,44.932,46.716
"9","2","Nonresidential","B009RA3",33.695,28.836,18.557,11.365,8.816,9.94,11.028,14.477,18.358,14.689,15.5,17.596,20.899,12.917,9.387,12.292,16.574,32.74,29.776,31.334,30.294,32.461,34.946,34.809,37.902,39.201,42.011,46.421,46.396,43.866,44.917,48.488,49.151,51.393,51.986,57.399,66.553,71.109,69.313,70.299,74.096
"10","3","  Commercial and health care","W001RA3",19.713,16.263,9.806,5.848,3.439,3.983,4.865,6.385,7.733,5.843,5.944,6.905,7.663,2.733,0.605,1.096,3.113,13.775,9.01,11.555,10.766,13.775,13.248,10.326,14.145,17.574,22.912,25.939,24.59,25.89,28.088,29.898,34.109,38.012,36.809,40.013,46.905,45.791,44.032,48.193,55.604
"11","4","    Office \1\","W031RA3",25.518,20.346,11.913,7.15,4.522,5.351,6.568,8.534,10.154,7.371,7.618,8.951,9.77,3.256,0.642,1.064,3.759,18.318,11.562,15.16,13.156,15.869,14.834,11.003,17.199,21.819,29.526,34.007,30.671,31.7,35.036,37.299,41.81,45.51,43.469,45.993,55.284,53.833,52.338,56.923,64.23
"12","5","    Health care","W032RA3",11.294,11.422,7.969,4.616,1.783,1.732,2.02,2.905,4.04,3.917,3.641,3.943,4.839,2.381,0.754,1.649,2.61,6.819,5.637,6.3,8.571,13.66,14.332,12.739,11.491,13.014,13.954,14.178,17.82,20.292,20.161,21.434,26.501,32.338,32.706,39.027,41.899,41.138,37.872,42.433,53.029
"13","6","      Hospitals and special care","C311RA3",10.261,11.668,8.697,4.978,1.514,1.251,1.382,2.197,3.439,3.884,3.439,3.571,4.649,2.633,0.922,2.09,2.855,5.612,5.414,5.57,9.18,15.725,16.889,15.481,12.396,13.537,13.199,12.551,18.368,21.598,20.697,21.995,28.12,35.495,36.44,44.749,46.776,46.025,41.777,47.177,60.44
"14","7","        Hospitals","W033RA3",9.276,10.548,7.863,4.5,1.369,1.131,1.25,1.986,3.109,3.511,3.109,3.228,4.203,2.38,0.833,1.889,2.581,5.073,4.895,5.036,8.299,14.216,15.268,13.995,11.207,12.238,11.933,11.347,16.605,19.517,18.703,19.875,25.41,32.074,32.928,40.437,42.268,41.59,37.751,42.631,54.615
"15","8","        Special care","W034RA3",18.362,20.88,15.564,8.909,2.709,2.238,2.474,3.932,6.155,6.95,6.155,6.391,8.32,4.712,1.649,3.74,5.11,10.043,9.689,9.968,16.428,28.14,30.223,27.704,22.184,24.225,23.621,22.461,32.869,38.723,37.107,39.433,50.414,63.636,65.33,80.227,83.862,82.515,74.899,84.58,108.359
"16","9","      Medical buildings","W035RA3",13.63,10.868,6.363,3.819,2.415,2.858,3.508,4.559,5.424,3.937,4.069,4.781,5.218,1.739,0.343,0.569,2.008,9.785,6.176,8.098,7.028,8.476,7.924,5.877,9.187,11.655,15.772,18.165,16.383,16.957,18.743,19.947,22.358,24.334,23.261,24.599,29.569,28.786,27.987,30.435,34.328
"17","10","    Multimerchandise shopping","W036RA3",20.289,16.177,9.472,5.685,3.595,4.254,5.222,6.786,8.074,5.861,6.058,7.117,7.768,2.589,0.51,0.846,2.989,14.565,9.194,12.054,10.461,12.618,11.795,8.749,13.675,17.349,23.477,27.04,24.387,24.619,27.157,29.022,32.649,35.47,33.704,35.719,43.129,41.996,40.839,44.593,50.517
"18","11","    Food and beverage establishments","W037RA3",31.894,25.43,14.89,8.936,5.652,6.688,8.209,10.667,12.691,9.213,9.522,11.187,12.211,4.069,0.802,1.331,4.698,22.895,14.452,18.949,16.444,19.834,18.542,13.753,21.497,27.272,36.905,42.506,38.336,38.7,42.706,45.624,51.342,55.779,53.001,56.144,67.847,66.03,64.245,70.137,79.44
"19","12","    Warehouses","W038RA3",15.985,12.746,7.463,4.479,2.833,3.352,4.115,5.346,6.361,4.618,4.773,5.607,6.12,2.04,0.402,0.667,2.355,11.475,7.243,9.497,8.242,9.941,9.293,6.893,10.774,13.668,18.496,21.304,19.214,19.396,21.404,22.867,25.732,27.956,26.564,28.152,34.007,33.106,32.188,35.166,39.815
"20","13","    Other commercial \2\","W039RA3",17.295,13.79,8.074,4.846,3.065,3.626,4.452,5.784,6.882,4.996,5.164,6.066,6.622,2.207,0.435,0.721,2.548,12.415,7.837,10.275,8.917,10.755,10.054,7.458,11.657,14.788,20.012,23.049,20.788,23.102,25.736,27.16,30.197,33.408,32.84,34.692,41.244,40.448,39.461,42.502,47.395
"21","14","  Manufacturing","B307RA3",72.371,45.172,21.678,8.032,18.847,17.493,14.144,22.589,37.17,17.763,20.201,32.782,53.801,20.108,8.359,11.59,33.951,73.651,62.695,46.218,33.058,36.331,63.86,68.22,65.233,61.026,66.811,87.779,93.132,64.177,57.235,77.577,75.887,76.651,76.948,92.487,127.884,158.948,139.815,134.642,141.575
"22","15","  Power and communication","W003RA3",42.618,42.464,29.198,16.514,8.448,9.182,11.172,16.062,20.555,19.805,22.372,24.21,25.728,20.616,12.083,16.038,18.442,29.326,44.354,53.093,55.855,55.58,55.752,56.276,61.895,56.551,53.842,62.907,65.314,62.826,60.242,60.793,56.951,57.283,61.13,66.561,73.649,83.979,91.859,102.105,102.107
"23","16","    Power","W028RA3",64.117,62.677,47.635,26.347,13.343,14.961,18.843,28,34.582,33.467,38.775,40.574,39.886,31.978,21.237,28.068,31.138,43.465,68.583,78.709,93.149,96.516,96.604,95.016,105.332,93.25,84.861,93.648,99.961,99.557,93.769,91.768,87.697,86.943,91.818,97.939,109.153,128.379,145.916,166.283,156.208
"24","17","      Electric","B571RA3",38.739,43.292,27.073,14.668,7.962,8.054,10.364,15.887,23.018,27.96,31.95,32.264,29.65,23.156,12.645,14.28,21.097,35.183,53.767,65.793,80.572,72.185,68.804,79.066,87.749,81.089,68.204,75.538,85.449,88.173,75.288,75.633,71.216,71.069,76.509,79.88,90.409,106.085,125.518,136.475,138.064
"25","18","      Other power","W029RA3",147.681,124.494,115.975,65.27,31.098,38.068,47.143,68.268,71.877,48.74,58.102,65.088,71.562,59.626,49.627,74.511,63.406,69.944,115.366,121.172,136.225,171.362,181.015,145.956,161.527,133.255,137.638,151.089,147.175,137.553,152.648,143.584,140.347,137.767,141.088,155.991,169.223,199.866,210.544,262.819,212.394
"26","19","    Communication","B314RA3",16.795,17.391,9.373,5.65,2.972,2.946,3.179,3.991,5.935,5.615,5.65,7.084,9.762,7.81,2.894,3.922,5.253,12.354,16.82,22.384,16.337,13.486,13.684,15.654,16.596,17.451,19.62,27.196,26.013,22.128,22.669,25.287,22.272,23.44,25.805,29.737,32.277,33.737,32.725,33.245,41.096
"27","20","  Mining exploration, shafts, and wells","E318RA3",20.423,15.713,8.813,11.065,9.146,12.968,15.764,18.778,24.337,21.088,19.816,22.297,23.088,15.724,14.32,19.558,21.575,24.902,27.787,34.111,34.531,40.982,43.081,47.933,52.374,57.921,62.306,60.289,56.908,53.209,54.627,51.277,52.22,54.774,51.409,55.084,54.412,51.562,49.291,49.586,51.68
"28","21","    Petroleum and natural gas","B319RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.363,29.213,36.317,36.988,43.816,46.021,51.623,56.381,62.919,67.832,65.691,62.068,57.168,58.49,54.505,55.305,57.993,54.021,58.149,57.394,54.202,51.668,51.25,53.061
"29","22","    Mining","B320RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.138,18.936,19.025,17.187,21.163,22.603,21.265,23.459,20.692,20.873,19.69,18.022,24.883,27.468,29.635,32.109,33.84,35.53,35.715,35.668,35.435,35.18,41.891,46.754
"30","23","  Other structures","W004RA3",51.064,47.645,33.979,19.624,15.379,16.909,18.442,22.641,25.17,22.13,23.556,23.287,26.496,21.56,21.686,26.702,30.382,60.281,47.504,47.51,48.102,47.492,46.453,46.691,48.416,51,51.104,50.585,50.605,52.945,58.454,64.915,63.437,64.747,68.498,75.12,84.464,87.648,85.776,75.829,75.222
"31","24","    Religious","C309RA3",43.177,42.981,31.709,19.579,9.973,8.748,11.468,13.061,14.531,16.835,15.781,19.015,18.648,8.356,1.495,2.597,6.004,14.948,18.476,33.056,48.739,55.699,54.277,46.705,54.988,70.965,81.943,87.358,90.47,92.559,102.453,109.727,108.992,110.909,105.514,102.448,120.072,110.339,99.335,96.052,82.215
"32","25","    Educational and vocational","W044RA3",19.502,20.76,20.165,12.721,3.749,3.207,3.843,8.472,7.673,7.281,7.105,8.932,9.622,3.573,0.826,1.435,3.925,13.344,14.088,18.398,20.109,22.107,22.875,22.686,27.403,34.955,30.293,33.633,30.214,33.992,31.361,33.852,36.54,40.312,39.461,42.825,43.444,52.517,54.075,56.378,49.51
"33","26","    Lodging","W045RA3",20.646,19.125,13.713,7.506,5.769,5.29,5.51,6.929,8.214,9.988,10.55,8.43,8.725,3.862,1.352,2.353,4.399,11.704,6.92,11.015,13.137,12.554,13.011,11.783,13.483,16.556,13.3,15.813,16.464,21.405,27.885,33.513,39.635,36.953,46.28,70.879,70.005,64.554,55.707,51.675,53.634
