"","Table 6#20B# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:46:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Net corporate dividends","B056RC0",24239,24307,25027,26836,29907,33219,32960,39014,44769,50793,57520,64070,73756,77714,83464,90807,97552,106180,112312
"9","2","Domestic industries","A3302C0",20403,20371,20337,21942,23107,23454,26404,30055,33690,39609,41479,47322,58311,61329,71319,78515,85709,88297,95607
"10","3","  Agriculture, forestry, and fishing","A3303C0",60,40,80,99,117,159,212,190,337,204,303,251,440,324,294,319,434,622,301
"11","4","    Farms","B3304C0",39,24,54,74,96,134,172,148,271,182,246,196,348,261,264,289,381,462,210
"12","5","    Agricultural services, forestry, and fishing","B3305C0",21,16,26,25,21,25,40,42,66,22,57,55,92,63,30,30,53,160,91
