"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 12:00:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment in structures","A349RL1",-25,-29.2,-42.3,-21.5,21.7,23.3,29.3,18.4,-10.9,23.9,13.1,11.3,-44.5,-33.5,11,28.3,171.1,9.9,13.9,-6,25.4,-8.4,-1.2,5.7,6.3,12.6,-1.1,-3.5,-2,15.3,-1.2,0.7,7.5,7.3,7.6,4.7,-1.8,-2.9,7.5,4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","B009RW2",-8.39,-23.58,-23.69,-14.76,8.21,6.44,16.59,14.39,-11.45,2.79,5.77,7.95,-17.37,-13.97,17.03,22.24,65.46,-4.47,2.16,-1.27,2.78,2.56,-0.16,3.58,1.42,2.88,4.07,-0.02,-2.53,1.07,3.15,0.59,1.98,0.49,4.19,6.6,3.13,-1.26,0.71,2.54
"12","3","  Commercial and health care","W001RW2",-2.34,-5.77,-4.8,-4.81,1.37,1.87,2.64,1.84,-2.2,0.13,1,0.69,-4.12,-3.26,1.11,4.05,17.02,-3.01,1.55,-0.42,1.64,-0.23,-1.43,1.88,1.57,2.26,1.16,-0.53,0.53,0.9,0.64,1.5,1.38,-0.4,1.01,2.03,-0.31,-0.5,1.22,2.03
"13","4","    Office \1\","W031RW2",-1.09,-2.34,-1.79,-1.62,0.65,0.8,1.05,0.68,-1,0.1,0.43,0.23,-1.68,-1.24,0.3,1.66,7.11,-1.31,0.67,-0.32,0.45,-0.14,-0.57,0.93,0.65,1,0.52,-0.4,0.13,0.42,0.25,0.49,0.4,-0.21,0.24,0.84,-0.13,-0.13,0.41,0.62
"14","5","    Health care","W032RW2",0.02,-0.68,-0.91,-1.29,-0.03,0.14,0.35,0.36,-0.03,-0.08,0.07,0.19,-0.48,-0.58,0.47,0.45,1.59,-0.18,0.1,0.28,0.66,0.07,-0.18,-0.15,0.17,0.09,0.02,0.34,0.24,-0.01,0.11,0.43,0.49,0.03,0.48,0.2,-0.05,-0.22,0.32,0.7
"15","6","      Hospitals and special care","C311RW2",0.15,-0.4,-0.69,-1.1,-0.11,0.04,0.23,0.28,0.09,-0.1,0.02,0.17,-0.28,-0.43,0.44,0.26,0.74,-0.02,0.02,0.32,0.6,0.09,-0.12,-0.26,0.09,-0.02,-0.04,0.39,0.22,-0.06,0.08,0.37,0.45,0.05,0.45,0.1,-0.04,-0.21,0.27,0.62
"16","7","        Hospitals","W033RW2",0.12,-0.33,-0.56,-0.88,-0.09,0.04,0.18,0.22,0.07,-0.08,0.02,0.13,-0.22,-0.35,0.35,0.21,0.6,-0.02,0.01,0.26,0.49,0.07,-0.09,-0.21,0.07,-0.02,-0.03,0.32,0.18,-0.05,0.06,0.3,0.36,0.04,0.36,0.08,-0.03,-0.17,0.22,0.5
"17","8","        Special care","W034RW2",0.03,-0.08,-0.13,-0.21,-0.02,0.01,0.04,0.05,0.02,-0.02,0,0.03,-0.05,-0.08,0.08,0.05,0.14,0,0,0.06,0.12,0.02,-0.02,-0.05,0.02,0,-0.01,0.08,0.04,-0.01,0.02,0.07,0.09,0.01,0.09,0.02,-0.01,-0.04,0.05,0.12
"18","9","      Medical buildings","W035RW2",-0.13,-0.28,-0.21,-0.19,0.08,0.1,0.13,0.08,-0.12,0.01,0.05,0.03,-0.2,-0.15,0.04,0.2,0.85,-0.16,0.08,-0.04,0.05,-0.02,-0.07,0.11,0.08,0.12,0.06,-0.05,0.02,0.05,0.03,0.06,0.05,-0.02,0.03,0.1,-0.02,-0.02,0.05,0.07
"19","10","    Multimerchandise shopping","W036RW2",-0.47,-1.02,-0.78,-0.7,0.28,0.35,0.46,0.3,-0.43,0.04,0.19,0.1,-0.73,-0.54,0.13,0.72,3.08,-0.57,0.29,-0.14,0.2,-0.06,-0.25,0.4,0.28,0.43,0.23,-0.18,0.02,0.17,0.11,0.22,0.17,-0.1,0.11,0.37,-0.05,-0.06,0.18,0.27
"20","11","    Food and beverage establishments","W037RW2",-0.25,-0.55,-0.42,-0.38,0.15,0.19,0.25,0.16,-0.23,0.02,0.1,0.05,-0.39,-0.29,0.07,0.39,1.66,-0.31,0.16,-0.08,0.11,-0.03,-0.13,0.22,0.15,0.23,0.12,-0.09,0.01,0.09,0.06,0.12,0.09,-0.05,0.06,0.2,-0.03,-0.03,0.1,0.15
"21","12","    Warehouses","W038RW2",-0.21,-0.46,-0.35,-0.32,0.13,0.16,0.21,0.13,-0.19,0.02,0.08,0.05,-0.33,-0.24,0.06,0.32,1.39,-0.26,0.13,-0.06,0.09,-0.03,-0.11,0.18,0.13,0.19,0.1,-0.08,0.01,0.08,0.05,0.1,0.08,-0.04,0.05,0.17,-0.02,-0.03,0.08,0.12
"22","13","    Other commercial \2\","W039RW2",-0.33,-0.72,-0.55,-0.5,0.2,0.25,0.32,0.21,-0.31,0.03,0.13,0.07,-0.52,-0.38,0.09,0.51,2.18,-0.4,0.21,-0.1,0.14,-0.04,-0.18,0.29,0.2,0.31,0.16,-0.12,0.13,0.15,0.07,0.15,0.16,-0.03,0.08,0.26,-0.03,-0.04,0.12,0.18
"23","14","  Manufacturing","C307RW2",-3.68,-4,-3.31,4.72,-0.8,-1.72,3.59,4.88,-5.45,0.75,3.13,4.77,-7.13,-4.61,1.82,10.88,15.82,-1.66,-2.27,-1.57,0.4,2.73,0.48,-0.33,-0.44,0.56,1.82,0.48,-2.69,-0.65,1.63,-0.14,0.06,0.02,1.12,2.38,2,-1.25,-0.35,0.44
"24","15","  Power and communication","W003RW2",-0.04,-4.75,-6.69,-7.53,0.89,2.03,4.09,2.87,-0.39,1.5,0.87,0.63,-1.87,-5.45,3.62,1.91,6.83,3.47,1.83,0.52,-0.06,0.03,0.09,1.04,-0.96,-0.46,1.41,0.39,-0.43,-0.46,0.09,-0.61,0.05,0.56,0.73,0.88,1.21,0.94,1.25,0
"25","16","    Power","W028RW2",-0.17,-2.45,-5.15,-5.6,0.91,1.85,3.59,1.98,-0.28,1.49,0.4,-0.14,-1.37,-3.25,2.95,1.15,3.65,2.73,1,1.3,0.33,0.01,-0.14,0.93,-1.06,-0.7,0.67,0.51,-0.03,-0.52,-0.16,-0.32,-0.06,0.35,0.41,0.69,1.11,1.01,1.21,-0.55
"26","17","      Electric","C571RW2",0.44,-2.15,-2.44,-2.34,0.04,0.89,1.76,1.74,1,0.91,0.06,-0.42,-0.91,-2.58,0.57,2.07,3.19,1.47,0.85,0.94,-0.59,-0.2,0.65,0.57,-0.43,-0.79,0.41,0.59,0.17,-0.85,0.02,-0.26,-0.01,0.29,0.17,0.5,0.7,0.87,0.51,0.07
"27","18","      Other power","W029RW2",-0.61,-0.31,-2.71,-3.26,0.87,0.96,1.83,0.24,-1.28,0.58,0.35,0.28,-0.46,-0.67,2.38,-0.92,0.46,1.26,0.15,0.36,0.93,0.2,-0.79,0.36,-0.63,0.09,0.26,-0.08,-0.21,0.34,-0.18,-0.06,-0.05,0.06,0.24,0.19,0.41,0.14,0.7,-0.62
"28","19","    Communication","C314RW2",0.13,-2.3,-1.54,-1.93,-0.02,0.18,0.5,0.89,-0.11,0.01,0.46,0.76,-0.49,-2.2,0.67,0.76,3.18,0.74,0.83,-0.78,-0.39,0.02,0.23,0.11,0.1,0.24,0.74,-0.12,-0.39,0.06,0.24,-0.29,0.11,0.21,0.32,0.19,0.11,-0.08,0.04,0.55
"29","20","  Mining exploration, shafts, and wells","E318RW2",-1.04,-2.37,1.2,-1.9,4.39,2.36,2.06,2.84,-1.45,-0.61,0.92,0.24,-2.02,-0.76,4.65,1.66,1.98,0.55,1.04,0.06,0.95,0.25,0.64,0.59,0.69,0.5,-0.21,-0.36,-0.41,0.16,-0.34,0.09,0.25,-0.3,0.3,-0.05,-0.21,-0.17,0.02,0.15
"30","21","    Petroleum and natural gas","C319RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,1.04,0.09,0.9,0.23,0.66,0.56,0.72,0.5,-0.2,-0.35,-0.49,0.13,-0.36,0.07,0.24,-0.32,0.3,-0.05,-0.21,-0.17,-0.03,0.11
"31","22","    Mining","C320RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.03,0.06,0.02,-0.02,0.03,-0.03,0,-0.01,-0.02,0.07,0.03,0.02,0.02,0.02,0.01,0,0,0,0,0.05,0.04
"32","23","  Other structures","W004RW2",-1.28,-6.7,-10.1,-5.25,2.36,1.91,4.21,1.96,-1.96,1.02,-0.15,1.61,-2.23,0.1,5.82,3.74,23.82,-3.82,0,0.15,-0.16,-0.21,0.05,0.4,0.57,0.02,-0.1,0,0.47,1.11,1.12,-0.26,0.23,0.62,1.03,1.35,0.44,-0.26,-1.44,-0.08
"33","24","    Religious","C309RW2",-0.01,-0.51,-0.76,-1.02,-0.16,0.31,0.15,0.11,0.15,-0.08,0.19,-0.02,-0.48,-0.58,0.14,0.39,0.8,0.13,0.5,0.47,0.22,-0.04,-0.21,0.23,0.42,0.26,0.12,0.07,0.05,0.23,0.15,-0.01,0.04,-0.1,-0.06,0.3,-0.16,-0.18,-0.06,-0.22
