"","Table 6#14B# Inventory Valuation Adjustment to Nonfarm Incomes b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:45:32 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Inventory valuation adjustment to nonfarm incomes","A1830C0",-6334,-7085,-5141,-7331,-21456,-41614,-11649,-15173,-16809,-25596,-42775,-45023,-25881,-8008,-7961,-4381,-165,7023,-17050
"9","2","Corporate business","B058RC0",-5870,-6552,-4584,-6610,-19569,-38221,-10544,-14113,-15698,-23709,-40138,-42133,-24626,-7505,-7445,-3979,21,7061,-16239
"10","3","  Mining","B1831C0",-160,-75,-44,-62,-309,-541,-158,-338,-395,-410,-1129,-759,-653,-107,386,40,159,931,-327
"11","4","  Construction","B1832C0",-96,-90,-360,-241,-195,-361,-146,-266,-258,-443,-349,-316,-199,-56,-243,-117,-41,11,-251
"12","5","  Manufacturing","A672RC0",-3721,-3726,-2302,-3163,-9795,-20371,-4816,-6617,-8035,-10026,-18760,-17984,-11048,-3559,-2234,-1693,-117,3862,-7524
"13","6","    Durable goods","A674RC0",-2739,-2714,-1606,-1726,-4497,-11741,-4565,-4340,-5803,-6263,-10568,-9635,-8726,-4481,-1899,-698,-2016,-1212,-3206
"14","7","    Nondurable goods","A673RC0",-982,-1012,-696,-1437,-5298,-8630,-251,-2277,-2232,-3763,-8192,-8349,-2322,922,-335,-995,1899,5074,-4318
"15","8","  Transportation and public utilities","A676RC0",-274,-639,-162,-254,-981,-2962,-369,-1377,-1403,-1102,-3960,-4106,-3870,-265,-88,-405,-301,1936,-1486
"16","9","    Transportation","C528RC0",-46,-66,-101,-67,-256,-836,-309,-176,-211,-252,-915,-1004,-572,54,87,-101,-105,2022,-1143
"17","10","    Communication","C529RC0",-90,-27,17,-7,-97,-204,85,-56,-50,-109,-328,-285,-145,-95,-212,-292,-291,-309,-344
"18","11","    Electric, gas, and sanitary services","C530RC0",-138,-546,-78,-180,-628,-1922,-145,-1145,-1142,-741,-2717,-2817,-3153,-224,37,-12,95,223,1
"19","12","  Wholesale trade","C526RC0",-704,-1043,-772,-1779,-5209,-6652,-1762,-2674,-2133,-5620,-7834,-8981,-3674,-1157,-2925,266,1728,1855,-3824
"20","13","  Retail trade","C527RC0",-822,-867,-865,-1021,-2873,-6511,-2994,-2531,-3089,-5544,-7320,-8491,-4215,-1904,-2318,-1789,-1359,-1263,-2439
"21","14","  Other","B1833C0",-349,-277,-483,-393,-711,-1725,-603,-914,-1038,-1417,-2264,-2571,-1819,-620,120,-358,70,671,-966
"22","15","Noncorporate business","B179RC0",-464,-533,-557,-721,-1887,-3393,-1105,-1060,-1111,-1887,-2637,-2890,-1255,-503,-516,-402,-186,-38,-811
"23","16","  Mining","B1834C0",0,0,0,0,-6,-5,-2,-7,-8,-8,-17,-42,-28,-5,22,3,10,64,-24
"24","17","  Construction","B1835C0",-27,-20,-107,-70,-62,-107,-44,-70,-50,-66,-48,-38,-30,-10,-50,-19,-7,2,-37
"25","18","  Manufacturing","A1836C0",-38,-38,-45,-44,-186,-229,-48,-81,-87,-102,-160,-143,-50,-20,-43,-23,32,12,-103
"26","19","    Durable goods","B1837C0",-29,-26,-39,-30,-109,-145,-48,-62,-69,-71,-110,-76,-47,-10,-15,-6,12,8,-67
"27","20","    Nondurable goods","B1838C0",-9,-12,-6,-14,-77,-84,0,-19,-18,-31,-50,-67,-3,-10,-28,-17,20,4,-36
"28","21","  Wholesale trade","B1839C0",-73,-116,-76,-211,-579,-522,-87,-167,-111,-361,-536,-479,-105,-42,-94,7,38,45,-90
"29","22","  Retail trade","B1840C0",-285,-293,-294,-352,-942,-1945,-821,-594,-678,-1116,-1449,-1645,-700,-269,-372,-269,-242,-134,-392
"30","23","  Other","B1841C0",-41,-66,-35,-44,-112,-585,-103,-141,-177,-234,-427,-543,-342,-157,21,-101,-17,-27,-165
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
