"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 28, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:28:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Gross domestic product","A191RL1",3.1,0.2,3.4,5.3,5.8,-0.6,-0.2,5.4,4.6,5.6,3.1,-0.3,2.5,-1.9,4.5,7.2,4.1,3.5,3.2,4.1,3.6,1.9,-0.2,3.4,2.9,4.1,2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,1.9,0,-2.6,2.9
"9","2","       Final sales of domestic product","A190RL1",3.1,0.9,2.8,5.3,5.3,-0.3,1.1,3.9,4.4,5.5,3.6,0.6,1.4,-0.6,4.2,5.2,5.3,3.8,2.8,4.3,3.4,2.1,0,3.1,2.8,3.5,3,3.7,3.9,4.4,4.9,4.2,2,1.3,2.4,3.2,3.2,2.6,2.2,0.5,-2.1,1.4
"10","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","Goods","A353RL1",3.4,-0.8,3,6.8,10.6,-1,-2.5,7.9,4.8,6.7,4.1,-0.9,4.5,-5.1,4.3,12.4,2.4,2.9,4,6.2,5.7,1,-1.7,4.1,3.8,7,3.7,5.5,7.8,5.8,7,4.9,-1.6,1.7,3.4,5.1,4.4,5.2,4.1,-0.5,-3.8,11.1
"12","5","    Final sales","A325RL1",3.5,1,1.5,6.8,9.5,-0.3,0.8,4.1,4.3,6.6,5.4,1.6,1.4,-1.6,3.5,6.7,5.7,3.9,2.8,6.8,5.2,1.7,-0.9,3.2,3.7,5.1,5.2,5.5,6.2,6.1,7.2,5.1,1.4,0.1,3.2,3.6,5,5,5.1,1.4,-1.6,5.4
"13","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RL1",5.3,-4.6,3.3,12.1,19,-0.2,-6.6,12.2,7.3,10.3,5.1,-5.4,1.7,-9.2,9.1,17.9,2.9,4.8,7.1,9.7,6.6,0.9,-4.4,6.1,8.1,8.4,7.2,7.3,11.7,9.6,9.8,7.5,-3.1,2.5,3.5,6.5,6.3,5.2,6.1,-0.9,-10,16.8
"15","8","    Final sales","A326RL1",4.7,-1.2,1.6,10.5,16.5,1.4,-0.4,5.9,8.1,8.6,6.9,-2.4,0.1,-5.2,5.6,11.6,8.7,5.7,3.9,10.1,7.2,2.2,-2.2,4.9,6,6.8,7.6,8.6,10.1,9.7,10.1,7.7,1.5,-1.1,3.7,5.1,6.6,5.8,7,0.9,-5.4,7.5
"16","9","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","  Nondurable goods","A356RL1",1.9,2.3,2.7,2.8,4,-1.6,1.2,4.2,2.4,3.2,3.1,3.9,7.3,-1.3,0.1,7.2,1.9,1.1,0.9,2.6,4.7,1.2,1.1,2.1,-0.3,5.6,-0.1,3.5,3.4,1.4,3.6,1.6,0.3,0.8,3.4,3.6,2.2,5.2,1.8,0,3.2,5.6
"18","11","    Final sales","A334RL1",2.6,2.8,1.4,3.9,4,-1.7,1.8,2.6,0.7,4.7,3.8,5.7,2.6,2,1.6,2.2,2.6,2.1,1.6,3.4,3.2,1.2,0.4,1.5,1.3,3.3,2.7,2.1,1.8,1.9,3.8,1.9,1.2,1.7,2.7,2,3.1,4,2.9,2.1,2.6,3.3
