"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/30/2012 8:51:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Nonfarm industries","INF0",18718,22756,-6509,-23078,17052,-3984,-16354,-53208,-48129,-37945,-61534,-50904,1295,-48998,-68180
"9","2","Mining, utilities, and construction","ICMU0",216,1380,-2425,-4902,5099,-3464,-1910,-7408,-11593,6612,-4005,-7042,2627,-2961,-4910
"10","3","Manufacturing industries","I300",7703,10015,-92,-10417,5073,964,-7925,-24974,-17601,-19258,-21765,-19907,2382,-19042,-21948
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","I30D0",5268,6630,647,-3663,2874,2117,-1066,-14799,-5735,-13738,-5515,-15631,5274,-7341,-9851
"13","5","      Wood product manufacturing","I3210",-255,246,29,116,169,99,-231,-487,-170,-53,-478,-520,51,29,65
"14","6","      Nonmetallic mineral product manufacturing","I3270",-25,-74,-163,-384,-139,-50,-150,-254,-537,-562,-404,-805,-389,-18,-288
"15","7","      Primary metal manufacturing","I3310",68,1811,259,-464,594,-8,-643,-3412,-996,-3475,-1104,-1830,896,-1581,-615
"16","8","      Fabricated metal product manufacturing","I3320",12,418,135,-509,740,-125,-371,-3951,-912,-2612,-1425,-3494,2201,-2211,-2124
"17","9","      Machinery manufacturing","I3330",38,-121,-234,-533,237,397,-665,-2494,-969,-1951,-1406,-3501,1048,-1021,-2277
"18","10","      Computer and electronic product manufacturing","I3340",5167,3469,1190,479,798,1583,2281,355,364,-612,1691,31,619,197,-481
"19","11","      Electrical equipment, appliance, and component manufacturing","I3350",-10,423,-36,-177,49,151,-77,-881,-544,-1059,-375,-621,260,-582,-678
"20","12","      Transportation equipment manufacturing","I3360",330,171,-314,-2003,312,-290,-574,-2453,-1241,-2399,-1296,-3806,0,-1471,-2553
"21","13","        Motor vehicle and parts manufacturing","I336MV0",304,136,181,-418,91,62,-16,-1034,-623,-836,-446,-1270,557,-511,-857
"22","14","        Other transportation equipment manufacturing","I336OT0",26,35,-495,-1585,221,-352,-558,-1419,-618,-1563,-850,-2535,-557,-960,-1696
"23","15","      Furniture and related product manufacturing","I3370",-26,30,-60,-9,70,97,-389,-332,-181,-104,-89,-401,127,-65,-162
"24","16","      Miscellaneous durable goods manufacturing","I3390",-31,257,-159,-179,44,263,-245,-890,-549,-911,-631,-686,462,-617,-738
"25","17","    Nondurable goods industries","I30N0",2434,3385,-739,-6754,2199,-1153,-6859,-10175,-11866,-5520,-16249,-4275,-2892,-11701,-12097
"26","18","      Food manufacturing","I3110",147,401,96,-745,-461,-306,-2520,-1298,-152,-1614,-5058,-1211,1325,-3671,-3538
"27","19","      Beverage and tobacco product manufacturing","I3120",-186,-139,-55,-203,70,-100,-63,-616,1099,-168,-615,-627,-281,-219,-79
"28","20","      Textile mills","I3130",59,23,213,-54,408,102,-45,53,-140,-48,-144,-176,35,-131,-213
"29","21","      Textile product mills","I3140",24,79,144,-58,226,-18,76,-43,-57,-29,-68,-103,43,-66,-155
"30","22","      Apparel manufacturing","I3150",38,152,274,-29,127,-30,61,-125,-40,-94,-151,-254,-74,-25,-128
"31","23","      Leather and allied product manufacturing","I3160",4,62,-5,-59,-3,-36,-33,-12,3,-19,-48,-66,6,-35,-73
"32","24","      Paper manufacturing","I3220",410,-158,566,-796,171,756,-296,-670,-504,-547,-126,-1195,749,-611,-374
"33","25","      Printing and related support activities","I3230",-3,-176,443,-383,99,363,-136,-240,-276,-204,306,-637,483,-170,-155
"34","26","      Petroleum and coal product manufacturing","I3240",1470,1937,-2177,-1530,1048,-2153,-1977,-2904,-6743,-863,-6831,8890,-5464,-3857,-1878
"35","27","      Chemical manufacturing","I3250",333,674,-85,-2128,-84,282,-1369,-2986,-3591,-1786,-3171,-7471,-308,-2125,-4194
"36","28","      Plastics and rubber product manufacturing","I3260",139,530,-153,-769,599,-11,-558,-1334,-1465,-147,-343,-1424,594,-790,-1310
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","I30M0",2876,4058,612,-3140,2368,191,-3323,-10278,-7157,-7048,-7717,-7596,2172,-8157,-8688
"39","30","      Durable goods industries","I30DM0",1884,2712,615,-836,1616,411,-518,-6365,-2741,-5159,-2384,-6084,3286,-3585,-3903
"40","31","      Nondurable goods industries","I30NM0",992,1346,-3,-2305,752,-221,-2805,-3913,-4416,-1889,-5333,-1512,-1114,-4572,-4785
"41","32","    Work-in-process","I30W0",2630,3062,-192,-2913,1234,190,-917,-5833,-3954,-5650,-5240,-3494,-1346,-5005,-4932
"42","33","      Durable goods industries","I30DW0",2285,2285,87,-1844,772,590,-134,-4197,-1562,-4423,-1393,-4508,765,-2171,-3135
"43","34","      Nondurable goods industries","I30NW0",345,777,-278,-1069,462,-400,-784,-1636,-2392,-1227,-3847,1013,-2112,-2834,-1797
"44","35","    Finished goods","I30F0",2196,2895,-512,-4363,1470,584,-3684,-8862,-6490,-6560,-8808,-8816,1557,-5880,-8328
"45","36","      Durable goods industries","I30DF0",1099,1632,-55,-983,485,1116,-414,-4236,-1432,-4156,-1738,-5040,1223,-1584,-2813
"46","37","      Nondurable goods industries","I30NF0",1097,1263,-458,-3380,985,-532,-3270,-4626,-5058,-2404,-7070,-3776,334,-4296,-5515
"47","38","Wholesale trade industries","IWT0",6483,8252,-480,-4706,4406,-3618,-6434,-14098,-11266,-18593,-24027,-13214,-851,-19545,-25263
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","IWTD0",5237,6091,1513,103,3102,1124,-840,-8897,-3775,-9772,-5882,-6977,4495,-4041,-8155
"50","40","    Nondurable goods industries","IWTN0",1246,2161,-1993,-4809,1304,-4743,-5593,-5201,-7491,-8822,-18145,-6238,-5346,-15504,-17108
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","I42W0",5150,6991,-210,-3186,3920,-2372,-5018,-9873,-7657,-12358,-19033,-13650,2514,-16424,-20698
"53","42","      Durable goods industries","I42WD0",4059,5353,1343,384,2984,843,-895,-6999,-3150,-7382,-4893,-7338,3580,-3437,-6891
"54","43","        Motor vehicles, parts, and supplies wholesalers","I42110",719,-64,-213,-315,309,450,-54,-111,235,-201,-624,-586,1054,-7,-543
"55","44","        Furniture and home furnishings wholesalers","I42120",44,-58,-32,-82,1,-66,-71,-110,-192,-167,-211,-366,-105,-6,-292
"56","45","        Lumber and other construction materials wholesalers","I42130",-56,257,-376,238,-25,-5,-232,-825,-312,-107,-69,-464,105,-241,-176
"57","46","        Professional and commercial equipment wholesalers","I42140",2826,3761,2392,1323,2199,999,737,562,1130,968,848,510,603,437,443
"58","47","          Computers and software wholesalers","I421430",2925,3792,2472,1465,2314,1202,940,805,1271,1168,1097,792,848,478,660
"59","48","          Other professional and commercial equipment wholesalers","I4214X0",-99,-31,-80,-142,-115,-203,-203,-243,-141,-200,-249,-282,-245,-41,-217
"60","49","        Metal and mineral (except petroleum) wholesalers","I42150",19,642,140,-362,438,-372,-484,-3694,-693,-2405,-382,-1611,3079,-1613,-1676
"61","50","        Electrical goods wholesalers","I42160",491,345,331,241,506,421,239,179,-97,-567,-241,-576,-19,172,-414
"62","51","        Hardware and plumbing and heating equipment wholesalers","I42170",-58,-6,-123,-115,-203,-98,-92,-392,-478,-383,-482,-892,-135,-52,-340
"63","52","        Machinery, equipment, and supplies wholesalers","I42180",93,-425,-203,-325,-393,-168,-420,-1440,-2099,-2636,-2206,-3560,-267,-563,-1953
"64","53","        Miscellaneous durable goods wholesalers","I42190",-19,901,-573,-219,152,-318,-519,-1168,-644,-1884,-1526,207,-736,-1564,-1940
"65","54","      Nondurable goods industries","I42WN0",1091,1638,-1553,-3570,936,-3216,-4122,-2874,-4507,-4977,-14140,-6313,-1066,-12987,-13807
"66","55","        Paper and paper products wholesalers","I42210",14,90,-189,-427,198,68,-8,-268,-156,-447,-139,-553,376,-376,-55
"67","56","        Drugs and druggists' sundries wholesalers","I42220",-65,-1114,-117,-155,93,-258,-407,-296,-443,-271,-1254,-1010,-870,-678,-215
"68","57","        Apparel, piece goods, and notions wholesalers","I42230",-109,-8,63,15,-47,159,-76,-35,36,-6,-260,-140,58,-185,-1603
"69","58","        Grocery and related products wholesalers","I42240",154,-153,-34,-116,-305,283,-1100,-767,-349,-209,-1141,-1015,14,-791,-1547
"70","59","        Farm product raw material wholesalers","I42250",662,1623,1129,-622,130,-1648,-981,1481,250,-2808,-5483,-1736,861,-6026,-3859
"71","60","        Chemical and allied products wholesalers","I42260",32,149,-65,-273,193,-136,-305,-777,-769,-395,-654,-845,429,-642,-1097
"72","61","        Petroleum amd petroleum products wholesalers","I42270",610,1132,-1546,-1209,1492,-1268,-983,-1727,-2280,-480,-3529,1629,-2532,-3298,-3664
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-51,-120,-52,-200,-90,-124,-45,-124,-115,12,-174,-214,-204,-115,-152
"74","63","        Miscellaneous nondurable goods wholesalers","I42290",-156,39,-742,-583,-728,-292,-218,-361,-681,-373,-1506,-2429,802,-876,-1615
"75","64","    Nonmerchant wholesale industries","I42N0",1333,1261,-270,-1520,486,-1246,-1416,-4225,-3609,-6235,-4994,436,-3365,-3121,-4565
"76","65","      Durable goods industries","I42ND0",1178,738,170,-281,118,281,55,-1898,-625,-2390,-989,361,915,-604,-1264
"77","66","      Nondurable goods industries","I42NN0",155,523,-440,-1239,368,-1527,-1471,-2327,-2984,-3845,-4005,75,-4280,-2517,-3301
"78","67","Retail trade industries","I440",3877,2389,-3003,-2101,2084,1664,100,-5920,-5524,-4520,-8167,-8178,-2281,-5396,-12542
"79","68","  Motor vehicle and parts dealers","I4410",899,343,-1028,-1066,458,1292,1734,-1477,-1074,-1273,-804,-970,243,-1487,-2293
"80","69","  Furniture, furnishings, electronics, and appliance stores","I44230",1384,1103,425,410,928,696,614,399,468,395,294,-282,101,440,-266
"81","70","  Building material and garden equipment and supplies dealers","I4440",-80,41,-127,-119,-28,-408,-437,-1987,-1297,-1715,-1215,-2844,778,-464,-1344
"82","71","  Food and beverage stores","I4450",126,-16,-335,-49,-707,398,-894,-619,-489,-100,-709,-1242,-179,-661,-1048
"83","72","  Clothing and clothing accessories stores","I4480",-232,165,66,135,-73,182,-469,-285,-332,-623,-1648,-1640,-495,-838,-4099
"84","73","  General merchandise stores","I4520",56,-181,123,396,165,46,29,-25,-184,-359,-645,-762,-284,-274,-923
"85","74","    Department stores","I45210",87,53,262,444,136,43,25,53,-102,-101,-152,-226,-711,-91,-505
"86","75","    Other general merchandise stores","I45290",-31,-234,-139,-48,29,3,4,-78,-82,-258,-493,-536,427,-183,-418
"87","76","  Other retail stores","I44X0",1724,934,-2127,-1808,1341,-542,-477,-1926,-2616,-845,-3440,-438,-2446,-2112,-2569
"88","77","Other industries","IOTH0",440,721,-510,-954,390,470,-185,-808,-2145,-2186,-3570,-2564,-581,-2054,-3517
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
