"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2012 10:24:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","S1 PN04472AMG       Retail and food services","T070013",85.683,87.38,88.873,90.18,91.907,92.683,91.829,92.933,95.237,95.702,95.239,95.629,97.66,100,101.644,103.327,106.288,103.875,105.822,109.599
"9","2","S1 PN44ZZZZMG Retail trade","T070023",87.218,88.959,90.488,91.748,93.451,94.054,92.852,93.841,96.154,96.355,95.568,95.789,97.731,100,101.483,102.938,105.706,102.599,104.617,108.509
"10","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",85.672,88.772,92.367,95.752,97.482,97.914,97.491,98.415,99.328,100.272,100.222,98.33,98.357,100,100.959,101.052,100.413,101.193,105.421,108.582
"11","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.925,88.567,92.615,96.358,98.266,98.777,98.316,99.311,100.188,100.991,100.799,98.497,98.4,100,100.525,100.333,99.048,99.502,104.112,107.201
"12","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",87.326,88.58,91.112,93.615,94.754,94.596,94.738,96.209,97.727,98.871,98.498,98.168,98.681,100,102.556,102.306,102.402,103.111,105.587,108.495
"13","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",91.155,90.141,90.067,90.607,91.009,91.019,90.642,90.587,91.451,93.701,95.398,96.649,97.595,100,104.102,107.6,112.876,116.701,118.788,122.817
"14","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",148.707,149.2,150.446,149.569,147.52,143.673,138.549,132.025,127.408,121.205,115.028,108.434,103.927,100,95.764,90.532,86.245,82.838,77.51,73.093
"15","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",100.156,101.337,103.468,104.291,105.228,105.514,105.895,105.421,105.419,104.473,102.848,100.681,99.986,100,99.949,98.557,97.497,97.078,93.326,92.149
"16","9","S4 PN4421ZZMG       Furniture Stores","T070093",100.884,102.485,105.155,106.267,107.612,107.558,107.401,107.055,106.671,105.03,102.973,101.403,100.884,100,100.488,99.32,98.053,97.538,93.132,91.651
"17","10","S4 PN4422ZZMG       Home furnishings stores","T070103",99.519,100.073,101.437,101.864,102.256,102.993,104.08,103.443,103.912,103.827,102.729,99.878,98.99,100,99.356,97.721,96.885,96.571,93.548,92.742
"18","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",227.188,225.7,224.503,220.106,212.305,200.778,185.789,169.098,157.024,142.733,130.034,117.543,108.337,100,91.56,82.938,76.247,70.938,64.834,58.756
"19","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",84.481,91.535,93.937,93.992,95.113,97.332,94.398,94.382,93.867,93.213,92.415,93.347,98.855,100,100.289,101.047,101.376,100.17,100.4,101.533
"20","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",83.901,92.091,94.527,94.266,94.551,97.249,94.846,95.294,94.215,93.146,92.433,92.953,98.498,100,100.293,100.192,99.983,98.651,99.213,100.456
"21","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",87.534,88.029,90.226,92.182,98.399,97.752,91.78,89.064,92.01,94.05,92.663,96.647,101.868,100,100.246,108.517,113.233,112.967,111.103,111.69
"22","15","S1 PN445ZZZMG   Food and beverage stores","T070153",75.052,76.286,77.366,78.838,81.511,83.219,84.575,86.712,89.126,91.858,93.377,95.098,98.066,100,101.859,105.518,111.781,113.583,114.835,119.493
"23","16","S1 PN4451ZZMG     Grocery stores","T070163",74.721,75.989,77.129,78.655,81.363,83.052,84.428,86.551,88.947,91.721,93.228,94.971,98.011,100,101.895,105.648,112.075,113.748,115.058,120.011
"24","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.914,76.217,77.644,79.222,82.127,83.955,85.276,86.676,88.582,91.456,92.941,94.9,98.234,100,101.717,105.855,112.891,113.907,114.399,119.676
"25","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",80.127,80.769,80.675,81.225,83.191,85.148,86.219,88.912,91.82,93.908,95.609,96.906,98.702,100,101.469,103.732,107.67,111.355,112.251,113.235
"26","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",120.03,119.492,118.181,115.849,114.221,113.503,111.213,109.623,108.165,106.628,103.954,101.278,100.878,100,100.118,100.383,100.877,101.772,101.455,103.815
"27","20","S2 PN4481ZZMG     Clothing stores","T070203",120.951,120.23,118.403,115.541,114.131,114.009,111.81,110.732,109.608,107.569,104.687,101.899,101.312,100,99.581,98.94,98.114,98.639,97.794,99.456
"28","21","S2 PN4482ZZMG     Shoe stores","T070213",110.228,110.453,109.386,107.848,107.06,106.912,105.807,103.281,101.755,100.931,99.49,97.879,97.612,100,100.615,102.836,105.55,107.631,108.365,109.102
"29","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",124.568,124.058,125.093,124.472,120.898,116.799,112.851,109.914,107.084,107.144,104.298,101.199,101.555,100,102.306,105.493,111.148,113.129,115.152,123.558
"30","23","S1 PN452ZZZMG   General merchandise stores","T070233",100.369,100.814,101.21,101.185,101.976,102.347,101.973,102.022,102.255,102.351,101.385,100.037,100.049,100,100.088,99.827,100.551,99.118,96.652,96.308
"31","24","S1 PN4521ZZMG     Department stores","T070243",108.599,108.853,109.035,108.43,108.653,108.695,107.745,107.115,106.665,105.857,104.02,101.691,100.828,100,99.427,98.39,97.588,96.564,93.615,92.634
"32","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",89.819,90.684,91.526,92.607,94.479,95.45,96.017,97.072,98.213,99.362,99.27,98.78,99.483,100,100.529,100.742,102.32,100.673,98.431,98.385
"33","26","S1 PN44EZZZMG   Other retail stores","T070263",74.763,75.35,76.116,77.038,79.589,80.079,77.439,79.996,86.938,86.678,85.317,88.909,93.59,100,104.374,108.809,116.525,106.272,112.387,121.821
"34","27","S1 PN446ZZZMG     Health and personal care stores","T070273",72.76,74.668,76.316,77.187,78.873,80.056,81.839,84.871,87.664,90.922,93.764,95.56,97.702,100,103.111,104.532,106.683,109.524,112.022,114.768
"35","28","S1 PN447ZZZMG     Gasoline stations","T070283",54.759,54.509,54.64,55.478,58.609,58.944,53.092,57.66,70.933,69.24,66.247,74.973,85.468,100,110.011,119.506,135.155,106.628,123.85,150.657
"36","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",107.698,108.209,109.073,109.208,109.836,109.243,108.115,106.133,105.12,104.635,103.291,101.962,101.317,100,99.011,97.468,96.789,96.42,95.112,94.936
"37","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",117.746,117.898,118.769,118.59,118.736,117.682,115.259,112.072,109.913,108.126,105.442,103.148,101.926,100,98.726,96.226,94.85,94.193,92.859,92.957
