"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199"
"11","3","  Durable goods manufacturing industries","KS30D0",270110,270994,271080,272935,274475,275372,277440,278397,279402,281655,280984,284054,286983,289645,292012,293683,294764,296549,296737,298196,299091,301471,302126,301451,299866,300990,303222,302435,302667,302206,304620,303876,305121,304509,306793,308625,307328,308904,308182,309735,308815,310964,311542,313203,312208,314000,316282,315734,317355,315376,311954,311930,310668,308629,306205,304712,302602,300832,298091,294909,293883,292715,290579,290140,288642,288781,288094,288251,287962,287710,286454,289113,287910,290722,289660,289397,289262,286989,285146,284246,282719,283486,282144,283791,282896,282987,282995,282792,282979,284600,285845,286317,285375,286122,287888,287806,290772,293323,294766,295165,296241,296196,299300,299294,299547,301571,303825,304391,305646,304846,306375,308096,308494,309377,311357,311500,313508,315332,315653,316044,318039,318679,318748,319504,320297,320458,320285,320416,322064,323021,324246,327158,327243,326778,327063,325604,324003,322193,321819,321966,320634,321715,322952,323537,324061,322524,318491,316613,314340,310072,308515,305008,302621,302132,302120,300625,301132,302576,302833,303315,304078,306595,307608,309153,311375,313065,315042,316044,317768,319528,322686,324104,326960,327663,329608,331782,331684,333938,336450,337277,339343,339543,340378,341125,342552,343957,347419,350080,351151,352361,353007,352849,353743,354821,354398,355373
"12","4","    Wood product manufacturing","KS3210",8763,8830,8776,8799,8761,8777,8905,9092,9270,9390,9407,9320,9188,9223,9202,9339,9486,9387,9500,9623,9733,9871,9974,9851,9993,9968,9924,9842,9902,10008,10258,10229,10066,10149,10273,10523,10712,10699,10637,10743,10586,10729,10796,10736,10606,10731,10726,10706,10681,10582,10428,10381,10558,10789,10776,10695,10682,10587,10454,10154,10319,10267,10441,10400,10481,10470,10387,10422,10639,10644,10662,10479,10588,10777,10727,10707,10531,10369,10257,10112,10090,10199,10351,10340,10325,10571,10822,10989,11051,10909,10906,11016,11286,11154,11252,11098,11606,11738,12017,11986,11874,11806,11716,11664,11691,11872,11820,11880,11637,11827,11751,11878,11991,12122,12069,12164,12136,11978,11842,11843,11774,11717,11683,11573,11590,11590,11557,11463,11303,11260,11180,11167,11034,10571,10303,10138,10090,10191,10243,10179,10200,10195,9965,9724,9651,9241,9062,8906,8601,8472,8433,8380,8242,8068,7929,7920,8018,8149,8240,8248,8341,8456,8412,8396,8511,8442,8394,8457,8611,8665,8611,8594,8627,8547,8579,8677,8708,8842,9000,8951,8918,8881,8814,8873,8876,8959,8986,9022,9090,9110,9167,9222,9347,9436,9640,9764
"13","5","    Nonmetallic mineral product manufacturing","KS3270",11257,11312,11287,11370,11403,11447,11366,11344,11323,11235,11307,11375,11375,11401,11421,11391,11379,11345,11300,11313,11359,11356,11411,11325,11338,11276,11169,11120,11231,11154,11194,11456,11444,11554,11495,11606,11659,11652,11454,11627,11558,11553,11536,11584,11589,11527,11599,11777,11728,11628,11649,11599,11499,11550,11477,11421,11451,11440,11372,11220,11093,11003,11015,11038,11005,11156,11082,11160,11199,11303,11323,11393,11320,11520,11683,11699,11791,11809,11777,11672,11610,11438,11227,11240,11237,11297,11337,11333,11410,11357,11342,11408,11353,11611,11641,11557,11592,11657,11613,11575,11589,11635,11703,11679,11590,11588,11587,11666,11734,11701,11687,11808,11762,11805,11908,11944,12070,12157,12165,12135,12122,12194,12206,12257,12295,12260,12233,12286,12342,12349,12355,12474,12445,12430,12488,12476,12417,12371,12304,12255,12219,12237,12137,12126,12137,11908,11751,11582,11421,11258,11054,10847,10759,10651,10468,10329,10268,10231,10277,10150,10148,10163,10226,10174,10215,10198,10249,10222,10220,10246,10247,10300,10339,10394,10346,10381,10432,10495,10572,10657,10640,10635,10656,10674,10631,10631,10658,10734,10692,10697,10677,10615,10635,10576,10540,10496
"14","6","    Primary metal manufacturing","KS3310",25689,25877,26278,26131,26259,26390,26414,26644,26679,26864,26968,27151,27356,27178,27206,27433,27640,27920,28187,28562,28875,28855,28957,28968,28975,28880,28612,28587,28957,28903,28969,29010,28920,29089,29291,29410,29542,29327,29155,29243,29211,29051,29131,28972,28949,29007,28858,28661,28626,28330,27955,27764,27325,26914,26641,26469,26433,26435,26157,25927,25554,25316,25019,24960,24871,25193,25153,25452,25495,25577,25742,25800,25862,26005,25796,25650,25498,24771,24433,24349,23926,23652,23762,23540,23717,23723,23912,23899,23916,24221,24303,24776,25156,25928,26199,26271,26917,27093,27594,27598,27791,27723,27712,27686,27516,27540,27614,27834,28028,28152,27940,27998,28111,27932,28055,28284,28903,29255,29128,29031,29076,29074,29212,29146,28905,29117,29305,29127,28786,28590,28745,29071,29017,28914,28918,28794,28836,28678,28697,29093,28904,28874,28574,28058,27611,27086,26137,25138,24328,23827,23241,22948,22731,22318,22048,22010,22001,22151,22316,22651,22965,23098,23133,23039,22929,23096,23208,23335,23475,23518,23640,23769,23885,23930,23957,24120,24011,24058,24254,24349,24335,24433,24146,23767,23671,23653,23759,23985,24141,24352,24218,24460,24363,24299,23956,23595
"15","7","    Fabricated metal product manufacturing","KS3320",35433,35515,35747,35837,35904,36265,36205,36246,36331,36420,36602,37009,36939,37156,37164,37439,37401,37991,37711,37843,37981,37987,38139,38076,38259,38009,38169,38274,38354,38059,38280,38258,38433,38664,38814,38953,39055,39093,38938,39076,39422,39687,39672,39839,39758,39861,40054,39934,40167,39839,39680,39645,39774,39541,39258,39258,39315,39364,39013,38513,38512,38280,38245,38162,37541,38367,37978,38091,38275,38111,38039,38143,37774,39294,39466,38745,38662,38336,37680,37502,37255,37334,37462,37373,37259,37342,37309,36989,37188,37266,37475,37579,37353,37076,37125,37302,37542,37999,38266,38514,38913,38879,39153,39204,39116,39104,39491,39590,39947,39987,40084,40089,40054,40174,40201,40410,40602,40775,40880,41148,41594,41552,41500,41556,41413,41374,41303,41005,41224,41549,41456,41875,41925,41912,41703,41546,41326,40801,40915,40865,40837,40962,41443,41532,41707,41663,41156,40529,40128,39479,39089,38589,38154,37798,37755,37459,37488,37338,37602,37436,37107,37446,37590,37677,37696,37756,37845,37976,37846,37884,38059,38183,38555,38385,38395,38503,38360,38413,38832,38876,38733,38829,38823,38878,38932,39023,39245,39483,39671,39835,39756,39779,39652,39584,39818,39814
"16","8","    Machinery manufacturing","KS3330",40227,39861,39794,40233,40442,40595,40460,40426,40383,40794,40970,41229,41323,41999,41989,41893,41843,41763,42078,42434,42672,42591,42902,42475,42704,42411,42481,42684,42501,42037,42256,42042,42017,42397,42639,42647,42739,43168,42799,43758,43332,43764,44209,44634,44516,45108,45034,45547,45724,45162,45183,44954,44199,43744,43252,42612,42369,41652,41139,40782,40569,40442,40549,40360,40180,39773,39838,39657,39544,39458,39310,40050,39500,39545,39106,39165,38969,38607,38301,37986,37828,38019,37532,37953,37778,37740,37625,37443,37625,37860,37929,37944,37717,37408,37850,37869,38197,38409,38538,38965,39158,39085,39633,39876,39937,40034,40287,40472,40730,40644,40937,41161,41419,41378,41478,41630,42215,42401,42184,42972,43057,43205,42955,43100,43103,43098,43519,43478,43771,43950,43848,43733,43847,43837,44253,43826,43393,42912,43033,42869,42969,43252,43716,44156,45048,44449,43722,43432,42922,42496,41649,41362,40866,40462,40232,39962,39657,39431,39463,39405,39377,39648,40192,40473,40779,41295,41676,41758,42180,42350,42944,43318,44078,44271,44855,45424,45458,46145,46590,46281,47608,48031,48088,48891,49245,49354,50124,50603,50732,50684,50488,50225,49908,49699,49717,49758
"17","9","    Computer and electronic product manufacturing","KS3340",38083,38240,38533,39196,39800,40309,41639,42147,42512,42978,43396,43741,44211,44771,45530,45761,45770,45605,44952,44733,44488,44723,44588,44132,43956,44768,46200,46356,46434,46677,46380,46691,46886,46226,46594,47694,47209,47941,48407,49314,50328,51417,52182,53477,52882,54403,56311,57131,58135,58213,56914,56457,56412,56304,55242,54829,53150,52325,51983,50525,50736,50180,49890,49752,49422,48922,48787,48781,48187,47900,47775,47282,47236,47680,47770,47795,47980,47873,47898,47760,47806,48353,48344,49018,48289,48244,48974,49446,49493,50182,50487,50455,50495,51148,51005,51178,51818,51857,51590,51673,51952,51943,52690,52763,53103,53676,54503,54313,54889,53721,54519,54928,54798,54807,55088,55322,54960,55032,55210,54790,55563,55576,55605,55624,55923,55697,54509,54755,55645,55866,56095,56269,56275,56669,57080,57141,57114,56851,57060,57488,57437,57748,57845,58081,57835,58007,57338,57918,57709,56999,56739,56581,57022,57051,57373,57905,57412,57647,57189,57182,57490,58342,58410,58788,59180,59575,59558,59285,59170,59643,60203,60504,60696,60621,60821,60772,60518,60661,60733,60322,60660,60464,61093,61237,60916,61248,61675,61720,61893,61766,61906,61812,61922,61733,61564,61552
"18","10","    Electrical equipment, appliance, and component manufacturing","KS3350",14588,14717,14761,15001,15154,15239,15417,15411,15412,15379,15422,15418,15549,15588,15672,15574,15501,15515,15601,15720,15724,15856,15892,15884,15736,15674,15668,15763,15785,15773,15738,15654,15896,15950,15931,15845,15876,15970,15842,15919,15983,15982,16174,16478,16600,16720,16555,16772,16695,16798,16670,16613,16390,16127,15798,15826,15753,15836,15637,15653,15542,15590,15520,15571,15532,15476,15512,15395,15405,15361,15346,15211,15225,15165,15130,15115,15098,14965,14797,14728,14641,14645,14668,14683,14633,14383,14384,14273,14393,14464,14504,14638,14585,14429,14338,14316,14342,14339,14409,14479,14419,14356,14317,14277,14397,14353,14314,14334,14484,14438,14548,14527,14378,14503,14576,14813,14603,14634,14702,14979,14995,15039,15042,15038,15008,14909,15012,15091,14938,15307,15553,15644,15773,15919,15669,15760,15556,15605,15461,15472,15475,15594,15591,15522,15187,15118,15020,14858,14756,14507,14388,14245,14122,13936,13911,13806,13825,13583,13620,13551,13634,13772,13845,14020,14117,14142,14077,14018,13943,13990,13935,13991,13998,13947,13871,13869,13747,13820,13847,13722,14144,14062,13985,14022,14065,14081,14151,14190,14260,14399,14383,14188,14512,14522,14529,14581
"19","11","    Transportation equipment manufacturing","KS3360",75889,76496,75625,76073,76178,75434,75861,75459,75693,76549,74573,76363,78518,79595,80709,81609,82414,84055,84449,85289,85677,87622,87651,88471,86599,87339,87790,86441,86123,86216,88261,87168,87798,86922,88021,87778,86275,86532,86109,84944,82913,82985,81791,80794,80546,79489,79487,77542,77455,76414,75183,76539,76397,75497,76049,76043,76208,76426,75696,75698,75162,75302,73671,73656,73252,73143,72994,73061,72667,73066,72178,74465,74033,74409,73501,74013,74130,73488,72973,73142,72781,72914,71897,72264,72355,72395,71451,71532,70904,71153,71697,71220,70263,69911,71077,70767,71407,72768,73280,72654,72893,72892,74222,73546,73572,74700,75177,75105,75002,75208,75713,76442,76747,77507,78571,77274,78113,79089,79572,78989,79784,80189,80553,81634,82155,82463,82726,83239,84160,84144,84963,86800,86762,86549,86846,86181,85598,85117,84396,84127,82897,83175,83902,84505,84969,85280,84584,84871,85227,83977,85058,83394,82306,83586,84193,83313,84379,85897,85929,86191,86448,87052,87036,87696,88980,89613,91025,91684,92725,93673,95492,95908,97361,98293,99550,100733,101140,102055,103112,104716,105090,105294,105816,105797,107115,107888,109314,110838,111240,112061,113000,113206,114130,115709,115586,116957
"20","12","      Motor vehicle and parts manufacturing","KS3MV0",24551,24852,25039,25323,25736,24991,25139,25097,25447,25026,24846,24978,25201,25172,25737,25123,24995,25542,25044,24745,25018,24984,25629,25696,25419,25236,26133,25612,25586,25932,26330,26326,26188,26417,27136,27392,27202,27356,26986,27097,27342,27323,27430,27430,27415,27520,27426,27122,26754,26422,25866,26274,25978,25834,25671,25304,25095,25003,24458,24361,23975,23810,23990,24577,24766,24938,25327,25120,25635,25754,25485,25552,25439,26044,25576,25775,25747,25705,25816,26064,25815,25809,25865,26119,26536,26426,26315,26077,25860,26304,26161,26182,26532,26368,26609,26297,26661,26830,27197,27125,26991,27247,26889,26976,26553,27204,27401,27059,27037,27089,27195,27323,27308,27448,27487,27408,27204,27533,27954,27698,27851,27815,27541,27383,27546,27428,27580,27301,27276,27156,26784,26776,26582,26310,26360,25871,25451,25293,24825,24512,24184,24304,23909,23389,23281,23204,22879,22644,22554,21353,21307,21226,21050,20970,21114,21494,21646,22800,22560,22499,22571,22531,22691,22885,22783,22896,23262,23142,23299,23701,23715,23894,24281,24425,24870,25094,25520,25900,25997,26303,26498,26168,26193,25907,26145,26312,26721,26939,27046,27322,27418,27355,27093,27004,26640,26693
