"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RX1","1,772,204.0","1,769,486.0","1,768,032.0","1,794,842.0","1,823,365.0","1,856,930.0","1,866,913.0","1,869,779.0","1,843,814.0","1,837,080.0","1,857,689.0","1,840,250.0","1,914,632.0","1,972,901.0","2,050,100.0","2,086,170.0","2,112,534.0","2,147,579.0","2,190,372.0","2,194,083.0","2,216,159.0","2,218,603.0","2,233,467.0","2,307,245.0","2,350,414.0","2,368,201.0","2,353,802.0","2,316,544.0","2,305,491.0","2,308,383.0","2,334,410.0","2,381,157.0","2,449,748.0","2,490,274.0","2,523,548.0","2,537,637.0","2,526,058.0","2,545,925.0","2,542,725.0","2,584,276.0","2,600,158.0","2,593,885.0","2,618,873.0","2,591,321.0","2,521,170.0","2,536,645.0","2,596,083.0","2,656,615.0","2,710,349.0","2,778,801.0","2,775,488.0","2,785,204.0","2,847,699.0","2,834,390.0","2,839,022.0","2,802,616.0","2,819,264.0","2,872,005.0","2,918,419.0","2,977,830.0","3,031,241.0","3,064,709.0","3,093,047.0","3,100,563.0","3,141,087.0","3,180,447.0","3,240,332.0","3,264,967.0","3,338,246.0","3,376,587.0","3,422,469.0","3,431,957.0","3,516,251.0","3,563,960.0","3,636,285.0","3,724,014.0","3,815,423.0","3,828,124.0","3,853,301.0","3,884,520.0","3,918,740.0","3,919,556.0","3,950,826.0","3,980,970.0","4,063,013.0","4,131,998.0","4,160,267.0","4,178,293.0","4,244,100.0","4,256,460.0","4,283,378.0","4,263,261.0"
"21","2","Personal consumption expenditures","DPCERX1","1,131,452.0","1,150,239.0","1,153,952.0","1,154,319.0","1,160,087.0","1,173,579.0","1,175,295.0","1,184,657.0","1,186,544.0","1,204,694.0","1,207,412.0","1,225,085.0","1,245,446.0","1,265,947.0","1,330,909.0","1,290,800.0","1,322,031.0","1,284,711.0","1,299,673.0","1,307,250.0","1,310,166.0","1,335,888.0","1,342,388.0","1,389,803.0","1,406,351.0","1,414,876.0","1,411,605.0","1,402,203.0","1,407,316.0","1,425,672.0","1,445,018.0","1,475,364.0","1,508,464.0","1,537,344.0","1,556,348.0","1,575,904.0","1,578,477.0","1,583,744.0","1,587,333.0","1,609,174.0","1,620,277.0","1,623,157.0","1,636,053.0","1,636,885.0","1,614,615.0","1,627,866.0","1,654,523.0","1,676,391.0","1,707,430.0","1,733,715.0","1,751,763.0","1,753,739.0","1,770,546.0","1,792,948.0","1,785,806.0","1,788,182.0","1,787,671.0","1,814,271.0","1,823,072.0","1,859,590.0","1,879,355.0","1,902,459.0","1,917,889.0","1,945,083.0","1,958,203.0","1,976,911.0","2,003,849.0","2,020,564.0","2,060,453.0","2,096,731.0","2,135,245.0","2,141,217.0","2,188,824.0","2,212,995.0","2,251,027.0","2,314,284.0","2,348,451.0","2,354,530.0","2,381,450.0","2,391,374.0","2,405,320.0","2,438,140.0","2,450,637.0","2,465,730.0","2,524,575.0","2,563,301.0","2,611,537.0","2,623,489.0","2,652,861.0","2,669,825.0","2,682,729.0","2,704,123.0"
"22","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"23","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"24","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","7","Gross private domestic investment","A006RX1","189,365.0","174,120.0","168,538.0","203,454.0","225,504.0","240,365.0","242,938.0","230,850.0","194,943.0","167,668.0","182,354.0","172,396.0","215,644.0","239,775.0","261,371.0","296,106.0","264,883.0","271,429.0","250,456.0","229,128.0","234,482.0","215,011.0","226,451.0","242,696.0","247,529.0","248,366.0","242,538.0","223,441.0","221,557.0","220,796.0","232,083.0","242,758.0","268,654.0","285,632.0","289,718.0","295,995.0","286,040.0","282,794.0","279,477.0","276,175.0","271,724.0","271,357.0","277,836.0","254,622.0","235,707.0","230,127.0","249,107.0","271,577.0","286,898.0","310,859.0","289,226.0","299,356.0","331,722.0","298,152.0","296,375.0","259,764.0","266,405.0","286,246.0","310,227.0","315,463.0","334,271.0","331,039.0","336,962.0","325,650.0","343,721.0","348,730.0","360,102.0","364,534.0","379,523.0","377,778.0","386,754.0","389,910.0","429,145.0","429,119.0","444,444.0","446,493.0","484,244.0","475,408.0","470,697.0","472,957.0","460,007.0","440,393.0","453,033.0","462,834.0","472,907.0","492,026.0","476,053.0","480,998.0","512,686.0","508,601.0","520,360.0","492,334.0"
"27","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","      Equipment and software","B010RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","12","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","13","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","  Exports","A020RX1","85,312.0","84,236.0","79,961.0","70,902.0","67,668.0","61,342.0","62,784.0","60,571.0","67,819.0","67,237.0","61,621.0","53,343.0","52,464.0","53,096.0","54,473.0","58,887.0","61,831.0","67,917.0","69,585.0","68,931.0","72,599.0","64,620.0","59,517.0","59,925.0","58,911.0","59,278.0","61,654.0","59,622.0","56,948.0","65,130.0","63,038.0","65,940.0","68,391.0","66,796.0","71,179.0","71,499.0","74,892.0","79,939.0","82,601.0","86,305.0","91,933.0","89,207.0","86,708.0","84,114.0","75,765.0","76,124.0","76,366.0","76,128.0","81,161.0","83,862.0","86,525.0","84,211.0","94,758.0","100,780.0","98,236.0","100,272.0","99,584.0","98,199.0","97,666.0","100,686.0","100,440.0","110,078.0","103,923.0","101,677.0","104,060.0","116,238.0","110,028.0","115,550.0","122,631.0","124,658.0","123,697.0","127,385.0","113,642.0","134,979.0","127,249.0","136,470.0","134,073.0","139,949.0","134,689.0","139,133.0","141,819.0","140,529.0","137,110.0","141,015.0","145,113.0","148,002.0","156,702.0","154,705.0","136,139.0","166,658.0","162,659.0","168,299.0"
"35","16","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","17","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","18","  Imports","A021RX1","51,021.0","52,004.0","46,121.0","48,608.0","54,813.0","56,986.0","59,960.0","58,987.0","57,218.0","56,385.0","54,086.0","54,899.0","56,433.0","59,549.0","73,486.0","73,623.0","73,626.0","71,186.0","65,159.0","63,456.0","70,818.0","70,451.0","74,760.0","81,463.0","79,456.0","83,577.0","83,258.0","79,163.0","74,591.0","81,300.0","76,396.0","77,121.0","81,678.0","86,309.0","87,762.0","90,941.0","94,760.0","94,267.0","95,085.0","90,722.0","97,938.0","98,702.0","96,800.0","97,132.0","98,578.0","102,791.0","101,230.0","106,527.0","109,272.0","114,558.0","115,635.0","112,697.0","116,968.0","117,847.0","114,379.0","108,984.0","108,454.0","109,776.0","117,046.0","119,829.0","123,477.0","126,172.0","127,772.0","129,334.0","126,340.0","129,314.0","132,598.0","132,163.0","132,039.0","135,011.0","138,634.0","142,383.0","137,257.0","153,455.0","154,086.0","161,607.0","165,776.0","169,898.0","179,420.0","181,426.0","184,289.0","182,810.0","185,202.0","194,968.0","206,460.0","209,614.0","222,214.0","220,342.0","199,557.0","238,927.0","235,831.0","233,240.0"
"38","19","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","20","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
