"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product","A191RX1","1,772,204.0","1,769,486.0","1,768,032.0","1,794,842.0","1,823,365.0","1,856,930.0","1,866,913.0","1,869,779.0","1,843,814.0","1,837,080.0","1,857,689.0","1,840,250.0","1,914,632.0","1,972,901.0","2,050,100.0","2,086,170.0","2,112,534.0","2,147,579.0","2,190,372.0","2,194,083.0","2,216,159.0","2,218,603.0","2,233,467.0","2,307,245.0","2,350,414.0","2,368,201.0","2,353,802.0","2,316,544.0","2,305,491.0","2,308,383.0","2,334,410.0","2,381,157.0","2,449,748.0","2,490,274.0","2,523,548.0","2,537,637.0","2,526,058.0","2,545,925.0","2,542,725.0","2,584,276.0","2,600,158.0","2,593,885.0","2,618,873.0","2,591,321.0","2,521,170.0","2,536,645.0","2,596,083.0","2,656,615.0","2,710,349.0","2,778,801.0","2,775,488.0","2,785,204.0","2,847,699.0","2,834,390.0","2,839,022.0","2,802,616.0","2,819,264.0","2,872,005.0","2,918,419.0","2,977,830.0","3,031,241.0","3,064,709.0","3,093,047.0","3,100,563.0","3,141,087.0","3,180,447.0","3,240,332.0","3,264,967.0","3,338,246.0","3,376,587.0","3,422,469.0","3,431,957.0","3,516,251.0","3,563,960.0","3,636,285.0","3,724,014.0","3,815,423.0","3,828,124.0","3,853,301.0","3,884,520.0","3,918,740.0","3,919,556.0","3,950,826.0","3,980,970.0","4,063,013.0","4,131,998.0","4,160,267.0","4,178,293.0","4,244,100.0","4,256,460.0","4,283,378.0","4,263,261.0"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","12,661.0","13,102.0","12,922.0","14,182.0","14,977.0","15,636.0","16,466.0","15,853.0","16,006.0","15,488.0","15,247.0","14,205.0","15,084.0","15,863.0","18,188.0","18,177.0","17,937.0","20,378.0","20,906.0","21,823.0","20,556.0","21,093.0","20,842.0","20,700.0","20,277.0","21,195.0","19,613.0","20,042.0","20,996.0","20,870.0","20,963.0","23,006.0","23,540.0","23,772.0","24,090.0","24,464.0","26,625.0","26,195.0","27,032.0","24,479.0","27,794.0","29,391.0","28,555.0","24,004.0","24,688.0","24,434.0","24,118.0","24,237.0","24,441.0","24,790.0","26,662.0","28,413.0","28,692.0","28,824.0","29,526.0","30,365.0","31,805.0","30,623.0","31,469.0","32,253.0","31,547.0","33,940.0","34,246.0","38,098.0","36,882.0","36,405.0","37,368.0","38,619.0","41,262.0","40,354.0","41,223.0","39,833.0","43,657.0","44,929.0","43,021.0","40,699.0","41,798.0","42,134.0","42,507.0","44,154.0","43,790.0","42,963.0","45,704.0","45,615.0","47,374.0","49,159.0","50,565.0","50,547.0","52,793.0","54,184.0","55,812.0","56,892.0"
"22","3","Less: Income payments to the rest of the world","A655RX1","3,830.0","3,727.0","3,601.0","4,235.0","3,979.0","4,000.0","4,721.0","4,152.0","4,814.0","4,673.0","4,817.0","4,864.0","5,075.0","5,206.0","5,346.0","5,418.0","5,792.0","5,830.0","5,726.0","5,690.0","5,474.0","5,881.0","5,941.0","6,166.0","6,064.0","6,024.0","6,225.0","6,544.0","6,319.0","6,286.0","6,197.0","6,213.0","6,398.0","6,938.0","7,074.0","7,044.0","7,118.0","6,920.0","7,249.0","7,280.0","7,301.0","7,249.0","7,423.0","7,468.0","7,639.0","7,119.0","7,466.0","7,819.0","8,162.0","8,539.0","9,036.0","9,584.0","10,628.0","10,317.0","10,174.0","9,824.0","9,982.0","10,029.0","10,400.0","10,697.0","10,192.0","10,372.0","10,449.0","10,564.0","10,720.0","11,268.0","11,758.0","12,148.0","12,344.0","12,622.0","12,634.0","13,341.0","13,432.0","13,695.0","14,061.0","14,464.0","14,655.0","14,940.0","15,941.0","16,345.0","16,352.0","16,334.0","16,206.0","16,997.0","18,004.0","19,168.0","19,639.0","19,862.0","21,944.0","24,450.0","27,387.0","28,439.0"
"23","4","Equals: Gross national product","A001RX1","1,781,876.0","1,779,625.0","1,778,122.0","1,805,491.0","1,834,994.0","1,869,165.0","1,879,217.0","1,882,077.0","1,855,585.0","1,848,522.0","1,868,805.0","1,850,377.0","1,925,417.0","1,984,321.0","2,063,547.0","2,099,586.0","2,125,421.0","2,162,599.0","2,206,011.0","2,210,560.0","2,231,764.0","2,234,291.0","2,248,900.0","2,322,444.0","2,365,401.0","2,384,047.0","2,368,064.0","2,330,832.0","2,320,801.0","2,323,621.0","2,349,845.0","2,398,419.0","2,467,392.0","2,507,668.0","2,541,134.0","2,555,596.0","2,545,845.0","2,565,538.0","2,562,764.0","2,602,085.0","2,620,883.0","2,616,056.0","2,640,180.0","2,608,559.0","2,538,771.0","2,554,518.0","2,613,429.0","2,673,808.0","2,727,461.0","2,795,942.0","2,793,833.0","2,804,612.0","2,866,448.0","2,853,538.0","2,858,940.0","2,823,574.0","2,841,378.0","2,893,075.0","2,939,949.0","2,999,843.0","3,053,136.0","3,088,626.0","3,117,195.0","3,128,100.0","3,167,415.0","3,205,870.0","3,266,229.0","3,291,661.0","3,367,226.0","3,404,515.0","3,451,217.0","3,458,788.0","3,546,568.0","3,595,238.0","3,665,523.0","3,750,802.0","3,843,113.0","3,855,864.0","3,880,456.0","3,912,840.0","3,946,744.0","3,946,813.0","3,980,761.0","4,010,097.0","4,092,874.0","4,162,463.0","4,191,610.0","4,209,421.0","4,275,375.0","4,286,637.0","4,312,274.0","4,292,135.0"
"24","5","Less: Consumption of fixed capital","A262RX1","156,338.0","155,079.0","154,359.0","153,850.0","153,807.0","153,664.0","153,665.0","153,617.0","154,002.0","154,300.0","154,632.0","154,953.0","155,452.0","156,279.0","157,271.0","158,477.0","159,941.0","161,594.0","163,294.0","165,123.0","167,088.0","169,213.0","171,281.0","173,583.0","176,013.0","178,374.0","180,432.0","182,544.0","184,737.0","186,611.0","188,543.0","190,311.0","192,101.0","193,852.0","195,632.0","197,329.0","199,133.0","200,896.0","202,683.0","204,199.0","205,677.0","207,417.0","209,281.0","211,391.0","213,688.0","215,606.0","217,247.0","218,377.0","219,432.0","220,387.0","221,241.0","222,300.0","223,258.0","224,394.0","225,691.0","227,255.0","228,820.0","230,626.0","232,248.0","234,124.0","236,140.0","238,077.0","240,336.0","242,606.0","245,043.0","247,435.0","249,901.0","252,482.0","254,875.0","257,512.0","260,315.0","263,399.0","266,600.0","270,059.0","273,723.0","277,429.0","281,495.0","285,499.0","289,509.0","293,425.0","297,383.0","301,203.0","305,071.0","308,842.0","312,497.0","316,233.0","320,061.0","323,911.0","327,770.0","331,629.0","335,567.0","339,537.0"
"25","6","        Private","A024RX1","89,129.0","90,904.0","92,692.0","94,494.0","96,319.0","98,041.0","99,660.0","101,172.0","102,574.0","103,970.0","105,359.0","106,743.0","108,123.0","109,524.0","110,944.0","112,382.0","113,835.0","115,143.0","116,299.0","117,304.0","118,153.0","119,111.0","120,178.0","121,359.0","122,655.0","123,921.0","125,156.0","126,359.0","127,532.0","128,754.0","130,025.0","131,347.0","132,720.0","134,124.0","135,560.0","137,024.0","138,518.0","139,935.0","141,274.0","142,535.0","143,716.0","145,089.0","146,663.0","148,441.0","150,432.0","152,045.0","153,271.0","154,105.0","154,539.0","154,966.0","155,388.0","155,802.0","156,212.0","156,811.0","157,601.0","158,586.0","159,766.0","160,949.0","162,134.0","163,321.0","164,511.0","165,836.0","167,297.0","168,897.0","170,636.0","172,392.0","174,166.0","175,954.0","177,758.0","179,781.0","182,026.0","184,497.0","187,196.0","190,048.0","193,052.0","196,213.0","199,530.0","202,775.0","205,944.0","209,037.0","212,049.0","215,027.0","217,967.0","220,872.0","223,737.0","226,712.0","229,800.0","233,000.0","236,316.0","239,690.0","243,120.0","246,606.0"
"26","7","        Government","A264RX1","73,776.0","70,385.0","67,519.0","64,861.0","62,684.0","60,481.0","58,569.0","56,725.0","55,492.0","54,163.0","52,857.0","51,537.0","50,434.0","49,680.0","49,092.0","48,739.0","48,674.0","49,009.0","49,587.0","50,511.0","51,796.0","53,143.0","54,281.0","55,558.0","56,844.0","58,087.0","59,004.0","60,029.0","61,191.0","61,901.0","62,618.0","63,074.0","63,494.0","63,828.0","64,157.0","64,352.0","64,639.0","64,974.0","65,434.0","65,668.0","65,958.0","66,320.0","66,578.0","66,874.0","67,127.0","67,400.0","67,827.0","68,133.0","68,853.0","69,464.0","69,961.0","70,714.0","71,353.0","71,966.0","72,530.0","73,169.0","73,562.0","74,240.0","74,695.0","75,452.0","76,373.0","77,031.0","77,902.0","78,612.0","79,349.0","80,012.0","80,741.0","81,589.0","82,195.0","82,821.0","83,370.0","83,971.0","84,431.0","85,008.0","85,641.0","86,132.0","86,854.0","87,593.0","88,432.0","89,256.0","90,223.0","91,073.0","92,025.0","92,907.0","93,702.0","94,456.0","95,180.0","95,792.0","96,274.0","96,693.0","97,137.0","97,554.0"
"27","8","          General government","A265RX1","68,563.0","65,286.0","62,459.0","59,897.0","57,781.0","55,638.0","53,751.0","51,946.0","50,730.0","49,426.0","48,126.0","46,833.0","45,731.0","44,948.0","44,305.0","43,941.0","43,850.0","44,143.0","44,655.0","45,520.0","46,710.0","47,935.0","48,981.0","50,185.0","51,398.0","52,573.0","53,432.0","54,361.0","55,430.0","56,088.0","56,746.0","57,156.0","57,520.0","57,795.0","58,058.0","58,212.0","58,443.0","58,708.0","59,115.0","59,298.0","59,519.0","59,810.0","60,018.0","60,262.0","60,453.0","60,667.0","61,015.0","61,265.0","61,888.0","62,409.0","62,845.0","63,475.0","64,042.0","64,531.0","65,032.0","65,559.0","65,880.0","66,440.0","66,801.0","67,476.0","68,286.0","68,843.0","69,602.0","70,230.0","70,879.0","71,439.0","72,078.0","72,797.0","73,313.0","73,848.0","74,278.0","74,771.0","75,130.0","75,601.0","76,144.0","76,532.0","77,142.0","77,742.0","78,456.0","79,172.0","79,996.0","80,746.0","81,559.0","82,303.0","82,969.0","83,577.0","84,174.0","84,638.0","84,993.0","85,291.0","85,614.0","85,906.0"
"28","9","          Government enterprises","A266RX1","3,485.0","3,501.0","3,600.0","3,601.0","3,623.0","3,645.0","3,699.0","3,729.0","3,764.0","3,792.0","3,843.0","3,866.0","3,914.0","3,985.0","4,082.0","4,112.0","4,147.0","4,187.0","4,247.0","4,284.0","4,353.0","4,452.0","4,523.0","4,563.0","4,604.0","4,641.0","4,676.0","4,757.0","4,829.0","4,866.0","4,912.0","4,952.0","5,007.0","5,067.0","5,138.0","5,181.0","5,240.0","5,315.0","5,364.0","5,419.0","5,494.0","5,569.0","5,621.0","5,676.0","5,744.0","5,807.0","5,889.0","5,948.0","6,043.0","6,132.0","6,188.0","6,316.0","6,381.0","6,514.0","6,572.0","6,688.0","6,765.0","6,889.0","6,990.0","7,065.0","7,169.0","7,271.0","7,378.0","7,454.0","7,536.0","7,641.0","7,727.0","7,858.0","7,949.0","8,040.0","8,171.0","8,285.0","8,396.0","8,510.0","8,599.0","8,711.0","8,825.0","8,973.0","9,100.0","9,203.0","9,347.0","9,440.0","9,578.0","9,719.0","9,852.0","10,008.0","10,140.0","10,306.0","10,447.0","10,584.0","10,721.0","10,863.0"
"29","10","Equals: Net national product","A027RX1","1,637,201.0","1,636,471.0","1,635,829.0","1,664,773.0","1,695,319.0","1,730,865.0","1,741,263.0","1,744,291.0","1,716,336.0","1,708,627.0","1,729,227.0","1,709,682.0","1,786,833.0","1,846,823.0","1,927,668.0","1,963,455.0","1,988,304.0","2,024,677.0","2,067,487.0","2,069,677.0","2,089,001.0","2,088,665.0","2,100,978.0","2,174,275.0","2,215,580.0","2,231,686.0","2,212,197.0","2,170,560.0","2,157,113.0","2,157,459.0","2,182,047.0","2,230,095.0","2,299,307.0","2,338,744.0","2,371,073.0","2,383,769.0","2,371,095.0","2,389,125.0","2,383,694.0","2,422,552.0","2,440,056.0","2,432,513.0","2,455,011.0","2,418,974.0","2,342,942.0","2,356,655.0","2,415,729.0","2,477,077.0","2,531,536.0","2,601,600.0","2,598,173.0","2,607,889.0","2,670,975.0","2,655,902.0","2,659,699.0","2,620,698.0","2,637,062.0","2,688,348.0","2,734,856.0","2,794,538.0","2,847,142.0","2,881,342.0","2,907,910.0","2,916,110.0","2,953,609.0","2,990,275.0","3,049,595.0","3,072,468.0","3,147,644.0","3,182,750.0","3,227,399.0","3,231,073.0","3,317,799.0","3,363,604.0","3,431,554.0","3,514,998.0","3,605,230.0","3,613,031.0","3,633,117.0","3,661,418.0","3,691,242.0","3,686,179.0","3,716,173.0","3,741,518.0","3,822,403.0","3,889,503.0","3,914,573.0","3,927,877.0","3,991,047.0","3,997,554.0","4,018,850.0","3,992,702.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income \1\","A261RX1","1,766,291.0","1,750,670.0","1,750,571.0","1,771,482.0","1,818,254.0","1,866,004.0","1,869,342.0","1,876,866.0","1,839,843.0","1,828,820.0","1,841,827.0","1,817,982.0","1,888,952.0","1,963,962.0","2,045,977.0","2,087,056.0","2,096,539.0","2,122,463.0","2,158,503.0","2,175,854.0","2,193,961.0","2,204,914.0","2,220,130.0","2,287,568.0","2,329,128.0","2,346,432.0","2,333,500.0","2,281,752.0","2,287,460.0","2,291,515.0","2,311,838.0","2,362,297.0","2,425,424.0","2,480,035.0","2,509,073.0","2,529,195.0","2,531,886.0","2,556,307.0","2,553,590.0","2,598,477.0","2,603,026.0","2,601,520.0","2,613,735.0","2,587,653.0","2,530,814.0","2,534,469.0","2,580,616.0","2,643,690.0","2,707,182.0","2,786,961.0","2,763,057.0","2,782,238.0","2,846,231.0","2,840,083.0","2,837,012.0","2,820,847.0","2,825,701.0","2,874,239.0","2,917,082.0","2,983,035.0","3,025,689.0","3,057,099.0","3,085,070.0","3,114,977.0","3,146,934.0","3,194,718.0","3,235,669.0","3,266,612.0","3,322,292.0","3,368,081.0","3,416,345.0","3,446,607.0","3,523,695.0","3,569,099.0","3,619,576.0","3,698,216.0","3,778,060.0","3,801,153.0","3,825,044.0","3,856,328.0","3,875,479.0","3,895,968.0","3,936,837.0","3,975,993.0","4,036,226.0","4,096,787.0","4,148,276.0","4,173,450.0","4,214,832.0","4,242,181.0","4,273,177.0","4,266,580.0"
