"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Wage and salary accruals","A4102C1","50,459.0","46,213.0","39,156.0","30,513.0","29,026.0","33,733.0","36,721.0","41,953.0","46,138.0","43,012.0","45,983.0","49,857.0","62,079.0","82,088.0","105,802.0","116,800.0","117,557.0","112,045.0","123,028.0","135,464.0","134,675.0","147,175.0","171,593.0","185,634.0","198,996.0","197,320.0","212,221.0","229,108.0","240,029.0","241,389.0","259,923.0","273,010.0","280,663.0","299,453.0","314,914.0","337,842.0","363,752.0","400,297.0","428,979.0","471,960.0","518,311.0"
"22","4","    Disbursements","W269RC1","50,459.0","46,213.0","39,156.0","30,513.0","29,026.0","33,733.0","36,721.0","41,953.0","46,138.0","43,012.0","45,983.0","49,857.0","62,079.0","82,088.0","105,593.0","116,993.0","117,543.0","112,075.0","123,013.0","135,429.0","134,721.0","147,151.0","171,519.0","185,656.0","199,072.0","197,320.0","212,221.0","229,108.0","240,029.0","241,389.0","259,923.0","273,010.0","280,663.0","299,453.0","314,914.0","337,842.0","363,752.0","400,297.0","428,979.0","471,960.0","518,311.0"
"23","5","      To persons","W270RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","135,405.0","134,666.0","147,111.0","171,410.0","185,528.0","198,937.0","197,130.0","212,016.0","228,888.0","239,810.0","241,171.0","259,689.0","272,696.0","280,352.0","299,185.0","314,673.0","337,601.0","363,561.0","400,116.0","428,796.0","471,749.0","518,096.0"
"24","6","      To the rest of the world","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","55.0","40.0","109.0","128.0","135.0","190.0","205.0","220.0","219.0","218.0","234.0","314.0","311.0","268.0","241.0","241.0","191.0","181.0","183.0","211.0","215.0"
"25","7","    Wage accruals less disbursements","A062RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","209.0","-193.0","14.0","-30.0","15.0","35.0","-46.0","24.0","74.0","-22.0","-76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","  Supplements to wages and salaries","A038RC1","658.0","653.0","618.0","576.0","545.0","597.0","654.0","994.0","1,830.0","2,021.0","2,164.0","2,310.0","2,740.0","3,198.0","3,796.0","4,503.0","5,759.0","7,609.0","6,969.0","6,409.0","7,127.0","8,023.0","9,819.0","10,526.0","11,229.0","11,893.0","13,544.0","15,465.0","17,586.0","18,230.0","21,147.0","23,554.0","24,784.0","27,786.0","30,366.0","32,882.0","35,748.0","42,334.0","46,134.0","52,342.0","59,278.0"
"27","9","Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0"
"28","10","Less: Subsidies \1\","A107RC1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"29","11","Net operating surplus","W271RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","129,671.0","130,842.0","136,764.0","149,428.0","158,821.0","171,235.0","189,694.0","203,171.0","205,764.0","218,575.0","225,458.0"
"30","12","  Private enterprises","W260RC1","35,211.0","28,343.0","20,558.0","13,131.0","12,119.0","16,241.0","20,846.0","23,264.0","26,257.0","22,619.0","25,006.0","29,325.0","39,793.0","52,666.0","62,284.0","63,499.0","60,631.0","62,635.0","67,271.0","79,852.0","73,783.0","84,865.0","96,483.0","96,394.0","97,521.0","98,437.0","112,121.0","113,637.0","116,741.0","116,533.0","128,696.0","129,915.0","135,930.0","148,532.0","157,468.0","169,886.0","188,348.0","202,179.0","204,851.0","217,405.0","224,438.0"
"31","13","    Net interest and miscellaneous payments, domestic industries","W272RC1","4,039.0","4,256.0","4,298.0","4,086.0","3,674.0","3,807.0","3,881.0","3,651.0","3,589.0","3,571.0","3,602.0","3,326.0","3,255.0","3,180.0","2,898.0","2,486.0","2,346.0","1,905.0","2,397.0","2,483.0","2,756.0","3,078.0","3,520.0","3,964.0","4,615.0","5,421.0","6,062.0","6,807.0","7,977.0","9,366.0","9,480.0","10,431.0","12,104.0","13,807.0","14,703.0","16,911.0","19,056.0","21,867.0","24,932.0","26,653.0","33,217.0"
"32","14","    Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","700.0","717.0","736.0","731.0","862.0","1,216.0","1,257.0","1,217.0","988.0","1,375.0","1,735.0","1,920.0","1,807.0","1,764.0","1,858.0","2,026.0","2,243.0","2,657.0","3,136.0","3,617.0","3,524.0","3,765.0","4,321.0","4,941.0"
"33","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0"
"34","16","    Rental income of persons with capital consumption adjustment","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0"
"35","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","10,424.0","7,221.0","2,838.0","-236.0","-270.0","2,322.0","3,699.0","5,940.0","6,582.0","4,500.0","6,076.0","9,382.0","14,886.0","20,056.0","24,372.0","24,360.0","19,850.0","17,249.0","22,501.0","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0"
"36","18","      Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"37","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","9,055.0","6,379.0","2,340.0","-621.0","-791.0","1,578.0","2,748.0","4,531.0","5,080.0","3,471.0","4,635.0","6,548.0","7,276.0","8,641.0","10,298.0","11,411.0","9,161.0","8,145.0","11,233.0","17,193.0","17,382.0","16,441.0","16,498.0","17,552.0","17,032.0","18,748.0","24,604.0","23,171.0","23,124.0","20,971.0","27,381.0","27,177.0","27,981.0","34,478.0","37,883.0","42,900.0","50,758.0","54,137.0","52,501.0","51,987.0","47,899.0"
"38","20","        Net dividends","A449RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0"
"39","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","542.0","553.0","1,053.0","2,766.0","3,076.0","4,612.0","6,090.0","7,087.0","4,789.0","2,996.0","5,601.0","10,993.0","10,976.0","8,587.0","9,090.0","10,091.0","9,281.0","10,888.0","15,705.0","13,704.0","13,268.0","11,139.0","16,673.0","15,767.0","16,475.0","22,122.0","24,321.0","27,909.0","33,884.0","36,309.0","34,171.0","31,820.0","27,496.0"
"40","22","  Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0"
"41","23","Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0"
"42","24","  Private","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0"
"43","25","  Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0"
"44",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Statistical discrepancy","A030RC1","765.0","-414.0","771.0","301.0","544.0","399.0","-211.0","1,200.0","-30.0","685.0","1,300.0","1,089.0","339.0","-875.0","-1,797.0","2,579.0","3,869.0","1,169.0","2,268.0","-493.0","1,820.0","1,374.0","3,576.0","2,747.0","3,966.0","3,114.0","2,380.0","-1,767.0","-74.0","956.0","479.0","-952.0","-589.0","318.0","-824.0","774.0","1,499.0","6,173.0","4,506.0","4,315.0","2,871.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
