"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product","A191RX1","1,772,204.0","1,769,486.0","1,768,032.0","1,794,842.0","1,823,365.0","1,856,930.0","1,866,913.0","1,869,779.0","1,843,814.0","1,837,080.0","1,857,689.0","1,840,250.0","1,914,632.0","1,972,901.0","2,050,100.0","2,086,170.0","2,112,534.0","2,147,579.0","2,190,372.0","2,194,083.0","2,216,159.0","2,218,603.0","2,233,467.0","2,307,245.0","2,350,414.0","2,368,201.0","2,353,802.0","2,316,544.0","2,305,491.0","2,308,383.0","2,334,410.0","2,381,157.0","2,449,748.0","2,490,274.0","2,523,548.0","2,537,637.0","2,526,058.0","2,545,925.0","2,542,725.0","2,584,276.0","2,600,158.0","2,593,885.0","2,618,873.0","2,591,321.0","2,521,170.0","2,536,645.0","2,596,083.0","2,656,615.0","2,710,349.0","2,778,801.0","2,775,488.0","2,785,204.0","2,847,699.0","2,834,390.0","2,839,022.0","2,802,616.0","2,819,264.0","2,872,005.0","2,918,419.0","2,977,830.0","3,031,241.0","3,064,709.0","3,093,047.0","3,100,563.0","3,141,087.0","3,180,447.0","3,240,332.0","3,264,967.0","3,338,246.0","3,376,587.0","3,422,469.0","3,431,957.0","3,516,251.0","3,563,960.0","3,636,285.0","3,724,014.0","3,815,423.0","3,828,124.0","3,853,301.0","3,884,520.0","3,918,740.0","3,919,556.0","3,950,826.0","3,980,970.0","4,063,013.0","4,131,998.0","4,160,267.0","4,178,293.0","4,244,100.0","4,256,460.0","4,283,378.0","4,263,261.0"
"21","2","Less: Exports of goods and services","A020RX1","85,312.0","84,236.0","79,961.0","70,902.0","67,668.0","61,342.0","62,784.0","60,571.0","67,819.0","67,237.0","61,621.0","53,343.0","52,464.0","53,096.0","54,473.0","58,887.0","61,831.0","67,917.0","69,585.0","68,931.0","72,599.0","64,620.0","59,517.0","59,925.0","58,911.0","59,278.0","61,654.0","59,622.0","56,948.0","65,130.0","63,038.0","65,940.0","68,391.0","66,796.0","71,179.0","71,499.0","74,892.0","79,939.0","82,601.0","86,305.0","91,933.0","89,207.0","86,708.0","84,114.0","75,765.0","76,124.0","76,366.0","76,128.0","81,161.0","83,862.0","86,525.0","84,211.0","94,758.0","100,780.0","98,236.0","100,272.0","99,584.0","98,199.0","97,666.0","100,686.0","100,440.0","110,078.0","103,923.0","101,677.0","104,060.0","116,238.0","110,028.0","115,550.0","122,631.0","124,658.0","123,697.0","127,385.0","113,642.0","134,979.0","127,249.0","136,470.0","134,073.0","139,949.0","134,689.0","139,133.0","141,819.0","140,529.0","137,110.0","141,015.0","145,113.0","148,002.0","156,702.0","154,705.0","136,139.0","166,658.0","162,659.0","168,299.0"
"22","3","Plus: Imports of goods and services","A021RX1","51,021.0","52,004.0","46,121.0","48,608.0","54,813.0","56,986.0","59,960.0","58,987.0","57,218.0","56,385.0","54,086.0","54,899.0","56,433.0","59,549.0","73,486.0","73,623.0","73,626.0","71,186.0","65,159.0","63,456.0","70,818.0","70,451.0","74,760.0","81,463.0","79,456.0","83,577.0","83,258.0","79,163.0","74,591.0","81,300.0","76,396.0","77,121.0","81,678.0","86,309.0","87,762.0","90,941.0","94,760.0","94,267.0","95,085.0","90,722.0","97,938.0","98,702.0","96,800.0","97,132.0","98,578.0","102,791.0","101,230.0","106,527.0","109,272.0","114,558.0","115,635.0","112,697.0","116,968.0","117,847.0","114,379.0","108,984.0","108,454.0","109,776.0","117,046.0","119,829.0","123,477.0","126,172.0","127,772.0","129,334.0","126,340.0","129,314.0","132,598.0","132,163.0","132,039.0","135,011.0","138,634.0","142,383.0","137,257.0","153,455.0","154,086.0","161,607.0","165,776.0","169,898.0","179,420.0","181,426.0","184,289.0","182,810.0","185,202.0","194,968.0","206,460.0","209,614.0","222,214.0","220,342.0","199,557.0","238,927.0","235,831.0","233,240.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,727,895.0","1,727,950.0","1,726,673.0","1,773,227.0","1,815,565.0","1,863,622.0","1,874,809.0","1,880,312.0","1,839,696.0","1,832,846.0","1,860,282.0","1,856,622.0","1,935,519.0","1,997,586.0","2,091,065.0","2,121,204.0","2,143,632.0","2,166,333.0","2,198,726.0","2,201,282.0","2,227,787.0","2,242,906.0","2,272,012.0","2,355,011.0","2,397,991.0","2,420,606.0","2,401,653.0","2,361,882.0","2,349,206.0","2,347,549.0","2,371,238.0","2,415,157.0","2,486,786.0","2,536,229.0","2,565,027.0","2,582,717.0","2,570,202.0","2,581,948.0","2,575,502.0","2,606,792.0","2,622,757.0","2,621,565.0","2,648,736.0","2,625,064.0","2,568,033.0","2,587,964.0","2,646,575.0","2,714,547.0","2,764,800.0","2,836,420.0","2,830,235.0","2,840,428.0","2,892,981.0","2,871,262.0","2,876,043.0","2,829,928.0","2,847,384.0","2,904,797.0","2,960,918.0","3,020,060.0","3,078,947.0","3,101,509.0","3,141,361.0","3,154,031.0","3,188,736.0","3,214,028.0","3,287,866.0","3,304,419.0","3,368,687.0","3,408,033.0","3,460,140.0","3,468,419.0","3,569,536.0","3,603,637.0","3,689,732.0","3,773,720.0","3,875,069.0","3,883,719.0","3,927,383.0","3,954,763.0","3,988,708.0","3,989,940.0","4,029,554.0","4,064,596.0","4,154,203.0","4,223,749.0","4,252,551.0","4,272,066.0","4,345,850.0","4,353,119.0","4,383,454.0","4,352,135.0"
"24","5","Less: Change in private inventories","A014RX1","4,852.0","-3,472.0","-13,430.0","-2,201.0","11,442.0","21,430.0","25,026.0","19,413.0","-2,040.0","-17,426.0","-3,861.0","-17,464.0","7,383.0","10,775.0","14,054.0","44,897.0","27,928.0","40,633.0","26,851.0","11,572.0","14,476.0","-3,555.0","15,977.0","16,136.0","12,969.0","12,812.0","7,733.0","-6,692.0","-5,937.0","-9,480.0","-7,558.0","-2,728.0","11,231.0","16,593.0","15,140.0","20,845.0","17,583.0","12,224.0","9,476.0","8,385.0","4,569.0","6,536.0","9,496.0","-8,887.0","-11,141.0","-9,698.0","4,901.0","12,964.0","10,441.0","26,521.0","3,175.0","15,570.0","38,847.0","11,082.0","15,645.0","-18,246.0","-8,320.0","7,186.0","23,828.0","19,766.0","31,223.0","19,651.0","23,035.0","13,646.0","26,681.0","17,743.0","21,147.0","15,436.0","16,387.0","15,744.0","18,883.0","18,025.0","41,442.0","29,753.0","33,500.0","26,904.0","47,146.0","45,446.0","40,359.0","55,614.0","51,441.0","23,162.0","30,811.0","30,123.0","27,265.0","48,865.0","26,064.0","20,965.0","37,013.0","31,210.0","34,862.0","18,029.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","1,742,308.0","1,757,166.0","1,772,389.0","1,792,384.0","1,813,720.0","1,841,064.0","1,845,246.0","1,864,033.0","1,857,612.0","1,882,226.0","1,887,818.0","1,909,155.0","1,943,143.0","1,998,518.0","2,085,938.0","2,056,619.0","2,112,954.0","2,109,989.0","2,169,119.0","2,200,464.0","2,222,901.0","2,272,048.0","2,263,890.0","2,346,978.0","2,396,569.0","2,420,025.0","2,409,808.0","2,394,332.0","2,378,943.0","2,383,945.0","2,404,780.0","2,441,233.0","2,489,858.0","2,530,892.0","2,562,646.0","2,571,492.0","2,565,053.0","2,585,001.0","2,582,814.0","2,616,548.0","2,639,475.0","2,634,928.0","2,656,571.0","2,660,479.0","2,606,586.0","2,624,335.0","2,660,484.0","2,718,161.0","2,769,552.0","2,819,071.0","2,850,517.0","2,840,071.0","2,859,822.0","2,879,012.0","2,875,006.0","2,880,178.0","2,882,927.0","2,917,780.0","2,949,266.0","3,015,266.0","3,056,643.0","3,097,290.0","3,132,579.0","3,159,386.0","3,173,743.0","3,212,868.0","3,283,280.0","3,308,938.0","3,371,329.0","3,412,070.0","3,460,122.0","3,467,801.0","3,538,367.0","3,587,985.0","3,668,435.0","3,763,007.0","3,834,318.0","3,847,455.0","3,897,783.0","3,904,238.0","3,942,870.0","3,985,614.0","4,013,718.0","4,053,612.0","4,144,392.0","4,184,990.0","4,244,876.0","4,272,951.0","4,323,623.0","4,339,475.0","4,364,781.0","4,354,838.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","1,787,040.0","1,798,707.0","1,813,270.0","1,813,891.0","1,821,761.0","1,835,009.0","1,838,145.0","1,853,983.0","1,861,560.0","1,885,617.0","1,884,776.0","1,891,667.0","1,922,020.0","1,973,716.0","2,044,797.0","2,022,462.0","2,082,218.0","2,092,089.0","2,161,314.0","2,193,364.0","2,211,380.0","2,247,182.0","2,225,277.0","2,299,071.0","2,348,745.0","2,367,324.0","2,361,535.0","2,348,141.0","2,334,441.0","2,343,922.0","2,367,175.0","2,406,620.0","2,452,585.0","2,484,770.0","2,520,987.0","2,526,360.0","2,520,756.0","2,548,747.0","2,549,757.0","2,593,800.0","2,616,518.0","2,606,907.0","2,626,448.0","2,625,878.0","2,558,685.0","2,571,992.0","2,609,451.0","2,659,851.0","2,714,727.0","2,761,499.0","2,795,072.0","2,784,572.0","2,815,044.0","2,841,856.0","2,837,872.0","2,851,753.0","2,853,992.0","2,884,618.0","2,906,853.0","2,972,978.0","3,009,226.0","3,060,475.0","3,084,254.0","3,105,556.0","3,126,223.0","3,179,236.0","3,235,659.0","3,269,276.0","3,340,794.0","3,380,497.0","3,422,356.0","3,431,266.0","3,485,533.0","3,548,528.0","3,615,233.0","3,713,357.0","3,775,287.0","3,792,414.0","3,823,981.0","3,834,773.0","3,873,586.0","3,914,955.0","3,934,928.0","3,969,779.0","4,052,915.0","4,093,632.0","4,152,246.0","4,178,625.0","4,221,815.0","4,242,588.0","4,264,575.0","4,265,395.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
