"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product","A191RC1","237,153.0","240,401.0","244,490.0","254,322.0","260,304.0","267,268.0","273,789.0","275,111.0","269,939.0","266,196.0","267,629.0","265,162.0","275,195.0","284,515.0","301,928.0","313,326.0","328,966.0","336,629.0","343,513.0","347,929.0","351,208.0","352,137.0","358,496.0","371,360.0","378,365.0","381,958.0","381,099.0","375,883.0","375,249.0","375,957.0","380,791.0","389,426.0","402,577.0","410,871.0","419,446.0","425,984.0","428,278.0","434,157.0","439,191.0","448,082.0","457,167.0","459,163.0","466,391.0","461,507.0","453,931.0","458,039.0","471,719.0","484,983.0","495,480.0","508,481.0","509,312.0","513,238.0","526,972.0","526,165.0","528,961.0","523,652.0","527,967.0","539,035.0","549,450.0","562,580.0","576,050.0","583,229.0","590,022.0","593,322.0","602,455.0","611,175.0","623,932.0","633,460.0","649,619.0","658,855.0","670,468.0","675,614.0","695,674.0","708,148.0","725,191.0","747,455.0","770,755.0","779,925.0","793,148.0","806,926.0","817,766.0","822,304.0","836,998.0","852,701.0","879,784.0","904,093.0","919,264.0","936,219.0","960,878.0","976,099.0","996,303.0","1,004,458.0"
"21","2","Plus: Income receipts from the rest of the world","B645RC1","1,444.0","1,560.0","1,592.0","1,792.0","1,924.0","2,024.0","2,132.0","2,044.0","2,052.0","1,976.0","1,940.0","1,808.0","1,936.0","2,048.0","2,368.0","2,392.0","2,400.0","2,760.0","2,860.0","3,004.0","2,814.0","2,892.0","2,865.0","2,857.0","2,825.0","2,967.0","2,756.0","2,824.0","2,955.0","2,946.0","2,972.0","3,282.0","3,398.0","3,463.0","3,541.0","3,626.0","3,969.0","3,935.0","4,093.0","3,735.0","4,280.0","4,561.0","4,461.0","3,770.0","3,886.0","3,866.0","3,839.0","3,885.0","3,962.0","4,057.0","4,379.0","4,678.0","4,769.0","4,792.0","4,934.0","5,057.0","5,300.0","5,141.0","5,316.0","5,470.0","5,404.0","5,831.0","5,909.0","6,617.0","6,419.0","6,347.0","6,541.0","6,813.0","7,288.0","7,168.0","7,353.0","7,146.0","7,924.0","8,191.0","7,888.0","7,521.0","7,799.0","7,936.0","8,070.0","8,480.0","8,453.0","8,319.0","8,931.0","9,026.0","9,516.0","9,987.0","10,389.0","10,516.0","11,084.0","11,534.0","12,060.0","12,438.0"
"22","3","Less: Income payments to the rest of the world","A655RC1","466.0","465.0","461.0","556.0","533.0","545.0","649.0","573.0","666.0","647.0","667.0","675.0","708.0","732.0","761.0","783.0","863.0","877.0","864.0","852.0","813.0","873.0","883.0","918.0","917.0","915.0","947.0","996.0","955.0","948.0","934.0","939.0","975.0","1,065.0","1,094.0","1,099.0","1,118.0","1,097.0","1,159.0","1,175.0","1,195.0","1,194.0","1,228.0","1,236.0","1,256.0","1,172.0","1,234.0","1,300.0","1,379.0","1,457.0","1,549.0","1,648.0","1,842.0","1,788.0","1,770.0","1,701.0","1,724.0","1,741.0","1,814.0","1,873.0","1,803.0","1,839.0","1,858.0","1,887.0","1,912.0","2,010.0","2,103.0","2,188.0","2,230.0","2,293.0","2,305.0","2,448.0","2,489.0","2,550.0","2,635.0","2,734.0","2,801.0","2,884.0","3,103.0","3,217.0","3,232.0","3,239.0","3,242.0","3,442.0","3,699.0","3,987.0","4,137.0","4,245.0","4,750.0","5,373.0","6,112.0","6,421.0"
"23","4","Equals: Gross national product","A001RC1","238,131.0","241,496.0","245,621.0","255,558.0","261,695.0","268,747.0","275,272.0","276,582.0","271,325.0","267,525.0","268,902.0","266,295.0","276,423.0","285,831.0","303,535.0","314,935.0","330,503.0","338,512.0","345,509.0","350,081.0","353,209.0","354,156.0","360,478.0","373,299.0","380,273.0","384,010.0","382,908.0","377,711.0","377,249.0","377,955.0","382,829.0","391,769.0","405,000.0","413,269.0","421,893.0","428,511.0","431,129.0","436,995.0","442,125.0","450,642.0","460,252.0","462,530.0","469,624.0","464,041.0","456,561.0","460,733.0","474,324.0","487,568.0","498,063.0","511,081.0","512,142.0","516,268.0","529,899.0","529,169.0","532,125.0","527,008.0","531,543.0","542,435.0","552,952.0","566,177.0","579,651.0","587,221.0","594,073.0","598,052.0","606,962.0","615,512.0","628,370.0","638,085.0","654,677.0","663,730.0","675,516.0","680,312.0","701,109.0","713,789.0","730,444.0","752,242.0","775,753.0","784,977.0","798,115.0","812,189.0","822,987.0","827,384.0","842,687.0","858,285.0","885,601.0","910,093.0","925,516.0","942,490.0","967,212.0","982,260.0","1,002,251.0","1,010,475.0"
"24","5","Less: Consumption of fixed capital","A262RC1","25,592.0","26,263.0","27,093.0","27,649.0","27,932.0","28,257.0","28,730.0","28,942.0","29,243.0","29,197.0","29,122.0","29,158.0","29,098.0","29,375.0","30,079.0","31,217.0","32,499.0","33,462.0","34,270.0","34,936.0","35,365.0","35,936.0","36,625.0","37,212.0","37,867.0","38,483.0","38,875.0","39,320.0","39,792.0","40,384.0","40,846.0","41,361.0","41,662.0","42,184.0","43,125.0","44,172.0","45,486.0","46,626.0","47,671.0","48,634.0","49,645.0","50,497.0","51,289.0","51,945.0","52,271.0","52,891.0","53,614.0","54,243.0","54,803.0","55,257.0","55,647.0","55,947.0","56,155.0","56,410.0","56,697.0","57,074.0","57,475.0","57,922.0","58,398.0","58,935.0","59,591.0","60,117.0","60,869.0","61,657.0","62,296.0","63,004.0","63,665.0","64,362.0","65,091.0","65,880.0","66,750.0","67,744.0","68,832.0","70,054.0","71,340.0","72,651.0","74,067.0","75,695.0","77,234.0","78,819.0","80,378.0","81,985.0","83,773.0","85,602.0","87,549.0","89,373.0","91,297.0","93,455.0","95,638.0","97,984.0","100,280.0","102,865.0"
"25","6","        Private","A024RC1","14,589.0","15,662.0","16,594.0","17,387.0","18,037.0","18,622.0","19,148.0","19,609.0","20,007.0","20,363.0","20,676.0","20,950.0","21,180.0","21,611.0","22,244.0","23,073.0","24,106.0","24,939.0","25,579.0","26,024.0","26,270.0","26,556.0","26,884.0","27,250.0","27,659.0","28,041.0","28,396.0","28,724.0","29,026.0","29,325.0","29,619.0","29,910.0","30,199.0","30,658.0","31,284.0","32,087.0","33,046.0","33,951.0","34,792.0","35,575.0","36,296.0","36,966.0","37,583.0","38,151.0","38,665.0","39,158.0","39,635.0","40,094.0","40,535.0","40,881.0","41,134.0","41,290.0","41,351.0","41,468.0","41,643.0","41,870.0","42,156.0","42,460.0","42,784.0","43,124.0","43,486.0","43,867.0","44,271.0","44,692.0","45,133.0","45,606.0","46,116.0","46,657.0","47,235.0","47,890.0","48,625.0","49,438.0","50,332.0","51,301.0","52,344.0","53,463.0","54,659.0","55,866.0","57,085.0","58,314.0","59,560.0","60,857.0","62,207.0","63,612.0","65,066.0","66,591.0","68,184.0","69,847.0","71,580.0","73,436.0","75,420.0","77,524.0"
"26","7","          Domestic business","W276RC1","12,251.0","13,160.0","13,951.0","14,626.0","15,181.0","15,685.0","16,142.0","16,548.0","16,902.0","17,212.0","17,475.0","17,695.0","17,869.0","18,216.0","18,739.0","19,432.0","20,301.0","20,994.0","21,518.0","21,871.0","22,048.0","22,266.0","22,525.0","22,821.0","23,162.0","23,479.0","23,772.0","24,043.0","24,291.0","24,526.0","24,745.0","24,950.0","25,144.0","25,496.0","26,005.0","26,679.0","27,500.0","28,279.0","29,009.0","29,692.0","30,328.0","30,920.0","31,467.0","31,973.0","32,434.0","32,865.0","33,270.0","33,647.0","33,997.0","34,256.0","34,428.0","34,507.0","34,496.0","34,545.0","34,653.0","34,818.0","35,043.0","35,287.0","35,549.0","35,829.0","36,128.0","36,440.0","36,768.0","37,108.0","37,462.0","37,841.0","38,250.0","38,683.0","39,144.0","39,672.0","40,267.0","40,929.0","41,658.0","42,460.0","43,334.0","44,280.0","45,301.0","46,332.0","47,375.0","48,428.0","49,494.0","50,599.0","51,743.0","52,928.0","54,149.0","55,417.0","56,730.0","58,088.0","59,493.0","61,032.0","62,708.0","64,515.0"
"27","8","            Capital consumption allowances","Y0000C1","9,119.0","9,791.0","10,031.0","10,578.0","11,101.0","11,524.0","12,016.0","12,539.0","13,051.0","13,370.0","13,685.0","14,006.0","14,421.0","14,642.0","15,200.0","15,502.0","16,165.0","16,866.0","17,408.0","17,992.0","18,265.0","18,607.0","18,943.0","19,441.0","19,907.0","20,603.0","21,286.0","21,999.0","22,201.0","22,681.0","23,123.0","23,763.0","24,426.0","25,118.0","26,395.0","26,745.0","27,529.0","27,752.0","27,930.0","28,320.0","29,076.0","29,813.0","30,630.0","31,269.0","31,336.0","31,217.0","31,567.0","31,991.0","32,573.0","33,374.0","33,519.0","34,067.0","34,664.0","34,965.0","35,367.0","35,616.0","36,015.0","36,534.0","36,795.0","37,111.0","40,154.0","40,624.0","41,165.0","41,621.0","42,089.0","43,099.0","43,659.0","44,502.0","45,273.0","45,625.0","46,440.0","46,907.0","47,898.0","48,886.0","50,048.0","50,608.0","51,732.0","52,858.0","53,829.0","55,097.0","55,931.0","57,063.0","58,523.0","59,623.0","60,700.0","61,983.0","63,134.0","64,562.0","66,584.0","68,068.0","69,605.0","70,890.0"
"28","9","            Less: Capital consumption adjustment","Y0004C1","-3,132.0","-3,369.0","-3,920.0","-4,048.0","-4,080.0","-4,161.0","-4,126.0","-4,009.0","-3,851.0","-3,842.0","-3,790.0","-3,689.0","-3,448.0","-3,574.0","-3,539.0","-3,930.0","-4,136.0","-4,128.0","-4,110.0","-3,879.0","-3,783.0","-3,659.0","-3,582.0","-3,380.0","-3,255.0","-2,876.0","-2,486.0","-2,044.0","-2,090.0","-1,845.0","-1,622.0","-1,187.0","-718.0","-378.0","390.0","66.0","29.0","-527.0","-1,079.0","-1,372.0","-1,252.0","-1,107.0","-837.0","-704.0","-1,098.0","-1,648.0","-1,703.0","-1,656.0","-1,424.0","-882.0","-909.0","-440.0","168.0","420.0","714.0","798.0","972.0","1,247.0","1,246.0","1,282.0","4,026.0","4,184.0","4,397.0","4,513.0","4,627.0","5,258.0","5,409.0","5,819.0","6,129.0","5,953.0","6,173.0","5,978.0","6,240.0","6,426.0","6,714.0","6,328.0","6,431.0","6,526.0","6,454.0","6,669.0","6,437.0","6,464.0","6,780.0","6,695.0","6,551.0","6,566.0","6,404.0","6,474.0","7,091.0","7,036.0","6,897.0","6,375.0"
"29","10","          Households and institutions","W279RC1","2,338.0","2,502.0","2,643.0","2,761.0","2,856.0","2,937.0","3,006.0","3,061.0","3,105.0","3,151.0","3,201.0","3,255.0","3,311.0","3,395.0","3,505.0","3,641.0","3,805.0","3,945.0","4,061.0","4,153.0","4,222.0","4,290.0","4,359.0","4,429.0","4,497.0","4,562.0","4,624.0","4,681.0","4,735.0","4,799.0","4,874.0","4,960.0","5,055.0","5,162.0","5,279.0","5,408.0","5,546.0","5,672.0","5,783.0","5,883.0","5,968.0","6,046.0","6,116.0","6,178.0","6,231.0","6,293.0","6,365.0","6,447.0","6,538.0","6,625.0","6,706.0","6,783.0","6,855.0","6,923.0","6,990.0","7,052.0","7,113.0","7,173.0","7,235.0","7,295.0","7,358.0","7,427.0","7,503.0","7,584.0","7,671.0","7,765.0","7,866.0","7,974.0","8,091.0","8,218.0","8,358.0","8,509.0","8,674.0","8,841.0","9,010.0","9,183.0","9,358.0","9,534.0","9,710.0","9,886.0","10,066.0","10,258.0","10,464.0","10,684.0","10,917.0","11,174.0","11,454.0","11,759.0","12,087.0","12,404.0","12,712.0","13,009.0"
"30","11","        Government","A264RC1","11,003.0","10,601.0","10,499.0","10,262.0","9,895.0","9,635.0","9,582.0","9,333.0","9,236.0","8,834.0","8,446.0","8,208.0","7,918.0","7,764.0","7,835.0","8,144.0","8,393.0","8,523.0","8,691.0","8,912.0","9,095.0","9,380.0","9,741.0","9,962.0","10,208.0","10,442.0","10,479.0","10,596.0","10,766.0","11,059.0","11,227.0","11,451.0","11,463.0","11,526.0","11,841.0","12,085.0","12,440.0","12,675.0","12,879.0","13,059.0","13,349.0","13,531.0","13,706.0","13,794.0","13,606.0","13,733.0","13,979.0","14,149.0","14,268.0","14,376.0","14,513.0","14,657.0","14,804.0","14,942.0","15,054.0","15,204.0","15,319.0","15,462.0","15,614.0","15,811.0","16,105.0","16,250.0","16,598.0","16,965.0","17,163.0","17,398.0","17,549.0","17,705.0","17,856.0","17,990.0","18,125.0","18,306.0","18,500.0","18,753.0","18,996.0","19,188.0","19,408.0","19,829.0","20,149.0","20,505.0","20,818.0","21,128.0","21,566.0","21,990.0","22,483.0","22,782.0","23,113.0","23,608.0","24,058.0","24,548.0","24,860.0","25,341.0"
"31","12","          General government","A265RC1","10,611.0","10,226.0","10,092.0","9,840.0","9,460.0","9,183.0","9,101.0","8,844.0","8,749.0","8,346.0","7,958.0","7,722.0","7,433.0","7,270.0","7,311.0","7,599.0","7,826.0","7,938.0","8,091.0","8,305.0","8,477.0","8,747.0","9,087.0","9,289.0","9,537.0","9,764.0","9,781.0","9,893.0","10,060.0","10,346.0","10,502.0","10,719.0","10,729.0","10,775.0","11,064.0","11,291.0","11,616.0","11,824.0","12,005.0","12,171.0","12,443.0","12,596.0","12,756.0","12,838.0","12,649.0","12,757.0","12,981.0","13,134.0","13,253.0","13,360.0","13,486.0","13,611.0","13,743.0","13,855.0","13,957.0","14,085.0","14,192.0","14,314.0","14,447.0","14,628.0","14,902.0","15,024.0","15,353.0","15,701.0","15,886.0","16,100.0","16,234.0","16,357.0","16,494.0","16,608.0","16,718.0","16,875.0","17,039.0","17,264.0","17,483.0","17,647.0","17,833.0","18,206.0","18,493.0","18,817.0","19,089.0","19,373.0","19,773.0","20,155.0","20,594.0","20,849.0","21,137.0","21,561.0","21,948.0","22,380.0","22,636.0","23,042.0"
"32","13","          Government enterprises","A266RC1","392.0","375.0","407.0","422.0","435.0","452.0","481.0","489.0","487.0","488.0","488.0","486.0","485.0","494.0","524.0","545.0","567.0","585.0","600.0","607.0","618.0","633.0","654.0","673.0","671.0","678.0","698.0","703.0","706.0","713.0","725.0","732.0","734.0","751.0","777.0","794.0","824.0","851.0","874.0","888.0","906.0","935.0","950.0","956.0","957.0","976.0","998.0","1,015.0","1,015.0","1,016.0","1,027.0","1,046.0","1,061.0","1,087.0","1,097.0","1,119.0","1,127.0","1,148.0","1,167.0","1,183.0","1,203.0","1,226.0","1,245.0","1,264.0","1,277.0","1,298.0","1,315.0","1,348.0","1,362.0","1,382.0","1,407.0","1,431.0","1,461.0","1,489.0","1,513.0","1,541.0","1,575.0","1,623.0","1,656.0","1,688.0","1,729.0","1,755.0","1,793.0","1,835.0","1,889.0","1,933.0","1,976.0","2,047.0","2,110.0","2,168.0","2,224.0","2,299.0"
