"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","      Equals: Net domestic investment","W171RC1","9,646.0","4,476.0","123.0","-4,271.0","-3,737.0","-1,422.0","1,665.0","4,685.0","6,969.0","2,037.0","4,573.0","8,335.0","17,860.0","25,301.0","28,701.0","24,902.0","13,847.0","11,543.0","12,908.0","26,655.0","17,382.0","33,920.0","43,993.0","40,049.0","41,791.0","35,735.0","47,226.0","47,831.0","43,991.0","37,715.0","52,422.0","50,574.0","51,307.0","60,864.0","64,064.0","70,317.0","83,077.0","94,638.0","88,641.0","94,398.0","100,521.0"
"22","4","Gross private domestic investment","A006RC1","16,481.0","10,759.0","5,932.0","1,268.0","1,742.0","3,691.0","6,701.0","8,640.0","12,153.0","7,078.0","9,342.0","13,642.0","18,115.0","10,436.0","6,125.0","7,798.0","10,841.0","31,148.0","34,960.0","48,102.0","36,866.0","54,063.0","60,161.0","54,024.0","56,437.0","53,819.0","69,036.0","72,026.0","70,458.0","64,487.0","78,533.0","78,891.0","78,160.0","88,132.0","93,756.0","102,057.0","118,241.0","131,305.0","128,599.0","141,179.0","156,444.0"
"23","5","Less: Consumption of fixed capital","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0"
"24","6","Equals: Net private domestic investment","A557RC1","7,772.0","2,258.0","-1,954.0","-5,601.0","-4,756.0","-3,006.0","-12.0","1,785.0","4,499.0","-765.0","1,521.0","5,495.0","9,095.0","290.0","-4,136.0","-2,858.0","-201.0","18,834.0","18,902.0","29,248.0","16,367.0","32,036.0","34,999.0","27,284.0","28,232.0","24,349.0","37,979.0","37,685.0","33,209.0","25,099.0","37,573.0","37,308.0","35,529.0","44,053.0","47,878.0","53,760.0","66,381.0","74,824.0","67,040.0","73,757.0","81,954.0"
"25","7","  Fixed investment","A007RC1","14,941.0","10,982.0","7,044.0","3,619.0","3,145.0","4,271.0","5,561.0","7,479.0","9,528.0","7,653.0","9,135.0","11,249.0","13,785.0","8,530.0","6,871.0","8,722.0","12,317.0","25,137.0","35,510.0","42,444.0","39,558.0","48,293.0","50,252.0","50,510.0","54,489.0","55,756.0","64,048.0","68,076.0","69,681.0","64,853.0","74,616.0","75,659.0","75,186.0","82,031.0","88,135.0","97,236.0","108,994.0","117,669.0","118,733.0","132,126.0","147,271.0"
"26","8","  Less: Consumption of fixed capital","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0"
"27","9","  Equals: Net fixed investment","A560RC1","6,232.0","2,481.0","-842.0","-3,250.0","-3,353.0","-2,426.0","-1,152.0","624.0","1,874.0","-190.0","1,314.0","3,102.0","4,765.0","-1,616.0","-3,390.0","-1,934.0","1,275.0","12,823.0","19,452.0","23,590.0","19,059.0","26,266.0","25,090.0","23,770.0","26,284.0","26,286.0","32,991.0","33,735.0","32,432.0","25,465.0","33,656.0","34,076.0","32,555.0","37,952.0","42,257.0","48,939.0","57,134.0","61,188.0","57,174.0","64,704.0","72,781.0"
"28","10","    Nonresidential","A008RC1","10,983.0","8,628.0","5,262.0","2,852.0","2,527.0","3,332.0","4,266.0","5,759.0","7,476.0","5,525.0","6,100.0","7,724.0","9,693.0","6,306.0","5,441.0","7,371.0","10,621.0","17,326.0","23,453.0","26,806.0","24,910.0","27,756.0","31,828.0","31,918.0","35,101.0","34,677.0","39,045.0","44,523.0","47,511.0","42,506.0","46,508.0","49,374.0","48,786.0","53,055.0","55,999.0","62,962.0","74,777.0","85,383.0","86,376.0","93,407.0","104,651.0"
"29","11","    Less: Consumption of fixed capital","A753RC1","7,154.0","6,950.0","6,470.0","5,725.0","5,371.0","5,451.0","5,478.0","5,558.0","6,203.0","6,334.0","6,283.0","6,530.0","7,222.0","8,196.0","8,167.0","8,391.0","8,630.0","9,636.0","12,690.0","15,002.0","16,404.0","17,609.0","20,181.0","21,408.0","22,610.0","23,625.0","24,825.0","27,652.0","30,263.0","32,153.0","33,400.0","33,631.0","34,352.0","35,463.0","36,955.0","38,897.0","41,786.0","45,640.0","49,948.0","54,753.0","60,441.0"
"30","12","    Equals: Net nonresidential","A593RC1","3,829.0","1,678.0","-1,208.0","-2,873.0","-2,844.0","-2,119.0","-1,212.0","201.0","1,273.0","-809.0","-183.0","1,194.0","2,471.0","-1,890.0","-2,726.0","-1,020.0","1,991.0","7,690.0","10,763.0","11,804.0","8,506.0","10,147.0","11,647.0","10,510.0","12,491.0","11,052.0","14,220.0","16,871.0","17,248.0","10,353.0","13,108.0","15,743.0","14,434.0","17,592.0","19,044.0","24,065.0","32,991.0","39,743.0","36,428.0","38,654.0","44,210.0"
"31","13","      Structures","B009RC1","5,491.0","4,448.0","2,619.0","1,392.0","1,091.0","1,234.0","1,433.0","1,878.0","2,706.0","2,124.0","2,217.0","2,557.0","3,250.0","2,241.0","1,770.0","2,369.0","3,336.0","7,381.0","8,137.0","9,526.0","9,178.0","9,957.0","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0"
"32","14","      Less: Consumption of fixed capital","B188RC1","2,550.0","2,459.0","2,308.0","2,022.0","2,006.0","2,049.0","2,093.0","2,124.0","2,391.0","2,371.0","2,345.0","2,389.0","2,592.0","2,892.0","3,084.0","3,132.0","3,259.0","3,660.0","4,519.0","5,167.0","5,251.0","5,400.0","6,183.0","6,552.0","6,865.0","7,007.0","7,355.0","8,263.0","8,941.0","9,086.0","9,413.0","9,664.0","9,854.0","10,204.0","10,526.0","10,959.0","11,640.0","12,526.0","13,379.0","14,512.0","15,961.0"
"33","15","      Equals: Net structures","A594RC1","2,941.0","1,989.0","311.0","-630.0","-915.0","-815.0","-660.0","-246.0","315.0","-247.0","-128.0","168.0","658.0","-651.0","-1,314.0","-763.0","77.0","3,721.0","3,618.0","4,359.0","3,927.0","4,557.0","5,771.0","5,672.0","6,705.0","6,858.0","7,802.0","9,917.0","10,009.0","8,543.0","8,736.0","9,904.0","9,861.0","10,574.0","10,673.0","12,778.0","16,681.0","18,823.0","18,132.0","19,045.0","21,737.0"
"34","16","      Equipment and software","B010RC1","5,492.0","4,180.0","2,643.0","1,460.0","1,436.0","2,098.0","2,833.0","3,881.0","4,770.0","3,401.0","3,883.0","5,167.0","6,443.0","4,065.0","3,671.0","5,002.0","7,285.0","9,945.0","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,877.0","28,359.0","29,806.0","29,071.0","32,277.0","34,800.0","39,225.0","46,456.0","54,034.0","54,865.0","59,850.0","66,953.0"
"35","17","      Less: Consumption of fixed capital","B189RC1","4,604.0","4,491.0","4,162.0","3,703.0","3,365.0","3,402.0","3,385.0","3,434.0","3,812.0","3,963.0","3,938.0","4,141.0","4,630.0","5,304.0","5,083.0","5,259.0","5,371.0","5,976.0","8,171.0","9,835.0","11,153.0","12,209.0","13,998.0","14,856.0","15,745.0","16,618.0","17,470.0","19,389.0","21,322.0","23,067.0","23,987.0","23,967.0","24,498.0","25,259.0","26,429.0","27,938.0","30,146.0","33,114.0","36,569.0","40,241.0","44,480.0"
"36","18","      Equals: Net equipment and software","A747RC1","888.0","-311.0","-1,519.0","-2,243.0","-1,929.0","-1,304.0","-552.0","447.0","958.0","-562.0","-55.0","1,026.0","1,813.0","-1,239.0","-1,412.0","-257.0","1,914.0","3,969.0","7,145.0","7,445.0","4,579.0","5,590.0","5,876.0","4,838.0","5,786.0","4,194.0","6,418.0","6,954.0","7,239.0","1,810.0","4,372.0","5,839.0","4,573.0","7,018.0","8,371.0","11,287.0","16,310.0","20,920.0","18,296.0","19,609.0","22,473.0"
"37","19","    Residential","A011RC1","3,958.0","2,354.0","1,782.0","767.0","618.0","939.0","1,295.0","1,720.0","2,052.0","2,128.0","3,035.0","3,525.0","4,092.0","2,224.0","1,430.0","1,351.0","1,696.0","7,811.0","12,057.0","15,638.0","14,648.0","20,537.0","18,424.0","18,592.0","19,388.0","21,079.0","25,003.0","23,553.0","22,170.0","22,347.0","28,108.0","26,285.0","26,400.0","28,976.0","32,136.0","34,274.0","34,217.0","32,286.0","32,357.0","38,719.0","42,620.0"
"38","20","    Less: Consumption of fixed capital","A754RC1","1,555.0","1,551.0","1,417.0","1,147.0","1,128.0","1,248.0","1,233.0","1,299.0","1,451.0","1,507.0","1,537.0","1,618.0","1,801.0","1,951.0","2,096.0","2,265.0","2,415.0","2,677.0","3,370.0","3,852.0","4,094.0","4,417.0","4,980.0","5,334.0","5,595.0","5,845.0","6,232.0","6,688.0","6,985.0","7,233.0","7,561.0","7,949.0","8,278.0","8,618.0","8,923.0","9,401.0","10,073.0","10,843.0","11,612.0","12,669.0","14,051.0"
"39","21","    Equals: Net residential","A748RC1","2,403.0","803.0","365.0","-380.0","-510.0","-309.0","62.0","421.0","601.0","621.0","1,498.0","1,907.0","2,291.0","273.0","-666.0","-914.0","-719.0","5,134.0","8,687.0","11,786.0","10,554.0","16,120.0","13,444.0","13,258.0","13,793.0","15,234.0","18,771.0","16,865.0","15,185.0","15,114.0","20,547.0","18,336.0","18,122.0","20,358.0","23,213.0","24,873.0","24,144.0","21,443.0","20,745.0","26,050.0","28,569.0"
"40","22","  Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"41","23","Gross government investment \1\","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0"
"42","24","Less: Consumption of fixed capital","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0"
"43","25","Equals: Net government investment","A889RC1","1,874.0","2,218.0","2,077.0","1,330.0","1,019.0","1,584.0","1,677.0","2,900.0","2,470.0","2,802.0","3,052.0","2,840.0","8,765.0","25,011.0","32,837.0","27,760.0","14,048.0","-7,291.0","-5,994.0","-2,593.0","1,015.0","1,884.0","8,994.0","12,765.0","13,559.0","11,386.0","9,247.0","10,146.0","10,782.0","12,616.0","14,849.0","13,266.0","15,778.0","16,811.0","16,186.0","16,557.0","16,696.0","19,814.0","21,601.0","20,641.0","18,567.0"
"44","26","          Federal","A890RC1","-27.0","58.0","144.0","201.0","414.0","664.0","905.0","915.0","876.0","840.0","715.0","1,156.0","7,736.0","24,887.0","33,455.0","28,484.0","14,638.0","-7,341.0","-7,011.0","-4,522.0","-2,197.0","-1,849.0","4,590.0","8,180.0","8,480.0","5,081.0","2,293.0","2,429.0","2,116.0","3,095.0","5,166.0","3,768.0","5,409.0","5,953.0","4,036.0","3,315.0","2,090.0","3,574.0","3,814.0","1,291.0","-420.0"
"45","27","            National defense","B891RC1","-130.0","-93.0","-59.0","-66.0","-43.0","-33.0","-47.0","97.0","147.0","131.0","132.0","590.0","6,692.0","24,275.0","33,004.0","28,440.0","14,430.0","-7,236.0","-7,238.0","-4,963.0","-3,000.0","-2,807.0","3,734.0","7,301.0","7,801.0","4,561.0","2,137.0","1,983.0","1,473.0","2,219.0","4,272.0","2,579.0","3,826.0","3,970.0","1,598.0","327.0","-1,207.0","268.0","1,458.0","-506.0","-1,807.0"
"46","28","            Nondefense","B892RC1","103.0","151.0","203.0","267.0","457.0","697.0","952.0","818.0","729.0","709.0","583.0","566.0","1,044.0","612.0","451.0","44.0","208.0","-105.0","227.0","441.0","803.0","958.0","856.0","879.0","679.0","520.0","156.0","446.0","643.0","876.0","894.0","1,189.0","1,583.0","1,983.0","2,438.0","2,988.0","3,297.0","3,306.0","2,356.0","1,797.0","1,387.0"
"47","29","          State and local","A893RC1","1,901.0","2,160.0","1,933.0","1,129.0","605.0","920.0","772.0","1,985.0","1,594.0","1,962.0","2,337.0","1,684.0","1,029.0","124.0","-618.0","-724.0","-590.0","50.0","1,017.0","1,929.0","3,212.0","3,733.0","4,405.0","4,586.0","5,080.0","6,306.0","6,955.0","7,717.0","8,666.0","9,521.0","9,682.0","9,498.0","10,368.0","10,858.0","12,150.0","13,242.0","14,605.0","16,240.0","17,787.0","19,349.0","18,987.0"
"48","30","  Structures","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,009.0","4,636.0","6,342.0","7,013.0","9,546.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0"
"49","31","  Less: Consumption of fixed capital","A894RC1","727.0","718.0","679.0","576.0","669.0","813.0","807.0","923.0","983.0","1,030.0","1,050.0","1,098.0","1,284.0","1,661.0","1,964.0","1,984.0","2,007.0","2,296.0","2,732.0","3,009.0","3,024.0","2,928.0","3,495.0","3,737.0","3,857.0","3,898.0","4,080.0","4,585.0","4,987.0","5,183.0","5,377.0","5,509.0","5,743.0","6,065.0","6,426.0","6,760.0","7,201.0","7,826.0","8,412.0","9,173.0","10,205.0"
"50","32","  Equals: Net structures","A895RC1","1,848.0","2,215.0","2,051.0","1,347.0","1,034.0","1,449.0","1,482.0","2,795.0","2,347.0","2,617.0","2,851.0","2,629.0","4,967.0","10,456.0","5,033.0","1,294.0","535.0","-607.0","277.0","1,627.0","3,318.0","4,085.0","6,051.0","7,367.0","7,801.0","8,213.0","7,930.0","8,809.0","9,885.0","11,318.0","11,479.0","11,091.0","12,272.0","12,570.0","13,502.0","14,296.0","15,645.0","17,259.0","18,042.0","19,375.0","18,754.0"
"51","33","            Federal","A896RC1","48.0","111.0","183.0","256.0","431.0","522.0","706.0","804.0","789.0","701.0","577.0","960.0","3,906.0","10,264.0","5,563.0","1,942.0","1,059.0","-659.0","-643.0","-134.0","268.0","501.0","1,808.0","2,959.0","2,906.0","2,132.0","1,165.0","1,349.0","1,613.0","2,128.0","2,132.0","2,001.0","2,285.0","2,114.0","1,872.0","1,680.0","1,684.0","1,751.0","965.0","738.0","571.0"
"52","34","              National defense","B897RC1","-49.0","-30.0","-9.0","-8.0","-7.0","12.0","1.0","110.0","157.0","126.0","96.0","515.0","3,434.0","9,955.0","5,315.0","1,918.0","1,062.0","-443.0","-717.0","-544.0","-536.0","-392.0","1,006.0","2,196.0","2,193.0","1,576.0","913.0","841.0","898.0","1,152.0","1,096.0","797.0","904.0","517.0","136.0","-259.0","-419.0","-347.0","-479.0","-513.0","-386.0"
"53","35","              Nondefense","B898RC1","97.0","141.0","192.0","264.0","438.0","510.0","705.0","694.0","632.0","575.0","481.0","445.0","472.0","309.0","248.0","24.0","-3.0","-216.0","74.0","410.0","804.0","893.0","802.0","763.0","713.0","556.0","252.0","508.0","715.0","976.0","1,036.0","1,204.0","1,381.0","1,597.0","1,736.0","1,939.0","2,103.0","2,098.0","1,444.0","1,251.0","957.0"
"54","36","            State and local","B899RC1","1,800.0","2,104.0","1,868.0","1,091.0","603.0","927.0","776.0","1,991.0","1,558.0","1,916.0","2,274.0","1,669.0","1,061.0","192.0","-530.0","-648.0","-524.0","52.0","920.0","1,761.0","3,050.0","3,584.0","4,244.0","4,409.0","4,896.0","6,081.0","6,766.0","7,460.0","8,272.0","9,190.0","9,347.0","9,090.0","9,987.0","10,456.0","11,630.0","12,616.0","13,961.0","15,508.0","17,077.0","18,637.0","18,183.0"
"55","37","  Equipment and software","A871RC1","257.0","235.0","256.0","224.0","223.0","399.0","487.0","413.0","462.0","545.0","590.0","646.0","4,544.0","16,429.0","32,078.0","33,370.0","21,573.0","1,802.0","1,588.0","2,382.0","3,354.0","2,786.0","8,078.0","11,206.0","12,333.0","10,401.0","8,966.0","9,515.0","9,505.0","9,982.0","12,446.0","11,667.0","13,314.0","14,655.0","13,712.0","13,570.0","12,709.0","14,702.0","16,523.0","15,089.0","14,309.0"
"56","38","  Less: Consumption of fixed capital","A900RC1","231.0","232.0","230.0","241.0","238.0","264.0","292.0","308.0","339.0","360.0","389.0","435.0","746.0","1,874.0","4,274.0","6,904.0","8,060.0","8,486.0","7,860.0","6,602.0","5,657.0","4,987.0","5,135.0","5,808.0","6,575.0","7,228.0","7,649.0","8,178.0","8,608.0","8,684.0","9,076.0","9,492.0","9,809.0","10,414.0","11,028.0","11,309.0","11,659.0","12,147.0","12,964.0","13,824.0","14,496.0"
"57","39","  Equals: Net equipment and software","A901RC1","26.0","3.0","26.0","-17.0","-15.0","135.0","195.0","105.0","123.0","185.0","201.0","211.0","3,798.0","14,555.0","27,804.0","26,466.0","13,513.0","-6,684.0","-6,272.0","-4,220.0","-2,303.0","-2,201.0","2,943.0","5,398.0","5,758.0","3,173.0","1,317.0","1,337.0","897.0","1,298.0","3,370.0","2,175.0","3,505.0","4,241.0","2,684.0","2,261.0","1,050.0","2,555.0","3,559.0","1,265.0","-187.0"
"58","40","            Federal","A902RC1","-75.0","-53.0","-39.0","-55.0","-17.0","142.0","199.0","111.0","87.0","139.0","138.0","196.0","3,830.0","14,623.0","27,892.0","26,542.0","13,579.0","-6,682.0","-6,368.0","-4,388.0","-2,465.0","-2,350.0","2,782.0","5,221.0","5,574.0","2,949.0","1,128.0","1,080.0","503.0","967.0","3,034.0","1,767.0","3,124.0","3,839.0","2,164.0","1,635.0","406.0","1,823.0","2,849.0","553.0","-991.0"
"59","41","              National defense","B905RC1","-81.0","-63.0","-50.0","-58.0","-36.0","-45.0","-48.0","-13.0","-10.0","5.0","36.0","75.0","3,258.0","14,320.0","27,689.0","26,522.0","13,368.0","-6,793.0","-6,521.0","-4,419.0","-2,464.0","-2,415.0","2,728.0","5,105.0","5,608.0","2,985.0","1,224.0","1,142.0","575.0","1,067.0","3,176.0","1,782.0","2,922.0","3,453.0","1,462.0","586.0","-788.0","615.0","1,937.0","7.0","-1,421.0"
"60","42","              Nondefense","B906RC1","6.0","10.0","11.0","3.0","19.0","187.0","247.0","124.0","97.0","134.0","102.0","121.0","572.0","303.0","203.0","20.0","211.0","111.0","153.0","31.0","-1.0","65.0","54.0","116.0","-34.0","-36.0","-96.0","-62.0","-72.0","-100.0","-142.0","-15.0","202.0","386.0","702.0","1,049.0","1,194.0","1,208.0","912.0","546.0","430.0"
"61","43","            State and local","B907RC1","101.0","56.0","65.0","38.0","2.0","-7.0","-4.0","-6.0","36.0","46.0","63.0","15.0","-32.0","-68.0","-88.0","-76.0","-66.0","-2.0","97.0","168.0","162.0","149.0","161.0","177.0","184.0","225.0","189.0","257.0","394.0","331.0","335.0","408.0","381.0","402.0","520.0","626.0","644.0","732.0","710.0","712.0","804.0"
