"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Personal income","A065RC1","187,500.0","185,540.0","193,557.0","196,879.0","202,145.0","208,145.0","214,170.0","214,286.0","208,164.0","206,790.0","206,109.0","206,836.0","221,472.0","222,304.0","231,137.0","240,515.0","249,477.0","256,778.0","259,995.0","265,343.0","267,404.0","271,259.0","278,084.0","284,117.0","288,831.0","292,780.0","292,895.0","292,133.0","292,204.0","291,782.0","293,882.0","299,319.0","305,141.0","313,040.0","320,403.0","325,411.0","330,761.0","336,568.0","341,452.0","349,091.0","353,148.0","357,647.0","361,976.0","361,407.0","361,978.0","364,228.0","372,467.0","377,011.0","383,393.0","391,969.0","394,141.0","399,861.0","406,371.0","410,977.0","413,182.0","414,497.0","418,628.0","424,617.0","431,617.0","440,376.0","447,087.0","454,462.0","459,143.0","464,967.0","470,088.0","474,845.0","481,884.0","491,189.0","500,595.0","509,763.0","519,134.0","527,794.0","538,365.0","547,572.0","561,508.0","574,556.0","586,708.0","596,334.0","609,458.0","622,621.0","633,148.0","640,191.0","653,827.0","665,115.0","684,347.0","703,807.0","721,683.0","736,888.0","751,049.0","769,051.0","789,360.0","803,854.0"
"21","2","  Compensation of employees, received","W209RC1","127,183.0","128,690.0","130,034.0","134,290.0","137,772.0","139,440.0","144,647.0","145,837.0","143,942.0","142,204.0","141,027.0","140,451.0","144,570.0","150,626.0","158,986.0","166,822.0","174,756.0","180,667.0","182,959.0","187,024.0","191,335.0","192,658.0","196,602.0","204,141.0","208,044.0","211,421.0","211,622.0","210,091.0","208,111.0","207,701.0","208,252.0","212,560.0","216,929.0","223,117.0","229,138.0","233,597.0","238,033.0","242,637.0","245,743.0","251,550.0","255,321.0","257,012.0","259,668.0","258,147.0","254,588.0","254,215.0","262,178.0","267,208.0","274,489.0","281,639.0","282,288.0","285,544.0","294,039.0","296,887.0","297,632.0","297,086.0","298,023.0","302,206.0","307,199.0","313,788.0","320,446.0","326,368.0","329,157.0","332,610.0","337,502.0","342,392.0","347,419.0","353,556.0","359,997.0","367,363.0","374,558.0","380,767.0","387,316.0","394,125.0","402,312.0","414,273.0","426,712.0","437,791.0","448,970.0","457,154.0","463,254.0","468,994.0","478,656.0","489,673.0","504,485.0","517,605.0","531,388.0","543,785.0","555,894.0","569,773.0","586,572.0","598,207.0"
"22","3","    Wage and salary disbursements","A576RC1","119,655.0","121,471.0","123,387.0","127,807.0","131,279.0","133,075.0","138,255.0","139,451.0","136,823.0","134,955.0","133,899.0","133,439.0","137,072.0","142,865.0","150,802.0","158,176.0","165,334.0","170,931.0","173,053.0","176,812.0","181,047.0","182,257.0","186,035.0","193,293.0","196,959.0","200,163.0","200,378.0","198,761.0","196,401.0","195,957.0","196,334.0","200,360.0","204,056.0","209,851.0","215,246.0","219,451.0","223,282.0","227,501.0","229,953.0","235,367.0","238,266.0","239,617.0","241,829.0","240,092.0","236,724.0","236,276.0","243,837.0","248,432.0","254,012.0","260,557.0","260,900.0","263,903.0","270,751.0","273,400.0","273,966.0","273,310.0","273,790.0","277,634.0","282,253.0","288,404.0","293,277.0","298,748.0","301,176.0","304,235.0","307,963.0","312,357.0","316,846.0","322,241.0","328,223.0","334,834.0","341,294.0","346,804.0","352,816.0","358,879.0","366,217.0","377,123.0","385,765.0","395,905.0","406,134.0","413,487.0","418,842.0","423,605.0","432,010.0","441,584.0","454,212.0","465,925.0","478,332.0","489,425.0","499,069.0","511,383.0","526,432.0","536,452.0"
"23","4","      Private industries","A132RC1","101,723.0","103,899.0","106,375.0","110,279.0","113,336.0","114,712.0","118,768.0","119,164.0","116,438.0","114,362.0","112,950.0","112,058.0","115,621.0","121,214.0","128,043.0","133,505.0","138,597.0","142,454.0","143,280.0","145,059.0","148,621.0","149,039.0","152,245.0","159,343.0","162,748.0","165,672.0","165,859.0","164,326.0","162,004.0","161,240.0","161,205.0","164,983.0","168,574.0","173,617.0","177,848.0","182,181.0","185,446.0","188,969.0","190,769.0","195,711.0","198,037.0","198,884.0","200,328.0","198,503.0","194,689.0","193,185.0","197,730.0","203,177.0","208,556.0","214,713.0","214,664.0","217,223.0","223,039.0","224,764.0","224,094.0","222,802.0","222,686.0","225,834.0","229,461.0","234,216.0","237,977.0","242,772.0","244,688.0","246,611.0","249,343.0","252,977.0","256,666.0","260,317.0","265,099.0","270,674.0","275,750.0","279,932.0","285,364.0","290,331.0","295,729.0","303,971.0","310,837.0","319,029.0","326,334.0","331,535.0","335,390.0","338,609.0","344,942.0","351,168.0","361,452.0","370,721.0","379,592.0","389,373.0","397,785.0","408,271.0","418,268.0","426,612.0"
"24","5","      Government","B202RC1","17,932.0","17,572.0","17,012.0","17,528.0","17,943.0","18,363.0","19,487.0","20,287.0","20,385.0","20,593.0","20,949.0","21,381.0","21,451.0","21,651.0","22,759.0","24,671.0","26,737.0","28,477.0","29,773.0","31,753.0","32,426.0","33,218.0","33,790.0","33,950.0","34,211.0","34,491.0","34,519.0","34,435.0","34,397.0","34,717.0","35,129.0","35,377.0","35,482.0","36,234.0","37,398.0","37,270.0","37,836.0","38,532.0","39,184.0","39,656.0","40,229.0","40,733.0","41,501.0","41,589.0","42,035.0","43,091.0","46,107.0","45,255.0","45,456.0","45,844.0","46,236.0","46,680.0","47,712.0","48,636.0","49,872.0","50,508.0","51,104.0","51,800.0","52,792.0","54,188.0","55,300.0","55,976.0","56,488.0","57,624.0","58,620.0","59,380.0","60,180.0","61,924.0","63,124.0","64,160.0","65,544.0","66,872.0","67,452.0","68,548.0","70,488.0","73,152.0","74,928.0","76,876.0","79,800.0","81,952.0","83,452.0","84,996.0","87,068.0","90,416.0","92,760.0","95,204.0","98,740.0","100,052.0","101,284.0","103,112.0","108,164.0","109,840.0"
"25","6","    Supplements to wages and salaries","A038RC1","7,528.0","7,219.0","6,647.0","6,483.0","6,493.0","6,365.0","6,392.0","6,386.0","7,119.0","7,249.0","7,128.0","7,012.0","7,498.0","7,761.0","8,184.0","8,646.0","9,422.0","9,736.0","9,906.0","10,212.0","10,288.0","10,401.0","10,567.0","10,848.0","11,085.0","11,258.0","11,244.0","11,330.0","11,710.0","11,744.0","11,918.0","12,200.0","12,873.0","13,266.0","13,892.0","14,146.0","14,751.0","15,136.0","15,790.0","16,183.0","17,055.0","17,395.0","17,839.0","18,055.0","17,864.0","17,939.0","18,341.0","18,776.0","20,477.0","21,082.0","21,388.0","21,641.0","23,288.0","23,487.0","23,666.0","23,776.0","24,233.0","24,572.0","24,946.0","25,384.0","27,169.0","27,620.0","27,981.0","28,375.0","29,539.0","30,035.0","30,573.0","31,315.0","31,774.0","32,529.0","33,264.0","33,963.0","34,500.0","35,246.0","36,095.0","37,150.0","40,947.0","41,886.0","42,836.0","43,667.0","44,412.0","45,389.0","46,646.0","48,089.0","50,273.0","51,680.0","53,056.0","54,360.0","56,825.0","58,390.0","60,140.0","61,755.0"
"26","7","      Employer contributions for employee pension and insurance funds","B040RC1","2,856.0","2,931.0","3,103.0","3,263.0","3,285.0","3,377.0","3,448.0","3,510.0","3,579.0","3,717.0","3,844.0","3,972.0","4,230.0","4,505.0","4,784.0","5,078.0","5,390.0","5,608.0","5,838.0","6,064.0","6,164.0","6,305.0","6,463.0","6,600.0","6,897.0","7,054.0","6,976.0","7,150.0","7,102.0","7,132.0","7,330.0","7,560.0","7,825.0","8,122.0","8,648.0","8,886.0","9,175.0","9,484.0","10,114.0","10,415.0","10,695.0","10,999.0","11,435.0","11,743.0","11,564.0","11,651.0","11,981.0","12,328.0","12,725.0","13,194.0","13,512.0","13,737.0","14,036.0","14,223.0","14,386.0","14,572.0","14,781.0","15,016.0","15,302.0","15,596.0","16,125.0","16,444.0","16,753.0","17,095.0","17,335.0","17,703.0","18,117.0","18,687.0","19,346.0","19,957.0","20,556.0","21,143.0","21,696.0","22,270.0","22,935.0","23,718.0","24,475.0","25,146.0","25,836.0","26,495.0","26,856.0","27,597.0","28,490.0","29,517.0","30,833.0","31,912.0","32,932.0","33,892.0","34,737.0","35,878.0","37,124.0","38,355.0"
"27","8","      Employer contributions for government social insurance","B039RC1","4,672.0","4,288.0","3,544.0","3,220.0","3,208.0","2,988.0","2,944.0","2,876.0","3,540.0","3,532.0","3,284.0","3,040.0","3,268.0","3,256.0","3,400.0","3,568.0","4,032.0","4,128.0","4,068.0","4,148.0","4,124.0","4,096.0","4,104.0","4,248.0","4,188.0","4,204.0","4,268.0","4,180.0","4,608.0","4,612.0","4,588.0","4,640.0","5,048.0","5,144.0","5,244.0","5,260.0","5,576.0","5,652.0","5,676.0","5,768.0","6,360.0","6,396.0","6,404.0","6,312.0","6,300.0","6,288.0","6,360.0","6,448.0","7,752.0","7,888.0","7,876.0","7,904.0","9,252.0","9,264.0","9,280.0","9,204.0","9,452.0","9,556.0","9,644.0","9,788.0","11,044.0","11,176.0","11,228.0","11,280.0","12,204.0","12,332.0","12,456.0","12,628.0","12,428.0","12,572.0","12,708.0","12,820.0","12,804.0","12,976.0","13,160.0","13,432.0","16,472.0","16,740.0","17,000.0","17,172.0","17,556.0","17,792.0","18,156.0","18,572.0","19,440.0","19,768.0","20,124.0","20,468.0","22,088.0","22,512.0","23,016.0","23,400.0"
"28","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","36,615.0","32,327.0","33,786.0","35,187.0","35,999.0","40,372.0","40,924.0","39,599.0","35,381.0","34,784.0","34,151.0","34,176.0","35,582.0","36,256.0","38,718.0","39,396.0","41,999.0","42,441.0","42,648.0","43,521.0","41,832.0","43,057.0","44,810.0","42,583.0","42,982.0","42,250.0","41,519.0","41,303.0","42,593.0","41,983.0","42,323.0","42,201.0","43,418.0","44,458.0","44,658.0","44,522.0","44,890.0","45,456.0","46,208.0","46,902.0","46,914.0","47,785.0","48,695.0","47,913.0","50,289.0","50,387.0","50,062.0","50,023.0","50,160.0","50,378.0","50,161.0","50,604.0","49,973.0","50,847.0","50,874.0","51,138.0","52,365.0","52,557.0","53,324.0","54,547.0","55,297.0","55,098.0","55,138.0","55,687.0","55,999.0","55,909.0","56,416.0","57,763.0","58,088.0","58,999.0","59,567.0","60,748.0","62,160.0","63,359.0","64,202.0","65,893.0","69,426.0","67,526.0","67,680.0","68,362.0","69,122.0","68,888.0","70,958.0","70,421.0","72,065.0","73,439.0","75,270.0","75,973.0","76,310.0","77,556.0","78,201.0","77,974.0"
"29","10","    Farm","B042RC1","15,980.0","12,355.0","14,098.0","14,935.0","14,486.0","17,972.0","17,924.0","16,436.0","12,707.0","12,132.0","11,615.0","11,502.0","12,228.0","12,227.0","13,104.0","13,932.0","15,015.0","15,397.0","15,148.0","15,654.0","13,714.0","14,516.0","15,974.0","13,045.0","13,010.0","12,398.0","11,732.0","11,537.0","12,860.0","11,663.0","11,788.0","10,685.0","10,922.0","11,279.0","10,692.0","9,971.0","10,193.0","10,364.0","10,879.0","10,917.0","9,949.0","10,517.0","11,049.0","10,688.0","13,326.0","12,977.0","12,142.0","11,244.0","10,869.0","9,861.0","9,360.0","10,084.0","9,643.0","10,618.0","11,009.0","11,326.0","11,548.0","10,870.0","11,044.0","11,532.0","11,861.0","11,079.0","10,668.0","11,264.0","11,403.0","10,829.0","10,679.0","11,127.0","9,873.0","9,514.0","9,295.0","10,439.0","11,431.0","11,962.0","12,207.0","12,518.0","14,857.0","12,675.0","12,304.0","12,238.0","11,927.0","11,144.0","11,959.0","11,535.0","11,605.0","11,237.0","11,786.0","12,000.0","11,565.0","12,549.0","13,142.0","14,078.0"
"30","11","    Nonfarm","A045RC1","20,635.0","19,972.0","19,688.0","20,252.0","21,513.0","22,400.0","23,000.0","23,163.0","22,674.0","22,652.0","22,536.0","22,674.0","23,354.0","24,029.0","25,614.0","25,464.0","26,984.0","27,044.0","27,500.0","27,867.0","28,118.0","28,541.0","28,836.0","29,538.0","29,972.0","29,852.0","29,787.0","29,766.0","29,733.0","30,320.0","30,535.0","31,516.0","32,496.0","33,179.0","33,966.0","34,551.0","34,697.0","35,092.0","35,329.0","35,985.0","36,965.0","37,268.0","37,646.0","37,225.0","36,963.0","37,410.0","37,920.0","38,779.0","39,291.0","40,517.0","40,801.0","40,520.0","40,330.0","40,229.0","39,865.0","39,812.0","40,817.0","41,687.0","42,280.0","43,015.0","43,436.0","44,019.0","44,470.0","44,423.0","44,596.0","45,080.0","45,737.0","46,636.0","48,215.0","49,485.0","50,272.0","50,309.0","50,729.0","51,397.0","51,995.0","53,375.0","54,569.0","54,851.0","55,376.0","56,124.0","57,195.0","57,744.0","58,999.0","58,886.0","60,460.0","62,202.0","63,484.0","63,973.0","64,745.0","65,007.0","65,059.0","63,896.0"
"31","12","  Rental income of persons with capital consumption adjustment","A048RC1","6,934.0","7,050.0","7,265.0","7,458.0","7,629.0","7,781.0","7,850.0","7,927.0","7,839.0","7,944.0","8,178.0","8,396.0","8,749.0","8,961.0","9,134.0","9,449.0","9,628.0","9,893.0","10,182.0","10,453.0","10,734.0","11,002.0","11,267.0","11,603.0","11,918.0","12,225.0","12,488.0","12,796.0","13,117.0","13,333.0","13,464.0","13,613.0","13,669.0","13,733.0","13,800.0","13,900.0","13,982.0","14,002.0","14,088.0","14,202.0","14,285.0","14,386.0","14,500.0","14,716.0","15,006.0","15,188.0","15,331.0","15,419.0","15,413.0","15,887.0","16,251.0","16,520.0","16,712.0","16,872.0","17,043.0","17,212.0","17,437.0","17,611.0","17,820.0","18,052.0","18,285.0","18,503.0","18,713.0","18,919.0","19,135.0","19,291.0","19,455.0","19,448.0","19,447.0","19,381.0","19,465.0","19,439.0","19,688.0","19,881.0","20,119.0","20,106.0","20,457.0","20,371.0","20,633.0","20,626.0","20,838.0","20,941.0","20,982.0","20,862.0","20,607.0","20,597.0","20,742.0","20,560.0","20,789.0","20,855.0","20,996.0","20,944.0"
"32","13","  Personal income receipts on assets","W210RC1","13,396.0","13,849.0","14,176.0","14,212.0","14,901.0","14,668.0","15,217.0","15,639.0","15,706.0","15,886.0","16,009.0","16,537.0","17,671.0","17,984.0","18,987.0","19,575.0","18,617.0","19,053.0","19,179.0","19,464.0","19,056.0","19,840.0","20,005.0","20,503.0","20,600.0","21,708.0","21,926.0","22,107.0","22,950.0","22,697.0","23,420.0","23,909.0","24,712.0","25,160.0","26,137.0","26,675.0","27,376.0","27,864.0","28,338.0","29,239.0","29,811.0","30,455.0","30,979.0","31,135.0","31,307.0","31,782.0","32,129.0","32,244.0","32,979.0","34,037.0","35,121.0","36,277.0","37,421.0","37,549.0","38,107.0","38,455.0","38,732.0","39,464.0","40,463.0","41,874.0","41,957.0","43,615.0","44,901.0","45,869.0","46,146.0","47,115.0","48,392.0","49,912.0","51,542.0","53,095.0","54,555.0","55,811.0","57,059.0","58,760.0","60,289.0","61,414.0","62,647.0","63,604.0","64,501.0","65,545.0","67,486.0","68,728.0","69,763.0","70,135.0","72,353.0","74,673.0","76,015.0","77,580.0","80,516.0","83,029.0","85,325.0","87,672.0"
