"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Wage and salary accruals","A034RC1","50,460.0","46,214.0","39,157.0","30,514.0","29,027.0","33,734.0","36,722.0","41,954.0","46,139.0","43,013.0","45,985.0","49,860.0","62,085.0","82,098.0","105,786.0","116,749.0","117,493.0","112,005.0","123,097.0","135,550.0","134,733.0","147,253.0","171,607.0","185,636.0","198,989.0","197,263.0","212,151.0","229,026.0","239,951.0","241,317.0","259,842.0","272,855.0","280,519.0","299,358.0","314,851.0","337,788.0","363,757.0","400,321.0","429,009.0","471,972.0","518,333.0"
"22","4","    Government","A553RC1","4,961.0","5,179.0","5,284.0","4,992.0","5,163.0","6,097.0","6,527.0","7,895.0","7,524.0","8,258.0","8,241.0","8,464.0","10,190.0","15,976.0","26,617.0","32,968.0","34,902.0","20,700.0","17,513.0","19,020.0","20,827.0","22,633.0","29,229.0","33,378.0","34,338.0","34,905.0","36,596.0","38,802.0","41,013.0","44,122.0","46,054.0","49,182.0","52,471.0","56,347.0","60,026.0","64,925.0","69,910.0","78,389.0","86,483.0","96,689.0","105,600.0"
"23","5","    Other","B203RC1","45,499.0","41,035.0","33,873.0","25,522.0","23,864.0","27,637.0","30,195.0","34,059.0","38,615.0","34,755.0","37,744.0","41,396.0","51,895.0","66,122.0","79,169.0","83,781.0","82,591.0","91,305.0","105,584.0","116,530.0","113,906.0","124,620.0","142,378.0","152,258.0","164,651.0","162,358.0","175,555.0","190,224.0","198,938.0","197,195.0","213,788.0","223,673.0","228,048.0","243,011.0","254,825.0","272,863.0","293,847.0","321,932.0","342,526.0","375,283.0","412,733.0"
"24","6","  Supplements to wages and salaries","A038RC1","658.0","653.0","618.0","576.0","545.0","597.0","654.0","994.0","1,830.0","2,021.0","2,164.0","2,310.0","2,740.0","3,198.0","3,796.0","4,503.0","5,759.0","7,609.0","6,969.0","6,409.0","7,127.0","8,023.0","9,819.0","10,526.0","11,229.0","11,893.0","13,544.0","15,465.0","17,586.0","18,230.0","21,147.0","23,554.0","24,784.0","27,786.0","30,366.0","32,882.0","35,748.0","42,334.0","46,134.0","52,342.0","59,278.0"
"25","7","    Employer contributions for employee pension and insurance funds","B040RC1","650.0","646.0","613.0","568.0","541.0","590.0","642.0","752.0","800.0","822.0","860.0","934.0","1,024.0","1,190.0","1,468.0","1,966.0","2,296.0","2,543.0","3,038.0","3,405.0","3,778.0","4,650.0","5,725.0","6,383.0","7,019.0","7,281.0","8,370.0","9,797.0","11,218.0","11,881.0","13,292.0","14,304.0","15,174.0","16,604.0","17,961.0","20,250.0","22,655.0","25,488.0","28,115.0","32,392.0","36,524.0"
"26","8","    Employer contributions for government social insurance","B039RC1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","5,066.0","3,931.0","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0"
"27","9","Proprietors' income with IVA and CCAdj","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0"
"28","10","  Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"29","11","  Nonfarm","A045RC1","8,396.0","7,026.0","5,340.0","3,316.0","3,087.0","4,457.0","5,244.0","6,445.0","6,882.0","6,573.0","7,093.0","8,192.0","10,612.0","13,664.0","16,720.0","17,964.0","18,996.0","21,478.0","20,137.0","22,518.0","22,633.0","24,614.0","27,348.0","28,757.0","29,844.0","30,525.0","33,547.0","35,275.0","37,275.0","37,767.0","40,282.0","40,059.0","41,950.0","44,087.0","45,512.0","49,570.0","51,874.0","55,230.0","58,206.0","62,530.0","64,675.0"
"30","12","Rental income of persons with CCAdj","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0"
"31","13","Corporate profits with IVA and CCAdj","A051RC1","10,656.0","7,358.0","2,834.0","-270.0","-272.0","2,382.0","3,858.0","6,044.0","6,854.0","4,801.0","6,400.0","9,648.0","15,277.0","20,434.0","24,744.0","24,783.0","20,192.0","17,940.0","23,487.0","30,875.0","28,710.0","35,635.0","40,801.0","38,839.0","39,117.0","38,334.0","48,999.0","47,985.0","47,639.0","42,458.0","53,826.0","53,096.0","54,187.0","62,345.0","68,335.0","75,524.0","86,529.0","92,546.0","90,175.0","97,251.0","94,471.0"
"32","14","  Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"33","15","  Profits after tax with IVA and CCAdj","A551RC1","9,287.0","6,516.0","2,336.0","-655.0","-793.0","1,638.0","2,907.0","4,635.0","5,352.0","3,772.0","4,959.0","6,814.0","7,667.0","9,019.0","10,670.0","11,834.0","9,503.0","8,836.0","12,219.0","18,454.0","18,507.0","17,710.0","18,242.0","19,440.0","18,830.0","20,710.0","26,958.0","25,992.0","26,216.0","23,494.0","30,099.0","30,314.0","31,297.0","38,250.0","41,964.0","47,369.0","55,464.0","58,665.0","57,276.0","57,623.0","54,494.0"
"34","16","    Net dividends","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"35","17","    Undistributed profits with IVA and CCAdj","A127RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","692.0","607.0","1,193.0","2,798.0","3,236.0","4,765.0","6,224.0","7,217.0","4,903.0","3,262.0","5,898.0","11,418.0","11,269.0","8,872.0","9,672.0","10,880.0","9,944.0","11,428.0","16,480.0","14,712.0","14,474.0","11,928.0","17,529.0","16,948.0","17,396.0","23,223.0","25,728.0","29,175.0","35,259.0","37,995.0","35,766.0","34,088.0","30,255.0"
"36","18","Net interest and miscellaneous payments","W255RC1","4,572.0","4,827.0","4,816.0","4,483.0","3,975.0","4,025.0","4,062.0","3,808.0","3,685.0","3,648.0","3,649.0","3,337.0","3,274.0","3,203.0","2,873.0","2,438.0","2,333.0","1,906.0","2,452.0","2,592.0","2,853.0","3,171.0","3,654.0","4,059.0","4,723.0","5,611.0","6,227.0","6,864.0","8,018.0","9,543.0","9,604.0","10,561.0","12,451.0","14,227.0","15,161.0","17,416.0","19,625.0","22,386.0","25,521.0","27,090.0","32,715.0"
"37","19","Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0"
"38","20","Less: Subsidies \1\","A107RC1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"39","21","Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","700.0","717.0","736.0","731.0","862.0","1,216.0","1,257.0","1,217.0","988.0","1,375.0","1,735.0","1,920.0","1,807.0","1,764.0","1,858.0","2,026.0","2,243.0","2,657.0","3,136.0","3,617.0","3,524.0","3,765.0","4,321.0","4,941.0"
"40","22","  To persons (net)","B931RC1","398.0","352.0","427.0","471.0","417.0","405.0","392.0","394.0","375.0","257.0","281.0","287.0","350.0","342.0","387.0","433.0","500.0","428.0","392.0","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0"
"41","23","  To government (net)","W061RC1","113.0","115.0","111.0","108.0","98.0","97.0","114.0","139.0","149.0","153.0","154.0","164.0","177.0","203.0","255.0","379.0","391.0","272.0","325.0","365.0","376.0","307.0","343.0","369.0","375.0","421.0","445.0","500.0","525.0","567.0","442.0","546.0","665.0","694.0","789.0","949.0","1,352.0","1,411.0","1,503.0","1,533.0","1,610.0"
"42","24","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"43","25","Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0"
"44",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Net cash flow with IVA","A904RC1","8,474.0","5,864.0","2,766.0","793.0","953.0","2,935.0","3,987.0","4,072.0","5,116.0","5,091.0","5,649.0","7,430.0","8,340.0","10,545.0","12,040.0","13,173.0","11,043.0","10,146.0","14,782.0","21,802.0","22,497.0","20,832.0","23,300.0","25,340.0","25,332.0","27,604.0","33,576.0","33,950.0","35,758.0","34,649.0","41,246.0","41,021.0","42,135.0","48,869.0","52,500.0","57,436.0","65,736.0","71,466.0","72,631.0","74,820.0","75,452.0"
"46","27","    Undistributed profits with IVA and CCAdj","A127RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","692.0","607.0","1,193.0","2,798.0","3,236.0","4,765.0","6,224.0","7,217.0","4,903.0","3,262.0","5,898.0","11,418.0","11,269.0","8,872.0","9,672.0","10,880.0","9,944.0","11,428.0","16,480.0","14,712.0","14,474.0","11,928.0","17,529.0","16,948.0","17,396.0","23,223.0","25,728.0","29,175.0","35,259.0","37,995.0","35,766.0","34,088.0","30,255.0"
"47","28","    Consumption of fixed capital","A438RC1","4,988.0","4,816.0","4,496.0","3,992.0","3,784.0","3,864.0","3,924.0","3,960.0","4,424.0","4,484.0","4,456.0","4,632.0","5,104.0","5,780.0","5,816.0","5,956.0","6,140.0","6,884.0","8,884.0","10,384.0","11,228.0","11,960.0","13,628.0","14,460.0","15,388.0","16,176.0","17,088.0","19,220.0","21,260.0","22,692.0","23,668.0","23,980.0","24,616.0","25,520.0","26,684.0","28,180.0","30,396.0","33,388.0","36,780.0","40,620.0","45,120.0"
"48","29","    Less: Capital transfers paid (net)","W976RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8.0","-18.0","-24.0","-29.0","-49.0","-93.0","-123.0","-126.0","-88.0","-81.0","-81.0","-83.0","-85.0","-112.0","-77.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Proprietors' income with IVA and CCAdj","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0"
"51","31","    Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"52","32","      Proprietors' income with IVA","A043RC1","5,717.0","3,938.0","3,042.0","1,732.0","2,213.0","2,595.0","4,900.0","3,959.0","5,669.0","4,054.0","4,047.0","4,085.0","6,079.0","9,837.0","11,696.0","11,628.0","12,009.0","14,392.0","14,684.0","17,139.0","12,445.0","13,310.0","15,841.0","14,889.0","12,709.0","12,243.0","11,161.0","11,114.0","11,142.0","13,030.0","10,668.0","11,198.0","11,769.0","11,726.0","11,503.0","10,270.0","12,541.0","13,566.0","12,250.0","12,337.0","13,623.0"
"53","33","      Capital consumption adjustment","B044RC1","-58.0","-41.0","-8.0","18.0","11.0","-15.0","-6.0","-12.0","-31.0","-43.0","-24.0","-20.0","-53.0","-149.0","-153.0","-190.0","-185.0","-181.0","-342.0","-435.0","-456.0","-438.0","-538.0","-576.0","-540.0","-494.0","-445.0","-526.0","-592.0","-608.0","-624.0","-550.0","-520.0","-509.0","-493.0","-489.0","-512.0","-548.0","-608.0","-677.0","-790.0"
"54","34","    Nonfarm","A045RC1","8,396.0","7,026.0","5,340.0","3,316.0","3,087.0","4,457.0","5,244.0","6,445.0","6,882.0","6,573.0","7,093.0","8,192.0","10,612.0","13,664.0","16,720.0","17,964.0","18,996.0","21,478.0","20,137.0","22,518.0","22,633.0","24,614.0","27,348.0","28,757.0","29,844.0","30,525.0","33,547.0","35,275.0","37,275.0","37,767.0","40,282.0","40,059.0","41,950.0","44,087.0","45,512.0","49,570.0","51,874.0","55,230.0","58,206.0","62,530.0","64,675.0"
"55","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","8,949.0","6,950.0","5,290.0","3,427.0","4,003.0","4,914.0","5,655.0","6,895.0","7,330.0","6,781.0","7,679.0","8,650.0","11,663.0","14,483.0","17,187.0","18,333.0","19,358.0","23,373.0","21,867.0","23,226.0","22,242.0","25,735.0","27,828.0","28,609.0","29,970.0","30,484.0","33,708.0","35,580.0","37,436.0","37,880.0","40,344.0","40,014.0","42,033.0","44,087.0","45,473.0","49,479.0","52,160.0","55,716.0","58,701.0","63,430.0","65,533.0"
"56","36","      Inventory valuation adjustment","B179RC1","142.0","755.0","611.0","295.0","-525.0","-54.0","-50.0","-120.0","-29.0","221.0","-166.0","-45.0","-615.0","-367.0","-156.0","-69.0","-106.0","-1,705.0","-1,471.0","-410.0","463.0","-1,094.0","-327.0","201.0","-168.0","-49.0","-198.0","-502.0","-300.0","-56.0","-32.0","25.0","3.0","-4.0","-44.0","-56.0","-166.0","-224.0","-204.0","-413.0","-464.0"
"57","37","      Capital consumption adjustment","B047RC1","-695.0","-679.0","-561.0","-406.0","-391.0","-403.0","-361.0","-330.0","-419.0","-429.0","-420.0","-413.0","-436.0","-452.0","-311.0","-300.0","-256.0","-190.0","-259.0","-298.0","-72.0","-27.0","-153.0","-53.0","42.0","90.0","37.0","197.0","139.0","-57.0","-30.0","20.0","-86.0","4.0","83.0","147.0","-120.0","-262.0","-291.0","-487.0","-394.0"
"58","38","  Rental income of persons with CCAdj","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0"
"59","39","    Rental income of persons (without CCAdj)","B049RC1","6,319.0","5,606.0","4,603.0","3,661.0","2,912.0","2,626.0","2,672.0","2,811.0","3,138.0","3,660.0","3,883.0","4,028.0","4,640.0","5,715.0","6,322.0","6,693.0","7,011.0","7,428.0","7,634.0","8,310.0","8,602.0","9,599.0","10,624.0","11,753.0","12,956.0","13,974.0","14,380.0","14,692.0","15,093.0","15,848.0","16,625.0","17,543.0","18,284.0","19,133.0","19,846.0","19,955.0","20,514.0","21,145.0","21,595.0","21,426.0","21,832.0"
"60","40","    Capital consumption adjustment","B050RC1","-137.0","-130.0","-93.0","-25.0","-23.0","-53.0","-50.0","-63.0","-96.0","-106.0","-106.0","-119.0","-153.0","-182.0","-213.0","-254.0","-287.0","-336.0","-457.0","-513.0","-513.0","-526.0","-585.0","-601.0","-599.0","-592.0","-604.0","-624.0","-621.0","-612.0","-607.0","-583.0","-554.0","-528.0","-514.0","-522.0","-565.0","-623.0","-689.0","-800.0","-936.0"
"61","41","  Corporate profits with IVA and CCAdj","A051RC1","10,656.0","7,358.0","2,834.0","-270.0","-272.0","2,382.0","3,858.0","6,044.0","6,854.0","4,801.0","6,400.0","9,648.0","15,277.0","20,434.0","24,744.0","24,783.0","20,192.0","17,940.0","23,487.0","30,875.0","28,710.0","35,635.0","40,801.0","38,839.0","39,117.0","38,334.0","48,999.0","47,985.0","47,639.0","42,458.0","53,826.0","53,096.0","54,187.0","62,345.0","68,335.0","75,524.0","86,529.0","92,546.0","90,175.0","97,251.0","94,471.0"
"62","42","    Corporate profits with IVA","A052RC1","11,067.0","7,551.0","2,771.0","-433.0","-415.0","2,454.0","3,989.0","6,193.0","7,419.0","5,406.0","6,914.0","10,237.0","15,871.0","20,843.0","24,779.0","24,168.0","19,457.0","19,673.0","26,046.0","33,724.0","31,463.0","38,268.0","43,589.0","41,211.0","40,686.0","39,025.0","48,148.0","47,770.0","47,541.0","42,708.0","53,479.0","51,458.0","51,840.0","57,032.0","62,133.0","68,602.0","78,905.0","84,593.0","81,993.0","88,788.0","85,501.0"
