"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","Net value added","A439RC1","49,401.0","42,958.0","32,977.0","23,541.0","22,771.0","29,261.0","32,803.0","38,290.0","43,397.0","37,973.0","42,307.0","48,841.0","63,955.0","80,735.0","96,774.0","100,329.0","93,593.0","97,540.0","117,067.0","134,096.0","130,300.0","148,442.0","170,298.0","178,131.0","190,769.0","187,464.0","212,398.0","226,386.0","235,678.0","229,116.0","258,203.0","269,882.0","277,527.0","303,496.0","322,862.0","349,477.0","383,994.0","420,731.0","442,485.0","488,506.0","531,540.0"
"22","4","  Compensation of employees","A442RC1","34,242.0","30,808.0","25,369.0","19,013.0","18,002.0","21,045.0","23,056.0","26,274.0","30,548.0","27,266.0","29,816.0","32,856.0","41,598.0","52,849.0","64,141.0","67,074.0","64,069.0","69,854.0","82,136.0","91,111.0","88,798.0","98,654.0","114,553.0","123,015.0","133,985.0","132,212.0","144,625.0","158,175.0","166,500.0","163,977.0","180,289.0","190,689.0","195,554.0","210,997.0","222,667.0","239,180.0","259,864.0","288,528.0","308,418.0","341,300.0","378,601.0"
"23","5","    Wage and salary accruals","A443RC1","33,818.0","30,399.0","24,996.0","18,690.0","17,706.0","20,714.0","22,697.0","25,645.0","29,256.0","25,848.0","28,288.0","31,218.0","39,612.0","50,520.0","61,311.0","63,907.0","60,916.0","66,473.0","77,991.0","86,899.0","84,390.0","92,989.0","107,533.0","115,490.0","125,801.0","123,600.0","134,819.0","147,005.0","154,027.0","151,393.0","165,640.0","174,456.0","178,685.0","191,821.0","201,917.0","216,750.0","235,153.0","259,249.0","277,066.0","305,414.0","338,028.0"
"24","6","    Supplements to wages and salaries","A444RC1","424.0","409.0","373.0","323.0","296.0","331.0","359.0","629.0","1,292.0","1,418.0","1,528.0","1,638.0","1,986.0","2,329.0","2,830.0","3,167.0","3,153.0","3,381.0","4,145.0","4,212.0","4,408.0","5,665.0","7,020.0","7,525.0","8,184.0","8,612.0","9,806.0","11,170.0","12,473.0","12,584.0","14,649.0","16,233.0","16,869.0","19,176.0","20,750.0","22,430.0","24,711.0","29,279.0","31,352.0","35,886.0","40,573.0"
"25","7","  Taxes on production and imports less subsidies","W321RC1","2,999.0","3,037.0","2,842.0","2,942.0","3,467.0","4,090.0","4,155.0","4,364.0","4,621.0","4,575.0","4,751.0","5,136.0","6,052.0","6,421.0","6,810.0","7,531.0","8,322.0","9,774.0","11,525.0","12,749.0","13,371.0","14,821.0","15,853.0","17,331.0","18,468.0","17,937.0","19,818.0","21,518.0","22,808.0","23,137.0","25,553.0","27,844.0","28,940.0","31,234.0","33,170.0","35,588.0","37,816.0","38,913.0","41,389.0","47,847.0","52,896.0"
"26","8","  Net operating surplus","W322RC1","12,160.0","9,113.0","4,766.0","1,586.0","1,302.0","4,126.0","5,592.0","7,652.0","8,228.0","6,132.0","7,740.0","10,849.0","16,305.0","21,465.0","25,823.0","25,724.0","21,202.0","17,912.0","23,406.0","30,236.0","28,131.0","34,967.0","39,892.0","37,785.0","38,316.0","37,315.0","47,955.0","46,693.0","46,370.0","42,002.0","52,361.0","51,349.0","53,033.0","61,265.0","67,025.0","74,709.0","86,314.0","93,290.0","92,678.0","99,359.0","100,043.0"
"27","9","    Net interest and miscellaneous payments","A453RC1","1,381.0","1,538.0","1,522.0","1,397.0","1,168.0","1,414.0","1,525.0","1,359.0","1,304.0","1,321.0","1,336.0","1,120.0","1,000.0","981.0","925.0","692.0","603.0","85.0","313.0","24.0","-41.0","-122.0","-224.0","-249.0","-31.0","170.0","156.0","37.0","173.0","557.0","-211.0","-212.0","406.0","736.0","366.0","794.0","1,221.0","2,304.0","4,026.0","3,912.0","7,755.0"
"28","10","    Business current transfer payments (net)","W323RC1","355.0","354.0","406.0","425.0","404.0","390.0","368.0","353.0","342.0","311.0","328.0","347.0","419.0","428.0","526.0","672.0","749.0","578.0","592.0","598.0","587.0","723.0","1,059.0","1,083.0","1,028.0","773.0","1,154.0","1,492.0","1,650.0","1,510.0","1,464.0","1,602.0","1,756.0","1,956.0","2,405.0","2,860.0","3,270.0","2,968.0","3,252.0","3,832.0","4,412.0"
"29","11","    Corporate profits with IVA and CCAdj","A445RC1","10,424.0","7,221.0","2,838.0","-236.0","-270.0","2,322.0","3,699.0","5,940.0","6,582.0","4,500.0","6,076.0","9,382.0","14,886.0","20,056.0","24,372.0","24,360.0","19,850.0","17,249.0","22,501.0","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0"
"30","12","      Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"31","13","      Profits after tax with IVA and CCAdj","W273RC1","9,055.0","6,379.0","2,340.0","-621.0","-791.0","1,578.0","2,748.0","4,531.0","5,080.0","3,471.0","4,635.0","6,548.0","7,276.0","8,641.0","10,298.0","11,411.0","9,161.0","8,145.0","11,233.0","17,193.0","17,382.0","16,441.0","16,498.0","17,552.0","17,032.0","18,748.0","24,604.0","23,171.0","23,124.0","20,971.0","27,381.0","27,177.0","27,981.0","34,478.0","37,883.0","42,900.0","50,758.0","54,137.0","52,501.0","51,987.0","47,899.0"
"32","14","        Net dividends","A449RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0"
"33","15","        Undistributed profits with IVA and CCAdj","W274RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","542.0","553.0","1,053.0","2,766.0","3,076.0","4,612.0","6,090.0","7,087.0","4,789.0","2,996.0","5,601.0","10,993.0","10,976.0","8,587.0","9,090.0","10,091.0","9,281.0","10,888.0","15,705.0","13,704.0","13,268.0","11,139.0","16,673.0","15,767.0","16,475.0","22,122.0","24,321.0","27,909.0","33,884.0","36,309.0","34,171.0","31,820.0","27,496.0"
"34","16","    Gross value added of financial corporate business \1\","A454RC1","3,980.0","2,918.0","2,414.0","2,139.0","1,899.0","2,015.0","2,216.0","2,540.0","2,588.0","2,757.0","2,880.0","3,026.0","3,274.0","3,444.0","3,801.0","4,021.0","4,244.0","5,073.0","5,334.0","6,071.0","6,784.0","7,305.0","8,218.0","9,223.0","10,225.0","10,781.0","11,753.0","12,906.0","13,835.0","14,682.0","15,885.0","17,496.0","18,410.0","19,256.0","19,651.0","21,582.0","23,162.0","25,136.0","28,115.0","31,324.0","36,199.0"
"35","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","50,409.0","44,856.0","35,059.0","25,394.0","24,656.0","31,110.0","34,511.0","39,710.0","45,233.0","39,700.0","43,883.0","50,447.0","65,785.0","83,071.0","98,789.0","102,264.0","95,489.0","99,351.0","120,617.0","138,409.0","134,744.0","153,097.0","175,708.0","183,368.0","195,932.0","192,859.0","217,733.0","232,700.0","243,103.0","237,126.0","265,986.0","276,366.0","283,733.0","309,760.0","329,895.0","356,075.0","391,228.0","428,983.0","451,150.0","497,802.0","540,461.0"
"36","18","Consumption of fixed capital","B456RC1","4,776.0","4,612.0","4,304.0","3,828.0","3,632.0","3,700.0","3,760.0","3,788.0","4,236.0","4,292.0","4,264.0","4,436.0","4,876.0","5,512.0","5,568.0","5,700.0","5,904.0","6,664.0","8,540.0","9,996.0","10,808.0","11,520.0","13,128.0","13,924.0","14,816.0","15,564.0","16,452.0","18,500.0","20,464.0","21,800.0","22,728.0","23,064.0","23,664.0","24,520.0","25,620.0","27,028.0","29,092.0","31,932.0","35,152.0","38,740.0","42,916.0"
"37","19","Net value added","A457RC1","45,633.0","40,244.0","30,755.0","21,566.0","21,024.0","27,410.0","30,751.0","35,922.0","40,997.0","35,408.0","39,619.0","46,011.0","60,909.0","77,559.0","93,221.0","96,564.0","89,585.0","92,687.0","112,077.0","128,413.0","123,936.0","141,577.0","162,580.0","169,444.0","181,116.0","177,295.0","201,281.0","214,200.0","222,639.0","215,326.0","243,258.0","253,302.0","260,069.0","285,240.0","304,275.0","329,047.0","362,136.0","397,051.0","415,998.0","459,062.0","497,545.0"
"38","20","  Compensation of employees","A460RC1","32,147.0","28,791.0","23,522.0","17,432.0","16,597.0","19,585.0","21,537.0","24,641.0","28,781.0","25,513.0","28,023.0","31,010.0","39,642.0","50,790.0","61,991.0","64,833.0","61,658.0","66,853.0","78,763.0","87,467.0","84,902.0","94,387.0","109,808.0","117,770.0","128,198.0","125,945.0","137,886.0","150,770.0","158,411.0","155,209.0","170,794.0","180,409.0","184,516.0","199,256.0","210,106.0","225,657.0","245,400.0","272,851.0","291,064.0","321,866.0","357,096.0"
"39","21","    Wage and salary accruals","B461RC1","31,763.0","28,419.0","23,183.0","17,139.0","16,324.0","19,277.0","21,207.0","24,059.0","27,562.0","24,183.0","26,588.0","29,469.0","37,755.0","48,561.0","59,278.0","61,781.0","58,611.0","63,608.0","74,759.0","83,441.0","80,689.0","88,948.0","103,053.0","110,547.0","120,353.0","117,730.0","128,511.0","140,085.0","146,487.0","143,301.0","156,935.0","165,053.0","168,575.0","181,160.0","190,566.0","204,546.0","222,158.0","245,240.0","261,618.0","288,123.0","318,844.0"
"40","22","    Supplements to wages and salaries","B462RC1","384.0","372.0","339.0","293.0","273.0","308.0","330.0","582.0","1,219.0","1,330.0","1,435.0","1,541.0","1,887.0","2,229.0","2,713.0","3,052.0","3,047.0","3,245.0","4,004.0","4,026.0","4,213.0","5,439.0","6,755.0","7,223.0","7,845.0","8,215.0","9,375.0","10,685.0","11,924.0","11,908.0","13,859.0","15,356.0","15,941.0","18,096.0","19,540.0","21,111.0","23,242.0","27,611.0","29,446.0","33,743.0","38,252.0"
"41","23","  Taxes on production and imports less subsidies","W325RC1","2,953.0","2,991.0","2,796.0","2,894.0","3,405.0","4,017.0","4,076.0","4,282.0","4,529.0","4,484.0","4,652.0","5,027.0","5,918.0","6,277.0","6,641.0","7,338.0","8,098.0","9,525.0","11,192.0","12,378.0","12,955.0","14,363.0","15,365.0","16,797.0","17,885.0","17,317.0","19,160.0","20,803.0","22,049.0","22,306.0","24,397.0","26,600.0","27,620.0","29,869.0","31,667.0","33,878.0","36,022.0","36,973.0","39,311.0","45,535.0","50,181.0"
"42","24","  Net operating surplus","W326RC1","10,533.0","8,462.0","4,437.0","1,240.0","1,022.0","3,808.0","5,138.0","6,999.0","7,687.0","5,411.0","6,944.0","9,974.0","15,349.0","20,492.0","24,589.0","24,393.0","19,829.0","16,309.0","22,122.0","28,568.0","26,079.0","32,827.0","37,407.0","34,877.0","35,033.0","34,033.0","44,235.0","42,627.0","42,179.0","37,811.0","48,067.0","46,293.0","47,933.0","56,115.0","62,502.0","69,512.0","80,714.0","87,227.0","85,623.0","91,661.0","90,268.0"
"43","25","    Net interest and miscellaneous payments","B471RC1","1,358.0","1,606.0","1,778.0","1,765.0","1,738.0","1,684.0","1,670.0","1,600.0","1,590.0","1,524.0","1,476.0","1,335.0","1,237.0","1,220.0","1,060.0","990.0","942.0","653.0","760.0","824.0","951.0","885.0","1,023.0","1,178.0","1,262.0","1,579.0","1,637.0","1,763.0","2,175.0","2,750.0","2,909.0","3,191.0","3,691.0","4,336.0","4,685.0","5,157.0","5,829.0","7,044.0","8,447.0","9,672.0","12,712.0"
"44","26","    Business current transfer payments (net)","W327RC1","310.0","306.0","337.0","352.0","331.0","319.0","312.0","318.0","326.0","297.0","306.0","317.0","367.0","419.0","494.0","630.0","667.0","480.0","573.0","626.0","619.0","629.0","768.0","868.0","1,005.0","904.0","1,036.0","1,097.0","1,169.0","1,249.0","1,334.0","1,361.0","1,522.0","1,678.0","1,708.0","1,979.0","2,228.0","2,706.0","2,812.0","3,051.0","3,165.0"
"45","27","    Corporate profits with IVA and CCAdj","A463RC1","8,865.0","6,550.0","2,322.0","-877.0","-1,047.0","1,805.0","3,156.0","5,081.0","5,771.0","3,590.0","5,162.0","8,322.0","13,745.0","18,853.0","23,035.0","22,773.0","18,220.0","15,176.0","20,789.0","27,118.0","24,509.0","31,313.0","35,616.0","32,831.0","32,766.0","31,550.0","41,562.0","39,767.0","38,835.0","33,812.0","43,824.0","41,741.0","42,720.0","50,101.0","56,109.0","62,376.0","72,657.0","77,477.0","74,364.0","78,938.0","74,391.0"
"46","28","      Taxes on corporate income","B465RC1","1,149.0","740.0","450.0","345.0","488.0","681.0","863.0","1,257.0","1,359.0","912.0","1,330.0","2,675.0","7,352.0","11,112.0","13,732.0","12,557.0","10,184.0","8,573.0","10,777.0","11,681.0","9,262.0","16,764.0","21,104.0","17,677.0","18,369.0","15,528.0","20,115.0","19,919.0","18,981.0","16,064.0","20,682.0","19,142.0","19,419.0","20,591.0","22,754.0","23,888.0","27,137.0","29,492.0","27,828.0","33,534.0","33,344.0"
"47","29","      Profits after tax with IVA and CCAdj","W328RC1","7,716.0","5,810.0","1,872.0","-1,222.0","-1,535.0","1,124.0","2,293.0","3,824.0","4,412.0","2,678.0","3,832.0","5,647.0","6,393.0","7,741.0","9,303.0","10,216.0","8,036.0","6,603.0","10,012.0","15,437.0","15,247.0","14,549.0","14,512.0","15,154.0","14,397.0","16,022.0","21,447.0","19,848.0","19,854.0","17,748.0","23,142.0","22,599.0","23,301.0","29,510.0","33,355.0","38,488.0","45,520.0","47,985.0","46,536.0","45,404.0","41,047.0"
"48","30","        Net dividends","B467RC1","5,077.0","4,957.0","3,757.0","2,396.0","1,981.0","2,677.0","3,170.0","4,298.0","4,424.0","2,745.0","3,425.0","3,710.0","4,144.0","3,761.0","3,943.0","4,055.0","4,068.0","4,856.0","5,359.0","5,877.0","6,040.0","7,375.0","7,042.0","7,053.0","7,243.0","7,357.0","8,415.0","9,007.0","9,226.0","9,115.0","9,816.0","10,455.0","10,576.0","11,590.0","12,444.0","13,996.0","16,195.0","16,751.0","17,273.0","19,038.0","19,026.0"
"49","31","        Undistributed profits with IVA and CCAdj","W332RC1","2,639.0","853.0","-1,885.0","-3,618.0","-3,516.0","-1,553.0","-877.0","-474.0","-12.0","-67.0","407.0","1,937.0","2,249.0","3,980.0","5,360.0","6,161.0","3,968.0","1,747.0","4,653.0","9,560.0","9,207.0","7,174.0","7,470.0","8,101.0","7,154.0","8,665.0","13,032.0","10,841.0","10,628.0","8,633.0","13,326.0","12,144.0","12,725.0","17,920.0","20,911.0","24,492.0","29,325.0","31,234.0","29,263.0","26,366.0","22,021.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","32","    Profits before tax (without IVA and CCAdj)","A446RC1","10,363.0","4,154.0","361.0","-1,446.0","1,730.0","3,019.0","4,057.0","6,827.0","7,178.0","4,142.0","7,304.0","10,171.0","17,951.0","21,669.0","25,180.0","24,032.0","19,679.0","24,245.0","30,959.0","34,615.0","28,482.0","41,964.0","43,044.0","38,342.0","39,885.0","37,381.0","47,530.0","47,642.0","45,988.0","40,440.0","51,038.0","48,494.0","48,253.0","53,234.0","57,998.0","64,627.0","75,444.0","82,172.0","78,772.0","86,803.0","84,776.0"
"53","33","    Profits after tax (without IVA and CCAdj)","A448RC1","8,994.0","3,312.0","-137.0","-1,831.0","1,209.0","2,275.0","3,106.0","5,418.0","5,676.0","3,113.0","5,863.0","7,337.0","10,341.0","10,254.0","11,106.0","11,083.0","8,990.0","15,141.0","19,691.0","22,194.0","18,279.0","24,039.0","20,485.0","18,943.0","19,598.0","19,757.0","25,489.0","25,649.0","24,565.0","21,476.0","27,311.0","25,712.0","25,363.0","29,139.0","31,627.0","36,472.0","44,379.0","48,291.0","45,873.0","47,175.0","44,799.0"
"54","34","    Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"55","35","    Capital consumption adjustment","A059RC1","-411.0","-193.0","63.0","163.0","143.0","-72.0","-131.0","-149.0","-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0"
"56",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","36","    Profits before tax (without IVA and CCAdj)","A464RC1","8,712.0","3,404.0","-221.0","-2,133.0","918.0","2,454.0","3,476.0","5,932.0","6,309.0","3,172.0","6,323.0","9,054.0","16,720.0","20,311.0","23,697.0","22,286.0","17,907.0","22,052.0","29,019.0","31,869.0","25,182.0","38,656.0","39,319.0","33,929.0","35,042.0","32,271.0","42,200.0","41,966.0","39,990.0","33,990.0","43,431.0","40,063.0","39,927.0","44,640.0","49,703.0","55,874.0","66,142.0","71,435.0","67,580.0","74,006.0","71,186.0"
"58","37","    Profits after tax (without IVA and CCAdj)","A466RC1","7,563.0","2,664.0","-671.0","-2,478.0","430.0","1,773.0","2,613.0","4,675.0","4,950.0","2,260.0","4,993.0","6,379.0","9,368.0","9,199.0","9,965.0","9,729.0","7,723.0","13,479.0","18,242.0","20,188.0","15,920.0","21,892.0","18,215.0","16,252.0","16,673.0","16,743.0","22,085.0","22,047.0","21,009.0","17,926.0","22,749.0","20,921.0","20,508.0","24,049.0","26,949.0","31,986.0","39,005.0","41,943.0","39,752.0","40,472.0","37,842.0"
"59","38","    Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"60","39","    Capital consumption adjustment","B470RC1","-319.0","-114.0","129.0","209.0","178.0","-24.0","-93.0","-113.0","-507.0","-545.0","-447.0","-532.0","-504.0","-254.0","111.0","774.0","877.0","-1,613.0","-2,331.0","-2,599.0","-2,529.0","-2,378.0","-2,504.0","-2,079.0","-1,279.0","-403.0","1,098.0","494.0","384.0","77.0","670.0","1,851.0","2,522.0","5,435.0","6,352.0","6,996.0","7,760.0","8,149.0","8,338.0","8,583.0","9,075.0"
"61",NA,"  Value added, in millions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
