"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137"
"11","3","A   Durable goods manufacturing industries","KS30D0",249555,250871,250837,252990,254263,254940,256782,258125,258712,260327,259991,261952,264324,267053,269251,271112,272582,274129,274555,276197,277299,279138,279764,279874,277965,279451,282041,281427,282541,282027,283764,283106,284333,284120,286162,288423,286881,287813,287107,288915,288425,290818,291194,292325,291655,293341,295369,295680,298046,297862,294589,294535,292901,290528,288620,286701,283797,282746,280569,277476,276236,275343,273084,272220,271197,270208,269707,269462,269182,268984,268309,270654,268902,271223,269580,269055,268350,265638,264106,263299,262174,263362,262121,264215,263424,263104,263093,262768,262734,263788,264702,265199,264346,264791,266038,265855,268910,270430,271424,271291,272482,272105,274961,274685,274527,275339,276591,276894,276415,274843,276237,277432,277527,277591,278975,278469,280517,282034,282147,282943,283920,283763,283131,283050,282170,281266,281073,280635,281619,282734,284368,286733,287550,287532
"12","4","A     Wood product manufacturing","KS3210",8273,8316,8296,8308,8281,8343,8426,8581,8725,8829,8832,8805,8677,8692,8674,8738,8841,8754,8791,8865,8982,9138,9294,9276,9432,9484,9504,9443,9504,9536,9686,9557,9396,9442,9561,9810,9945,9889,9859,9939,9771,9855,9910,9887,9848,10005,10043,10099,10022,9980,9885,9864,9937,10092,10042,10034,10055,9988,9903,9725,9953,9896,10079,10009,10146,10044,9966,9974,10032,10027,10081,10054,10142,10232,10117,10108,9977,9878,9824,9736,9675,9798,9915,9924,10006,10220,10473,10600,10625,10454,10443,10530,10745,10547,10684,10622,11220,11271,11502,11385,11308,11252,11217,11175,11102,11198,11175,11326,10972,10928,10736,10750,10798,10877,10829,10868,10773,10560,10360,10246,10167,9999,9858,9744,9690,9695,9746,9688,9596,9575,9529,9581,9495,9146
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9634,9679,9684,9765,9821,9881,9816,9783,9776,9667,9716,9736,9727,9755,9806,9766,9800,9785,9765,9730,9765,9768,9845,9787,9827,9800,9742,9681,9792,9719,9766,9981,9979,10094,10045,10121,10182,10176,10016,10142,10081,10078,10097,10081,10102,10050,10118,10271,10244,10172,10239,10205,10126,10142,10112,9963,10002,9957,9913,9801,9736,9694,9675,9624,9573,9658,9645,9747,9743,9796,9802,9866,9820,9999,10097,10119,10197,10214,10225,10142,10121,9920,9639,9605,9602,9622,9600,9572,9617,9548,9537,9594,9574,9745,9783,9735,9797,9863,9835,9811,9810,9834,9877,9827,9712,9584,9548,9653,9751,9751,9779,9910,9873,9904,9982,10028,10175,10242,10291,10314,10220,10217,10192,10166,10092,9996,9931,9919,9954,9930,9918,9977,9938,9886
"14","6","A     Primary metal manufacturing","KS3310",19068,19243,19527,19418,19475,19498,19580,19762,19712,19828,19927,20205,20401,20360,20412,20632,20779,20944,21216,21469,21646,21621,21711,21812,21886,21931,21746,21777,22029,21915,22012,21990,21836,21922,22111,22273,22503,22448,22392,22610,22673,22606,22759,22502,22305,22168,22019,21863,21894,21816,21576,21554,21259,20896,20733,20520,20464,20345,20210,20047,19849,19711,19443,19390,19223,19271,19239,19396,19404,19482,19633,19686,19662,19714,19523,19379,19222,18560,18285,18154,17781,17523,17521,17316,17160,16933,16896,16859,16953,17233,17239,17412,17587,18098,18297,18435,19000,19305,19860,19986,20211,20265,20341,20228,19886,19646,19503,19500,19622,19717,19616,19676,19752,19598,19701,19885,20411,20712,20691,20717,20603,20436,20426,20312,20117,20285,20234,20158,20044,19827,19684,19658,19580,19471
"15","7","A     Fabricated metal product manufacturing","KS3320",29505,29548,29668,29791,29819,30151,30088,30139,30231,30340,30471,30825,30742,31020,31020,31339,31349,31941,31745,31907,32016,32005,32125,32087,32214,32018,32079,32245,32363,32163,32377,32377,32529,32765,32920,33039,33128,33112,32864,33113,33470,33833,33776,33885,33773,33793,33840,33675,33897,33859,33734,33881,33879,33642,33465,33458,33385,33384,33076,32570,32550,32443,32385,32448,32232,32142,32179,32302,32368,32308,32338,32286,31981,33458,33599,32959,32951,32721,32293,32142,31935,31991,31830,31516,31267,31190,31007,30656,30669,30626,30828,31017,30955,30837,30891,31220,31408,31706,31889,32114,32403,32298,32431,32390,32354,32328,32481,32431,32608,32555,32617,32642,32540,32557,32469,32437,32577,32719,32735,32981,33096,33038,32923,32746,32464,32153,32104,31889,32175,32437,32593,32709,32586,32360
"16","8","A     Machinery manufacturing","KS3330",35898,35609,35618,36238,36349,36531,36557,36478,36359,36631,36523,36794,36908,37600,37751,37584,37570,37640,37920,38187,38406,38174,38324,37962,38177,37915,38168,38259,38224,37941,37974,37720,37773,38138,38253,38416,38498,38607,38160,39072,38594,39086,39407,39799,39766,40338,40342,41063,41292,41090,41150,40852,40266,39919,39268,38856,38421,37958,37321,36873,36567,36496,36510,36098,35902,35495,35441,35264,35102,34922,34814,35212,34573,34602,34004,34027,33765,33332,33071,32826,32776,33107,32816,33347,33260,33293,33214,32954,32977,33085,33106,33135,32936,32659,32996,32939,33352,33472,33452,33687,33983,34011,34708,35004,35078,34896,34978,35004,35254,35085,35358,35510,35612,35432,35350,35319,35779,35875,35537,36277,36482,36692,36589,36622,36472,36468,36580,36627,37001,37259,37261,37478,37724,37828
"17","9","A     Computer and electronic product manufacturing","KS3340",44487,44869,45170,45906,46648,47066,48561,49074,49423,49870,50278,50593,50999,51512,52111,52331,52369,52137,51784,51752,51794,52065,51807,51323,50873,51756,53143,53423,53683,54039,54093,54688,55126,54650,54908,56091,55529,56099,56550,57696,59011,60383,61453,62605,62263,64080,66061,67266,69077,69837,67976,67424,67099,66728,66284,65426,62824,62129,62217,60066,60166,59672,59273,59121,58651,57645,57882,57597,57632,57575,57628,57005,56539,56790,56290,56092,55734,55275,55356,55298,55598,56610,56949,58437,57648,57611,58525,59079,59187,60019,60261,60312,60365,61065,60795,60969,61513,61162,60512,60165,60435,60359,61122,61129,61429,62005,62946,63099,64245,63366,64840,65320,65581,66023,66588,67160,67111,67410,67845,67749,68084,67902,67601,67409,67442,67234,66654,66788,67105,67526,68009,68463,68668,69072
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12593,12700,12722,12974,13138,13235,13397,13375,13374,13348,13366,13305,13412,13454,13530,13415,13343,13340,13423,13524,13529,13660,13750,13806,13702,13659,13695,13818,13865,13866,13830,13754,13912,13938,13938,13796,13887,13863,13680,13779,13891,13951,14043,14282,14256,14378,14324,14604,14601,14688,14665,14628,14478,14295,13963,14007,13881,13921,13783,13661,13586,13572,13528,13616,13611,13591,13595,13549,13511,13456,13505,13357,13355,13270,13212,13195,13174,13043,12934,12888,12801,12815,12856,12872,12833,12607,12597,12488,12576,12635,12717,12841,12774,12628,12537,12519,12522,12493,12539,12590,12525,12470,12462,12401,12489,12458,12403,12456,12601,12573,12661,12608,12429,12493,12565,12679,12479,12516,12567,12831,12762,12751,12708,12728,12584,12488,12568,12538,12491,12712,12868,12960,13080,13115
"19","11","A     Transportation equipment manufacturing","KS3360",69395,70171,69327,69854,69869,69109,69327,69647,69791,70332,69172,69798,71570,72662,73739,74953,76147,77314,77421,78397,78756,80414,80514,81590,79536,80371,81266,79870,80073,79867,81063,80086,80637,79984,81151,81363,79502,79859,79729,78544,76789,76762,75427,74627,74594,73766,73821,72238,72247,71505,70600,71465,71279,70288,70269,70063,70291,70667,69811,70419,69694,69698,68119,67787,67608,67867,67199,67086,66831,67026,66145,68557,67918,68111,67416,67931,67991,67328,66630,66633,66457,66617,65757,66339,66718,66796,66230,66475,65980,66029,66424,66162,65298,64850,65661,64989,65652,66486,66921,66289,66540,66057,66949,66331,66407,67427,67787,67783,66001,65478,65627,66133,66266,66358,67041,65660,66311,66916,67144,66565,67232,67409,67606,68376,68561,68296,68510,68542,68729,68909,70024,71668,72363,73001
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22466,22824,22857,23210,23588,22916,23082,23063,23447,23058,22795,22823,23024,23191,23643,23262,23226,23464,22912,22720,23037,23137,23810,23981,23811,23780,24737,24185,24319,24637,24736,24814,24606,24903,25522,25635,25676,25889,25497,25666,25814,25792,25788,25884,25880,25928,25814,25455,25324,25096,24656,25025,24720,24534,24256,24076,23808,23654,23196,22983,22753,22644,22856,23209,23363,23549,23773,23642,24005,23997,23894,24003,24031,24447,23909,24179,24129,23969,24103,24313,24114,24037,24050,24352,24971,25031,25121,24961,24778,25064,24888,24903,25129,24801,24871,24454,24928,25068,25423,25392,25333,25392,25082,25166,24731,25121,25092,24664,24589,24466,24495,24572,24515,24409,24474,24349,24175,24323,24583,24464,24682,24689,24354,24116,23957,23515,23550,23385,23245,23171,22973,22929,22705,22416
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46897,47311,46424,46593,46219,46143,46192,46534,46284,47231,46330,46934,48515,49441,50059,51678,52919,53852,54530,55708,55739,57302,56716,57619,55730,56598,56535,55690,55760,55234,56333,55274,56036,55085,55631,55731,53826,53968,54232,52877,50973,50968,49639,48745,48717,47842,48011,46786,46926,46411,45944,46440,46558,45753,46011,45984,46479,47006,46606,47421,46920,47022,45257,44590,44261,44332,43451,43460,42854,43049,42272,44556,43893,43680,43513,43760,43867,43365,42543,42341,42359,42592,41727,42010,41787,41805,41154,41553,41243,41008,41575,41298,40212,40088,40828,40569,40757,41454,41531,40927,41238,40695,41902,41199,41711,42339,42731,43170,41444,41043,41162,41593,41786,41989,42615,41341,42185,42645,42606,42142,42594,42766,43311,44339,44693,44885,45066,45272,45606,45865,47200,48916,49857,50809
"22","14","A     Furniture and related product manufacturing","KS3370",7119,7121,7101,7084,7256,7245,7291,7191,7192,7162,7174,7227,7218,7274,7297,7371,7425,7346,7360,7349,7356,7389,7397,7384,7442,7478,7500,7470,7489,7533,7574,7591,7523,7647,7629,7729,7792,7841,7864,7876,7937,8002,7981,8087,8085,8043,8101,7963,8065,8088,8093,8073,8023,7975,7914,7813,7846,7767,7758,7557,7587,7555,7500,7499,7571,7643,7695,7715,7743,7715,7847,7873,8050,7994,8056,8056,8067,8066,8147,8006,7819,7783,7738,7658,7706,7657,7552,7627,7629,7678,7721,7749,7720,7800,7747,7813,7785,7796,7772,7786,7815,7841,7874,7901,7977,7903,8017,8036,8002,7972,8093,8052,8013,8052,8011,8041,8068,8133,8157,8078,8140,8142,7976,7879,7847,7784,7740,7700,7689,7700,7688,7653,7608,7550
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14242,14234,14237,14120,13970,14179,13822,14115,14114,14273,14390,14519,14552,14625,14808,14886,14892,14913,15154,15072,15112,14979,15100,14995,15034,15157,15243,15477,15562,15466,15412,15366,15627,15558,15667,15773,15892,15889,15952,16085,16151,16198,16280,16508,16603,16671,16668,16626,16713,16846,16666,16571,16538,16522,16536,16523,16575,16571,16529,16672,16483,16528,16530,16599,16646,16772,16817,16774,16774,16628,16505,16630,16735,16904,17096,16989,17030,16983,17142,17287,17086,17197,17198,17472,17422,17424,17414,16983,17054,17099,17071,17051,17001,17168,17146,17090,17047,17054,17023,17224,17147,17396,17721,18079,18023,18030,18113,18000,17930,17762,17614,17615,17517,17340,17582,17576,17732,17744,17718,17938,18026,18096,18120,17979,18005,17893,17904,17799,17936,18123,18242,18165,18205,18021
"24","16","A   Nondurable goods manufacturing industries","KS30N0",162298,162227,163113,163824,164416,164779,164365,165430,166370,167598,168413,169003,168940,169620,169986,169757,169831,169843,170406,169781,169398,169647,170752,169352,170031,169934,170611,171503,172679,172725,173066,173620,174407,175423,176756,177841,178265,178573,178485,178921,179036,179770,180385,179690,179813,179726,179444,178466,178553,177709,177444,177138,176632,175546,175391,175022,175076,174987,174867,175332,174875,174355,176037,176059,175618,176049,176707,177158,177899,177748,177171,176279,176211,177508,176767,177041,176624,176888,176410,176733,176131,175411,175328,173262,173051,174002,174151,173993,174597,174957,175295,175509,174149,174116,174978,174180,176215,176342,176528,176400,175080,175987,176188,175347,174658,174780,173691,175197,177229,176255,176665,177201,177518,178372,177815,178089,177876,176543,176351,175309,174378,174165,173974,174008,174506,174655,174503,173991,175069,173750,173493,172728,175093,174986
"25","17","A     Food manufacturing","KS3110",30597,30775,30950,30971,31000,31313,31290,31429,31492,31674,31788,31937,32151,32348,32140,32105,32039,32040,31997,31802,31899,31896,31902,32049,32366,32392,32517,32696,32731,32717,32836,32729,33182,33388,33641,33679,34000,34242,34550,34285,34260,34207,34210,34179,34119,33846,33974,34159,34053,33935,33871,33890,33902,33847,33892,33691,33517,33272,33615,33848,34042,34065,33951,34301,34392,34579,34584,34627,34577,34553,34563,34204,34123,34217,34214,33954,34166,33932,33754,33764,33658,33781,33803,33244,33217,33151,33169,32805,32755,32662,32750,32660,32612,32417,32266,32363,32126,32138,32159,32560,32325,32331,32447,32424,32448,32225,32172,32100,32523,32547,32498,32477,32451,32572,32556,32577,32765,33093,33210,33238,33059,32894,32711,32738,32847,32777,32972,33165,33095,32546,32275,32131,32109,31934
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11533,11400,11352,11566,11605,11586,11740,11825,11921,12083,12218,12154,12445,12270,12382,12162,12105,12005,12055,11779,11835,12156,12200,12074,11962,12102,11836,11925,12003,11846,11665,11682,11478,11661,11613,11908,12006,12112,12037,12019,11976,12062,12003,11986,12119,12028,12058,11798,11762,11788,11984,12006,12070,11997,12271,12292,12287,12205,12214,12364,12429,12341,12535,12344,12449,12596,12374,12452,12668,12510,12338,12400,12242,12233,12138,12405,12300,12222,12243,12119,12087,12172,12276,11996,11963,12154,11983,12016,12002,12249,12144,12622,12591,12253,12175,12105,12255,12123,12049,12134,12133,12062,12184,12070,11925,12211,12248,12172,12116,12047,11865,11856,11760,11666,11655,11702,11593,11599,11575,11611,11596,11577,11627,11695,11776,11758,11727,11606,11519,11542,11513,11496,11583,11680
"27","19","A     Textile mills","KS3130",6744,6715,6726,6763,6724,6722,6711,6753,6704,6707,6662,6684,6696,6754,6762,6740,6784,6757,6809,6754,6798,6795,6792,6813,6815,6802,6775,6771,6767,6824,6813,6801,6849,6800,6881,7001,6871,6823,6839,6820,6783,6772,6732,6712,6663,6685,6663,6578,6548,6511,6432,6452,6436,6382,6314,6262,6222,6126,6061,5961,5775,5767,5706,5590,5600,5577,5603,5665,5631,5654,5598,5683,5720,5741,5778,5807,5825,5860,5813,5787,5816,5732,5723,5678,5640,5620,5643,5639,5621,5590,5589,5577,5561,5525,5531,5500,5477,5439,5386,5380,5385,5363,5324,5251,5278,5302,5296,5344,5346,5316,5338,5269,5156,5224,5203,5205,5248,5129,5068,5059,4983,4957,4866,4814,4774,4801,4788,4816,4822,4808,4787,4790,4770,4746
"28","20","A     Textile product mills","KS3140",3491,3529,3562,3602,3640,3690,3711,3729,3762,3756,3785,3801,3812,3827,3788,3758,3736,3685,3662,3665,3640,3598,3578,3581,3501,3551,3654,3702,3729,3792,3798,3812,3823,3904,3898,3924,3953,3977,4033,4068,4155,4212,4248,4245,4293,4285,4337,4341,4339,4354,4350,4354,4305,4315,4290,4336,4362,4411,4454,4509,4348,4216,4089,4055,4007,3940,3903,3812,3738,3628,3497,3425,3499,3522,3500,3519,3509,3482,3482,3507,3460,3439,3501,3553,3527,3512,3522,3542,3518,3521,3531,3527,3572,3563,3550,3512,3625,3652,3660,3627,3632,3616,3579,3599,3579,3616,3557,3665,3642,3631,3619,3623,3599,3658,3691,3674,3665,3642,3589,3543,3528,3509,3464,3423,3462,3437,3410,3395,3393,3381,3381,3371,3380,3358
"29","21","A     Apparel manufacturing","KS3150",8107,8093,8082,8188,8281,8384,8459,8539,8522,8585,8511,8506,8450,8441,8491,8452,8356,8347,8338,8338,8397,8436,8443,8446,8285,8352,8439,8459,8582,8666,8760,8894,9000,8935,8892,9086,9084,8965,8925,8838,8795,8744,8791,8730,8687,8710,8819,8804,8855,8737,8569,8475,8404,8320,8102,7938,7738,7558,7401,7183,7047,6937,6828,6787,6724,6775,6833,6876,6976,7030,7055,7139,7258,7317,7360,7450,7454,7383,7462,7337,7274,7182,7141,7152,7064,6910,6915,6858,6840,6897,6942,6961,6987,7005,7008,6975,7085,7083,7051,7063,7033,7004,6934,6914,6872,6845,6708,6659,6651,6613,6597,6566,6550,6512,6543,6565,6182,6205,6259,6268,6230,6229,6204,6252,6261,6349,6502,6373,6378,6398,6353,6315,6334,6355
"30","22","A     Leather and allied product manufacturing","KS3160",1574,1573,1551,1597,1617,1628,1624,1620,1623,1642,1630,1662,1685,1694,1698,1728,1735,1717,1720,1726,1713,1713,1733,1686,1657,1647,1647,1625,1626,1666,1659,1660,1682,1688,1695,1696,1685,1691,1682,1683,1667,1655,1653,1649,1643,1647,1636,1594,1597,1581,1588,1549,1505,1461,1454,1466,1476,1480,1472,1427,1384,1371,1322,1278,1297,1309,1335,1344,1317,1380,1366,1353,1350,1271,1255,1218,1234,1235,1206,1193,1223,1239,1260,1295,1277,1269,1266,1269,1259,1249,1245,1229,1227,1243,1250,1276,1296,1292,1301,1319,1317,1318,1308,1325,1332,1327,1339,1331,1321,1241,1236,1227,1234,1252,1259,1270,1279,1278,1274,1281,1293,1294,1292,1289,1286,1290,1297,1298,1287,1292,1287,1264,1278,1273
