"","Table 7#3#6# Real Farm Sector Output, Real Gross Value Added, an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/6/2014 2:32:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Farm output","A2000X1",272.7,276.2,272.2,271.1,279,287.1,290.5,292.5,292.1,290.4,301.2,304.5,292.3,291.5,301.4
"9","2","  Cash receipts from farm marketings","A2001X1",262.6,268,259.1,264,265.5,262.7,275.8,279.5,278.3,275.1,289.8,298.4,278,283.5,281.1
"10","3","    Crops","B1005X1",150.1,153.5,145.6,146.7,150.4,148.6,160.4,162.1,160.2,154,169.5,177.4,155.8,160.9,157.9
"11","4","    Livestock","B1006X1",112.6,114.6,112.9,116.2,114.6,113.6,116.1,118,118.4,121,120.3,121.2,121.6,122,122.6
"12","5","  Farm products consumed on farms","B1008X1",0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"13","6","  Other farm income","B1009X1",14.1,12.5,14,13.3,14.2,15.6,15.2,16.7,13.7,13.2,12.7,12.3,12.3,13.5,11.3
"14","7","  Change in farm finished goods inventories","W248RX1",-2.5,-2.9,0.9,-5.1,0.4,9.1,-0.1,-3.8,-0.7,1.6,-1.7,-6.5,1.6,-5.2,7.2
"15","8","    Crops","B1010X1",-1.8,-2.5,1.8,-5,1.6,11,-2.2,-5.3,-0.3,2.9,-1,-5.9,3,-4.3,8.7
"16","9","    Livestock","B1011X1",-0.8,-0.7,-0.5,-0.7,-0.9,0.5,1.2,0.4,-0.4,-1.4,-0.7,-0.8,-1.1,-0.9,-0.9
"17","10","Less: Intermediate goods and services consumed","A2003X1",213.4,197.6,202,196,192.3,192.1,188,189.1,209.6,196.5,191.4,193,186.8,193.8,186.1
"18","11","  Other than rent","W249RX1",199.1,186.8,190.5,185.8,184,183.9,180.1,180.6,201.6,187.3,182.1,181.6,176.7,181.7,173.1
"19","12","    Intermediate goods and services purchased, other than rent","B1012X1",197.2,187.7,189.6,187.7,183.7,183.6,180.5,180.2,201.3,186.8,182.2,181,176.4,181.3,173.6
"20","13","    Less: Change in farm materials and supplies inventories","W250RX1",-1.9,1,-0.9,1.9,-0.3,-0.3,0.4,-0.4,-0.3,-0.5,0.1,-0.5,-0.3,-0.4,0.5
"21","14","  Rent paid to nonoperator landlords","B1013X1",13.3,10.4,11,9.8,8.2,8.2,7.9,8.5,8.1,9.2,9.3,11.4,10.1,12.1,12.9
"22","15","Equals: Gross farm value added","B359RX1",70.7,83.9,77.7,80.9,89.8,96.1,101.6,102.4,86.2,94.7,109.8,111.5,105.7,99.7,113.9
"23","16","Less: Consumption of fixed capital","B366RX1",28.8,28.7,28.7,28.9,29.4,30.2,31.2,32,32.6,33.4,34.2,35.1,34.4,35.3,36.1
"24","17","Equals: Net farm value added","A365RX1",43.6,56.1,50.2,53.1,61.1,66.1,70.5,70.6,54.8,61.8,75.6,76.4,71.7,66,77.8
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Change in farm inventories \1\","B018RX1",-4.2,-2,0.1,-3.5,0.1,9,0.3,-4.2,-0.9,1.1,-1.6,-7,1.4,-5.6,7.6
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
