"","Table 6#10C# Employer Contributions for Government Social Insura","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 11:57:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Employer contributions for social insurance","B039RC0",166260,184633,193673,206451,215132,228398,239679,254139,264120,274805,289593,307237,323339,345220
"9","2","Domestic industries","B4802C0",166260,184633,193673,206452,215132,228398,239679,254139,264120,274805,289593,307237,323339,345220
"10","3","  Private industries","B4803C0",143484,157937,164752,174512,180270,190671,200459,213620,222988,233038,246372,262637,276574,295929
"11","4","    Agriculture, forestry, and fishing","B4804C0",1409,1604,1820,2100,2157,2304,2285,2303,2332,2269,2258,2265,2277,2448
"12","5","    Mining","B4805C0",1983,2163,2120,2226,2241,2161,2331,2330,2282,2242,2223,2222,2108,2212
"13","6","    Construction","B4806C0",10701,11762,12130,12515,11866,11809,11976,13384,14472,15565,16851,18368,20419,22110
"14","7","    Manufacturing","B4807C0",40311,43674,44430,45512,46341,47988,51595,52975,53284,53627,54753,56382,57382,60172
"15","8","      Durable goods","B4808C0",25418,27549,27932,28268,28415,29217,31386,32611,33149,33637,34693,36070,36882,38876
"16","9","      Nondurable goods","B4809C0",14894,16125,16498,17244,17926,18771,20209,20364,20136,19990,20061,20312,20500,21296
"17","10","    Transportation and public utilities","B4810C0",13526,14587,15017,16004,16604,17110,17861,18409,18725,19261,19942,20988,22311,23560
"18","11","      Transportation","B4811C0",8358,9108,9380,9905,10206,10457,10811,11070,11208,11516,11855,12451,12960,13460
"19","12","      Communications","B4812C0",2929,3080,3105,3412,3523,3635,3916,4115,4251,4404,4632,4925,5594,6115
"20","13","      Electric, gas, and sanitary services","B4813C0",2239,2399,2532,2687,2874,3018,3135,3224,3266,3341,3454,3612,3757,3985
"21","14","    Wholesale trade","B4814C0",11972,13331,14070,14619,15090,15854,16357,16735,16820,16964,17373,17967,18819,20003
"22","15","    Retail trade","B4815C0",18035,19692,20316,21139,21973,23293,24791,26662,27967,29323,31062,33171,34745,36805
"23","16","    Finance, insurance, and real estate","B4816C0",12312,13575,13854,14722,15465,17097,18058,18503,18668,18951,19536,20322,21426,22997
"24","17","    Services","B4817C0",33234,37550,40994,45675,48533,53055,55205,62318,68438,74836,82375,90952,97087,105622
"25","18","  Government","B4818C0",22776,26696,28921,31940,34862,37727,39220,40519,41132,41767,43221,44600,46765,49291
"26","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
