"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:19:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Private fixed investment","B007RA3",30.042,29.426,31.446,35.032,38.035,35.92,32.397,35.582,40.407,45.088,47.685,44.85,46.055,42.976,46.212,53.693,56.649,57.674,58.03,59.945,61.846,60.955,57.819,60.986,65.663,71.036,75.378,82.06,89.128,98.245,106.922,114.343,112.555,108.662,113.023,120.644,128.892,131.436,128.825,120.087,100,101.504,107.947,116.899,122.387
"9","2","Nonresidential","B008RA3",21.846,21.652,21.642,23.528,26.64,26.858,24.44,25.821,28.601,32.554,35.806,35.813,38.01,36.648,36.486,42.568,45.376,44.594,44.634,46.867,49.52,50.055,48.09,49.494,53.201,57.401,62.965,68.695,76.09,84.273,92.449,100.871,98.467,91.708,93.428,98.281,105.143,112.618,119.282,118.428,100,102.471,110.335,118.263,121.865
"10","3","  Structures","B009RA3",71.777,71.975,70.799,73.001,78.971,77.272,69.157,70.832,73.744,84.387,95.087,100.652,108.721,106.943,95.387,108.686,116.407,103.654,100.671,101.336,103.346,104.867,93.199,87.577,87.34,88.941,94.607,99.969,107.305,112.803,112.929,121.74,119.895,98.708,94.895,94.502,96.125,103.03,116.164,123.271,100,83.585,85.509,96.703,96.227
