"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 12:57:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross saving","A929RC1",20.1,15.8,9.1,4,3.9,7,10.4,12.3,17.1,12.7,14.6,19.5,31.1,41.6,47,42.8,32.6,41.5,49.3,61.5,49.6,64.9,79.8,79.9,82,80.8,96.4,109.6,111.8,103.8,120.1,127,131.7,143.5,154.2,166,182.9,196.4,200.4,214.5,233.1
"9","2","Net saving","W201RC1",9.7,5.6,-0.4,-4.3,-4.1,-1.4,1.9,3.6,7.4,2.7,4.5,8.9,19.1,26.7,29,21.5,9.4,15.8,20.1,30.1,17.2,31.5,42,39.3,38.5,34.8,47.5,55.4,52.9,41.3,54.7,59.1,61.1,69.4,76.2,83.6,94.9,101.1,96.9,101.2,108.2
"10","3","  Net private saving","W202RC1",7.6,4.5,1.2,-3.2,-3.1,0.1,3.2,5.1,5.8,2.8,5.3,8.3,16.9,37,45,49.8,40.3,23.1,17.6,29.2,25.3,29.3,36,39.5,40.4,40.7,45.9,51.1,52.9,52.2,56.4,56.4,63.5,71.3,74.6,86.2,96.3,102.9,111.7,110.7,109.2
