"","Table 2#5#3# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:47:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERA3",7.931,7.506,7.272,6.621,6.475,6.937,7.358,8.107,8.407,8.272,8.735,9.188,9.837,9.604,9.871,10.152,10.78,12.121,12.353,12.632,12.983,13.816,14.032,14.475,15.165,15.484,16.627,17.113,17.536,17.688,18.691,19.203,19.599,20.569,21.416,22.691,24.13,25.496,26.257,27.765,28.803
"9","2","Household consumption expenditures \1\","DPHCRA3",8.117,7.668,7.421,6.755,6.616,7.106,7.546,8.325,8.641,8.494,8.975,9.438,10.114,9.864,10.131,10.411,11.064,12.457,12.713,13.001,13.367,14.234,14.461,14.903,15.618,15.943,17.131,17.621,18.059,18.204,19.382,19.888,20.297,21.307,22.186,23.49,24.983,26.407,27.189,28.752,29.84
"10","3","  Food and beverages purchased for off-premises consumption","DFXARA3",20.833,20.32,20.217,18.757,19.603,21.512,22.611,25.702,26.413,26.986,27.341,28.486,29.419,29.276,28.511,29.745,31.35,35.133,35.14,34.858,35.043,35.789,35.979,36.963,38.371,39.406,41.308,42.681,43.698,43.879,45.695,46.022,46.663,46.973,47.357,48.97,51.421,53.428,54.65,57.073,58.647
