"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 11:58:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",743.6,774,742.3,756.2,850.7,881,910.1,986.8,988.2,1028.9,1076.4,1132.1,1238.7,1266.8,1325.7,1302.2,1427.8,1446,1474.3,1562.9,1627.4,1649.2,1693.5,1615.9,1530.9,1596.9,1518.1,1470,1383.4,1367.6,1371.3,1017.9,1259,1301,1463.3,1564.7,1658.5,1666.4,1814,1846.7,1677.4,1790,1826.6,1972.5,1977.9,2024.8,2041,2047.6,2039.4,2103.6,2140.7,2143.8,1942.1,NA
"10","2","Domestic industries","A445RC1",582.9,602.4,595,554.3,691.2,734.3,752.6,815.6,837.9,868.8,912.1,940.2,1025.5,1069.6,1110.5,1107.7,1193.7,1213,1221.7,1326.2,1381.1,1394.5,1443.2,1342.6,1244.3,1274.1,1142.1,1042,965.3,948.9,931.8,667.5,904.3,974,1086.6,1194.2,1260.8,1271.8,1429.4,1442.9,1270.6,1381.3,1392.3,1534.7,1569.3,1619.8,1649.6,1645.1,1653.3,1710.5,1731.1,1720.3,1544.6,NA
"11","3","  Financial \1\","N587RC1",182.4,194.9,204.1,225.3,267,281.8,282.5,288.8,301,300.5,309.9,313.9,329.9,330.4,335.5,348.8,379.5,338.1,386.6,366.6,388.2,401.5,365,346.6,282.4,294,279.9,187.6,176.8,157.8,23.3,-101.5,209.8,318.7,389,369.3,344.4,320.9,379,428.7,350,336.8,317.1,419.1,431.9,433.6,487,453.6,463,482.2,510,504.9,418.7,NA
"12","4","  Nonfinancial","N463RC1",400.5,407.4,390.9,328.9,424.2,452.4,470.1,526.8,537,568.3,602.2,626.3,695.6,739.2,774.9,759,814.1,874.8,835.1,959.6,992.9,993,1078.2,996,962,980,862.2,854.3,788.6,791.1,908.5,769,694.5,655.3,697.6,824.9,916.4,951,1050.4,1014.2,920.6,1044.5,1075.3,1115.6,1137.5,1186.2,1162.6,1191.5,1190.4,1228.3,1221.1,1215.5,1125.9,NA
"13","5","Rest of the world","B394RC1",160.7,171.7,147.3,201.9,159.5,146.8,157.5,171.3,150.2,160.1,164.3,191.9,213.2,197.2,215.2,194.5,234.1,233,252.5,236.7,246.3,254.7,250.3,273.3,286.6,322.8,376.1,428.1,418.1,418.7,439.5,350.4,354.7,327,376.7,370.4,397.7,394.6,384.6,403.8,406.8,408.7,434.3,437.8,408.6,405,391.4,402.4,386.1,393.1,409.6,423.5,397.5,NA
"14","6","  Receipts from the rest of the world","B933RC1",191.9,187,176.8,177.5,192.5,203.1,218.1,207.4,230.5,237.3,251.3,281.1,314.7,323.1,332.7,342.2,373.2,374.4,383.8,403.4,410,435.4,440.5,449.2,465.4,498.5,528.4,549.4,599.5,619,600.9,508.6,465.3,466.6,513.3,547,565.8,577,584.2,611.5,625.8,644.6,661.9,645,650.2,638.2,638.7,650.3,638.1,649.6,662.9,677.6,668.7,NA
"15","7","  Less: Payments to the rest of the world","B934RC1",31.2,15.3,29.5,-24.4,32.9,56.4,60.7,36.1,80.3,77.3,87,89.1,101.5,125.9,117.5,147.7,139.1,141.3,131.3,166.7,163.6,180.7,190.2,175.9,178.8,175.7,152.3,121.4,181.4,200.2,161.3,158.2,110.7,139.6,136.7,176.6,168.1,182.4,199.6,207.6,219,235.9,227.6,207.2,241.6,233.3,247.3,247.8,252,256.6,253.4,254.1,271.2,NA
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",701,735.8,687.1,670.8,732.2,763.5,799.8,884.8,903.2,925.1,975.6,1035.7,1156.1,1192.7,1260.7,1251.1,1552.2,1583.4,1622.4,1726.7,1781.3,1812.9,1867.3,1801.5,1706.4,1777.5,1699.7,1651.9,1435.7,1423.9,1436.5,1085.8,1352.8,1382.7,1537.9,1643.5,1754.9,1767.8,1868.5,1807.5,1603.8,1717.1,1748.8,1884.3,2088.6,2130.7,2141.8,2145.3,2167.3,2235,2273.7,2278.6,2272.6,NA
"17","9","Domestic industries","A390RC1",540.3,564.1,539.8,468.9,572.6,616.8,642.3,713.6,753,765,811.3,843.8,942.9,995.5,1045.5,1056.7,1318.1,1350.4,1369.9,1490.1,1535,1558.2,1616.9,1528.2,1419.7,1454.8,1323.7,1223.9,1017.6,1005.1,997,735.4,998.1,1055.6,1161.3,1273.1,1357.2,1373.2,1483.8,1403.7,1197,1308.3,1314.5,1446.5,1680.1,1725.8,1750.4,1742.9,1781.2,1841.9,1864.2,1855.1,1875.1,NA
"18","10","  Financial","N392RC1",177.1,190,197.1,215.8,254.6,270.8,274.1,283.3,299.4,298.8,310.6,317.3,337.9,341.9,350.3,367.4,419.4,380.2,429.4,409.7,428.3,441,404.6,386.6,321.4,334.1,320.8,229.7,205.4,188.1,55.7,-67.4,249.7,359.7,430,412,387.6,363.5,416.8,457.3,373.3,357.7,336.1,436.6,468.8,470.7,524.4,491.6,504.9,525.5,554.1,549.4,480.8,NA
"19","11","    Federal Reserve banks","B397RC1",31.7,29.8,28.1,25.8,24.3,24.3,23.3,22.2,21.7,20.8,19.5,18.3,19.1,19.1,20.1,21.9,22.9,25.6,26.8,31,31,33.6,35.8,34.9,36.1,36.6,36.2,35.2,34.3,29.9,33.4,42.7,27.1,43.3,54.2,64.7,71.6,74,71.4,69.3,72.4,80,76.6,74.7,73.4,72.6,67.5,73.3,71.2,75.2,82.3,89.6,88.7,NA
