"","Table 7#2#4B# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA
"2","Annual data from 1967 To 1969",NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA
"5","File created 8/6/2014 9:56:44 AM",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969
"8","1","      Motor vehicle output","A953RG3",34.564,35.639,36.344
"9","2","        Auto output","A133RG3",37.948,39.155,39.869
"10","3","        Truck output","A716RG3",27.372,28.145,28.872
"11","4","Final sales of domestic product","AB60RG3",34.746,35.829,36.535
"12","5","  Personal consumption expenditures","AB61RG3",32.141,33.238,33.843
"13","6","    New motor vehicles","AB67RG3",36.567,37.601,38.189
"14","7","      Autos","A136RG3",36.982,38.024,38.621
"15","8","      Light trucks (including utility vehicles)","B704RG3",34.585,35.62,36.153
"16","9","    Net purchases of used autos and used light trucks","W240RG3",18.118,19.274,19.889
"17","10","      Used autos","A137RG3",16.437,17.509,18.078
"18","11","      Used light trucks (including utility vehicles)","W241RG3",29.576,30.426,30.914
"19","12","  Private fixed investment","AB62RG3",26.858,27.584,28.302
"20","13","    New motor vehicles","AB68RG3",29.827,30.661,31.295
"21","14","      Autos","B139RG3",36.988,38.023,38.618
"22","15","      Trucks","B705RG3",23.246,23.896,24.546
"23","16","        Light trucks (including utility vehicles)","B196RG3",NA,NA,NA
"24","17","        Other","B197RG3",NA,NA,NA
"25","18","    Net purchases of used autos and used light trucks","W242RG3",28.89,29.832,29.586
"26","19","      Used autos","B140RG3",29.011,29.958,29.703
"27","20","      Used light trucks (including utility vehicles)","W243RG3",30.641,31.558,32.047
"28","21","  Gross government investment","AB64RG3",21.947,22.679,23.517
"29","22","    Autos","B144RG3",22.98,23.99,25.251
"30","23","    Trucks","B708RG3",21.721,22.328,22.944
"31","24","  Net exports","ZZZZZZ2",NA,NA,NA
"32","25","    Exports","AB69RG3",17.709,17.974,18.73
"33","26","      Autos","B142RG3",16.454,16.585,17.418
"34","27","      Trucks","B706RG3",20.56,21.176,21.715
"35","28","    Imports","AB70RG3",13.523,14.045,14.657
"36","29","      Autos","B143RG3",12.607,13.11,13.736
"37","30","      Trucks","B707RG3",20.395,21.018,21.485
"38","31","Change in private inventories","ZZZZZZ2",NA,NA,NA
"39","32","  Autos","ZZZZZZ2",NA,NA,NA
"40","33","    New","ZZZZZZ2",NA,NA,NA
"41","34","      Domestic","ZZZZZZ2",NA,NA,NA
"42","35","      Foreign","ZZZZZZ2",NA,NA,NA
"43","36","    Used","ZZZZZZ2",NA,NA,NA
"44","37","  Trucks","ZZZZZZ2",NA,NA,NA
"45","38","    New","ZZZZZZ2",NA,NA,NA
"46","39","      Domestic","ZZZZZZ2",NA,NA,NA
"47","40","      Foreign","ZZZZZZ2",NA,NA,NA
"48","41","    Used \1\","ZZZZZZ2",NA,NA,NA
"49",NA,"Addenda:"," ",NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RG3",30.703,31.692,32.354
"51","43","  Private fixed investment in new autos and new light trucks","AB76RG3",NA,NA,NA
"52","44","  Domestic output of new autos \2\","B148RG3",34.352,35.298,35.882
"53","45","  Sales of imported new autos \3\","B149RG3",37.035,38.05,38.659
"54",NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA
"57","assembled in the United States.",NA,NA,NA,NA,NA
"58","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA
"59","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA
