"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/6/2014 2:33:07 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Capital consumption adjustment \1\","Y0004C1",5.5,4.1,2.9,5.2,3.7,-2.2,-12,-14.8,-14.5,-16.2,-20.2,-26.9,-12.3,-4.4,22.8,52.9,83.2,73.9,68.6,65.3,57.7,32.1,19.8,20.5,24.7,32.6,36.2,50,69.1,81,98.9,89.5,112.6,183.5,173.9,149.4,-99,-118.8,-121.2,62.4,36.2,76.9,250.6,33.8,12.7
"9","2","    For consistent accounting at historical cost","A1400C1",17.6,18.6,19.9,23.8,25.1,28.5,31.8,33.7,40.7,47.3,54.4,62.8,94.7,110.5,129.6,153.5,180.1,170.2,163.5,167.4,164.8,143,134.1,128.4,131.8,141.1,153.6,161.7,177.1,181.1,197.2,197.8,222.4,290.1,282.6,279.7,75.1,94.9,112.4,312.3,261.5,292.2,481.4,274.4,259.2
"10","3","    For current-cost valuation","A1401C1",-12.1,-14.5,-17,-18.6,-21.4,-30.6,-43.8,-48.5,-55.3,-63.5,-74.6,-89.7,-107,-114.9,-106.7,-100.6,-96.9,-96.3,-94.9,-102.1,-107.1,-110.8,-114.2,-107.8,-107.1,-108.5,-117.4,-111.8,-108,-100.2,-98.3,-108.3,-109.8,-106.6,-108.7,-130.2,-174.1,-213.7,-233.6,-250,-225.3,-215.3,-230.8,-240.6,-246.6
