"","Table 7#25# Transactions of Defined Contribution Pension Plans  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1984 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/6/2014 2:34:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Current receipts","Y338RC1",82.6,102.2,120.5,135.8,142.1,164.2,177.7,191.1,204.3,215.4,227.7,248.4,274.7,299.7,317.6,348.1,370.1,375.7,379.5,375.9,407.7,448.5,509,566.6,602.4,575.1,587.8,604.9,624.7,659
"9","2","  Output \1\","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,4.5,5.4
"10","3","  Contributions","Y339RC1",65.4,81.4,97.2,108.8,112.4,128.4,137,146.4,158,168.4,176.8,193.1,214,234.7,250.8,278.7,297.6,304.5,310.9,311.8,338,370.1,416.9,459.1,484.8,464.1,478.1,494.7,510.6,535.7
"11","4","    Claims to benefits","Y347RC1",48.9,61.5,75,82.9,84,94.5,98.1,104,114.3,124.4,129.4,140.7,156.6,174.5,190.3,213.5,229.4,237.3,246.4,251.7,272.5,296.4,329.7,357.1,372.8,360,377.4,394.1,405.5,423.2
"12","5","      Actual employer contributions","Y340RC1",20.4,26.7,36.7,41.3,40.2,44.9,46,47.8,49.2,53.4,54.9,57.6,62,69,76.1,79.6,86.6,89.4,92.7,95.1,101.1,110.6,121.1,130.6,142.6,133.1,141.4,145.6,149.5,154.7
"13","6","        Private plans","Y934RC1",19.4,25.6,35.6,39.6,38.4,42.9,43.4,44.9,45.8,49.6,50.7,53,56.9,63.1,69.7,72.2,78.5,80.4,83.1,84.7,89.9,97.9,106.7,115.9,126.6,116.5,124.3,127.9,131.7,135.7
"14","7","        Federal government plans","Y912RC1",0,0,0,0.4,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2.1,2.2,2.4,2.7,2.9,3.2,3.5,3.9,4.3,4.6,5,5.3,5.8,6.3,6.9,7.4,7.7,7.7
"15","8","        State and local government plans","Y955RC1",1,1.1,1.2,1.3,1.3,1.5,1.8,2,2.2,2.4,2.6,2.8,3,3.6,4,4.7,5.2,5.7,6.1,6.5,7,8.1,9.4,9.4,10.3,10.3,10.2,10.3,10.1,11.3
"16","9","      Actual household contributions","Y344RC1",28.5,34.8,38.2,41.6,43.9,49.6,52.1,56.2,65.1,71,74.5,83.1,94.6,105.5,114.2,134,142.7,148,153.6,156.6,171.4,185.8,208.7,226.5,230.2,226.9,236,248.5,256,268.4
"17","10","    Household pension contribution supplements \2\","Y345RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,109.6,117.9
"18","11","    Less: Pension service charges \1\","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,4.5,5.4
"19","12","  Income receipts on assets","Y345RC1",16.9,20.3,22.7,26.5,29,34.8,39.8,43.5,45,45.5,49.2,53.9,59.1,62.6,63.7,67.3,70.4,69.2,66.6,62.1,67.6,76.1,89.6,104.7,114.8,107.6,105.2,105.4,109.6,117.9
"20","13","    Monetary interest","Y900RC1",11.3,14,16.3,19.1,21.3,25.6,29.3,31.7,31.9,30.8,32.3,34.9,38.3,40.3,41,43.7,46.6,44.4,39.8,33.1,33.3,35.7,41,45.3,46.3,43,42.9,42.7,39.2,38.7
"21","14","    Dividends","Y901RC1",5.5,6.3,6.5,7.4,7.7,9.2,10.5,11.8,13.1,14.7,16.9,19,20.8,22.2,22.7,23.6,23.8,24.8,26.7,29,34.3,40.4,48.6,59.4,68.5,64.6,62.3,62.7,70.4,79.2
"22","15","Current expenditures","Y346RC1",82.6,102.2,120.5,135.8,142.1,164.2,177.7,191.1,204.3,215.4,227.7,248.4,274.7,299.7,317.6,348.1,370.1,375.7,379.5,375.9,407.7,448.5,509,566.6,602.4,575.1,587.8,604.9,624.7,659
"23","16","  Administrative expenses","Y349RC1",0.4,0.5,0.5,0.6,0.7,1,0.9,1.2,1.3,1.6,1.7,1.5,1.7,2.4,3.1,2.1,2.1,2,2,2,2.1,2.3,2.5,2.8,2.8,3.4,4.5,4.8,4.5,5.4
