"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 11:33:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.273,0.285,0.296,0.305,0.322,0.353,0.388,0.405,0.427,0.455,0.491,0.538,0.587,0.622,0.635,0.654,0.665,0.675,0.687,0.704,0.726,0.749,0.769,0.78,0.797,0.811,0.819,0.822,0.827,0.827,0.832,0.842,0.853,0.857,0.866,0.885,0.916,0.944,0.963,0.983,1,1,1.023,1.037,1.046
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.176,0.186,0.19,0.196,0.208,0.231,0.246,0.255,0.269,0.29,0.319,0.352,0.374,0.397,0.4,0.408,0.418,0.432,0.438,0.447,0.465,0.483,0.493,0.506,0.512,0.509,0.512,0.511,0.514,0.525,0.533,0.549,0.559,0.548,0.544,0.545,0.551,0.558,0.576,0.59,0.596,0.574,0.588,0.593,0.6
"10","3","Unit nonlabor cost","A467RD3",0.059,0.067,0.07,0.07,0.074,0.085,0.098,0.096,0.099,0.104,0.113,0.133,0.151,0.167,0.168,0.167,0.171,0.179,0.181,0.185,0.194,0.203,0.212,0.208,0.209,0.21,0.211,0.208,0.207,0.207,0.212,0.219,0.234,0.236,0.234,0.232,0.243,0.249,0.265,0.283,0.299,0.29,0.296,0.293,0.293
