"","Table 1#4#4# Price Indexes for Gross Domestic Product, Gross Dom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:41:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","B191RG3",9.9,9.519,8.578,7.6,7.396,7.757,7.913,8.009,8.303,8.151,8.049,8.123,8.656,9.375,9.821,10.055,10.308,11.603,12.903,13.629,13.622,13.746,14.675,14.996,15.19,15.346,15.566,16.101,16.663,17.05,17.277,17.516,17.709,17.927,18.129,18.407,18.744,19.271,19.831,20.674,21.691
"9","2","Less: Exports of goods and services","B020RG3",14.989,13.571,10.678,9.261,9.26,10.737,11.01,11.382,12.138,11.579,11.424,12.39,13.529,16.353,17.888,20.147,19.978,19.307,22.416,23.611,22.202,21.62,24.427,24.576,24.507,24.174,24.38,25.196,26.151,25.887,25.939,26.306,26.707,26.773,26.712,26.931,27.79,28.634,29.736,30.376,31.391
"10","3","Plus: Imports of goods and services","B021RG3",10.654,9.085,7.342,5.885,5.64,6.408,6.514,6.97,7.778,7.188,7.544,8.047,8.499,9.735,10.479,11.007,11.316,12.617,15.116,16.428,15.657,16.631,20.101,19.373,18.541,18.793,18.693,19.023,19.239,18.44,18.606,18.784,18.784,18.562,18.923,19.322,19.59,20.047,20.125,20.43,20.963
"11","4","Equals: Gross domestic purchases","B712RG3",9.669,9.271,8.365,7.391,7.183,7.527,7.676,7.779,8.08,7.923,7.841,7.902,8.408,9.089,9.52,9.735,9.989,11.318,12.577,13.3,13.316,13.486,14.432,14.723,14.888,15.057,15.265,15.779,16.312,16.671,16.898,17.129,17.306,17.51,17.725,18.007,18.321,18.83,19.346,20.164,21.149
"12","5","Less: Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","B713RG3",9.453,9.067,8.191,7.254,7.067,7.423,7.576,7.678,7.977,7.858,7.778,7.837,8.337,9.006,9.434,9.648,9.902,11.221,12.438,13.157,13.189,13.36,14.284,14.586,14.764,14.933,15.143,15.65,16.181,16.538,16.765,16.996,17.172,17.376,17.592,17.875,18.19,18.699,19.216,20.037,21.022
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","B190RG3",9.683,9.312,8.401,7.46,7.279,7.652,7.813,7.906,8.199,8.085,7.986,8.058,8.585,9.293,9.735,9.968,10.22,11.507,12.764,13.485,13.495,13.621,14.526,14.859,15.066,15.222,15.444,15.972,16.532,16.918,17.144,17.383,17.575,17.793,17.997,18.275,18.614,19.14,19.701,20.548,21.566
"16","8","  Implicit price deflator for final sales to domestic purchasers","A713RD3",9.431,9.046,8.171,7.237,7.05,7.405,7.558,7.66,7.958,7.839,7.762,7.821,8.32,8.988,9.414,9.628,9.882,11.203,12.418,13.135,13.169,13.34,14.262,14.563,14.741,14.91,15.12,15.627,16.157,16.514,16.741,16.972,17.148,17.353,17.568,17.851,18.166,18.673,19.19,20.01,20.994
