"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 7:41:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Personal consumption expenditures","DPCERA3",30.399,31.112,32.297,34.283,35.982,35.683,36.492,38.525,40.146,41.916,42.912,42.761,43.41,44.015,46.531,48.998,51.551,53.642,55.297,57.525,59.152,60.359,60.45,62.511,64.731,67.203,69.021,71.429,74.066,77.95,82.213,86.382,88.718,91.08,93.65,96.731,100,102.85,105.218,104.637,102.602,104.46,107.103
"9","2","Goods","DGDSRA3",29.216,29.447,30.679,32.685,34.378,33.124,33.349,35.684,37.215,38.753,39.373,38.376,38.83,39.101,41.589,44.586,46.931,49.556,50.448,52.322,53.643,53.975,52.904,54.571,56.838,59.836,61.623,64.383,67.453,72.01,77.745,81.847,84.417,87.848,91.89,95.988,100,103.322,106.394,103.776,100.697,104.304,108.263
"10","3","  Durable goods","DDURRA3",14.685,14.296,15.732,17.687,19.537,18.284,18.328,20.612,22.432,23.61,23.491,21.62,21.835,21.799,24.913,28.471,31.319,34.324,34.993,36.998,37.81,37.646,35.618,37.664,40.486,43.715,45.44,48.832,52.819,59.255,66.945,72.818,76.771,82.6,88.052,94.444,100,104.528,109.711,104.314,98.732,104.887,112.395
"11","4","    Motor vehicles and parts","DMOTRA3",26.77,23.967,28.617,32.594,35.727,29.821,29.662,35.684,39.462,41.241,38.78,33.805,34.568,35.486,42.307,49.243,55.608,59.669,57.26,60.578,60.457,59.493,52.401,56.705,59.862,63.603,62.616,65.653,70.093,77.422,84.549,87.239,91.698,96.525,99.158,100.55,100,96.618,98.345,84.967,79.04,80.71,85.117
"12","5","      New motor vehicles (55)","DNMVRA3",28.858,24.5,30.643,35.555,39.12,30.335,30.358,38.559,43.869,45.812,41.626,34.157,35.098,36.711,46.143,53.929,61.689,67.266,62.773,66.308,65.351,61.846,49.905,54.59,58.159,61.077,58.117,59.14,62.299,69.243,77.278,81.49,89.444,96.275,100.912,101.921,100,94.24,95.338,76.851,68.086,71.598,79.553
"13","6","      Net purchases of used motor vehicles (56)","DNPVRA3",26.522,25.078,25.339,26.772,27.249,25.956,25.203,28.603,28.925,29.518,29.383,28.601,28.001,26.862,27.683,34.565,40.093,42.306,43.813,45.893,47.682,51.279,54.177,58.882,59.634,63.917,65.759,72.477,80.02,90.401,96.538,96.287,95.965,98.533,97.169,98.797,100,100.629,104.343,99.404,101.392,97.58,95.24
"14","7","      Motor vehicle parts and accessories (58)","DMVPRA3",23.414,25.175,28.467,31.718,36.199,36.229,35.945,37.087,39.36,42.107,43.47,42.921,44.604,45.446,50.635,54.275,55.946,56.258,56.747,61.412,61.631,64.349,62.759,64.423,70.209,77.35,80.804,86.158,90.042,91.601,95.761,97.094,93.568,92.891,94.446,97.364,100,99.508,99.853,92.735,84.278,88.717,91.923
"15","8","    Furnishings and durable household equipment","DFDHRA3",20.755,20.728,21.656,23.904,26.446,26.34,24.967,26.499,28.906,30.427,31.674,30.457,29.873,28.548,30.99,34.097,35.925,38.869,40.514,41.994,44.135,43.532,42.514,43.962,46.221,48.687,50.925,53.132,55.621,60.208,67.188,73.668,77.413,83.056,87.692,94.614,100,104.31,105.002,100.571,92.121,98.552,104.304
