"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","[Billions of chained (2005) dollars];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:22:22 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Gross domestic product","A191RX1",1770.7,1768,1766.5,1793.3,1821.8,1855.3,1865.3,1868.2,1842.2,1835.5,1856.1,1838.7,1913,1971.2,2048.4,2084.4,2110.7,2145.7,2188.5,2192.2,2214.3,2216.7,2231.6,2305.3,2348.4,2366.2,2351.8,2314.6,2303.5,2306.4,2332.4,2379.1,2447.7,2488.1,2521.4,2535.5,2523.9,2543.8,2540.6,2582.1,2597.9,2591.7,2616.6,2589.1,2519,2534.5,2593.9,2654.3,2708,2776.4,2773.1,2782.8,2845.3,2832,2836.6,2800.2,2816.9,2869.6,2915.9,2975.3,3028.7,3062.1,3090.4,3097.9,3138.4,3177.7,3237.6,3262.2,3335.4,3373.7,3419.5,3429,3513.3,3560.9,3633.2,3720.8,3812.2,3824.9,3850,3881.2,3915.4,3916.2,3947.5,3977.6,4059.5,4128.5,4156.7,4174.7,4240.5,4252.8
"11","2","    Gross domestic income","A261RX1",1764.8,1749.1,1749.1,1770,1816.7,1864.5,1867.7,1875.3,1838.2,1827.2,1840.3,1816.5,1887.2,1962.3,2044.2,2085.3,2094.8,2120.7,2156.7,2174.1,2192.2,2203,2218.2,2285.6,2327.1,2344.5,2331.5,2279.8,2285.5,2289.5,2309.9,2360.3,2423.4,2477.9,2507,2527.1,2529.6,2554.1,2551.4,2596.2,2600.8,2599.3,2611.5,2585.5,2528.7,2532.4,2578.3,2641.5,2704.8,2784.7,2760.7,2779.8,2843.8,2837.8,2834.6,2818.4,2823.3,2871.8,2914.6,2980.5,3023.1,3054.4,3082.5,3112.4,3144.3,3192.1,3232.8,3263.9,3319.4,3365.1,3413.4,3443.6,3520.8,3566,3616.5,3695.1,3774.9,3798,3821.9,3853,3872.1,3892.8,3933.5,3972.5,4032.7,4093.2,4144.7,4169.9,4211.1,4238.5
"12","3","    Net domestic product \1\","A362RX1",1625.9,1624.7,1624.1,1652.4,1681.9,1716.8,1727.1,1730.2,1702.8,1695.4,1716.4,1697.8,1774.2,1833.5,1912.2,1948,1973.4,2007.5,2049.6,2050.9,2071.2,2070.7,2083.3,2156.8,2198.3,2213.5,2195.7,2154,2139.5,2140,2164.3,2210.4,2279.2,2318.9,2351,2363.3,2348.7,2366.9,2361,2402.2,2416.6,2407.6,2431,2399.2,2322.9,2336.3,2395.9,2457.3,2511.8,2581.8,2577.1,2585.7,2649.4,2634,2637,2596.9,2612.1,2664.4,2710.4,2769.5,2822.2,2854.3,2880.6,2885.2,2924,2961.5,3020.3,3042.4,3115.1,3151.3,3195,3200.7,3283.7,3328.5,3398.5,3484.4,3573.6,3581.4,3602.1,3629.1,3659.3,3655,3682.2,3708.4,3788.4,3854.8,3879,3892.5,3955.5,3963.1
"13","4","    Net domestic income \1\","W256RX1",1619.8,1605.3,1606,1628.4,1676.6,1726.2,1729.6,1737.6,1698.7,1686.8,1700,1674.8,1747.7,1824.3,1907.8,1948.9,1956.8,1981.4,2016.5,2032,2048.1,2056.5,2069.4,2136.3,2176.2,2191,2174.7,2117.9,2120.8,2122.5,2140.8,2190.8,2253.9,2308.2,2335.9,2354.6,2354.7,2377.7,2372.2,2417,2419.6,2415.6,2425.6,2395.4,2332.9,2334.1,2379.7,2443.9,2508.5,2590.3,2564,2582.6,2647.9,2639.9,2635,2615.8,2618.8,2666.8,2709.1,2774.9,2816.5,2846.3,2872.3,2900.2,2930.1,2976.4,3015.4,3044.1,3098.6,3142.4,3188.6,3215.9,3291.6,3333.8,3381.2,3457.7,3535,3553.5,3572.9,3599.9,3614.5,3630.7,3667.6,3703.1,3760.6,3818.3,3866.5,3887.5,3925,3948.3
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","    Gross national product","A001RX1",1780.4,1778.1,1776.6,1804,1833.4,1867.6,1877.6,1880.5,1854,1847,1867.2,1848.8,1923.8,1982.6,2061.8,2097.8,2123.6,2160.8,2204.1,2208.7,2229.9,2232.4,2247,2320.5,2363.4,2382,2366.1,2328.9,2318.8,2321.7,2347.9,2396.4,2465.3,2505.5,2539,2553.4,2543.7,2563.4,2560.6,2599.9,2618.7,2613.8,2637.9,2606.3,2536.6,2552.4,2611.2,2671.5,2725.1,2793.6,2791.5,2802.2,2864,2851.1,2856.5,2821.2,2839,2890.6,2937.5,2997.3,3050.5,3086,3114.6,3125.4,3164.7,3203.2,3263.5,3288.9,3364.4,3401.6,3448.3,3455.9,3543.6,3592.2,3662.4,3747.6,3839.9,3852.6,3877.2,3909.5,3943.4,3943.5,3977.4,4006.7,4089.4,4158.9,4188.1,4205.9,4271.7,4283
"16","6","    Gross national income","A023RX1",1774.5,1759.2,1759.1,1780.6,1828.4,1876.7,1880,1887.6,1850.1,1838.6,1851.4,1826.5,1898,1973.6,2057.6,2098.6,2107.6,2135.7,2172.3,2190.5,2207.7,2218.8,2233.6,2300.8,2342.1,2360.3,2345.8,2294,2300.7,2304.8,2325.3,2377.5,2440.9,2495.3,2524.4,2545,2549.5,2573.7,2571.3,2614.1,2621.5,2621.6,2632.8,2602.8,2546.3,2550.2,2595.7,2658.7,2721.9,2801.8,2778.9,2799.3,2862.5,2856.9,2854.6,2839.4,2845.4,2893,2936.2,3002.4,3045,3078.2,3106.6,3139.9,3170.6,3217.5,3258.7,3290.6,3348.5,3393.1,3442.1,3470.5,3551.2,3597.3,3645.7,3721.7,3802.4,3825.8,3849,3881.3,3900.1,3920,3963.3,4001.7,4062.5,4123.6,4176,4201.1,4242.4,4268.7
"17","7","    Net national product \1\","A027RX1",1635.6,1634.9,1634.2,1663.2,1693.7,1729.2,1739.6,1742.6,1714.7,1707,1727.6,1708,1785.1,1845,1925.8,1961.6,1986.4,2022.7,2065.5,2067.7,2087,2086.6,2099,2172.2,2213.4,2229.5,2210.1,2168.5,2155,2155.4,2179.9,2227.9,2297.1,2336.5,2368.8,2381.5,2368.8,2386.8,2381.4,2420.2,2437.7,2430.2,2452.6,2416.6,2340.7,2354.4,2413.4,2474.7,2529.1,2599.1,2595.7,2605.4,2668.4,2653.3,2657.1,2618.2,2634.5,2685.8,2732.2,2791.8,2844.4,2878.6,2905.1,2913.3,2950.8,2987.4,3046.7,3069.5,3144.6,3179.7,3224.3,3228,3314.6,3360.4,3428.2,3511.6,3601.7,3609.5,3629.6,3657.9,3687.7,3682.6,3712.6,3737.9,3818.7,3885.7,3910.8,3924.1,3987.2,3993.7
