"","Table 6#22D# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 7:58:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Corporate capital consumption allowances","A677RC0",652102,705525,748624,793651,865303,861121,860943,709494,749481,792884,961395,929056,951252,1097298
"9","2","Agriculture, forestry, fishing, and hunting","N7722C0",5405,5824,5903,6160,7021,7216,8183,7148,7281,7630,9670,9388,11171,13825
"10","3","  Farms \1\","N7723C0",3730,4178,4279,4519,5033,5081,6046,5171,5227,5497,7149,7266,NA,NA
"11","4","  Forestry, fishing, and related activities","N7724C0",1675,1646,1624,1641,1988,2135,2137,1977,2055,2133,2521,2123,NA,NA
"12","5","Mining","N7725C0",12010,12267,12873,14110,16507,17052,18986,15550,20582,27290,41368,42678,43063,51817
"13","6","  Oil and gas extraction","N7726C0",3939,3854,4655,5086,6990,7589,9084,7006,9790,14468,23206,24347,NA,NA
"14","7","  Mining, except oil and gas","N7727C0",4926,5076,4777,4931,5480,5394,5766,4807,5583,5578,6788,7527,NA,NA
"15","8","  Support activities for mining","N7728C0",3145,3337,3441,4093,4037,4069,4136,3738,5209,7244,11374,10805,NA,NA
"16","9","Utilities","N7729C0",32780,33047,33973,34302,42086,46881,52224,39296,39422,42398,59868,73765,85656,102386
"17","10","Construction","N7730C0",15077,17286,19122,19881,22331,23870,23628,20492,22952,24555,27535,22414,21079,23811
"18","11","Manufacturing","N7731C0",234832,243067,251025,257196,274744,267441,264470,220100,226326,231457,264498,258266,255198,289937
"19","12","  Durable goods","N7732C0",140235,147171,156078,160763,176643,164786,163809,133014,139249,137202,151559,137274,131590,151747
"20","13","    Wood products","N7733C0",2843,2940,3118,3457,3663,3654,4000,3163,2695,3100,3213,3209,NA,NA
"21","14","    Nonmetallic mineral products","N7734C0",6530,7045,7643,8539,9201,9200,9556,8448,9307,10014,11194,11218,NA,NA
"22","15","    Primary metals","N7735C0",8217,8592,8508,8538,9390,8650,8432,7285,8376,9215,11527,11083,NA,NA
"23","16","    Fabricated metal products","N7736C0",9606,10307,10834,11072,11433,11540,11458,8789,8903,9458,11403,9864,NA,NA
"24","17","    Machinery","N7737C0",12044,12379,12807,14166,14747,14433,14374,11552,11682,11447,15200,14786,NA,NA
"25","18","    Computer and electronic products","N7738C0",25126,26099,26581,30701,31451,24741,21727,17430,16719,14983,17264,14912,NA,NA
"26","19","    Electrical equipment, appliances, and components","N7739C0",17133,17501,17944,20330,22331,19258,19978,18428,18500,19302,20372,18409,NA,NA
"27","20","    Motor vehicles, bodies and trailers, and parts","N7740C0",43931,45516,50596,45140,54599,53032,54434,40666,44738,39742,36797,29550,NA,NA
"28","21","    Other transportation equipment","N7741C0",7524,8633,9429,9800,10641,10627,10265,9271,9669,10277,12978,12702,NA,NA
"29","22","    Furniture and related products","N7742C0",1601,1762,1941,2113,2117,2108,1986,1730,1989,1831,1900,1841,NA,NA
"30","23","    Miscellaneous manufacturing","N7743C0",5680,6397,6677,6909,7070,7543,7598,6253,6673,7832,9709,9701,NA,NA
