"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73"
"1","[Billions of chained (2005) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 7:47:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","      Government consumption expenditures \1\","A955RX1",1610.4,1613.6,1616,1594.7,1601.1,1621.1,1614.7,1626.6,1625.1,1644.5,1645.8,1657.8,1647.7,1675,1675.8,1695.5,1703.2,1704.6,1725.6,1747.3,1728.2,1762.6,1753,1758.6,1784.9,1808.6,1825,1845.4,1872.4,1892.4,1904.9,1919.1,1916.2,1947.8,1943.8,1947.4,1960.7,1964,1974.8,1968,1974.2,1972.1,1990.5,1974.7,1997.6,1989.7,1998,2003.7,2001.2,2014.5,2034.5,2040.1,2055.5,2051.6,2072.7,2087.5,2105.2,2153.6,2176,2190.2,2179.2,2183.1,2178.2,2160.2,2134.7,2133.7,2121.8,2107.4,2101.3,2094.5
"10","2","        Gross output of general government","W101RX1",1867.6,1870.2,1874,1856.3,1861,1882.7,1880,1891.7,1892.1,1913,1914.9,1929.8,1922.1,1949.3,1964.6,1971.5,1979.7,1987.4,2010.4,2033.7,2020.7,2056.1,2051.2,2063.4,2093.1,2119.3,2137.4,2161.1,2187.9,2206.1,2221.8,2233.5,2229.7,2263.5,2259.4,2262.3,2276.2,2281,2294.5,2287,2295.4,2291.7,2312.8,2297.8,2318.9,2313.5,2322.4,2327.5,2326.6,2342.5,2364.2,2371.7,2385.6,2380.9,2404.6,2417.9,2437.6,2487.6,2510.5,2524.2,2513.2,2519.4,2516,2495.9,2469.8,2470.5,2470.5,2445.2,2439.3,2434.6
"11","3","          Value added","W102RX1",1289,1290.7,1290.7,1280.6,1280,1293.6,1293.1,1292.6,1295.3,1297.9,1302.2,1303.1,1308,1312.7,1317.3,1319.3,1322.1,1322.6,1327.2,1333.4,1341.3,1353.7,1350.3,1352.2,1361.5,1370.8,1378.8,1383.7,1392.3,1399.9,1405.8,1407.7,1415.3,1419.2,1419.2,1419.3,1422.8,1424.7,1427.3,1432.5,1434.9,1434.7,1437.5,1438.8,1437.6,1440.1,1448.7,1453.5,1454.7,1458,1464.5,1472.8,1479.6,1486.1,1498,1505.4,1511.6,1523.3,1525.1,1529.5,1531.3,1538.7,1531.5,1529.4,1528.4,1525.9,1522.4,1522.1,1521.2,1518.6
