"","Table 6#17C# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 7:57:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Corporate profits before tax","A053RC0",323099,389923,390453,411687,425386,474401,519023,599031,684296,740737,801763,722888,780514,772471
"9","2","Domestic industries","E561RC0",275087,332939,323326,335598,348916,401309,442090,521066,591350,638764,694205,620119,658996,626835
"10","3","  Agriculture, forestry, and fishing","A3003C0",1898,1847,1724,1698,1215,2069,2026,1696,2123,3264,3358,3348,4883,4877
"11","4","    Farms","B3004C0",890,994,1249,1107,729,1310,1284,637,767,1595,1836,556,1497,1408
"12","5","    Agricultural services, forestry, and fishing","B3005C0",1008,853,474,590,486,758,743,1059,1356,1669,1522,2793,3387,3468
"13","6","  Mining","A3006C0",-1584,914,1196,2776,1328,2266,1758,3754,4866,8529,11411,1466,80,10795
"14","7","    Metal mining","B3007C0",-521,632,58,190,48,73,-328,680,582,-806,-276,-619,-793,-564
"15","8","    Coal mining","B3008C0",455,848,860,638,379,432,37,533,244,632,340,-175,-232,-182
"16","9","    Oil and gas extraction","B3009C0",-2542,-1596,-541,1310,429,1194,1809,1636,3077,7784,10141,114,2242,11235
"17","10","    Nonmetallic minerals, except fuels","B3010C0",1024,1030,819,638,471,567,239,905,963,919,1206,2145,-1138,306
"18","11","  Construction","B3011C0",11458,12786,12117,11155,8583,8207,10396,14142,17736,22471,26249,33152,38791,39648
"19","12","  Manufacturing","E563RC0",95072,133781,118355,118814,93588,1e+05,116149,155210,183149,186591,205360,165654,174695,176437
"20","13","    Durable goods","E565RC0",44533,61421,55024,45170,32745,40052,55439,77692,81996,86252,99125,81599,77620,68693
"21","14","      Lumber and wood products","B3014C0",5053,4346,4370,2503,1684,3389,4571,4950,6012,3190,3232,3690,5562,3037
"22","15","      Furniture and fixtures","B3015C0",1783,1379,1079,918,1025,1501,2053,2081,2288,3001,3566,3562,3668,2983
"23","16","      Stone, clay, and glass products","B3016C0",2808,2042,1799,1939,815,1884,2077,4138,5184,4798,7281,6821,7811,5721
"24","17","      Primary metal industries","B3017C0",3678,7542,6275,3433,529,-67,298,3673,7859,5149,6456,5186,2272,1647
"25","18","      Fabricated metal products","B3018C0",6097,7495,6805,6251,5160,6299,7612,11873,12706,14402,17102,16046,15974,15981
"26","19","      Industrial machinery and equipment","B3019C0",5321,11939,12785,11684,5122,6103,5834,8177,13071,13927,15453,18719,11926,16748
"27","20","      Electronic and other electric equipment","B3020C0",6295,9008,9790,8349,9464,9690,14886,22510,20968,19212,22862,6978,4741,5117
"28","21","      Motor vehicles and equipment","B3021C0",4014,6554,3051,-1473,-5387,-961,6201,8267,503,4545,5015,6030,7375,-956
"29","22","      Other transportation equipment","B3022C0",6477,6056,4645,5623,7770,5631,5702,4098,4502,7095,7255,6260,10147,9091
"30","23","      Instruments and related products","B3023C0",1423,2953,2314,3536,4041,3869,2922,4159,4972,7345,6386,4401,3136,4767
"31","24","      Miscellaneous manufacturing industries","B3024C0",1583,2107,2111,2407,2523,2715,3284,3765,3931,3589,4516,3907,5008,4558
"32","25","    Nondurable goods","E564RC0",50539,72360,63331,73644,60843,59948,60710,77518,101153,100339,106235,84055,97075,107744
"33","26","      Food and kindred products","B3026C0",11661,11387,11152,14543,18146,18295,17371,20591,28867,23220,24984,21616,28109,26925
"34","27","      Tobacco products","B3027C0",1459,4780,2240,3247,2395,2525,1840,1910,2165,2132,2088,1308,3420,1609
"35","28","      Textile mill products","B3028C0",2229,1645,1297,1234,1477,3216,2805,2526,1987,2236,2382,2462,2084,1099
"36","29","      Apparel and other textile products","B3029C0",1913,1897,2160,1977,2380,3138,3006,3181,2643,2594,2687,2420,2016,2569
"37","30","      Paper and allied products","B3030C0",6452,9559,8933,6868,4509,3586,4037,6264,13776,8786,6097,5382,7170,9132
"38","31","      Printing and publishing","B3031C0",8525,8192,7582,6892,8006,10411,9914,12281,9755,12407,12349,13123,17048,14994
"39","32","      Chemicals and allied products","B3032C0",15347,20264,18780,17631,16023,16394,16150,24478,29507,26885,32381,25653,25167,17107
"40","33","      Petroleum and coal products","B3033C0",-10,11823,8253,18727,5082,-929,1873,1892,7769,16536,16931,5553,5803,30949
"41","34","      Rubber and miscellaneous plastics products","B3034C0",2396,2202,2365,1891,2094,2664,3310,4274,4192,5245,5860,6123,5960,3039
"42","35","      Leather and leather products","B3035C0",568,610,569,633,731,648,403,120,492,299,475,415,298,321
