"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 7:39:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    National income","A032RC1",888.5,929.5,1005.6,1110.3,1246.1,1341.5,1444,1609.8,1797.4,2027.9,2248.3,2433,2729.8,2851.4,3070.9,3461.3,3696.3,3871.5,4150,4522.3,4800.5,5059.5,5217.9,5517.1,5784.7,6181.3,6522.3,6931.7,7406,7875.6,8358,8938.9,9185.2,9408.5,9840.2,10534,11273.8,12031.2,12396.4,12609.1,12132.6,12811.4,13358.9
"9","2","Compensation of employees","A033RC1",577.6,617.2,658.9,725.1,811.2,890.2,949.1,1059.3,1180.5,1335.5,1498.3,1647.6,1819.7,1919.6,2035.5,2245.4,2411.7,2557.7,2735.6,2954.2,3131.3,3326.3,3438.3,3631.4,3797.1,3998.5,4195.2,4391.4,4665.6,5023.2,5353.9,5788.8,5979.3,6110.8,6382.6,6693.4,7065,7477,7855.9,8068.3,7799.4,7970,8295.2
"10","3","  Wage and salary accruals","A034RC1",518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,1120.6,1253.3,1373.4,1511.4,1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2957.8,3083,3248.5,3434.4,3620,3873.6,4180.9,4465.2,4827.7,4952.2,4997.3,5154.6,5410.7,5706,6070.1,6415.5,6545.9,6275.3,6404.6,6661.3
