"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"11","3","  Goods","DGDSRC1",298.8,302.7,306.6,310.6,314.1,317.6,321.7,321.8,333.9,339.8,343.9,350.9,357.7,368.4,377.7,391.5,407.3,412.7,420.7,425.9,435.5,448.6,464,458.1,468,481.5,502.8,513.1,530.7,539,550.5,565.1,580.4,592.9,603.9,624.3,629.2,661,672.4,691.7,707.9,722.2,753.3,768.4,792,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2045.2,2090.6,2121.8,2182.5,2207.1,2275.6,2314.4,2362.8,2417.9,2442.7,2475.5,2500.4,2506.8,2518.4,2524,2586.9,2569.6,2599.2,2632,2639.1,2673.9,2683.8,2769.4,2785.1,2838.6,2860.3,2897.9,2971.7,3000.9,3049.2,3126.8,3130.1,3181.1,3211.6,3255.9,3250.3,3296.7,3349.2,3378.7,3431.2,3422.3,3466.9,3456.1,3181.4,3125.5,3142,3244.4,3265.5,3318.2,3321.7,3361,3458.6,3561.4,3604.3,3643.6,3690,3755.9,3745
"12","4","    Durable goods","DDURRC1",90,90.4,90.6,90.8,89.6,91,92,87.3,98.1,101,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.2,626.9,642.5,652.3,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.1,737.9,769.8,786,826.4,821.3,856.4,873.1,878.6,923.5,905,915,919.5,930.9,923.9,928.9,1001.7,981.3,986.4,1010.4,990.3,981.4,1011.4,1043.3,1043.6,1057.5,1062.9,1075.8,1095.2,1105.2,1134.7,1142.3,1111.2,1150.5,1145.8,1156.9,1166.6,1175.6,1187,1194.5,1196.8,1163,1146.6,1106.6,1019.3,1016.3,1010.4,1052.7,1038.9,1049.1,1070.2,1082.6,1115.7,1133.9,1131.8,1144.8,1175.1,1204.6,1198.1
"13","5","      Motor vehicles and parts","DMOTRC1",37.6,37.1,37.7,37.3,34.9,36.2,36.4,30.6,41,42.5,43.7,45.8,46.8,48.4,49.6,52.7,57.1,55.8,54,50.5,47,48.1,52.1,45.4,47.7,48.6,55.5,58.9,65.8,67,68.7,71.2,78.3,78.7,79.9,82.3,80.5,92.4,91.2,92.6,92.7,86.8,91.8,89.4,91.8,74.7,84.2,87.1,96.7,89.8,98.8,86.7,97.2,96.9,98.7,107.3,106,121.5,127.1,137.1,143.4,147.2,146.1,152,162.8,165.7,185.4,166.3,169.5,180.3,208.1,192.2,169.5,186.3,204.3,192.6,205.9,202.3,196.8,203.8,206.1,207.7,216.8,200.5,218.4,206.2,202.9,192.9,181.7,181.4,191.7,188.2,198.4,202.3,206.5,212,210.9,223.6,226,238.4,247.1,245.7,247.7,258.9,250.1,251.6,257.6,263.5,269.1,273.4,273.7,277.7,291,279.5,296.9,304.9,294.2,315,320.7,350.9,333.6,357.3,361,350.9,379.3,353.6,358.8,361.3,372.5,365.6,368.9,426.1,393.8,395.3,421.4,395,389.1,403.2,412.3,399.6,400.1,399.7,403.5,412.2,407.4,423.9,424.2,377.4,393.3,392.2,398.2,395.6,396.8,402.9,400.6,399.3,378.9,354.1,332.6,291.5,299.2,303.6,341.3,320,321.1,336.5,346.3,367,374.5,362.2,367.4,390.3,402.1,395.1
"14","6","      Furnishings and durable household equipment","DFDHRC1",27.3,27.9,27.5,27.7,27.8,28,28.1,28.7,29,29.5,30.2,31.1,32.3,32.8,34,35,37.1,37.7,38.2,38.9,40.1,41.2,41.8,40.4,40.8,41.9,43.1,44.5,45.8,46.4,47.4,49,51.1,52.6,53.9,55.8,55.3,59,59.9,61.8,62.5,64.3,66.9,67.3,67.4,66,67.4,70.6,71.5,71.8,72,70.6,70.1,71.3,71.9,73.9,76.1,77.9,81.2,83.9,85.8,88.8,89.4,91.4,92,93.4,95.1,97.9,100.1,101.9,105.2,106.5,107.9,108.9,110.7,110.7,112.3,114.5,115.2,118.6,120.1,121.3,121.8,122.4,124.6,121.2,119.8,118.1,118.4,119.9,118.9,117.9,122,123,125.1,127.1,128.3,130.8,132.6,133.8,135.2,139.3,142.5,145.1,144.2,145,148.1,149.7,148.8,153.9,154.4,157.1,157.9,158.9,161.7,163.5,168.1,171.6,174.9,179.6,184.6,188.1,193.6,198.4,204.2,207.7,210.1,210.4,212.7,213.2,214.4,219.5,224.8,226.5,224.8,227.3,224.5,229.6,235.2,237.8,242.3,244.7,248.3,252.7,255.3,259.7,262.6,267.6,273.9,270.3,270.9,270.7,273.2,271.2,270.9,269.8,264.2,265.1,257.5,244.7,237.8,234.6,234,235.2,238.9,242.4,240.7,243.4,245.9,249.6,253.5,257.9,264.6,263.3
"15","7","      Recreational goods and vehicles","DREQRC1",16.4,16.7,16.7,17,17.8,17.6,17.9,18.3,18.4,19,19.3,20.1,21.2,22,23,24.2,25.5,25.1,25.5,25.3,25.5,26.6,27.6,26.6,27.8,30.2,31.1,32.4,33.3,33.7,34.3,35.5,35.9,37.3,38.4,39.4,40,41.5,41.7,43.5,44.5,46.3,46.4,46.1,45.5,44.6,46.5,49.3,48.5,49.6,51.2,50.2,49.9,51.1,51.5,52.6,54.9,57.2,59.7,62.9,65.8,67.1,68,70.5,73,73.3,73.7,76.2,77.7,79.6,84.9,89.8,89.8,91.7,93,92.7,96.3,99.3,100.2,103.8,100.8,103.6,105.2,106,106.7,105.7,105.2,104.6,106.2,108.1,109.2,107.5,109.5,108.9,111.3,114.3,118.6,122.2,124.8,128.3,131.8,138.4,142,149.1,148.8,151.3,156.8,157.9,159.7,164.7,166.3,169,170.6,172.4,176.3,179.2,184.1,189.2,195.6,199.4,204.1,210.2,215.5,221.1,231.4,232.8,235.3,236.8,235.5,237.7,239,246.9,251,251.3,250.9,252.8,253.4,259.6,271.2,278.7,284.8,288.1,292.8,296.3,304.9,311.8,314.8,319.8,331.6,330.3,333.1,341.4,342.6,345.9,352.5,356.7,349.9,355.7,346.7,323.7,321.1,311.9,315.8,320.4,323,325.4,327,331.3,336.5,338.7,341,344.2,350.2,350
"16","8","      Other durable goods","DODGRC1",8.7,8.7,8.7,8.8,9.1,9.1,9.6,9.7,9.7,9.9,10.2,10.4,10.5,10.8,11.1,11.5,12.2,12.7,13.1,13.6,14,14.6,14.8,14.8,15.5,16,17,17.6,18.4,18.9,19.4,19.8,18.7,20.6,21.8,23.2,22.3,23.2,24,24.4,23.6,24.7,25.8,26.2,27.3,26.6,27.3,29.3,29.3,29.7,30,29.3,29.2,29.9,30,30.5,31.9,33,34.3,35.4,36.4,38.1,38.6,40,40.2,40.8,42.2,43.2,44.2,45.4,47.5,52.7,51.3,52.2,52.6,53.9,56,57.1,58.1,60,59.5,60.8,61.8,63,65.7,65.2,65.6,65.3,65.4,65.9,64.5,63.9,66.3,66.8,69.1,69.8,70.1,71.2,73.4,73.3,74.7,75.3,77.1,78.7,78.1,79,80,81.1,82.3,84.4,84.9,85.8,86.1,85.8,87.9,89.5,91.5,93.9,94.8,96.4,99,100.8,103,108.1,108.7,110.9,110.8,111,110.2,107.4,106.5,109.3,111.8,113.3,113.3,115.2,114.3,119,124.7,127.5,130.3,130.5,131.2,134,137.6,139.4,140.7,146.4,151.8,152.9,154.7,158.9,162.9,167,170.4,171,170,171.6,169.8,159.4,158.2,160.2,161.6,163.2,166.1,165.9,168.7,174,177.1,181.3,182.9,182.7,187.7,189.6
"17","9","    Nondurable goods","DNDGRC1",208.8,212.2,216,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318,327.7,330.9,336.2,344.8,356,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.3,1320.8,1335.8,1356.2,1385.8,1419.2,1441.3,1484.2,1494.3,1537.7,1560.5,1580.9,1575.9,1594.5,1595.1,1585.2,1588.3,1612.8,1621.6,1648.8,1692.6,1672.4,1726.1,1741.4,1781.1,1797.3,1822.1,1876.5,1895.7,1914.4,1984.5,2018.9,2030.5,2065.8,2099,2083.6,2121.2,2162.2,2184.3,2234.4,2259.4,2320.3,2349.4,2162.2,2109.2,2131.6,2191.7,2226.7,2269.1,2251.5,2278.4,2342.9,2427.5,2472.4,2498.7,2515,2551.3,2546.9
"18","10","      Food and beverages purchased for off-premises consumption","DFXARC1",93.1,94.1,95.9,98.4,101.6,102.6,104.1,105.7,105.7,107.2,107.1,108.4,109.7,113.8,115.8,118.6,121.1,124,129.7,132,137.6,139.6,145.8,149.1,151.5,154.8,159.8,160.2,163.3,165.8,168.5,171.5,175,178.9,180.3,184.9,188.6,193.8,198.5,203.5,210.9,215.7,220.1,226.8,232.8,236,241.3,246.6,250.6,254,256.7,260.1,262.3,265.9,268.6,271.8,270.9,275.7,279.8,281.7,285.4,290.6,293.5,294.8,297.8,300.5,303.8,309.7,314.5,314.1,316.3,320.7,321.9,324,325.2,326.1,333,339.9,347.1,351.3,357.8,362,367.8,374,383,390,395.8,396,400.6,406.3,405.1,399.9,402.7,402.2,404.9,408,408.3,411.4,414.4,419.7,423.9,430.2,435.2,439.1,440.8,442.5,443.8,447.9,453.4,460.1,464.3,469.8,473.5,471.8,476.4,477.4,478.6,483.7,488.8,495,502.9,509.3,515.6,526.5,524.1,535.6,541.3,548.8,552,559.3,562,565.5,566.2,567.5,569.2,575.5,582.6,580.8,591.9,594.9,603.8,607.4,614.5,626.2,632.9,639.4,647.6,658.1,662.8,669.9,675.5,688.6,698.7,704.6,714.5,727.1,732.5,749.2,757.1,746.7,739.7,739.8,741.1,748.7,758,753.3,757.7,773.5,791.8,807.3,817.3,824.4,827,827.7
"19","11","      Clothing and footwear","DCLORC1",43.4,44,44.8,45.1,44.9,45,45.3,46.6,47.4,49,49.5,50.3,51,52.5,54.2,56.3,58.3,59,59.4,60.3,61.6,62.7,63.6,61.8,64.1,66.5,68.1,68.8,70.3,71,73,74.5,75.7,77.4,79.8,84.3,84.7,89.1,90.5,93,93.2,94.7,98.1,99.5,100.2,100.6,103.9,107.3,110.9,112.5,114.7,114.6,116.1,114.9,117.2,118.9,120.5,125.3,127.9,132.1,134.4,138.2,137.3,140.6,143.1,145.7,148,150.6,153.4,157,158.9,159.5,164.2,166.7,169.5,170.6,172.7,175,179.3,185.8,186.2,189.6,191.5,194.3,195.7,195.7,195.9,193.7,196.2,200.3,201.3,198.5,205.8,208.9,213.5,216.9,215.4,217.9,220.2,222.7,224.9,225.5,227.7,231.7,228.5,229.7,233.4,233.4,235,239.8,240.4,243,243.7,244.4,249.9,252,254.6,257.7,257.4,261.5,267.5,271.5,272.2,273.3,275.9,280.1,282.5,284.8,280.6,278.4,275.3,277.1,279.2,278.7,275.5,282,279.1,283.3,291.1,291.2,298.1,295.2,297.5,304,308.3,314,312.5,321.3,323.1,325.4,328.2,332.6,336.8,334.1,334.6,336.2,332.5,339.1,333.3,318.9,317.6,313.2,317.3,319.8,327.1,329.4,331,339.1,342.3,347.5,351.1,355.9,363.1,362.5
"20","12","      Gasoline and other energy goods","DGOERC1",24.3,25,25.1,25.5,25.9,26.1,26.3,26.9,27.4,27.4,27.7,28.1,28.3,28.4,29.5,31.4,32.5,33.5,34.2,37.1,39.2,44.2,45.6,46.4,45.7,46.9,49.4,50.1,51.1,51.6,53.2,56.1,56.6,57.3,57.9,59.5,60.2,60.6,61.2,63.8,68.8,75.1,86.1,91.6,101.6,102.9,101,102.1,113.4,114.4,112.6,113.3,112,106.1,108.7,106.7,103,105.3,109.3,108.3,108,109.6,107,108.2,108.1,111.5,111,111.4,106.6,89.5,84.8,83.8,91.7,96.2,97.9,99.7,98.4,99.6,100.9,100.5,103.5,116.2,110.7,111.4,116.4,113.8,125.5,141.1,124.7,119.6,119.8,120.4,120.1,124.1,126.8,129,128.6,126.4,125.1,127.4,127.4,124.8,132.2,132.5,134.5,135.8,132.6,130.7,139.1,147.8,143.5,148.6,152.2,144.3,146.5,147.7,136.6,132.6,133.3,130.9,127.9,146.2,155.9,165.2,178.4,187.7,194,195.2,191.1,196.2,185.7,161.4,154.1,174.7,180.4,189.1,218.9,191.7,211.3,216,234.7,240.6,247.4,275,276,275.1,330.9,333.2,323,341.6,361.6,314.7,330.6,363.4,368,397.1,418.3,444,466.9,312.6,261.4,275.7,321.5,338.7,357.9,335.2,344.2,372.2,419.2,431.4,435,427.6,440.5,434.2
"21","13","      Other nondurable goods","DONGRC1",48.1,49,50.2,50.8,52.1,52.8,54,55.3,55.4,55.2,56,56.7,57.9,59.6,60.7,61.8,63.5,64.9,66.6,68.3,70.4,71.5,72.7,73.6,75,76.6,78.7,80.6,82.7,84.6,85.8,87.5,89.2,90.1,91.9,95,97.5,101.4,105.5,109,111.7,114.6,118.1,121.5,125.3,126.5,130.3,135.3,139.1,142,145.1,147.7,149.6,151.9,155.3,159.4,162.6,166.7,171.5,174.5,178.6,184,186.8,189.1,193.4,195.1,197.7,201.6,204.7,206.8,211.1,214.9,219.7,225.4,228,230.4,234.2,239,243.5,248.8,255.1,260,266.3,271.7,279.1,281.4,286,288,292.6,295.6,298.2,301.8,309.1,312,315.9,320.9,326.8,330.5,332.9,335.5,340.7,347.7,354.4,359.7,363,369.1,373.8,379.7,383.7,391.8,398.3,407,411.8,417.4,424.9,431.1,437.5,446.8,456.3,468.7,487.4,492.2,497.7,519.3,515.8,534.4,542.6,552.1,552.1,560.6,572.1,581.2,588.8,591.9,596.5,602.2,612,616.7,631.8,639.4,644.6,654.2,662.7,671.3,678.5,685.9,693.5,706.3,721.7,729,733.7,747.7,755.1,760.1,767.2,774,776.1,788,792.1,784,790.4,802.9,811.8,819.5,826,833.5,845.5,858.2,874.2,886.3,895.3,907.1,920.6,922.5
"22","14","  Services","DSERRC1",289.6,297.1,303.5,311.5,319.1,325.6,333.4,340,346.9,355,363.4,372.6,383.1,391,400.3,411.2,420,430.2,440.6,450.6,459.2,474.6,488,503.8,520.1,535.3,547.9,566.5,582.6,594.1,612,631.1,651.3,666.7,687,704.8,729.8,755.7,775.4,795.3,814.7,841,864.4,892.8,916,932.2,966.9,1009.1,1032.3,1060.2,1082.4,1105.7,1129.9,1154.7,1188.9,1231.3,1266.3,1293.7,1335.7,1363.4,1387.6,1420.5,1456.1,1485.3,1533,1561.4,1598.9,1626.6,1656.4,1684.4,1713.9,1749.8,1788.9,1820.5,1857.1,1896.2,1944.7,1986.3,2039.2,2080.8,2118.7,2148.9,2184.8,2230.3,2269.2,2332.6,2378.5,2396.3,2423.9,2466.3,2500,2540.4,2606.3,2645.3,2694.5,2748.4,2777.9,2817.9,2867.1,2902,2944.7,2983,3027.4,3061.8,3100.6,3153.6,3196.7,3236.2,3285.5,3332.9,3378.5,3426.8,3480.4,3529.5,3592.9,3652.8,3712.3,3779.6,3846.2,3895.7,3950.3,4014.3,4084.4,4162.1,4265.1,4332.9,4406.2,4480.7,4551.4,4600.3,4627.3,4680.3,4739.4,4804.1,4859.2,4914.1,4972,5043.6,5112.6,5176.2,5259.5,5333.7,5418.6,5502.1,5591,5681.2,5769,5866,5945.1,6037.6,6115.8,6206.6,6305,6371.8,6439,6517.6,6596.2,6659.6,6679.7,6679.9,6642.9,6621.9,6644.4,6697,6750.9,6826.6,6882.6,6943.3,7004.9,7080.6,7147.6,7183.8,7251.3,7322.5
"23","15","    Household consumption expenditures (for services)","DHCERC1",279.9,287.2,293.3,301,308.4,314.6,322.1,328.6,335.2,343,350.9,359.5,370,377.6,386.8,396.8,406,415.6,425.9,435.5,443.5,458.1,471.4,486.8,502.8,517.7,529.5,547.6,562.7,574.2,592,610.6,630.2,645.7,665,681.7,706.3,731.6,750.6,769.8,787.8,813.5,836.8,863.7,885.8,900.9,934.5,975.3,997.8,1024.6,1045.7,1067.5,1090.9,1115.2,1148.3,1190.1,1224.7,1251.6,1292.5,1318.8,1342.3,1373.4,1407.9,1435.6,1484,1511.6,1548.2,1574.9,1602.8,1628.9,1657.9,1693.4,1731.8,1763,1797.8,1835.9,1881.1,1920.5,1971.2,2011.2,2049.4,2077.7,2112.1,2156.6,2194,2254.2,2296.7,2313.3,2341.4,2382.7,2415.2,2454.3,2517.4,2553.8,2600.6,2653.3,2684.5,2724.2,2772.1,2805.7,2846.4,2882.1,2923.4,2955.7,2995.4,3047.1,3089.1,3126.7,3172.2,3216.7,3260.9,3311.1,3369.6,3419.4,3480.9,3536.6,3590.2,3651.2,3711.9,3756.7,3810,3871,3937.7,4010.9,4108.4,4171.4,4238.4,4305.3,4371.5,4415.4,4438.4,4489.1,4543.1,4601.3,4650.5,4702,4760.6,4832,4901,4965.7,5050.1,5124.1,5208.8,5293.3,5390.9,5475.9,5555,5638.7,5715.5,5801.1,5869.5,5959,6056.2,6126.3,6182.3,6252.8,6325,6377.8,6389.2,6385.1,6360.5,6345.5,6366.6,6415.4,6472.5,6546.3,6603.6,6662.4,6722.1,6790.5,6848.1,6888.5,6956.4,7024.1
"24","16","      Housing and utilities","DHUTRC1",97.7,99.5,102.2,104.5,106.2,107.9,110.5,113.1,115.8,118.6,121.3,124.1,126.8,129.6,132.2,136.1,138.6,141.8,145.3,148.3,151.5,156.4,160.8,165.6,170,174.9,178.7,182.5,187,190.9,196.5,204.3,210.2,213.3,221.1,226.6,234.5,241.3,246.7,254.7,262.4,268.1,276,287.1,296.1,305.7,316.9,328.6,333.8,347.9,357.7,368.5,378.1,381.7,388.9,399.2,405.6,415.7,426.6,436.8,441.3,454.1,463.9,473.7,487.6,492,505.2,517.8,521.7,531.7,540.6,548.8,555.3,567,577.1,587.8,600,607,620,630.8,640.1,647.2,658.4,676.7,675.2,692.2,706.1,712,719.7,733.9,740.4,748.2,755.1,766.9,774.5,788.2,797,805.8,821.9,833.3,849.5,863.9,871.8,880.6,891.4,908.2,923.6,932,948.8,957.7,962,976.5,987.9,1001.3,1014.7,1035.6,1040.9,1061.2,1076.3,1082.5,1101,1118.1,1136.9,1144.1,1159.6,1184.4,1208.1,1242.1,1271.2,1281.3,1295.7,1302.8,1313,1328.4,1339.2,1358.4,1375.4,1389.9,1397.4,1412.9,1428.6,1449.3,1470.7,1500.9,1531.8,1566.3,1600.4,1631.8,1643.2,1676.8,1707.8,1716.9,1735.9,1749.7,1763.4,1775.6,1802,1825.2,1838.6,1858.4,1870.2,1868.8,1870.1,1877.2,1882.5,1885.6,1896.8,1902.8,1909.7,1926,1945.2,1938.9,1935.2,1957.9
"25","17","      Health care","DHLCRC1",40.3,41.6,42.5,43.8,45.5,46.7,48.3,50.3,51.3,52.9,54.6,56.1,57.6,59,60.6,62.1,64.4,66.5,68.1,69.7,71.9,74.6,77.4,80.4,84.5,87.7,89.5,94.2,97.3,100.3,103.4,106.4,109.7,114.8,118,120.3,125.2,129.5,132.8,137.2,141.7,146.1,151,156.6,162.4,165.7,174.7,183.8,191.4,199,206.2,211,215.4,221.1,228.3,236,243.6,250.2,256.2,262.5,269.2,273.6,278.7,284.4,291,297.7,306.1,314,320.6,325.8,332.6,341.6,350.6,361,371.9,380.5,392.7,404.4,416.7,426.4,437.1,444.8,454.5,468.4,483.1,499.4,515.2,527.1,536.3,548.1,561.3,577.3,593.1,607.8,620.5,629.8,638.8,645,652.8,658.7,667.1,675.5,684.7,694.6,707.8,715.6,723.6,732.6,736.3,748,754.8,769.1,776.3,785.4,796.5,805.6,820.2,829.3,836.7,842,848.9,856.1,867.8,881.5,893.8,910,926.7,943.2,966.2,985,1006.1,1028.9,1052.4,1074.9,1094.2,1110,1123,1139.1,1156,1174.5,1195,1218,1241.6,1259.3,1287.8,1300.9,1316.3,1330.6,1351.2,1367.4,1377.6,1398.4,1434.3,1447.5,1462.2,1486.9,1513,1526.5,1539,1552,1573.5,1595.4,1613.1,1624.3,1626.8,1648.3,1674.7,1702.2,1726.7,1749.6,1754.2,1775.9,1800.4,1815
"26","18","      Transportation services","DTRSRC1",17.1,17.7,18.2,18.8,19.4,19.7,20.3,20.7,21.2,22,22.8,23.4,24,24.3,24.7,25.2,25.6,25.9,26.2,26.6,27.4,28.1,28.8,29.6,30.5,31.4,32.6,33.7,34.9,35.7,36.4,37.6,39.4,40.8,42.3,43,43.7,45,45.8,46.3,48.1,49.9,51.3,53.5,54.2,53.8,56,57.4,59.3,58.8,60.5,60.5,60,60.9,62.4,63.6,65,67.1,70.3,73.2,76.8,79.2,80.4,83.8,87.4,89.6,91,92.5,93.4,94,95.4,97.2,99.5,101.8,104.4,106.6,109.4,112.6,115.9,118.7,121.1,121.8,122,122.5,124.7,126.7,126.9,127.2,122.9,122.8,123.9,125.2,129.3,130.8,135.4,139,141.7,144.1,147.3,151.3,155.5,160.1,164.2,167.8,170.6,175.5,180.8,184.9,187.5,192.2,197,203.1,208.4,212.8,216.6,219.5,222.3,225,229.1,232.3,236,240.6,246.1,250.4,255.5,260.7,264.7,268.1,268.2,266.3,260.5,255.9,256.6,256.8,256.1,257.4,259.7,260.4,265,267.7,270.6,272.2,274.3,277.8,280.8,284.1,287.8,291.1,293.1,297.2,298.2,301.5,305,306.1,307.8,309.1,309.3,309.4,306.9,297.9,289.8,283.5,282,282.6,283.3,286.5,288.8,291.9,296.6,301.1,304.4,306.1,309.4,311.4
"27","19","      Recreation services","DRCARC1",12.6,13,12.9,13.2,13.7,13.9,14.1,14.3,14.6,14.9,15.2,15.8,15.9,16.1,16.5,16.9,17.6,18.2,18.5,19.1,19.6,20.4,21.4,22.4,23.1,23.2,23.8,24.6,25.2,25.9,27.1,28,28.2,29,30,31,31.7,32.3,33.4,34.1,35.3,36.3,37.3,38,39.1,39.9,41.3,43.1,44.7,46.5,48.2,49.1,50.7,51.7,53.1,54.4,56.4,58.8,60.3,62.2,63.6,65.1,67,68.7,71,73.1,74.8,76.9,78.4,79.3,80.6,83.1,84.6,86.1,88,90.4,93.8,97.6,100.9,104.6,107.8,109.7,112,113.1,117.2,120.9,123.5,125.5,124.9,126,127.7,130.2,135.1,138.3,141.1,144.7,147.9,151.5,156.1,158,160.6,163.1,166.4,168.5,173.7,179.6,183.3,187.8,189.8,193.6,198.3,200.5,204.1,207.3,209.5,212.4,216.5,218,222,225.7,229.6,235.5,242.5,247.6,250.2,254.2,258.2,259.3,263.4,263.2,263,264.6,267.9,271.1,273.5,278.8,281.1,286.6,293.3,299.3,306.7,312.1,315.9,318.4,323,325.8,328.9,335.3,341.9,347.6,353.2,363.1,367.8,374.1,377.9,381.5,384.8,385.6,382.3,375,372.8,369.1,369.6,371.3,374.3,374.5,380.3,384.9,385.9,394.3,397.6,400.3,404.6,406.5
"28","20","      Food services and accommodations","DFSARC1",36,37.3,37.7,38.7,40.3,41.7,42.3,42.3,42.5,43.2,44.2,45.2,47,48.2,49.6,50.7,52.7,53.5,55.5,57.6,57.9,59.7,61.4,63.5,65.5,68,69,72.8,75.1,76.8,79.3,80.1,84.8,85.6,85.7,86.6,90.2,95.2,100,103,107.1,108.5,111.4,116.7,118.5,119.5,122.1,126.8,131.6,133.9,134.6,135.6,137.1,141,144.6,147.3,150.1,152,155.1,157,161.6,162.7,167,168.4,170.5,174.6,175.4,176.7,181.4,185.3,187.8,192.3,198.1,202.2,205.1,212.1,214.9,222.4,230.3,235.7,237.5,239.8,244.8,248.3,257,262.1,266.7,265.2,266.4,274.1,275.8,277.2,285.1,280.6,284.2,295.3,293.5,297.8,301.7,301.4,302.1,307.9,311.2,313.4,312.7,316.2,318.5,319.5,321,325.6,328.5,334.4,340,342.1,347.8,348.4,354.2,360.8,364.3,372.7,373.1,377.9,382,393.3,402.9,409,413.7,414.9,421.2,420.3,421.1,422.4,431.7,437,440.4,443.7,448.4,459.2,470.3,478.8,487.7,493.7,503,511.9,520.3,530.9,536.8,547.6,562.1,563.7,571.1,583.9,588.4,595.7,604,613.9,612.4,620,622,618.6,610.8,606,604.6,607.6,617.9,628.1,634.8,643.2,654.8,666.3,676.3,686.4,700.5,708.6
