"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 6, 2004      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/24/2006 11:22:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","    National income without capital consumption adjustment","A422RC1",4084.3,4457.3,4744.1,5034.4,5195.1,5478.3,5728.7,6075.1,6402.3,6774,7210.8,7661.4,8122.9,8687.4
"9","2","Domestic industries","A423RC1",4066.5,4433.6,4717.9,4999.7,5164.8,5448.6,5696.7,6048.9,6366.5,6739,7177.9,7640.1,8089.2,8648.5
"10","3","  Private industries","A736RC1",3514,3843,4088.1,4325.3,4446.6,4695.9,4920.3,5245.8,5541.1,5886.7,6295.2,6724.6,7134.9,7642.8
"11","4","    Agriculture, forestry, and fishing","B424RC1",68.1,70.7,80.6,86,80.6,88.2,85.2,92.4,85,102.5,103.5,98.9,97.4,95.5
"12","5","    Mining","B734RC1",43.3,49.5,52.7,58.3,55.1,54.7,55.4,58.3,59.2,71.1,80.8,70.2,66.1,89.8
"13","6","    Construction","B735RC1",206.6,222.4,231,233.9,216.2,216.8,229.3,253.8,267.5,290.5,315.1,354.5,394.6,426.2
"14","7","    Manufacturing","A426RC1",768.3,850.9,881.5,906.3,901.7,927.1,970.1,1051.1,1106.9,1131.3,1195.8,1226.9,1280.1,1352.4
"15","8","      Durable goods","B428RC1",449.4,491.1,506.5,505.5,497.4,515.6,547.2,599.7,621.8,637.6,679.6,710,735.9,775.1
"16","9","      Nondurable goods","B427RC1",318.9,359.8,374.9,400.7,404.3,411.5,423,451.5,485.2,493.7,516.3,516.9,544.3,577.3
"17","10","    Transportation and public utilities","A737RC1",325.4,344.7,356.5,377.5,401.9,420.9,452.1,487.5,508.6,531.9,541.8,567.3,588,616.9
"18","11","      Transportation","B429RC1",130.5,140,141,146.8,155.2,162.6,174,188.1,196.1,205.2,222.2,241.2,252.9,265.8
"19","12","      Communications","B430RC1",93.6,99.5,101.9,111,117.8,124.3,137.2,149.3,153.8,161.3,155,163.6,166.4,179.6
"20","13","      Electric, gas, and sanitary services","B431RC1",101.3,105.2,113.6,119.7,128.9,134.1,140.9,150.1,158.7,165.5,164.6,162.5,168.7,171.6
"21","14","    Wholesale trade","B433RC1",287.1,318.7,339.7,352,365.2,381.7,393,430.8,445.9,475.7,511.2,552.4,584.5,623.2
"22","15","    Retail trade","B434RC1",406.6,430.5,457.9,473.3,485.9,509.5,532.3,568.5,595,629.8,673.6,721.6,767.5,810.3
"23","16","    Finance, insurance, and real estate","B435RC1",669,727.9,780.1,831.3,884.9,953.7,1001.9,1039.5,1115.8,1204,1314.8,1436,1529.1,1665.9
"24","17","    Services","B437RC1",739.7,827.7,908.2,1006.6,1055.2,1143.5,1201.1,1263.7,1357.2,1449.9,1558.5,1696.8,1827.6,1962.4
"25","18","  Government","B436RC1",552.4,590.6,629.8,674.4,718.1,752.7,776.4,803.2,825.4,852.4,882.7,915.5,954.3,1005.7
"26","19","Rest of the world","A192RC1",17.9,23.6,26.2,34.8,30.4,29.7,31.9,26.2,35.8,35,32.9,21.3,33.8,38.9
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
