"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 29, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/6/2012 1:53:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","31","  Capital goods, except automotive","A650RC1","2,476.0","2,396.0","2,472.0","2,472.0","2,668.0","2,700.0","2,924.0","3,068.0","2,800.0","3,624.0","3,652.0"
"51","32","    Civilian aircraft, engines, and parts","B932RC1","144.0","108.0","128.0","140.0","180.0","188.0","156.0","228.0","184.0","168.0","172.0"
"52","33","    Computers, peripherals, and parts","B852RC1","76.0","72.0","76.0","76.0","80.0","84.0","96.0","100.0","96.0","136.0","160.0"
"53","34","    Other","B853RC1","2,256.0","2,216.0","2,268.0","2,256.0","2,408.0","2,428.0","2,672.0","2,740.0","2,520.0","3,320.0","3,320.0"
"54","35","  Automotive vehicles, engines, and parts","B651RC1","2,216.0","2,228.0","2,580.0","2,744.0","3,424.0","3,684.0","4,128.0","4,588.0","4,040.0","5,168.0","5,552.0"
"55","36","  Consumer goods, except automotive","A652RC1","4,172.0","4,032.0","4,160.0","4,488.0","4,868.0","5,184.0","5,644.0","5,804.0","5,496.0","6,796.0","6,796.0"
"56","37","    Durable goods","B697RC1","2,652.0","2,524.0","2,612.0","2,744.0","2,996.0","3,200.0","3,556.0","3,604.0","3,396.0","4,132.0","4,156.0"
"57","38","    Nondurable goods","B698RC1","1,520.0","1,508.0","1,548.0","1,744.0","1,872.0","1,984.0","2,088.0","2,200.0","2,100.0","2,664.0","2,640.0"
"58","39","  Other","A653RC1","1,884.0","2,000.0","2,020.0","2,200.0","1,892.0","2,080.0","2,348.0","2,052.0","2,008.0","2,384.0","2,428.0"
"59","40","Imports of services \1\","B656RC1","11,728.0","12,224.0","12,531.0","12,121.0","12,283.0","12,264.0","12,833.0","13,063.0","13,031.0","13,555.0","13,828.0"
"60","41","  Direct defense expenditures","B752RC1","4,340.0","4,301.0","4,422.0","4,450.0","4,413.0","4,449.0","4,587.0","4,692.0","4,790.0","4,747.0","4,884.0"
"61","42","  Travel","B768RC1","2,828.0","3,372.0","3,656.0","2,972.0","3,040.0","2,952.0","3,152.0","2,976.0","3,284.0","3,336.0","3,400.0"
"62","43","  Passenger fares","B769RC1","828.0","820.0","812.0","856.0","828.0","864.0","920.0","928.0","1,020.0","1,056.0","1,108.0"
"63","44","  Other transportation","B770RC1","2,244.0","2,187.0","2,021.0","2,179.0","2,350.0","2,307.0","2,430.0","2,383.0","2,073.0","2,524.0","2,528.0"
"64","45","  Royalties and license fees","B908RC1","164.0","164.0","164.0","176.0","196.0","180.0","180.0","188.0","220.0","212.0","216.0"
"65","46","  Other private services","B909RC1","368.0","396.0","440.0","436.0","432.0","484.0","500.0","532.0","552.0","572.0","572.0"
"66","47","  Other","B910RC1","956.0","984.0","1,016.0","1,052.0","1,024.0","1,028.0","1,064.0","1,364.0","1,092.0","1,108.0","1,120.0"
"67",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","48","  Exports of durable goods","A332RC1","18,548.0","18,590.0","18,082.0","18,536.0","19,356.0","21,012.0","21,762.0","21,836.0","20,458.0","23,998.0","24,532.0"
"69","49","  Exports of nondurable goods","A339RC1","13,928.0","13,674.0","13,562.0","13,776.0","14,204.0","13,896.0","14,870.0","14,108.0","11,182.0","15,950.0","14,952.0"
"70","50","  Exports of agricultural goods \2\","B181RC1","6,632.0","6,540.0","6,240.0","6,400.0","6,772.0","6,096.0","6,280.0","6,040.0","4,096.0","7,072.0","6,280.0"
"71","51","  Exports of nonagricultural goods","A182RC1","25,844.0","25,724.0","25,404.0","25,912.0","26,788.0","28,812.0","30,352.0","29,904.0","27,544.0","32,876.0","33,204.0"
"72","52","  Imports of durable goods","A333RC1","14,286.0","13,952.0","14,274.0","15,672.0","17,936.0","18,420.0","19,270.0","19,678.0","17,264.0","22,168.0","21,818.0"
"73","53","  Imports of nondurable goods","A340RC1","13,418.0","12,844.0","12,738.0","13,860.0","14,180.0","14,732.0","16,138.0","15,430.0","13,508.0","16,948.0","16,718.0"
"74","54","  Imports of nonpetroleum goods","A187RC1","25,572.0","24,592.0","25,148.0","27,368.0","29,868.0","30,880.0","32,908.0","32,592.0","28,296.0","36,412.0","35,928.0"
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
