"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Domestic corporate business \1\","A2219C1","29,976.0","30,241.0","31,411.0","34,405.0","40,469.0","48,055.0","43,300.0","52,792.0","60,528.0","66,582.0","77,099.0","85,968.0","95,021.0","101,073.0","108,821.0","117,941.0","122,394.0","128,902.0","134,284.0","160,617.0","188,434.0","203,800.0","212,204.0","221,856.0","242,652.0","268,359.0","302,902.0","356,422.0","401,110.0","429,837.0","424,071.0","480,356.0","451,909.0","471,088.0","525,873.0","656,315.0","734,950.0","862,512.0","943,239.0","923,468.0","738,553.0","803,534.0","899,313.0"
"21","3","  Financial","B1440C1","4,979.0","5,629.0","5,923.0","6,291.0","7,230.0","7,119.0","7,237.0","7,784.0","9,110.0","10,609.0","12,495.0","13,349.0","15,995.0","15,402.0","16,648.0","20,473.0","22,999.0","25,217.0","28,182.0","32,681.0","40,557.0","45,251.0","49,403.0","46,927.0","57,353.0","69,574.0","79,510.0","106,177.0","122,830.0","130,588.0","139,694.0","166,999.0","152,587.0","165,987.0","176,687.0","225,561.0","263,896.0","311,763.0","366,379.0","341,308.0","248,141.0","292,413.0","336,160.0"
"22","4","  Nonfinancial","B1441C1","24,997.0","24,612.0","25,488.0","28,114.0","33,239.0","40,936.0","36,063.0","45,008.0","51,418.0","55,973.0","64,604.0","72,619.0","79,026.0","85,671.0","92,173.0","97,468.0","99,395.0","103,685.0","106,102.0","127,936.0","147,877.0","158,549.0","162,801.0","174,929.0","185,299.0","198,785.0","223,392.0","250,245.0","278,280.0","299,249.0","284,377.0","313,357.0","299,322.0","305,101.0","349,186.0","430,755.0","471,054.0","550,749.0","576,860.0","582,159.0","490,412.0","511,120.0","563,153.0"
"23","5","Rest of the world \2\","B3375C1","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,995.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,659.0","86,334.0","87,401.0","92,829.0","101,013.0","135,642.0","363,340.0","186,015.0","248,980.0","316,366.0","230,892.0","235,044.0","261,958.0"
"24","6","     Dividends received","A2220C1","34,825.0","35,287.0","37,476.0","40,936.0","49,025.0","59,673.0","51,922.0","64,468.0","74,677.0","81,303.0","97,007.0","107,460.0","115,753.0","124,926.0","128,347.0","137,591.0","143,389.0","156,775.0","162,196.0","205,745.0","236,312.0","247,458.0","253,650.0","266,539.0","282,119.0","328,011.0","361,461.0","425,496.0","481,100.0","513,084.0","516,730.0","566,690.0","539,310.0","563,917.0","626,886.0","791,958.0","1,098,290.0","1,048,527.0","1,192,219.0","1,239,834.0","969,445.0","1,038,578.0","1,161,272.0"
"25","7","Domestic corporate business \2\","A2221C1","9,573.0","9,870.0","11,074.0","12,463.0","17,362.0","24,601.0","16,896.0","22,737.0","26,838.0","26,973.0","35,620.0","38,646.0","36,710.0","39,744.0","37,502.0","39,426.0","36,685.0","40,605.0","38,677.0","62,592.0","62,060.0","59,712.0","55,848.0","61,863.0","60,304.0","70,802.0","81,270.0","99,091.0","117,115.0","120,653.0","128,371.0","131,900.0","121,853.0","119,911.0","133,107.0","168,298.0","438,491.0","235,635.0","293,515.0","317,124.0","296,300.0","322,499.0","345,292.0"
"26","8","  Financial","B1443C1","3,602.0","3,553.0","3,731.0","4,021.0","4,873.0","5,197.0","5,404.0","5,504.0","6,331.0","6,926.0","8,655.0","10,678.0","10,186.0","8,132.0","8,576.0","9,164.0","9,294.0","9,777.0","8,826.0","16,821.0","19,545.0","19,462.0","18,586.0","21,200.0","24,187.0","29,994.0","35,902.0","46,395.0","54,782.0","62,437.0","68,661.0","69,869.0","67,950.0","69,603.0","77,325.0","102,030.0","138,295.0","156,015.0","201,213.0","209,094.0","157,622.0","197,087.0","207,480.0"
"27","9","  Nonfinancial","B1444C1","5,971.0","6,317.0","7,343.0","8,442.0","12,489.0","19,404.0","11,492.0","17,233.0","20,507.0","20,047.0","26,965.0","27,968.0","26,524.0","31,612.0","28,926.0","30,262.0","27,391.0","30,828.0","29,851.0","45,771.0","42,515.0","40,250.0","37,262.0","40,663.0","36,117.0","40,808.0","45,368.0","52,696.0","62,333.0","58,216.0","59,710.0","62,031.0","53,903.0","50,308.0","55,783.0","66,268.0","300,196.0","79,620.0","92,302.0","108,030.0","138,679.0","125,412.0","137,812.0"
"28","10","Rest of the world \1\","B3376C1","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,918.0","73,325.0","102,479.0","108,114.0","104,206.0","135,854.0","119,018.0","115,145.0","118,772.0"
"29","11","Government","W065RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,740.0","2,051.0","2,308.0","2,584.0","2,616.0","3,455.0","20,884.0","19,245.0","20,892.0"
"30","12","Persons \3\","B1447C1","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,560.0","83,288.0","90,643.0","97,396.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,340.0","187,562.0","202,344.0","234,967.0","253,441.0","296,369.0","329,680.0","349,819.0","335,900.0","376,511.0","369,496.0","397,705.0","423,121.0","548,284.0","555,012.0","702,194.0","791,881.0","783,401.0","533,244.0","581,689.0","676,316.0"
"31","13","  Publicly administered government employee retirement plans","B1452C1","151.0","235.0","279.0","328.0","458.0","821.0","842.0","842.0","1,256.0","1,671.0","1,913.0","1,782.0","2,159.0","2,795.0","3,194.0","3,699.0","4,346.0","4,959.0","5,704.0","7,121.0","8,815.0","10,383.0","11,519.0","12,808.0","13,355.0","13,956.0","15,111.0","17,978.0","20,621.0","21,483.0","22,244.0","21,503.0","19,575.0","16,627.0","16,500.0","20,910.0","25,146.0","28,265.0","30,324.0","26,975.0","26,009.0","25,176.0","25,705.0"
"32","14","  Other","B1453C1","24,088.0","24,072.0","24,748.0","26,508.0","29,422.0","32,366.0","32,080.0","38,129.0","43,467.0","49,057.0","55,524.0","62,191.0","71,471.0","74,765.0","80,094.0","86,944.0","93,050.0","101,071.0","106,446.0","122,622.0","148,982.0","158,441.0","168,821.0","174,754.0","188,989.0","221,011.0","238,330.0","278,391.0","309,059.0","328,336.0","313,656.0","355,008.0","349,921.0","381,078.0","406,621.0","527,374.0","529,866.0","673,929.0","761,557.0","756,426.0","507,235.0","556,513.0","650,611.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Net corporate dividend payments (16+17)","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","794,497.0","786,856.0","554,127.0","600,934.0","697,208.0"
"35","16","    Domestic corporate business (2-7)","A2223C1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,329.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,356.0","159,993.0","182,348.0","197,557.0","221,632.0","257,331.0","283,995.0","309,184.0","295,700.0","348,456.0","330,056.0","351,177.0","392,766.0","488,017.0","296,459.0","626,877.0","649,723.0","606,344.0","442,253.0","481,035.0","554,022.0"
"36","17","    Rest of the world (5-10)","A2224C1","3,836.0","3,936.0","4,690.0","4,894.0","6,800.0","9,765.0","6,556.0","8,959.0","11,079.0","11,184.0","16,041.0","16,748.0","15,445.0","16,385.0","12,145.0","12,292.0","11,843.0","17,883.0","16,705.0","31,894.0","31,600.0","24,974.0","24,327.0","28,034.0","20,582.0","38,166.0","32,772.0","40,391.0","47,210.0","42,270.0","41,697.0","29,417.0","40,862.0","48,079.0","32,095.0","62,317.0","260,861.0","77,901.0","144,774.0","180,512.0","111,874.0","119,899.0","143,186.0"
"37","18","  Personal dividend income (15-11)","B703RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,560.0","83,288.0","90,643.0","97,396.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,340.0","187,562.0","202,344.0","234,967.0","253,441.0","296,369.0","329,680.0","349,819.0","335,900.0","376,511.0","369,496.0","397,705.0","423,121.0","548,284.0","555,012.0","702,194.0","791,881.0","783,401.0","533,244.0","581,689.0","676,316.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Remitted earnings to foreign residents from their unincorporated U.S. affiliates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","treated as dividends paid by domestic corporate business (line 2) and as dividends received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","by the rest of the world (line 10).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Earnings of U.S. residents remitted by their unincorporated foreign affiliates are treated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","as dividends paid by the rest of the world (line 5) and as dividends received by domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","corporate business (line 7).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Dividends received by insured private pension plans are included in dividends received by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","financial corporate business (line 8), and in imputed interest received by persons,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","table 7.11 (line 61).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
