"","Table 5#6#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Change in private inventories","A014RX1","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-12,497.0","-14,172.0","-38,131.0","-80,265.0","-161,578.0","-182,985.0","-178,738.0","-56,451.0","39,931.0","64,623.0","92,256.0","38,316.0","49,144.0","39,122.0","-8,463.0"
"21","2","Farm","B018RX1","-10,773.0","8,235.0","10,061.0","7,194.0","6,339.0","-3,013.0","2,550.0","681.0","-2,145.0","1,395.0","-11,155.0","-2,897.0","-20,106.0","7,186.0","-2,185.0","8,007.0","5,935.0","-3,350.0","2,731.0","-4,854.0","5,085.0","-13,325.0","-3,133.0","-858.0","4,019.0","-1,301.0","418.0","-2,547.0","3,197.0","17,677.0","7,041.0","3,660.0","-6,893.0","207.0","4,586.0","2,565.0","3,774.0","-8,158.0","-6,311.0","-4,052.0","5,168.0","-5,032.0","-2,494.0","-941.0","-6,904.0","3,453.0","5,136.0","2,310.0","169.0","-852.0","-4,890.0","-315.0","4,501.0","807.0","-5,670.0","-5,179.0","-7,771.0","-8,710.0","-10,782.0"
"22","3","Mining, utilities, and construction","N541RX1","284.0","5,544.0","5,085.0","-1,023.0","9,651.0","8,747.0","6,770.0","10,862.0","103.0","190.0","-3,443.0","-4,961.0","3,414.0","-3,755.0","-940.0","-9,906.0","11,605.0","14,475.0","7,192.0","10,012.0","-164.0","-4,515.0","-7,079.0","-4,720.0","8,597.0","3,360.0","6,999.0","9,826.0","-2,526.0","833.0","4,996.0","2,528.0","3,487.0","9,783.0","-1,789.0","3,511.0","9,686.0","20,898.0","19,440.0","17,642.0","5,599.0","7,390.0","-7,237.0","-5,696.0","-7,075.0","-5,188.0","-2,682.0","-18,940.0","-479.0","-2,192.0","-6,588.0","-18,675.0","-10,051.0","631.0","-5,984.0","-1,628.0","-1,193.0","2,471.0","-233.0"
"23","4","Manufacturing","N150RX1","17,205.0","26,659.0","23,755.0","29,875.0","36,233.0","17,630.0","7,803.0","8,736.0","14,741.0","5,806.0","17,185.0","27,112.0","-3,879.0","16,450.0","7,063.0","12,616.0","-21,879.0","-21,026.0","-26,655.0","-35,101.0","-29,810.0","-4,206.0","6,953.0","5,980.0","1,076.0","-10,817.0","-20,802.0","-3,147.0","-2,009.0","6,910.0","3,136.0","15,719.0","41,949.0","2,142.0","11,924.0","28,169.0","18,677.0","23,205.0","19,131.0","6,951.0","7,591.0","21,450.0","12,292.0","20,157.0","26,254.0","-20,379.0","-33,601.0","-28,782.0","-36,691.0","-41,830.0","-42,158.0","-4,891.0","12,381.0","4,845.0","24,171.0","39,651.0","33,276.0","24,167.0","9,401.0"
"24","5","  Durable goods industries","N624RX1","9,332.0","17,170.0","16,119.0","18,606.0","31,832.0","18,151.0","10,167.0","9,439.0","7,084.0","-4,063.0","11,660.0","14,014.0","-1,773.0","11,128.0","4,978.0","14,103.0","-15,119.0","-13,299.0","-24,107.0","-30,774.0","-17,320.0","-7,192.0","-3,274.0","4,603.0","2,187.0","-10,684.0","-17,081.0","4,288.0","-3,184.0","6,421.0","3,102.0","9,723.0","27,842.0","5,718.0","13,405.0","19,376.0","7,935.0","12,009.0","16,522.0","10,146.0","10,814.0","6,840.0","6,424.0","20,378.0","-381.0","-19,479.0","-6,237.0","11,612.0","-21,397.0","-31,688.0","-28,702.0","-6,427.0","10,289.0","22,817.0","21,614.0","19,363.0","27,256.0","21,199.0","20,056.0"
"25","6","  Nondurable goods industries","N625RX1","8,011.0","9,162.0","7,202.0","11,048.0","2,475.0","-1,918.0","-3,335.0","-1,434.0","7,888.0","11,132.0","5,223.0","13,331.0","-2,193.0","5,096.0","1,959.0","-2,222.0","-6,502.0","-7,594.0","-1,659.0","-3,024.0","-12,501.0","3,565.0","11,004.0","1,254.0","-1,246.0","115.0","-3,429.0","-7,739.0","1,257.0","393.0","-11.0","5,978.0","14,026.0","-3,618.0","-1,429.0","8,866.0","10,723.0","11,223.0","2,654.0","-3,146.0","-3,240.0","14,491.0","5,781.0","464.0","24,689.0","-1,919.0","-25,440.0","-37,746.0","-15,319.0","-10,486.0","-13,685.0","1,293.0","2,525.0","-16,329.0","3,298.0","20,052.0","7,042.0","3,996.0","-8,403.0"
"26","7","Wholesale trade","N658RX1","21,437.0","35,878.0","17,830.0","32,524.0","33,404.0","14,668.0","30,310.0","16,436.0","24,316.0","8,751.0","23,450.0","27,819.0","17,894.0","26,647.0","15,002.0","23,136.0","-6,373.0","-6,853.0","-25,231.0","-15,992.0","-8,211.0","4,621.0","4,756.0","-1,442.0","-6,548.0","-7,215.0","-2,409.0","14,672.0","14,413.0","16,445.0","28,565.0","22,563.0","35,604.0","12,401.0","2,217.0","22,295.0","18,048.0","20,308.0","16,599.0","-1,533.0","1,458.0","6,206.0","17,058.0","-6,799.0","4,825.0","25,854.0","8,118.0","-3,090.0","-67,032.0","-71,414.0","-71,122.0","-9,411.0","14,138.0","26,933.0","50,273.0","16,526.0","22,265.0","38,979.0","6,379.0"
"27","8","  Durable goods industries","N661RX1","15,047.0","25,577.0","8,235.0","18,440.0","25,390.0","8,691.0","22,383.0","12,488.0","16,120.0","11,591.0","10,749.0","19,974.0","11,739.0","22,682.0","8,968.0","12,801.0","-6,850.0","-21,965.0","-22,664.0","-19,231.0","-7,096.0","3,512.0","10,044.0","-4,801.0","3,669.0","-3,355.0","-8,023.0","10,990.0","15,150.0","17,315.0","27,202.0","12,746.0","22,518.0","11,842.0","1,176.0","17,944.0","5,873.0","16,140.0","16,738.0","-2,266.0","11,331.0","-6,332.0","-3,312.0","1,578.0","10,857.0","9,675.0","22,437.0","-10,369.0","-62,447.0","-55,271.0","-44,961.0","-19,642.0","13,380.0","14,839.0","25,994.0","13,911.0","15,224.0","30,600.0","23,377.0"
"28","9","  Nondurable goods industries","N664RX1","5,736.0","9,101.0","10,158.0","14,225.0","6,573.0","5,966.0","6,778.0","3,264.0","7,779.0","-4,249.0","13,326.0","7,183.0","5,957.0","2,944.0","6,013.0","10,421.0","886.0","17,085.0","-1,611.0","4,495.0","-818.0","1,021.0","-5,936.0","3,646.0","-10,655.0","-3,914.0","5,992.0","3,579.0","-950.0","-1,112.0","974.0","9,816.0","13,043.0","494.0","1,037.0","4,463.0","12,093.0","4,261.0","23.0","699.0","-9,427.0","11,842.0","19,276.0","-7,780.0","-4,918.0","14,937.0","-11,492.0","6,014.0","-6,502.0","-17,367.0","-26,501.0","8,669.0","1,358.0","11,975.0","23,814.0","3,342.0","7,511.0","10,138.0","-12,587.0"
"29","10","Retail trade","N153RX1","5,221.0","23,035.0","16,432.0","12,115.0","30,030.0","1,650.0","8,482.0","20,460.0","40,243.0","13,926.0","7,803.0","41,361.0","7,913.0","37,208.0","21,788.0","15,688.0","-23,367.0","7,877.0","12,049.0","-39,157.0","19,670.0","25,396.0","16,933.0","32,872.0","25,226.0","8,174.0","17,216.0","18,653.0","31,725.0","29,564.0","12,357.0","21,037.0","14,737.0","-11,171.0","-5,491.0","20,397.0","11,697.0","8,224.0","13,924.0","9,195.0","-8,382.0","9,516.0","13,466.0","2,312.0","-33,147.0","-18,750.0","-16,212.0","-37,817.0","-53,902.0","-59,866.0","-48,956.0","-20,516.0","17,983.0","32,259.0","28,417.0","-13,671.0","-687.0","-20,470.0","-11,666.0"
"30","11","  Motor vehicle and parts dealers","N631RX1","388.0","7,002.0","5,591.0","7,592.0","10,502.0","-6,528.0","-4,587.0","8,379.0","25,387.0","-250.0","1,867.0","22,340.0","1,533.0","23,862.0","15,867.0","5,671.0","-26,170.0","10,234.0","9,504.0","-29,247.0","19,567.0","18,396.0","2,399.0","28,332.0","16,991.0","11,798.0","7,635.0","15,261.0","14,887.0","13,665.0","1,953.0","1.0","3,256.0","-18,986.0","-7,489.0","12,066.0","1,219.0","230.0","1,085.0","-4,000.0","-8,902.0","2,918.0","18,211.0","-872.0","-12,942.0","-9,013.0","-15,356.0","-11,367.0","-43,806.0","-43,058.0","-32,600.0","-9,543.0","13,917.0","21,881.0","19,833.0","-17,653.0","-9,127.0","-22,963.0","-10,099.0"
"31","12","  Food and beverage stores","N542RX1","366.0","522.0","1,600.0","-877.0","1,143.0","2,082.0","-156.0","1,339.0","2,120.0","1,761.0","2,361.0","806.0","-88.0","-2,152.0","435.0","-750.0","952.0","655.0","16.0","192.0","-163.0","22.0","1,760.0","-930.0","-921.0","-3,179.0","1,458.0","-2,475.0","410.0","949.0","368.0","-100.0","333.0","197.0","-1,919.0","973.0","1,728.0","1,190.0","668.0","53.0","-584.0","1,409.0","2,137.0","1,085.0","-512.0","447.0","-607.0","-749.0","2,193.0","-714.0","-69.0","-2,450.0","911.0","-1,016.0","19.0","-490.0","-279.0","2,128.0","1,500.0"
"32","13","  General merchandise stores","N543RX1","-411.0","3,369.0","-1,263.0","-1,092.0","-190.0","-173.0","2,600.0","-716.0","3,162.0","2,246.0","2,083.0","3,757.0","396.0","2,678.0","-875.0","2,113.0","5,324.0","741.0","-153.0","-5,268.0","-1,850.0","-354.0","3,931.0","4,140.0","579.0","998.0","1,880.0","587.0","6,141.0","3,153.0","1,399.0","7,408.0","5,759.0","-55.0","2,261.0","875.0","-2,242.0","-1,323.0","6,387.0","3,734.0","963.0","527.0","-3,318.0","1,041.0","-6,090.0","-1,612.0","818.0","-5,569.0","-1,622.0","-2,783.0","-4,029.0","-1,896.0","3,045.0","4,340.0","4,507.0","1,404.0","3,682.0","-905.0","-400.0"
"33","14","  Other retail stores","N558RX1","4,873.0","11,969.0","10,417.0","6,044.0","18,373.0","6,891.0","11,046.0","11,383.0","8,627.0","10,572.0","1,661.0","13,658.0","6,062.0","11,649.0","5,688.0","8,444.0","-2,012.0","-4,367.0","2,242.0","-3,399.0","1,162.0","6,647.0","9,061.0","114.0","8,127.0","-1,986.0","6,263.0","5,198.0","10,209.0","11,807.0","8,676.0","13,778.0","5,363.0","7,711.0","1,636.0","6,490.0","10,908.0","8,037.0","5,758.0","9,213.0","-99.0","4,611.0","-2,986.0","937.0","-13,802.0","-8,810.0","-1,856.0","-20,142.0","-12,964.0","-15,305.0","-13,624.0","-6,718.0","824.0","8,103.0","4,901.0","2,204.0","4,322.0","-373.0","-3,333.0"
"34","15","Other industries","N154RX1","8,922.0","4,881.0","3,332.0","5,484.0","2,914.0","5,667.0","5,497.0","9,088.0","7,720.0","9,484.0","7,373.0","5,582.0","11,047.0","13,919.0","19,467.0","6,523.0","2,101.0","-785.0","-696.0","-1,528.0","-3,212.0","1,528.0","-1,021.0","-1,439.0","-608.0","3,962.0","1,139.0","1,879.0","6,331.0","5,870.0","6,892.0","6,221.0","2,553.0","2,586.0","162.0","3,879.0","3,044.0","6,901.0","4,548.0","4,098.0","5,545.0","5,667.0","2,879.0","3,135.0","844.0","-819.0","642.0","5,588.0","-4,501.0","-6,974.0","-4,268.0","-3,392.0","959.0","-313.0","973.0","1,214.0","3,853.0","1,463.0","-479.0"
"35","16","Residual","N969RX1","1,500.0","1,300.0","-1,100.0","1,500.0","2,200.0","-1,500.0","800.0","600.0","5,500.0","1,300.0","2,800.0","6,300.0","2,800.0","5,900.0","3,600.0","3,000.0","-4,900.0","-2,400.0","-1,400.0","-8,100.0","2,200.0","4,200.0","2,000.0","3,600.0","700.0","700.0","-300.0","-700.0","1,500.0","1,700.0","0.0","-100.0","100.0","-300.0","100.0","-200.0","1,100.0","1,200.0","0.0","-200.0","100.0","600.0","700.0","-700.0","3,700.0","4,100.0","-3,300.0","-1,000.0","5,000.0","3,900.0","1,300.0","2,500.0","-1,700.0","-3,100.0","-900.0","1,800.0","-1,400.0","100.0","-7,200.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Change in private inventories","A014RX1","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-12,497.0","-14,172.0","-38,131.0","-80,265.0","-161,578.0","-182,985.0","-178,738.0","-56,451.0","39,931.0","64,623.0","92,256.0","38,316.0","49,144.0","39,122.0","-8,463.0"
"38","18","    Durable goods industries","N355RX1","27,579.0","53,268.0","33,295.0","46,806.0","72,264.0","22,970.0","32,494.0","34,753.0","55,689.0","11,323.0","26,991.0","63,938.0","17,910.0","62,074.0","34,405.0","36,214.0","-46,750.0","-24,557.0","-34,372.0","-80,026.0","4,445.0","17,992.0","13,738.0","36,327.0","29,341.0","1,567.0","-11,584.0","34,734.0","35,451.0","48,077.0","37,084.0","31,896.0","61,563.0","8,577.0","12,154.0","58,586.0","20,601.0","32,865.0","42,376.0","5,156.0","11,143.0","5,730.0","7,073.0","19,167.0","-14,841.0","-30,517.0","-5,797.0","-33,257.0","-132,586.0","-135,096.0","-110,250.0","-45,614.0","29,997.0","57,112.0","62,639.0","16,387.0","37,396.0","29,828.0","31,923.0"
"39","19","    Nondurable goods industries","N357RX1","14,093.0","49,371.0","42,163.0","38,820.0","41,624.0","19,648.0","27,120.0","29,748.0","31,049.0","30,874.0","16,449.0","32,298.0","-345.0","36,975.0","28,004.0","20,923.0","14,643.0","15,611.0","5,504.0","-6,563.0","-20,599.0","-5,710.0","5,708.0","-4,860.0","1,423.0","-5,209.0","14,965.0","3,315.0","16,759.0","30,414.0","25,398.0","39,636.0","29,467.0","6,957.0","-326.0","22,832.0","45,115.0","39,680.0","25,099.0","26,640.0","6,060.0","38,597.0","28,514.0","-5,765.0","1,634.0","13,774.0","-30,840.0","-46,430.0","-32,218.0","-50,648.0","-70,007.0","-12,037.0","11,101.0","9,641.0","31,450.0","22,262.0","13,861.0","11,132.0","-35,031.0"
"40","20","  Nonfarm industries","B015RX1","53,323.0","95,686.0","65,495.0","79,750.0","110,639.0","45,616.0","57,626.0","63,960.0","90,026.0","39,313.0","53,504.0","100,315.0","36,549.0","93,663.0","64,325.0","50,454.0","-40,084.0","-7,412.0","-33,112.0","-85,513.0","-19,465.0","25,512.0","22,616.0","33,626.0","27,494.0","-2,283.0","2,494.0","41,251.0","49,418.0","60,213.0","55,697.0","68,050.0","98,403.0","15,300.0","7,208.0","78,433.0","62,294.0","80,350.0","73,866.0","36,210.0","11,986.0","50,283.0","38,897.0","13,686.0","-4,825.0","-18,068.0","-44,206.0","-83,252.0","-162,553.0","-182,671.0","-173,853.0","-56,021.0","35,451.0","63,967.0","98,764.0","44,659.0","59,655.0","50,984.0","4,883.0"
"41","21","  Wholesale trade","N658RX1","21,437.0","35,878.0","17,830.0","32,524.0","33,404.0","14,668.0","30,310.0","16,436.0","24,316.0","8,751.0","23,450.0","27,819.0","17,894.0","26,647.0","15,002.0","23,136.0","-6,373.0","-6,853.0","-25,231.0","-15,992.0","-8,211.0","4,621.0","4,756.0","-1,442.0","-6,548.0","-7,215.0","-2,409.0","14,672.0","14,413.0","16,445.0","28,565.0","22,563.0","35,604.0","12,401.0","2,217.0","22,295.0","18,048.0","20,308.0","16,599.0","-1,533.0","1,458.0","6,206.0","17,058.0","-6,799.0","4,825.0","25,854.0","8,118.0","-3,090.0","-67,032.0","-71,414.0","-71,122.0","-9,411.0","14,138.0","26,933.0","50,273.0","16,526.0","22,265.0","38,979.0","6,379.0"
"42","22","    Merchant wholesale trade","N151RX1","20,061.0","32,477.0","16,337.0","26,686.0","29,142.0","14,204.0","28,149.0","13,699.0","21,900.0","4,852.0","19,812.0","25,428.0","14,099.0","20,785.0","9,715.0","19,814.0","-3,322.0","-2,729.0","-16,549.0","-12,465.0","-3,789.0","2,135.0","3,973.0","80.0","-3,861.0","-6,281.0","-1,958.0","12,266.0","13,308.0","13,257.0","24,155.0","22,960.0","26,597.0","12,368.0","2,742.0","15,609.0","16,140.0","23,807.0","14,895.0","4,130.0","2,911.0","5,727.0","15,579.0","-1,068.0","-11,819.0","15,032.0","12,588.0","-4,743.0","-47,616.0","-56,562.0","-57,571.0","-2,041.0","7,984.0","24,760.0","41,554.0","14,008.0","9,643.0","33,506.0","-432.0"
"43","23","      Durable goods industries","N626RX1","14,219.0","23,811.0","7,641.0","14,212.0","22,188.0","8,832.0","20,077.0","10,419.0","14,837.0","8,853.0","9,665.0","18,445.0","9,032.0","19,516.0","5,079.0","9,852.0","-3,908.0","-19,716.0","-16,882.0","-16,080.0","-5,561.0","1,845.0","7,970.0","-5,162.0","5,021.0","-2,281.0","-6,495.0","7,423.0","14,625.0","16,484.0","23,264.0","14,099.0","16,967.0","12,336.0","796.0","13,788.0","8,530.0","18,820.0","12,123.0","1,326.0","7,823.0","-4,006.0","-1,853.0","2,287.0","6,349.0","8,582.0","20,595.0","-9,923.0","-53,566.0","-46,385.0","-41,428.0","-20,421.0","7,568.0","11,634.0","21,231.0","14,339.0","8,963.0","28,128.0","16,587.0"
"44","24","      Nondurable goods industries","N627RX1","5,361.0","7,734.0","9,128.0","12,810.0","6,020.0","5,313.0","7,438.0","2,864.0","6,757.0","-5,014.0","10,503.0","6,501.0","4,995.0","433.0","4,729.0","10,158.0","796.0","18,493.0","970.0","4,410.0","2,072.0","249.0","-4,321.0","5,467.0","-9,133.0","-4,038.0","4,717.0","4,852.0","-1,402.0","-3,346.0","667.0","8,807.0","9,608.0","-17.0","1,939.0","1,898.0","7,618.0","5,061.0","2,841.0","2,790.0","-4,697.0","9,208.0","16,523.0","-3,095.0","-16,273.0","6,095.0","-6,163.0","3,992.0","3,773.0","-11,373.0","-16,829.0","16,372.0","679.0","12,732.0","19,813.0","634.0","1,352.0","7,197.0","-13,309.0"
"45","25","    Nonmerchant wholesale trade","N152RX1","1,307.0","3,310.0","1,429.0","5,930.0","4,235.0","324.0","1,971.0","2,782.0","2,310.0","4,128.0","3,658.0","2,294.0","3,869.0","5,969.0","5,425.0","3,338.0","-3,174.0","-4,314.0","-9,019.0","-3,650.0","-4,699.0","2,639.0","799.0","-1,612.0","-2,791.0","-934.0","-462.0","2,427.0","1,039.0","3,229.0","4,420.0","-503.0","9,081.0","13.0","-517.0","6,623.0","1,898.0","-3,393.0","1,693.0","-5,693.0","-1,454.0","485.0","1,485.0","-5,672.0","16,418.0","10,761.0","-4,146.0","1,889.0","-19,624.0","-14,937.0","-13,565.0","-7,329.0","6,104.0","2,192.0","8,733.0","2,524.0","12,554.0","5,474.0","6,835.0"
