"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","976,146.0","892,011.0","834,195.0","725,211.0","715,801.0","793,674.0","864,217.0","977,035.0","1,027,088.0","991,799.0","1,071,919.0","1,165,879.0","1,364,969.0","1,616,840.0","1,881,539.0","2,033,453.0","2,010,693.0","1,790,684.0","1,774,625.0","1,852,664.0","1,843,134.0","2,004,239.0","2,159,298.0","2,241,953.0","2,345,237.0","2,330,370.0","2,498,168.0","2,547,570.0","2,598,839.0","2,575,428.0","2,760,103.0","2,828,515.0","2,894,407.0","3,069,768.0","3,203,972.0","3,389,419.0","3,607,046.0","3,842,060.0","3,939,159.0","4,129,865.0","4,258,163.0"
"20","2","Less: Exports of goods and services","A020RX1","37,928.0","31,347.0","26,052.0","20,414.0","20,539.0","22,830.0","24,072.0","25,289.0","31,851.0","31,509.0","33,263.0","37,838.0","38,797.0","25,625.0","21,600.0","23,200.0","32,504.0","70,205.0","80,042.0","63,043.0","62,457.0","54,688.0","67,015.0","64,116.0","59,821.0","62,716.0","69,413.0","80,873.0","87,923.0","76,038.0","83,876.0","98,436.0","98,958.0","103,950.0","111,384.0","124,498.0","127,987.0","136,857.0","140,011.0","151,015.0","158,318.0"
"21","3","Plus: Imports of goods and services","A021RX1","49,089.0","42,700.0","37,246.0","30,904.0","32,195.0","32,893.0","43,095.0","42,600.0","47,937.0","37,259.0","39,129.0","40,077.0","49,277.0","44,742.0","56,415.0","59,042.0","62,780.0","52,033.0","49,403.0","57,646.0","55,608.0","65,726.0","68,308.0","74,320.0","81,306.0","77,297.0","86,611.0","93,642.0","97,574.0","102,209.0","112,960.0","114,463.0","113,695.0","126,599.0","130,011.0","136,919.0","151,493.0","174,006.0","186,685.0","214,505.0","226,728.0"
"22","4","Equals: Gross domestic purchases","A712RX1","994,123.0","911,075.0","853,910.0","743,887.0","735,073.0","812,705.0","892,175.0","1,006,062.0","1,052,893.0","1,007,250.0","1,088,686.0","1,179,226.0","1,391,528.0","1,667,742.0","1,960,095.0","2,116,509.0","2,078,864.0","1,773,730.0","1,737,478.0","1,857,018.0","1,845,812.0","2,034,636.0","2,175,667.0","2,272,522.0","2,393,524.0","2,368,799.0","2,540,557.0","2,581,444.0","2,627,325.0","2,627,074.0","2,815,607.0","2,865,148.0","2,930,829.0","3,116,346.0","3,246,037.0","3,423,446.0","3,656,087.0","3,906,954.0","4,014,829.0","4,222,098.0","4,354,984.0"
"23","5","Less: Change in private inventories","A014RX1","10,307.0","-4,559.0","-10,581.0","-23,829.0","-12,205.0","-5,840.0","7,570.0","7,761.0","12,968.0","-3,050.0","1,553.0","16,121.0","26,393.0","10,283.0","-3,611.0","-4,289.0","-8,052.0","25,427.0","-3,563.0","19,328.0","-10,198.0","19,277.0","26,746.0","10,758.0","6,706.0","-6,426.0","15,952.0","11,917.0","2,929.0","-744.0","13,927.0","11,832.0","10,615.0","21,888.0","20,252.0","17,260.0","32,900.0","47,142.0","33,884.0","30,789.0","30,279.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","1,005,188.0","939,162.0","885,898.0","786,536.0","763,397.0","833,703.0","892,698.0","1,008,144.0","1,045,495.0","1,021,037.0","1,096,530.0","1,165,749.0","1,363,738.0","1,667,999.0","1,987,039.0","2,146,050.0","2,114,405.0","1,746,766.0","1,764,577.0","1,839,468.0","1,882,619.0","2,019,356.0","2,146,326.0","2,274,541.0","2,403,162.0","2,400,206.0","2,536,588.0","2,585,179.0","2,645,638.0","2,650,162.0","2,817,433.0","2,871,089.0","2,938,837.0","3,108,859.0","3,241,980.0","3,424,949.0","3,636,389.0","3,867,695.0","3,995,592.0","4,208,262.0","4,342,026.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","986,770.0","919,210.0","865,172.0","766,582.0","743,217.0","813,994.0","864,538.0","978,884.0","1,019,760.0","1,005,218.0","1,079,544.0","1,152,761.0","1,337,814.0","1,616,712.0","1,907,042.0","2,061,444.0","2,044,653.0","1,764,704.0","1,801,684.0","1,835,653.0","1,879,296.0","1,989,046.0","2,130,422.0","2,243,806.0","2,354,420.0","2,361,018.0","2,494,041.0","2,551,081.0","2,616,698.0","2,597,771.0","2,761,603.0","2,834,205.0","2,902,126.0","3,062,256.0","3,199,859.0","3,390,825.0","3,587,591.0","3,803,357.0","3,919,956.0","4,115,831.0","4,244,959.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
