"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W005RU1","46,601.0","54,806.0","47,733.0","43,515.0","46,155.0","52,409.0","46,293.0","41,232.0","46,386.0","52,657.0","48,538.0","44,311.0","52,185.0","61,368.0","55,429.0","51,320.0","60,926.0","65,192.0","64,746.0","59,941.0","64,614.0","74,085.0","74,557.0","66,706.0","65,939.0","67,897.0","74,302.0","69,494.0","74,740.0","85,919.0","84,726.0","77,607.0","83,409.0","101,942.0","92,623.0","85,981.0","94,382.0","118,015.0","107,448.0","104,180.0","113,129.0","134,901.0","120,825.0","118,051.0","125,233.0","142,883.0","132,084.0","132,635.0","145,751.0","171,760.0","152,271.0","150,151.0","151,693.0","172,017.0","151,236.0","142,404.0","156,973.0","168,699.0","160,438.0","157,141.0","176,678.0","186,620.0","175,791.0","170,898.0","193,556.0","205,631.0","192,197.0","183,021.0","200,997.0","216,632.0","202,041.0","196,379.0","212,118.0","255,837.0","218,912.0","209,662.0","234,048.0","265,197.0","231,260.0","228,019.0","251,182.0","302,208.0","248,357.0","236,287.0","254,965.0","311,123.0","260,997.0","255,674.0","260,064.0","310,495.0","271,255.0","260,095.0","272,861.0","319,235.0","278,147.0","277,767.0","298,622.0","322,854.0","303,714.0","298,895.0","325,548.0","350,961.0","328,280.0","317,332.0","348,536.0","385,344.0","345,129.0","328,825.0","364,705.0","430,290.0","371,204.0","360,237.0","391,300.0","474,321.0","403,369.0","387,162.0","421,169.0","521,046.0","428,341.0","407,309.0","442,767.0","548,644.0","455,564.0","447,989.0","475,772.0","629,570.0","492,325.0","459,475.0","492,634.0","641,279.0","435,897.0","450,458.0","442,723.0","522,113.0","462,825.0","431,668.0","454,176.0","521,367.0","453,126.0","456,413.0","469,751.0","537,460.0","500,033.0","506,695.0","524,892.0","651,134.0","564,145.0","549,908.0","585,009.0","749,110.0","607,178.0","583,236.0","615,736.0","802,284.0","635,614.0","601,096.0","601,499.0","752,726.0","603,563.0","544,450.0","518,785.0","617,980.0","562,135.0","533,585.0","570,703.0","652,149.0","609,434.0","597,350.0"
"21","2","Current tax receipts","W006RU1","33,704.0","41,417.0","36,735.0","34,114.0","32,060.0","38,629.0","35,194.0","32,041.0","30,935.0","37,239.0","36,471.0","33,973.0","34,157.0","43,696.0","40,971.0","39,426.0","38,477.0","43,485.0","46,377.0","44,679.0","40,396.0","50,147.0","53,122.0","48,406.0","40,822.0","43,683.0","52,309.0","50,023.0","45,647.0","58,059.0","59,395.0","54,798.0","51,015.0","69,194.0","65,887.0","61,122.0","56,431.0","79,534.0","76,356.0","74,258.0","69,037.0","90,888.0","84,399.0","81,570.0","76,902.0","94,930.0","92,618.0","91,093.0","88,573.0","114,530.0","104,497.0","100,097.0","88,050.0","109,167.0","99,616.0","89,505.0","89,343.0","101,358.0","103,692.0","98,766.0","97,176.0","110,003.0","111,508.0","106,544.0","106,999.0","118,723.0","122,152.0","112,361.0","108,136.0","125,247.0","126,313.0","119,553.0","115,867.0","159,178.0","139,884.0","128,697.0","125,758.0","158,721.0","142,593.0","139,099.0","137,498.0","188,227.0","153,200.0","142,226.0","134,750.0","191,811.0","162,555.0","153,095.0","133,443.0","182,022.0","166,988.0","153,165.0","141,051.0","185,192.0","171,351.0","162,333.0","162,499.0","182,832.0","188,369.0","179,333.0","180,241.0","203,056.0","205,095.0","192,973.0","193,164.0","231,906.0","218,146.0","201,362.0","203,982.0","270,097.0","237,664.0","220,170.0","220,857.0","305,122.0","261,982.0","242,120.0","242,525.0","341,894.0","279,423.0","251,984.0","257,183.0","359,032.0","295,865.0","283,277.0","271,733.0","426,052.0","321,800.0","289,993.0","279,633.0","430,418.0","263,866.0","275,504.0","229,897.0","307,058.0","283,021.0","253,486.0","235,045.0","300,065.0","267,858.0","267,266.0","238,589.0","304,849.0","305,021.0","305,348.0","280,526.0","404,407.0","355,870.0","342,920.0","320,573.0","484,734.0","390,258.0","362,762.0","337,615.0","524,753.0","406,878.0","368,343.0","313,312.0","465,480.0","364,545.0","304,389.0","233,865.0","326,423.0","323,910.0","286,035.0","278,582.0","360,709.0","357,418.0","344,024.0"
"22","3","  Personal current taxes","A074RU1","20,718.0","27,132.0","23,539.0","20,311.0","20,575.0","25,817.0","22,883.0","19,578.0","18,407.0","23,354.0","23,472.0","20,570.0","21,555.0","29,435.0","27,272.0","24,495.0","23,796.0","26,960.0","30,522.0","28,303.0","25,796.0","33,103.0","35,372.0","32,254.0","27,669.0","27,486.0","34,161.0","31,414.0","28,156.0","37,856.0","39,587.0","35,635.0","32,978.0","46,514.0","42,961.0","39,700.0","36,019.0","53,723.0","51,147.0","48,058.0","45,371.0","64,715.0","58,587.0","55,961.0","51,771.0","69,763.0","65,565.0","62,865.0","59,483.0","84,394.0","74,692.0","71,981.0","66,579.0","85,754.0","76,083.0","66,547.0","68,424.0","74,506.0","74,704.0","68,586.0","67,711.0","77,049.0","80,522.0","76,107.0","78,245.0","87,522.0","88,584.0","81,628.0","77,850.0","92,811.0","93,264.0","86,087.0","82,464.0","120,888.0","99,095.0","90,011.0","88,400.0","117,640.0","100,169.0","96,635.0","93,404.0","145,098.0","111,634.0","101,320.0","94,838.0","148,167.0","117,122.0","110,022.0","92,306.0","138,272.0","121,266.0","109,470.0","96,076.0","137,526.0","126,694.0","114,930.0","116,504.0","130,717.0","135,391.0","122,854.0","127,870.0","143,440.0","141,501.0","129,703.0","132,779.0","166,062.0","149,209.0","137,739.0","140,715.0","201,015.0","168,133.0","153,419.0","156,005.0","232,874.0","185,317.0","169,957.0","173,509.0","268,028.0","203,179.0","180,490.0","187,159.0","282,699.0","217,357.0","205,825.0","192,814.0","343,993.0","242,513.0","216,231.0","213,518.0","361,617.0","200,063.0","216,616.0","170,975.0","242,940.0","218,916.0","195,786.0","167,960.0","226,849.0","190,935.0","188,434.0","161,265.0","218,232.0","214,344.0","205,401.0","177,685.0","292,564.0","237,516.0","224,094.0","197,647.0","355,515.0","256,432.0","240,337.0","222,049.0","394,368.0","283,880.0","265,267.0","220,580.0","365,670.0","271,384.0","243,632.0","173,497.0","251,625.0","236,062.0","195,386.0","174,191.0","251,465.0","239,728.0","230,973.0"
"23","4","  Taxes on production and imports","W007RU1","4,112.0","4,628.0","4,435.0","4,637.0","4,241.0","4,650.0","4,492.0","4,698.0","4,692.0","4,886.0","4,666.0","4,748.0","4,346.0","4,748.0","4,611.0","4,778.0","4,704.0","4,997.0","5,017.0","5,081.0","4,786.0","5,112.0","5,123.0","5,043.0","4,710.0","5,527.0","5,812.0","6,028.0","5,002.0","5,502.0","5,514.0","5,356.0","5,265.0","5,665.0","6,012.0","5,781.0","5,671.0","6,469.0","6,538.0","6,600.0","6,269.0","6,346.0","6,480.0","6,589.0","6,454.0","8,575.0","9,335.0","9,299.0","12,212.0","13,243.0","12,267.0","12,207.0","10,573.0","10,281.0","9,936.0","10,166.0","9,825.0","11,358.0","11,542.0","11,659.0","11,458.0","11,874.0","12,065.0","11,903.0","11,439.0","11,447.0","11,799.0","11,367.0","10,896.0","10,688.0","11,151.0","10,963.0","10,898.0","11,196.0","11,886.0","11,960.0","12,229.0","12,598.0","12,440.0","12,560.0","13,137.0","12,409.0","11,805.0","12,390.0","12,602.0","12,665.0","12,091.0","13,554.0","14,550.0","15,279.0","15,895.0","16,041.0","15,448.0","15,295.0","16,037.0","16,515.0","15,194.0","16,016.0","16,832.0","18,316.0","18,932.0","19,465.0","20,132.0","20,457.0","18,478.0","18,669.0","19,376.0","19,030.0","18,009.0","17,766.0","18,224.0","18,855.0","17,471.0","19,752.0","20,430.0","20,184.0","19,300.0","20,035.0","20,667.0","20,696.0","19,709.0","20,272.0","21,497.0","21,954.0","20,974.0","21,946.0","22,426.0","21,905.0","21,070.0","21,450.0","21,444.0","21,320.0","20,654.0","21,525.0","22,424.0","22,202.0","21,913.0","22,024.0","22,545.0","22,815.0","23,375.0","23,468.0","23,735.0","23,724.0","23,948.0","25,274.0","25,056.0","24,498.0","24,833.0","24,893.0","24,893.0","24,779.0","20,531.0","22,430.0","26,695.0","24,833.0","22,184.0","23,544.0","24,675.0","23,609.0","21,810.0","24,096.0","26,862.0","24,508.0","23,336.0","25,189.0","27,206.0","25,724.0"
"24","5","  Taxes on corporate income","B075RU1","8,779.0","9,559.0","8,660.0","9,066.0","7,148.0","8,067.0","7,727.0","7,674.0","7,747.0","8,908.0","8,242.0","8,559.0","8,157.0","9,411.0","8,986.0","10,053.0","9,880.0","11,432.0","10,746.0","11,202.0","9,724.0","11,841.0","12,535.0","11,015.0","8,343.0","10,562.0","12,214.0","12,440.0","12,325.0","14,521.0","14,108.0","13,623.0","12,595.0","16,841.0","16,733.0","15,446.0","14,524.0","19,107.0","18,424.0","19,345.0","17,140.0","19,557.0","19,038.0","18,693.0","18,307.0","16,192.0","17,304.0","18,516.0","16,482.0","16,509.0","17,165.0","15,545.0","10,564.0","12,800.0","13,267.0","12,416.0","10,807.0","15,183.0","17,141.0","18,214.0","17,676.0","20,748.0","18,614.0","18,200.0","16,961.0","19,292.0","21,225.0","18,787.0","19,023.0","21,352.0","21,461.0","21,990.0","22,040.0","26,594.0","28,422.0","26,132.0","24,598.0","27,796.0","29,386.0","29,346.0","30,207.0","30,104.0","29,077.0","27,826.0","26,638.0","30,257.0","32,582.0","28,643.0","25,921.0","27,799.0","29,186.0","27,031.0","28,864.0","31,720.0","27,972.0","30,212.0","30,083.0","35,454.0","35,478.0","37,454.0","32,689.0","39,377.0","42,677.0","41,980.0","40,988.0","46,273.0","48,535.0","43,524.0","44,087.0","50,141.0","49,989.0","46,405.0","46,192.0","51,333.0","54,997.0","50,473.0","48,559.0","52,623.0","54,212.0","48,848.0","48,983.0","54,634.0","55,465.0","53,885.0","56,221.0","58,321.0","55,116.0","49,782.0","43,200.0","45,644.0","40,469.0","35,356.0","36,480.0","40,735.0","39,798.0","33,445.0","43,346.0","48,600.0","52,422.0","53,437.0","51,558.0","60,904.0","64,873.0","72,947.0","76,085.0","84,005.0","89,943.0","90,926.0","95,351.0","101,576.0","105,988.0","92,095.0","91,652.0","104,283.0","92,778.0","74,125.0","66,461.0","72,198.0","64,355.0","30,635.0","34,667.0","46,772.0","57,744.0","62,503.0","77,780.0","80,761.0","87,280.0","83,771.0"
"25","6","  Taxes from the rest of the world","W008RU1","95.0","98.0","101.0","100.0","96.0","95.0","92.0","91.0","89.0","91.0","91.0","96.0","99.0","102.0","102.0","100.0","97.0","96.0","92.0","93.0","90.0","91.0","92.0","94.0","100.0","108.0","122.0","141.0","164.0","180.0","186.0","184.0","177.0","174.0","181.0","195.0","217.0","235.0","247.0","255.0","257.0","270.0","294.0","327.0","370.0","400.0","414.0","413.0","396.0","384.0","373.0","364.0","334.0","332.0","330.0","376.0","288.0","311.0","305.0","307.0","331.0","332.0","307.0","334.0","354.0","462.0","544.0","579.0","367.0","396.0","437.0","513.0","465.0","500.0","481.0","594.0","531.0","687.0","598.0","558.0","750.0","616.0","684.0","690.0","672.0","722.0","760.0","876.0","666.0","672.0","641.0","623.0","663.0","651.0","648.0","676.0","718.0","645.0","668.0","709.0","750.0","774.0","785.0","833.0","919.0","902.0","1,026.0","1,069.0","1,171.0","1,175.0","1,318.0","1,491.0","1,189.0","1,163.0","1,238.0","1,506.0","1,157.0","1,208.0","1,365.0","1,950.0","1,332.0","1,427.0","1,546.0","1,613.0","1,724.0","1,792.0","1,745.0","2,075.0","1,845.0","1,707.0","1,890.0","2,212.0","1,788.0","1,858.0","1,883.0","2,053.0","1,826.0","2,592.0","1,956.0","2,580.0","2,391.0","2,245.0","2,069.0","3,276.0","2,808.0","2,564.0","3,355.0","3,402.0","2,741.0","2,750.0","2,945.0","5,551.0","3,383.0","3,672.0","3,525.0","4,118.0","4,087.0","4,068.0","4,131.0","6,513.0","3,891.0","3,930.0","3,242.0","3,638.0","3,275.0","3,294.0","3,204.0","3,556.0"
"26","7","Contributions for government social insurance","W780RU1","12,139.0","12,575.0","10,290.0","8,310.0","13,346.0","13,248.0","10,603.0","8,307.0","14,921.0","14,720.0","11,598.0","9,091.0","17,104.0","16,840.0","13,627.0","10,687.0","21,458.0","20,917.0","17,670.0","14,501.0","23,323.0","23,393.0","20,266.0","17,103.0","24,399.0","24,393.0","20,972.0","18,290.0","27,553.0","27,741.0","23,570.0","20,922.0","30,662.0","30,956.0","26,744.0","22,716.0","35,927.0","35,977.0","30,387.0","26,424.0","40,839.0","40,741.0","35,673.0","32,545.0","44,608.0","44,077.0","38,634.0","36,312.0","52,170.0","51,867.0","45,906.0","43,066.0","56,391.0","55,693.0","48,803.0","45,156.0","60,071.0","59,641.0","53,431.0","49,925.0","71,079.0","67,749.0","60,084.0","55,217.0","77,276.0","75,820.0","64,930.0","59,883.0","82,148.0","80,703.0","70,173.0","65,909.0","86,010.0","86,431.0","73,709.0","71,281.0","96,810.0","96,057.0","84,014.0","77,898.0","102,937.0","103,087.0","88,097.0","83,842.0","110,344.0","109,241.0","93,557.0","88,898.0","113,113.0","115,143.0","97,973.0","94,384.0","119,236.0","121,594.0","101,783.0","101,352.0","123,544.0","128,021.0","106,793.0","107,159.0","132,362.0","135,846.0","114,672.0","113,272.0","143,462.0","142,344.0","119,219.0","116,878.0","148,552.0","148,705.0","124,215.0","123,941.0","157,165.0","156,969.0","131,703.0","133,595.0","166,068.0","167,666.0","139,409.0","144,259.0","173,741.0","178,074.0","150,027.0","152,984.0","190,404.0","190,337.0","159,621.0","158,209.0","199,962.0","198,816.0","162,490.0","161,985.0","201,746.0","202,363.0","168,289.0","166,881.0","206,403.0","207,139.0","172,961.0","176,271.0","217,026.0","218,417.0","183,660.0","188,523.0","230,640.0","232,521.0","196,229.0","193,235.0","248,138.0","247,915.0","203,428.0","205,161.0","259,447.0","258,596.0","213,369.0","213,878.0","268,514.0","266,948.0","220,043.0","217,622.0","257,593.0","258,945.0","213,122.0","219,193.0","261,842.0","261,200.0","223,434.0","224,409.0"
"27","8","Income receipts on assets \1\","W009RU1","601.0","660.0","641.0","777.0","698.0","766.0","727.0","861.0","726.0","864.0","832.0","1,033.0","834.0","885.0","873.0","1,024.0","931.0","981.0","874.0","1,012.0","958.0","1,030.0","1,034.0","1,162.0","1,077.0","1,181.0","1,253.0","1,390.0","1,345.0","1,423.0","1,539.0","1,554.0","1,530.0","1,695.0","1,699.0","1,775.0","1,808.0","2,113.0","2,170.0","2,436.0","2,405.0","2,514.0","2,714.0","3,024.0","2,927.0","3,182.0","3,548.0","4,003.0","4,079.0","4,289.0","4,716.0","5,189.0","5,363.0","5,432.0","5,664.0","5,712.0","5,776.0","5,819.0","6,021.0","6,221.0","6,358.0","6,749.0","6,726.0","6,805.0","6,899.0","7,078.0","7,510.0","7,641.0","7,825.0","7,722.0","8,217.0","7,501.0","7,211.0","7,067.0","6,840.0","6,338.0","8,294.0","6,908.0","6,832.0","7,336.0","6,965.0","6,905.0","7,413.0","6,686.0","6,740.0","6,555.0","6,644.0","9,622.0","7,855.0","7,270.0","7,339.0","6,592.0","6,370.0","6,206.0","6,036.0","6,176.0","6,442.0","6,462.0","6,416.0","6,222.0","5,764.0","5,559.0","5,978.0","5,441.0","5,856.0","5,844.0","6,197.0","5,388.0","6,564.0","6,393.0","7,638.0","5,887.0","6,317.0","6,076.0","7,462.0","5,587.0","5,265.0","4,945.0","6,481.0","4,525.0","4,707.0","4,790.0","6,329.0","4,756.0","5,995.0","5,953.0","6,912.0","5,623.0","6,490.0","6,201.0","6,905.0","4,950.0","3,916.0","4,987.0","7,766.0","3,582.0","4,785.0","5,660.0","7,598.0","4,762.0","5,531.0","5,695.0","7,145.0","4,836.0","5,656.0","5,938.0","7,658.0","4,429.0","6,347.0","6,297.0","8,119.0","5,361.0","7,161.0","7,203.0","8,639.0","6,770.0","7,034.0","7,602.0","10,790.0","5,228.0","9,690.0","12,549.0","14,344.0","11,475.0","12,630.0","12,929.0","15,298.0","12,260.0"
