"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    National income","A032RC1","864,934.0","880,994.0","899,609.0","908,401.0","912,724.0","924,447.0","939,824.0","941,123.0","976,605.0","996,409.0","1,013,915.0","1,035,556.0","1,067,849.0","1,088,563.0","1,118,819.0","1,166,127.0","1,203,628.0","1,228,582.0","1,256,512.0","1,295,621.0","1,307,633.0","1,328,712.0","1,357,206.0","1,372,340.0","1,379,706.0","1,411,187.0","1,470,310.0","1,514,871.0","1,564,793.0","1,591,415.0","1,624,234.0","1,658,716.0","1,704,434.0","1,774,203.0","1,831,378.0","1,879,712.0","1,917,378.0","2,012,603.0","2,058,956.0","2,122,556.0","2,177,437.0","2,216,786.0","2,270,089.0","2,328,825.0","2,374,077.0","2,367,652.0","2,430,185.0","2,559,889.0","2,649,028.0","2,690,757.0","2,784,192.0","2,795,416.0","2,801,863.0","2,851,218.0","2,869,124.0","2,883,440.0","2,946,623.0","3,026,466.0","3,106,890.0","3,203,593.0","3,339,162.0","3,436,873.0","3,505,522.0","3,563,642.0","3,626,210.0","3,669,161.0","3,721,058.0","3,768,547.0","3,824,036.0","3,841,776.0","3,886,725.0","3,933,255.0","4,007,136.0","4,100,661.0","4,197,772.0","4,294,606.0","4,385,474.0","4,476,519.0","4,562,714.0","4,664,494.0","4,743,434.0","4,771,880.0","4,823,543.0","4,863,195.0","4,964,384.0","5,059,672.0","5,091,683.0","5,122,451.0","5,151,607.0","5,190,041.0","5,236,876.0","5,293,095.0","5,411,297.0","5,492,005.0","5,533,684.0","5,631,421.0","5,666,162.0","5,755,168.0","5,799,391.0","5,918,165.0","6,028,131.0","6,129,320.0","6,230,242.0","6,337,341.0","6,411,507.0","6,468,639.0","6,562,658.0","6,646,492.0","6,757,101.0","6,886,909.0","6,972,427.0","7,110,313.0","7,225,796.0","7,333,440.0","7,476,606.0","7,588,078.0","7,689,528.0","7,815,419.0","7,949,039.0","8,048,356.0","8,204,191.0","8,284,048.0","8,379,703.0","8,563,925.0","8,809,777.0","8,896,037.0","9,005,723.0","9,044,028.0","9,184,376.0","9,209,922.0","9,157,344.0","9,189,198.0","9,304,673.0","9,380,520.0","9,417,992.0","9,530,916.0","9,614,191.0","9,757,330.0","9,899,383.0","10,089,796.0","10,281,205.0","10,444,687.0","10,641,647.0","10,768,675.0","11,019,584.0","11,156,551.0","11,360,214.0","11,558,958.0","11,838,174.0","11,965,853.0","12,093,003.0","12,227,887.0","12,261,446.0","12,360,889.0","12,407,098.0","12,556,255.0","12,693,864.0","12,724,903.0","12,733,052.0","12,284,435.0","12,099,151.0","12,035,725.0","12,126,062.0","12,329,485.0","12,595,923.0","12,803,738.0","12,942,097.0","13,018,810.0","13,232,632.0","13,344,097.0","13,434,550.0"
"21","2","Compensation of employees","A033RC1","555,898.0","569,767.0","586,566.0","598,208.0","608,627.0","614,153.0","622,164.0","623,930.0","641,562.0","653,680.0","664,085.0","676,308.0","701,115.0","715,781.0","729,707.0","753,942.0","781,675.0","800,820.0","819,864.0","842,532.0","860,707.0","881,375.0","903,138.0","915,778.0","919,463.0","931,749.0","957,718.0","987,646.0","1,022,364.0","1,046,140.0","1,070,804.0","1,098,063.0","1,126,998.0","1,164,428.0","1,196,929.0","1,233,749.0","1,269,716.0","1,317,936.0","1,354,848.0","1,399,321.0","1,443,458.0","1,475,237.0","1,516,240.0","1,558,224.0","1,599,002.0","1,621,330.0","1,653,451.0","1,716,504.0","1,768,856.0","1,801,866.0","1,840,038.0","1,867,896.0","1,891,846.0","1,911,140.0","1,930,816.0","1,944,763.0","1,972,728.0","2,010,524.0","2,052,361.0","2,106,524.0","2,175,966.0","2,225,696.0","2,270,850.0","2,309,269.0","2,353,720.0","2,389,199.0","2,427,927.0","2,476,147.0","2,509,959.0","2,533,315.0","2,569,172.0","2,618,175.0","2,664,472.0","2,706,194.0","2,752,681.0","2,819,211.0","2,869,080.0","2,932,283.0","2,981,024.0","3,034,236.0","3,078,493.0","3,107,815.0","3,144,413.0","3,194,550.0","3,259,013.0","3,317,390.0","3,358,506.0","3,370,113.0","3,385,024.0","3,419,434.0","3,455,277.0","3,493,587.0","3,561,110.0","3,612,651.0","3,656,583.0","3,695,372.0","3,732,208.0","3,777,265.0","3,819,758.0","3,859,153.0","3,926,915.0","3,978,633.0","4,016,441.0","4,072,151.0","4,135,495.0","4,171,343.0","4,216,394.0","4,257,480.0","4,295,541.0","4,364,276.0","4,423,406.0","4,482,234.0","4,554,652.0","4,617,939.0","4,695,239.0","4,794,654.0","4,898,394.0","4,982,007.0","5,065,422.0","5,147,141.0","5,246,411.0","5,297,892.0","5,371,999.0","5,499,446.0","5,692,069.0","5,731,435.0","5,845,823.0","5,886,071.0","5,993,949.0","5,979,920.0","5,965,752.0","5,977,655.0","6,038,415.0","6,101,349.0","6,128,848.0","6,174,651.0","6,255,844.0","6,346,330.0","6,425,609.0","6,502,575.0","6,539,775.0","6,636,405.0","6,756,283.0","6,841,164.0","6,921,109.0","7,003,564.0","7,128,391.0","7,207,110.0","7,353,703.0","7,419,895.0","7,484,093.0","7,650,294.0","7,756,381.0","7,814,368.0","7,868,547.0","7,984,301.0","8,098,953.0","8,073,413.0","8,084,743.0","8,016,133.0","7,830,053.0","7,809,230.0","7,781,861.0","7,804,382.0","7,852,476.0","7,960,017.0","8,022,225.0","8,050,766.0","8,172,538.0","8,219,738.0","8,249,572.0"
